"year"	"gender"	"field"	"count"
2005	"Female"	"Education"	4
2006	"Female"	"Education"	23
2007	"Female"	"Education"	35
2008	"Female"	"Education"	56
2009	"Female"	"Education"	56
2010	"Female"	"Education"	106
2011	"Female"	"Education"	166
2005	"Male"	"Education"	0
2006	"Male"	"Education"	1
2007	"Male"	"Education"	9
2008	"Male"	"Education"	8
2009	"Male"	"Education"	14
2010	"Male"	"Education"	17
2011	"Male"	"Education"	28
2005	"Female"	"Life Sciences"	0
2006	"Female"	"Life Sciences"	0
2007	"Female"	"Life Sciences"	0
2008	"Female"	"Life Sciences"	0
2009	"Female"	"Life Sciences"	0
2010	"Female"	"Life Sciences"	57
2011	"Female"	"Life Sciences"	66
2005	"Male"	"Life Sciences"	0
2006	"Male"	"Life Sciences"	0
2007	"Male"	"Life Sciences"	0
2008	"Male"	"Life Sciences"	0
2009	"Male"	"Life Sciences"	0
2010	"Male"	"Life Sciences"	16
2011	"Male"	"Life Sciences"	12
2005	"Female"	"Vocational Studies and Home Economics"	0
2006	"Female"	"Vocational Studies and Home Economics"	0
2007	"Female"	"Vocational Studies and Home Economics"	0
2008	"Female"	"Vocational Studies and Home Economics"	8
2009	"Female"	"Vocational Studies and Home Economics"	52
2010	"Female"	"Vocational Studies and Home Economics"	41
2011	"Female"	"Vocational Studies and Home Economics"	102
2005	"Male"	"Vocational Studies and Home Economics"	0
2006	"Male"	"Vocational Studies and Home Economics"	0
2007	"Male"	"Vocational Studies and Home Economics"	0
2008	"Male"	"Vocational Studies and Home Economics"	7
2009	"Male"	"Vocational Studies and Home Economics"	28
2010	"Male"	"Vocational Studies and Home Economics"	27
2011	"Male"	"Vocational Studies and Home Economics"	51
