"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	3
1967	"Female"	"Agriculture"	8
1968	"Female"	"Agriculture"	5
1969	"Female"	"Agriculture"	12
1970	"Female"	"Agriculture"	22
1971	"Female"	"Agriculture"	19
1972	"Female"	"Agriculture"	24
1973	"Female"	"Agriculture"	40
1974	"Female"	"Agriculture"	64
1975	"Female"	"Agriculture"	87
1976	"Female"	"Agriculture"	116
1977	"Female"	"Agriculture"	154
1978	"Female"	"Agriculture"	190
1979	"Female"	"Agriculture"	171
1980	"Female"	"Agriculture"	201
1981	"Female"	"Agriculture"	217
1982	"Female"	"Agriculture"	250
1983	"Female"	"Agriculture"	184
1984	"Female"	"Agriculture"	140
1985	"Female"	"Agriculture"	119
1986	"Female"	"Agriculture"	75
1987	"Female"	"Agriculture"	96
1988	"Female"	"Agriculture"	100
1989	"Female"	"Agriculture"	70
1990	"Female"	"Agriculture"	71
1991	"Female"	"Agriculture"	84
1992	"Female"	"Agriculture"	112
1993	"Female"	"Agriculture"	113
1994	"Female"	"Agriculture"	127
1995	"Female"	"Agriculture"	106
1996	"Female"	"Agriculture"	132
1997	"Female"	"Agriculture"	122
1998	"Female"	"Agriculture"	164
1999	"Female"	"Agriculture"	179
2000	"Female"	"Agriculture"	147
2001	"Female"	"Agriculture"	147
2002	"Female"	"Agriculture"	158
2003	"Female"	"Agriculture"	226
2004	"Female"	"Agriculture"	226
2005	"Female"	"Agriculture"	192
2006	"Female"	"Agriculture"	196
2007	"Female"	"Agriculture"	219
2008	"Female"	"Agriculture"	164
2009	"Female"	"Agriculture"	144
2010	"Female"	"Agriculture"	168
2011	"Female"	"Agriculture"	156
1966	"Male"	"Agriculture"	244
1967	"Male"	"Agriculture"	281
1968	"Male"	"Agriculture"	317
1969	"Male"	"Agriculture"	377
1970	"Male"	"Agriculture"	358
1971	"Male"	"Agriculture"	313
1972	"Male"	"Agriculture"	356
1973	"Male"	"Agriculture"	389
1974	"Male"	"Agriculture"	393
1975	"Male"	"Agriculture"	379
1976	"Male"	"Agriculture"	432
1977	"Male"	"Agriculture"	426
1978	"Male"	"Agriculture"	452
1979	"Male"	"Agriculture"	401
1980	"Male"	"Agriculture"	402
1981	"Male"	"Agriculture"	462
1982	"Male"	"Agriculture"	415
1983	"Male"	"Agriculture"	200
1984	"Male"	"Agriculture"	200
1985	"Male"	"Agriculture"	143
1986	"Male"	"Agriculture"	135
1987	"Male"	"Agriculture"	125
1988	"Male"	"Agriculture"	123
1989	"Male"	"Agriculture"	101
1990	"Male"	"Agriculture"	118
1991	"Male"	"Agriculture"	123
1992	"Male"	"Agriculture"	118
1993	"Male"	"Agriculture"	147
1994	"Male"	"Agriculture"	152
1995	"Male"	"Agriculture"	150
1996	"Male"	"Agriculture"	150
1997	"Male"	"Agriculture"	175
1998	"Male"	"Agriculture"	173
1999	"Male"	"Agriculture"	143
2000	"Male"	"Agriculture"	136
2001	"Male"	"Agriculture"	152
2002	"Male"	"Agriculture"	136
2003	"Male"	"Agriculture"	263
2004	"Male"	"Agriculture"	250
2005	"Male"	"Agriculture"	214
2006	"Male"	"Agriculture"	222
