"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	3
"1967"	"Female"	"Anthropology"	4
"1968"	"Female"	"Anthropology"	7
"1969"	"Female"	"Anthropology"	8
"1970"	"Female"	"Anthropology"	21
"1971"	"Female"	"Anthropology"	21
"1972"	"Female"	"Anthropology"	25
"1973"	"Female"	"Anthropology"	19
"1974"	"Female"	"Anthropology"	16
"1975"	"Female"	"Anthropology"	11
"1976"	"Female"	"Anthropology"	7
"1977"	"Female"	"Anthropology"	7
"1978"	"Female"	"Anthropology"	8
"1979"	"Female"	"Anthropology"	10
"1980"	"Female"	"Anthropology"	15
"1981"	"Female"	"Anthropology"	4
"1982"	"Female"	"Anthropology"	12
"1983"	"Female"	"Anthropology"	8
"1984"	"Female"	"Anthropology"	12
"1985"	"Female"	"Anthropology"	9
"1986"	"Female"	"Anthropology"	10
"1987"	"Female"	"Anthropology"	14
"1988"	"Female"	"Anthropology"	20
"1989"	"Female"	"Anthropology"	14
"1990"	"Female"	"Anthropology"	19
"1991"	"Female"	"Anthropology"	19
"1992"	"Female"	"Anthropology"	16
"1993"	"Female"	"Anthropology"	16
"1994"	"Female"	"Anthropology"	16
"1995"	"Female"	"Anthropology"	11
"1996"	"Female"	"Anthropology"	19
"1997"	"Female"	"Anthropology"	32
"1998"	"Female"	"Anthropology"	28
"1999"	"Female"	"Anthropology"	26
"2000"	"Female"	"Anthropology"	37
"2001"	"Female"	"Anthropology"	34
"2002"	"Female"	"Anthropology"	36
"2003"	"Female"	"Anthropology"	46
"2004"	"Female"	"Anthropology"	41
"2005"	"Female"	"Anthropology"	26
"2006"	"Female"	"Anthropology"	44
"2007"	"Female"	"Anthropology"	39
"2008"	"Female"	"Anthropology"	56
"2009"	"Female"	"Anthropology"	50
"2010"	"Female"	"Anthropology"	49
"2011"	"Female"	"Anthropology"	49
"1966"	"Male"	"Anthropology"	1
"1967"	"Male"	"Anthropology"	0
"1968"	"Male"	"Anthropology"	5
"1969"	"Male"	"Anthropology"	1
"1970"	"Male"	"Anthropology"	9
"1971"	"Male"	"Anthropology"	6
"1972"	"Male"	"Anthropology"	6
"1973"	"Male"	"Anthropology"	16
"1974"	"Male"	"Anthropology"	17
"1975"	"Male"	"Anthropology"	10
"1976"	"Male"	"Anthropology"	7
"1977"	"Male"	"Anthropology"	2
"1978"	"Male"	"Anthropology"	5
"1979"	"Male"	"Anthropology"	6
"1980"	"Male"	"Anthropology"	9
"1981"	"Male"	"Anthropology"	5
"1982"	"Male"	"Anthropology"	10
"1983"	"Male"	"Anthropology"	6
"1984"	"Male"	"Anthropology"	5
"1985"	"Male"	"Anthropology"	4
"1986"	"Male"	"Anthropology"	3
"1987"	"Male"	"Anthropology"	3
"1988"	"Male"	"Anthropology"	9
"1989"	"Male"	"Anthropology"	3
"1990"	"Male"	"Anthropology"	4
"1991"	"Male"	"Anthropology"	4
"1992"	"Male"	"Anthropology"	12
