"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	1786	28762
"1966"	"Male"	"University of California-Berkeley"	1312	28762
"1966"	"Gender"	"Stanford University"	0	28762
"1966"	"Male"	"University of Maine"	0	28762
"1966"	"Male"	"Emerson College"	2146	28762
"1966"	"Gender"	"University of Rhode Island"	0	28762
"1966"	"Gender"	"Ball State University"	0	28762
"1966"	"Female"	"University of Maine"	0	28762
"1966"	"Gender"	"Northeastern University"	0	28762
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	28762
"1966"	"Female"	"George Mason University"	0	28762
"1966"	"Male"	"University of Rhode Island"	3414	28762
"1966"	"Female"	"Tufts University"	2219	28762
"1966"	"Gender"	"University of Maine"	0	28762
"1966"	"Male"	"Northeastern University"	2199	28762
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	28762
"1966"	"Female"	"University of California-Berkeley"	1312	28762
"1966"	"Female"	"Brandeis University"	0	28762
"1966"	"Gender"	"Tufts University"	0	28762
"1966"	"Gender"	"Brandeis University"	0	28762
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	28762
"1966"	"Male"	"George Mason University"	0	28762
"1966"	"Gender"	"University of California-Berkeley"	0	28762
"1966"	"Female"	"Holy Cross College"	0	28762
"1966"	"Male"	"Tufts University"	2219	28762
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	28762
"1966"	"Female"	"University of Rhode Island"	3414	28762
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	28762
"1966"	"Gender"	"Emerson College"	0	28762
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	28762
"1966"	"Gender"	"George Mason University"	0	28762
"1966"	"Male"	"Stanford University"	1305	28762
"1966"	"Female"	"Northeastern University"	2199	28762
"1966"	"Female"	"Stanford University"	1305	28762
"1966"	"Female"	"Emerson College"	2146	28762
"1966"	"Male"	"Ball State University"	1786	28762
"1966"	"Male"	"Holy Cross College"	0	28762
"1966"	"Male"	"Brandeis University"	0	28762
"1966"	"Gender"	"Holy Cross College"	0	28762
"1967"	"Male"	"Northeastern University"	2199	31563
"1967"	"Gender"	"Stanford University"	0	31563
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	31563
"1967"	"Female"	"Ball State University"	1786	31563
"1967"	"Male"	"University of California-Berkeley"	1312	31563
"1967"	"Gender"	"University of California-Berkeley"	0	31563
"1967"	"Male"	"Emerson College"	2146	31563
"1967"	"Gender"	"University of Rhode Island"	0	31563
"1967"	"Gender"	"Tufts University"	0	31563
"1967"	"Gender"	"Northeastern University"	0	31563
"1967"	"Male"	"Stanford University"	0	31563
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	31563
"1967"	"Female"	"George Mason University"	0	31563
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	31563
"1967"	"Female"	"Tufts University"	2219	31563
"1967"	"Gender"	"University of Maine"	0	31563
"1967"	"Female"	"Holy Cross College"	0	31563
"1967"	"Female"	"University of California-Berkeley"	1312	31563
"1967"	"Gender"	"George Mason University"	0	31563
"1967"	"Female"	"Brandeis University"	0	31563
"1967"	"Female"	"Northeastern University"	2199	31563
"1967"	"Gender"	"Ball State University"	0	31563
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	31563
"1967"	"Male"	"George Mason University"	0	31563
"1967"	"Male"	"Ball State University"	1786	31563
"1967"	"Gender"	"Brandeis University"	0	31563
"1967"	"Male"	"Tufts University"	2219	31563
"1967"	"Male"	"Holy Cross College"	0	31563
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	31563
"1967"	"Gender"	"Emerson College"	0	31563
"1967"	"Female"	"University of Rhode Island"	3414	31563
"1967"	"Male"	"Brandeis University"	0	31563
"1967"	"Female"	"Emerson College"	2146	31563
