"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	7040
"1966"	"Male"	"Life Sciences"	140	7040
"1966"	"Female"	"Foreign Languages"	177	7040
"1966"	"Female"	"Social Service Professions"	15	7040
"1966"	"Female"	"Business"	68	7040
"1966"	"Male"	"Political Science and Public Administration"	48	7040
"1966"	"Male"	"Agriculture"	38	7040
"1966"	"Female"	"Math"	97	7040
"1966"	"Female"	"Education"	1758	7040
"1966"	"Male"	"Social Service Professions"	0	7040
"1966"	"Male"	"Business"	594	7040
"1966"	"Female"	"Psychology"	99	7040
"1966"	"Female"	"History"	289	7040
"1966"	"Male"	"Math"	92	7040
"1966"	"Male"	"Education"	393	7040
"1966"	"Female"	"Sociology"	203	7040
"1966"	"Female"	"Other/Unknown"	112	7040
"1966"	"Male"	"Anthropology"	0	7040
"1966"	"Male"	"History"	190	7040
"1966"	"Female"	"Social Sciences, Other"	88	7040
"1966"	"Female"	"Religion"	0	7040
"1966"	"Male"	"Communication and Librarianship"	0	7040
"1966"	"Male"	"Other/Unknown"	12	7040
"1966"	"Female"	"Area and Ethnic Studies"	33	7040
"1966"	"Female"	"Vocational Studies and Home Economics"	71	7040
"1966"	"Male"	"Engineering"	461	7040
"1966"	"Male"	"Religion"	24	7040
"1966"	"Female"	"Computer Science"	0	7040
"1966"	"Female"	"Physical Sciences"	64	7040
"1966"	"Male"	"Humanities, Other"	327	7040
"1966"	"Male"	"Vocational Studies and Home Economics"	0	7040
"1966"	"Female"	"English and Literature"	464	7040
"1966"	"Male"	"Art/Architecture"	49	7040
"1966"	"Male"	"Physical Sciences"	68	7040
"1966"	"Female"	"Art/Architecture"	160	7040
"1966"	"Female"	"Life Sciences"	303	7040
"1966"	"Male"	"Economics"	52	7040
"1966"	"Male"	"Social Sciences, Other"	81	7040
"1966"	"Female"	"Economics"	18	7040
"1966"	"Female"	"Political Science and Public Administration"	31	7040
"1966"	"Male"	"Foreign Languages"	41	7040
"1966"	"Male"	"Psychology"	113	7040
"1966"	"Female"	"Communication and Librarianship"	0	7040
"1966"	"Female"	"Anthropology"	0	7040
"1966"	"Male"	"Sociology"	116	7040
"1966"	"Female"	"Engineering"	0	7040
"1966"	"Male"	"Area and Ethnic Studies"	0	7040
"1966"	"Female"	"Humanities, Other"	17	7040
"1966"	"Male"	"Computer Science"	0	7040
"1966"	"Male"	"English and Literature"	134	7040
"1967"	"Male"	"Life Sciences"	133	7174
"1967"	"Male"	"Political Science and Public Administration"	77	7174
"1967"	"Female"	"Agriculture"	0	7174
"1967"	"Male"	"Social Service Professions"	0	7174
"1967"	"Female"	"Business"	47	7174
"1967"	"Male"	"Math"	81	7174
"1967"	"Male"	"Education"	383	7174
