"year"	"gender"	"field"	"count"	"total"
"1971"	"Female"	"Richard Stockton College of New Jersey"	0	18184
"1971"	"Gender"	"University of Maine"	0	18184
"1971"	"Male"	"Richard Stockton College of New Jersey"	0	18184
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	18184
"1971"	"Gender"	"University of California-Berkeley"	0	18184
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	18184
"1971"	"Female"	"University of Maine"	0	18184
"1971"	"Female"	"University of California-Berkeley"	0	18184
"1971"	"Male"	"University of Maine"	0	18184
"1971"	"Gender"	"Richard Stockton College of New Jersey"	0	18184
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	18184
"1971"	"Male"	"University of California-Berkeley"	0	18184
"1979"	"Female"	"University of Maine"	0	18690
"1979"	"Male"	"University of Maine"	0	18690
"1979"	"Female"	"Richard Stockton College of New Jersey"	9345	18690
"1979"	"Gender"	"University of Michigan at Ann Arbor"	0	18690
"1979"	"Male"	"Richard Stockton College of New Jersey"	9345	18690
"1979"	"Male"	"University of California-Berkeley"	0	18690
"1979"	"Gender"	"University of California-Berkeley"	0	18690
"1979"	"Gender"	"University of Maine"	0	18690
"1979"	"Female"	"University of California-Berkeley"	0	18690
"1979"	"Female"	"University of Michigan at Ann Arbor"	0	18690
"1979"	"Gender"	"Richard Stockton College of New Jersey"	0	18690
"1979"	"Male"	"University of Michigan at Ann Arbor"	0	18690
"1993"	"Male"	"University of Michigan at Ann Arbor"	0	9092
"1993"	"Gender"	"University of Michigan at Ann Arbor"	0	9092
"1993"	"Female"	"University of California-Berkeley"	0	9092
"1993"	"Male"	"Richard Stockton College of New Jersey"	0	9092
"1993"	"Male"	"University of California-Berkeley"	0	9092
"1993"	"Female"	"Richard Stockton College of New Jersey"	0	9092
"1993"	"Gender"	"University of Maine"	0	9092
"1993"	"Female"	"University of Maine"	0	9092
"1993"	"Female"	"University of Michigan at Ann Arbor"	9092	9092
"1993"	"Gender"	"University of California-Berkeley"	0	9092
"1993"	"Gender"	"Richard Stockton College of New Jersey"	0	9092
"1993"	"Male"	"University of Maine"	0	9092
"1994"	"Female"	"University of California-Berkeley"	0	9092
"1994"	"Female"	"University of Maine"	0	9092
"1994"	"Male"	"University of Michigan at Ann Arbor"	0	9092
"1994"	"Gender"	"University of Michigan at Ann Arbor"	0	9092
"1994"	"Gender"	"University of Maine"	0	9092
