"year"	"gender"	"field"	"count"
1967	"Female"	"Agriculture"	9
1971	"Female"	"Agriculture"	16
1972	"Female"	"Agriculture"	28
1973	"Female"	"Agriculture"	48
1974	"Female"	"Agriculture"	54
1975	"Female"	"Agriculture"	80
1976	"Female"	"Agriculture"	81
1977	"Female"	"Agriculture"	130
1978	"Female"	"Agriculture"	143
1979	"Female"	"Agriculture"	182
1980	"Female"	"Agriculture"	145
1981	"Female"	"Agriculture"	115
1982	"Female"	"Agriculture"	143
1983	"Female"	"Agriculture"	163
1984	"Female"	"Agriculture"	163
1985	"Female"	"Agriculture"	141
1986	"Female"	"Agriculture"	121
1987	"Female"	"Agriculture"	92
1988	"Female"	"Agriculture"	80
1989	"Female"	"Agriculture"	89
1990	"Female"	"Agriculture"	70
1991	"Female"	"Agriculture"	73
1992	"Female"	"Agriculture"	87
1993	"Female"	"Agriculture"	107
1994	"Female"	"Agriculture"	117
1995	"Female"	"Agriculture"	107
1996	"Female"	"Agriculture"	116
1997	"Female"	"Agriculture"	150
1998	"Female"	"Agriculture"	148
1999	"Female"	"Agriculture"	177
2000	"Female"	"Agriculture"	172
2001	"Female"	"Agriculture"	147
2002	"Female"	"Agriculture"	135
2003	"Female"	"Agriculture"	127
2004	"Female"	"Agriculture"	131
2005	"Female"	"Agriculture"	157
2006	"Female"	"Agriculture"	125
2007	"Female"	"Agriculture"	132
2008	"Female"	"Agriculture"	131
2009	"Female"	"Agriculture"	128
2010	"Female"	"Agriculture"	157
2011	"Female"	"Agriculture"	165
1967	"Male"	"Agriculture"	171
1971	"Male"	"Agriculture"	252
1972	"Male"	"Agriculture"	276
1973	"Male"	"Agriculture"	314
1974	"Male"	"Agriculture"	415
1975	"Male"	"Agriculture"	448
1976	"Male"	"Agriculture"	416
1977	"Male"	"Agriculture"	445
1978	"Male"	"Agriculture"	382
1979	"Male"	"Agriculture"	378
1980	"Male"	"Agriculture"	301
1981	"Male"	"Agriculture"	287
1982	"Male"	"Agriculture"	227
1983	"Male"	"Agriculture"	289
1984	"Male"	"Agriculture"	234
1985	"Male"	"Agriculture"	209
1986	"Male"	"Agriculture"	207
1987	"Male"	"Agriculture"	168
1988	"Male"	"Agriculture"	161
1989	"Male"	"Agriculture"	146
1990	"Male"	"Agriculture"	148
1991	"Male"	"Agriculture"	146
1992	"Male"	"Agriculture"	156
1993	"Male"	"Agriculture"	197
1994	"Male"	"Agriculture"	211
1995	"Male"	"Agriculture"	207
1996	"Male"	"Agriculture"	223
1997	"Male"	"Agriculture"	204
1998	"Male"	"Agriculture"	186
1999	"Male"	"Agriculture"	177
2000	"Male"	"Agriculture"	163
2001	"Male"	"Agriculture"	142
2002	"Male"	"Agriculture"	126
2003	"Male"	"Agriculture"	136
2004	"Male"	"Agriculture"	103
2005	"Male"	"Agriculture"	105
2006	"Male"	"Agriculture"	109
2007	"Male"	"Agriculture"	123
2008	"Male"	"Agriculture"	169
