"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	12125
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	12125
"1966"	"Gender"	"University of California-Berkeley"	0	12125
"1966"	"Male"	"University of Rhode Island"	3414	12125
"1966"	"Male"	"Harvard University"	2155	12125
"1966"	"Gender"	"University of Maine"	0	12125
"1966"	"Gender"	"Ball State University"	0	12125
"1966"	"Female"	"University of Rhode Island"	0	12125
"1966"	"Gender"	"Stanford University"	0	12125
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	12125
"1966"	"Female"	"Northeastern University"	0	12125
"1966"	"Male"	"University of Maine"	0	12125
"1966"	"Female"	"University of Maine"	0	12125
"1966"	"Gender"	"University of Rhode Island"	0	12125
"1966"	"Male"	"Stanford University"	1305	12125
"1966"	"Gender"	"George Mason University"	0	12125
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	12125
"1966"	"Female"	"George Mason University"	0	12125
"1966"	"Male"	"Tufts University"	0	12125
"1966"	"Female"	"Princeton University"	0	12125
"1966"	"Female"	"Tufts University"	0	12125
"1966"	"Male"	"Northeastern University"	0	12125
"1966"	"Male"	"University of California-Berkeley"	1312	12125
"1966"	"Female"	"Stanford University"	0	12125
"1966"	"Female"	"University of California-Berkeley"	1312	12125
"1966"	"Gender"	"Tufts University"	0	12125
"1966"	"Male"	"Ball State University"	0	12125
"1966"	"Male"	"George Mason University"	0	12125
"1966"	"Gender"	"Harvard University"	0	12125
"1966"	"Gender"	"Princeton University"	0	12125
"1966"	"Gender"	"Northeastern University"	0	12125
"1966"	"Female"	"Harvard University"	0	12125
"1966"	"Male"	"Princeton University"	2627	12125
"1967"	"Male"	"Stanford University"	1305	15483
"1967"	"Female"	"Princeton University"	0	15483
"1967"	"Gender"	"University of California-Berkeley"	0	15483
"1967"	"Gender"	"University of Maine"	0	15483
"1967"	"Male"	"Tufts University"	0	15483
"1967"	"Female"	"Northeastern University"	0	15483
"1967"	"Gender"	"Stanford University"	0	15483
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	15483
"1967"	"Female"	"Ball State University"	0	15483
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	15483
"1967"	"Gender"	"Tufts University"	0	15483
"1967"	"Male"	"Harvard University"	2155	15483
"1967"	"Female"	"Stanford University"	1305	15483
"1967"	"Male"	"University of Rhode Island"	3414	15483
"1967"	"Gender"	"Ball State University"	0	15483
"1967"	"Male"	"Northeastern University"	0	15483
"1967"	"Male"	"University of California-Berkeley"	1312	15483
"1967"	"Gender"	"University of Rhode Island"	0	15483
"1967"	"Gender"	"George Mason University"	0	15483
"1967"	"Male"	"Princeton University"	2627	15483
"1967"	"Female"	"University of Maine"	0	15483
"1967"	"Female"	"George Mason University"	0	15483
"1967"	"Gender"	"Harvard University"	0	15483
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	15483
"1967"	"Gender"	"Northeastern University"	0	15483
"1967"	"Female"	"Harvard University"	0	15483
"1967"	"Male"	"Ball State University"	0	15483
"1967"	"Female"	"Tufts University"	0	15483
"1967"	"Male"	"George Mason University"	0	15483
"1967"	"Female"	"University of Rhode Island"	0	15483
"1967"	"Male"	"University of Maine"	2053	15483
"1967"	"Gender"	"Princeton University"	0	15483
"1967"	"Female"	"University of California-Berkeley"	1312	15483
"1968"	"Gender"	"University of Maine"	0	10813
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	10813
"1968"	"Male"	"Harvard University"	2155	10813
"1968"	"Gender"	"University of Rhode Island"	0	10813
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	10813
"1968"	"Male"	"Northeastern University"	0	10813
"1968"	"Female"	"George Mason University"	0	10813
"1968"	"Male"	"Tufts University"	0	10813
"1968"	"Gender"	"Stanford University"	0	10813
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	10813
"1968"	"Female"	"Harvard University"	0	10813
"1968"	"Male"	"University of California-Berkeley"	1312	10813
"1968"	"Male"	"University of Maine"	0	10813
"1968"	"Female"	"University of California-Berkeley"	0	10813
"1968"	"Gender"	"Tufts University"	0	10813
"1968"	"Female"	"University of Maine"	0	10813
"1968"	"Female"	"Ball State University"	0	10813
"1968"	"Male"	"Stanford University"	1305	10813
"1968"	"Gender"	"University of California-Berkeley"	0	10813
"1968"	"Male"	"George Mason University"	0	10813
"1968"	"Female"	"Stanford University"	0	10813
"1968"	"Male"	"Ball State University"	0	10813
"1968"	"Female"	"Tufts University"	0	10813
"1968"	"Female"	"University of Rhode Island"	0	10813
"1968"	"Gender"	"Princeton University"	0	10813
"1968"	"Male"	"University of Rhode Island"	3414	10813
"1968"	"Female"	"Northeastern University"	0	10813
"1968"	"Male"	"Princeton University"	2627	10813
"1968"	"Gender"	"Ball State University"	0	10813
"1968"	"Female"	"Princeton University"	0	10813
"1968"	"Gender"	"George Mason University"	0	10813
"1968"	"Gender"	"Northeastern University"	0	10813
"1968"	"Gender"	"Harvard University"	0	10813
"1969"	"Gender"	"Stanford University"	0	16844
"1969"	"Gender"	"Tufts University"	0	16844
"1969"	"Male"	"Harvard University"	2155	16844
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	16844
"1969"	"Male"	"University of California-Berkeley"	1312	16844
"1969"	"Female"	"George Mason University"	0	16844
"1969"	"Male"	"Stanford University"	1305	16844
"1969"	"Gender"	"George Mason University"	0	16844
"1969"	"Female"	"Tufts University"	0	16844
"1969"	"Male"	"Northeastern University"	0	16844
"1969"	"Gender"	"University of Maine"	0	16844
"1969"	"Female"	"Princeton University"	0	16844
"1969"	"Male"	"University of Maine"	0	16844
"1969"	"Female"	"University of Maine"	0	16844
"1969"	"Gender"	"Northeastern University"	0	16844
"1969"	"Male"	"Tufts University"	0	16844
"1969"	"Gender"	"University of California-Berkeley"	0	16844
"1969"	"Gender"	"Princeton University"	0	16844
"1969"	"Female"	"Harvard University"	0	16844
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	16844
"1969"	"Gender"	"Harvard University"	0	16844
"1969"	"Female"	"University of California-Berkeley"	1312	16844
"1969"	"Male"	"Princeton University"	2627	16844
"1969"	"Female"	"Ball State University"	0	16844
"1969"	"Female"	"Stanford University"	1305	16844
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	16844
"1969"	"Male"	"George Mason University"	0	16844
"1969"	"Female"	"University of Rhode Island"	3414	16844
"1969"	"Male"	"Ball State University"	0	16844
"1969"	"Gender"	"University of Rhode Island"	0	16844
"1969"	"Gender"	"Ball State University"	0	16844
"1969"	"Male"	"University of Rhode Island"	3414	16844
"1969"	"Female"	"Northeastern University"	0	16844
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	34510
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	34510
"1970"	"Male"	"University of Maine"	2053	34510
"1970"	"Female"	"University of Rhode Island"	0	34510
"1970"	"Gender"	"University of Maine"	0	34510
"1970"	"Gender"	"University of Rhode Island"	0	34510
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	34510
"1970"	"Female"	"Ball State University"	0	34510
"1970"	"Gender"	"Ball State University"	0	34510
"1970"	"Male"	"University of Rhode Island"	3414	34510
"1970"	"Gender"	"Northeastern University"	0	34510
"1970"	"Female"	"George Mason University"	0	34510
"1970"	"Male"	"Tufts University"	0	34510
"1970"	"Female"	"Stanford University"	1305	34510
"1970"	"Female"	"Tufts University"	0	34510
"1970"	"Male"	"Northeastern University"	0	34510
"1970"	"Gender"	"Stanford University"	0	34510
"1970"	"Gender"	"George Mason University"	0	34510
"1970"	"Female"	"University of California-Berkeley"	0	34510
"1970"	"Gender"	"Tufts University"	0	34510
"1970"	"Male"	"Ball State University"	0	34510
"1970"	"Female"	"Princeton University"	0	34510
"1970"	"Male"	"Stanford University"	1305	34510
"1970"	"Male"	"George Mason University"	0	34510
"1970"	"Gender"	"University of California-Berkeley"	0	34510
"1970"	"Male"	"Harvard University"	2155	34510
"1970"	"Male"	"University of California-Berkeley"	1312	34510
"1970"	"Gender"	"Princeton University"	0	34510
"1970"	"Female"	"Harvard University"	2155	34510
"1970"	"Gender"	"Harvard University"	0	34510
"1970"	"Female"	"Northeastern University"	0	34510
"1970"	"Male"	"Princeton University"	2627	34510
"1970"	"Female"	"University of Maine"	0	34510
"1971"	"Male"	"Northeastern University"	0	38041
"1971"	"Gender"	"Tufts University"	0	38041
