"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	0	2985
"1966"	"Male"	"Life Sciences"	0	2985
"1966"	"Female"	"Foreign Languages"	31	2985
"1966"	"Female"	"Social Service Professions"	0	2985
"1966"	"Female"	"Business"	0	2985
"1966"	"Male"	"Political Science and Public Administration"	149	2985
"1966"	"Male"	"Agriculture"	0	2985
"1966"	"Female"	"Math"	0	2985
"1966"	"Female"	"Education"	5	2985
"1966"	"Male"	"Social Service Professions"	0	2985
"1966"	"Male"	"Business"	1	2985
"1966"	"Female"	"Psychology"	0	2985
"1966"	"Female"	"History"	1	2985
"1966"	"Male"	"Math"	36	2985
"1966"	"Male"	"Education"	0	2985
"1966"	"Female"	"Sociology"	0	2985
"1966"	"Female"	"Other/Unknown"	0	2985
"1966"	"Male"	"Anthropology"	0	2985
"1966"	"Male"	"History"	9	2985
"1966"	"Female"	"Social Sciences, Other"	0	2985
"1966"	"Female"	"Religion"	0	2985
"1966"	"Male"	"Communication and Librarianship"	0	2985
"1966"	"Male"	"Other/Unknown"	21	2985
"1966"	"Female"	"Area and Ethnic Studies"	0	2985
"1966"	"Female"	"Vocational Studies and Home Economics"	0	2985
"1966"	"Male"	"Engineering"	689	2985
"1966"	"Male"	"Religion"	0	2985
"1966"	"Female"	"Computer Science"	0	2985
"1966"	"Female"	"Physical Sciences"	0	2985
"1966"	"Male"	"Humanities, Other"	0	2985
"1966"	"Male"	"Vocational Studies and Home Economics"	0	2985
"1966"	"Female"	"English and Literature"	0	2985
"1966"	"Male"	"Art/Architecture"	0	2985
"1966"	"Male"	"Physical Sciences"	1963	2985
"1966"	"Female"	"Art/Architecture"	0	2985
"1966"	"Female"	"Life Sciences"	0	2985
"1966"	"Male"	"Economics"	0	2985
"1966"	"Male"	"Social Sciences, Other"	61	2985
"1966"	"Female"	"Economics"	0	2985
"1966"	"Female"	"Political Science and Public Administration"	2	2985
"1966"	"Male"	"Foreign Languages"	15	2985
"1966"	"Male"	"Psychology"	0	2985
"1966"	"Female"	"Communication and Librarianship"	0	2985
"1966"	"Female"	"Anthropology"	0	2985
"1966"	"Male"	"Sociology"	0	2985
"1966"	"Female"	"Engineering"	0	2985
"1966"	"Male"	"Area and Ethnic Studies"	0	2985
"1966"	"Female"	"Humanities, Other"	0	2985
"1966"	"Male"	"Computer Science"	2	2985
"1966"	"Male"	"English and Literature"	0	2985
"1967"	"Male"	"Life Sciences"	0	3203
"1967"	"Male"	"Political Science and Public Administration"	183	3203
"1967"	"Female"	"Agriculture"	0	3203
"1967"	"Male"	"Social Service Professions"	0	3203
"1967"	"Female"	"Business"	0	3203
"1967"	"Male"	"Math"	52	3203
"1967"	"Male"	"Education"	0	3203
"1967"	"Female"	"Education"	0	3203
"1967"	"Male"	"Anthropology"	0	3203
"1967"	"Female"	"English and Literature"	0	3203
"1967"	"Male"	"History"	10	3203
"1967"	"Female"	"History"	1	3203
"1967"	"Male"	"Communication and Librarianship"	0	3203
"1967"	"Male"	"Foreign Languages"	14	3203
"1967"	"Female"	"Life Sciences"	0	3203
"1967"	"Female"	"Humanities, Other"	0	3203
"1967"	"Male"	"Engineering"	716	3203
"1967"	"Female"	"Anthropology"	0	3203
"1967"	"Female"	"Computer Science"	0	3203
"1967"	"Female"	"Foreign Languages"	29	3203
"1967"	"Male"	"Humanities, Other"	0	3203
"1967"	"Female"	"Communication and Librarianship"	0	3203
"1967"	"Male"	"Economics"	12	3203
"1967"	"Male"	"Agriculture"	0	3203
"1967"	"Male"	"Computer Science"	16	3203
"1967"	"Female"	"Art/Architecture"	0	3203
"1967"	"Female"	"Religion"	0	3203
"1967"	"Male"	"Business"	26	3203
"1967"	"Male"	"English and Literature"	0	3203
"1967"	"Female"	"Economics"	0	3203
"1967"	"Female"	"Vocational Studies and Home Economics"	0	3203
"1967"	"Male"	"Art/Architecture"	0	3203
"1967"	"Male"	"Religion"	0	3203
"1967"	"Female"	"Sociology"	1	3203
"1967"	"Male"	"Area and Ethnic Studies"	0	3203
"1967"	"Female"	"Other/Unknown"	7	3203
"1967"	"Male"	"Vocational Studies and Home Economics"	0	3203
"1967"	"Female"	"Area and Ethnic Studies"	0	3203
"1967"	"Female"	"Math"	0	3203
"1967"	"Male"	"Physical Sciences"	2062	3203
"1967"	"Male"	"Sociology"	0	3203
"1967"	"Female"	"Political Science and Public Administration"	2	3203
"1967"	"Female"	"Psychology"	0	3203
"1967"	"Male"	"Social Sciences, Other"	49	3203
"1967"	"Female"	"Physical Sciences"	0	3203
"1967"	"Female"	"Social Service Professions"	0	3203
"1967"	"Male"	"Psychology"	10	3203
"1967"	"Female"	"Engineering"	0	3203
"1967"	"Female"	"Social Sciences, Other"	2	3203
"1967"	"Male"	"Other/Unknown"	11	3203
"1968"	"Male"	"Political Science and Public Administration"	210	3388
"1968"	"Male"	"Life Sciences"	0	3388
"1968"	"Female"	"History"	0	3388
"1968"	"Female"	"Education"	0	3388
"1968"	"Male"	"History"	20	3388
"1968"	"Male"	"Humanities, Other"	0	3388
"1968"	"Male"	"Communication and Librarianship"	0	3388
"1968"	"Female"	"Vocational Studies and Home Economics"	0	3388
"1968"	"Male"	"Social Service Professions"	0	3388
"1968"	"Female"	"Computer Science"	0	3388
"1968"	"Male"	"Engineering"	760	3388
"1968"	"Male"	"Anthropology"	0	3388
"1968"	"Female"	"Agriculture"	0	3388
"1968"	"Female"	"English and Literature"	0	3388
"1968"	"Female"	"Foreign Languages"	28	3388
"1968"	"Female"	"Art/Architecture"	0	3388
"1968"	"Female"	"Religion"	0	3388
"1968"	"Female"	"Life Sciences"	0	3388
"1968"	"Female"	"Area and Ethnic Studies"	0	3388
"1968"	"Female"	"Economics"	0	3388
"1968"	"Male"	"Social Sciences, Other"	82	3388
"1968"	"Male"	"Math"	41	3388
"1968"	"Male"	"Art/Architecture"	0	3388
"1968"	"Male"	"Education"	0	3388
"1968"	"Male"	"Area and Ethnic Studies"	0	3388
"1968"	"Female"	"Business"	0	3388
"1968"	"Male"	"Economics"	14	3388
"1968"	"Male"	"Vocational Studies and Home Economics"	0	3388
"1968"	"Male"	"Agriculture"	0	3388
"1968"	"Male"	"Physical Sciences"	2122	3388
"1968"	"Male"	"Foreign Languages"	20	3388
"1968"	"Male"	"Psychology"	20	3388
"1968"	"Male"	"Business"	13	3388
"1968"	"Female"	"Psychology"	0	3388
"1968"	"Female"	"Anthropology"	0	3388
"1968"	"Male"	"Sociology"	0	3388
"1968"	"Male"	"Religion"	0	3388
"1968"	"Female"	"Sociology"	0	3388
"1968"	"Female"	"Other/Unknown"	16	3388
"1968"	"Female"	"Physical Sciences"	0	3388
"1968"	"Female"	"Social Service Professions"	0	3388
"1968"	"Male"	"Other/Unknown"	10	3388
"1968"	"Female"	"Math"	1	3388
"1968"	"Male"	"Computer Science"	28	3388
"1968"	"Female"	"Communication and Librarianship"	0	3388
"1968"	"Female"	"Political Science and Public Administration"	1	3388
"1968"	"Female"	"Humanities, Other"	0	3388
"1968"	"Male"	"English and Literature"	0	3388
"1968"	"Female"	"Engineering"	0	3388
"1968"	"Female"	"Social Sciences, Other"	2	3388
"1969"	"Male"	"Life Sciences"	0	3369
"1969"	"Female"	"Life Sciences"	0	3369
"1969"	"Female"	"Education"	0	3369
"1969"	"Male"	"History"	23	3369
"1969"	"Female"	"English and Literature"	0	3369
"1969"	"Female"	"History"	0	3369
"1969"	"Male"	"Engineering"	791	3369
"1969"	"Female"	"Business"	0	3369
"1969"	"Female"	"Art/Architecture"	0	3369
"1969"	"Female"	"Humanities, Other"	0	3369
"1969"	"Male"	"English and Literature"	2	3369
"1969"	"Male"	"Physical Sciences"	2046	3369
"1969"	"Female"	"Agriculture"	0	3369
"1969"	"Female"	"Political Science and Public Administration"	2	3369
"1969"	"Male"	"Art/Architecture"	0	3369
"1969"	"Female"	"Economics"	0	3369
"1969"	"Female"	"Other/Unknown"	0	3369
"1969"	"Male"	"Economics"	33	3369
"1969"	"Male"	"Political Science and Public Administration"	134	3369
"1969"	"Male"	"Humanities, Other"	0	3369
"1969"	"Female"	"Math"	0	3369
"1969"	"Male"	"Foreign Languages"	38	3369
"1969"	"Male"	"Social Service Professions"	0	3369
