"year"	"gender"	"field"	"count"
1968	"Female"	"Agriculture"	8
1969	"Female"	"Agriculture"	10
1968	"Male"	"Agriculture"	130
1969	"Male"	"Agriculture"	193
1968	"Female"	"Anthropology"	10
1969	"Female"	"Anthropology"	13
1968	"Male"	"Anthropology"	4
1969	"Male"	"Anthropology"	7
1968	"Female"	"Area and Ethnic Studies"	1
1969	"Female"	"Area and Ethnic Studies"	12
1968	"Male"	"Area and Ethnic Studies"	2
1969	"Male"	"Area and Ethnic Studies"	4
1968	"Female"	"Art/Architecture"	43
1969	"Female"	"Art/Architecture"	71
1968	"Male"	"Art/Architecture"	90
1969	"Male"	"Art/Architecture"	115
1968	"Female"	"Business"	34
1969	"Female"	"Business"	25
1968	"Male"	"Business"	587
1969	"Male"	"Business"	887
1968	"Female"	"Communication and Library Science"	43
1969	"Female"	"Communication and Library Science"	30
1968	"Male"	"Communication and Library Science"	48
1969	"Male"	"Communication and Library Science"	53
1968	"Female"	"Computer Science"	3
1969	"Female"	"Computer Science"	8
1968	"Male"	"Computer Science"	6
1969	"Male"	"Computer Science"	29
1968	"Female"	"Economics"	4
1969	"Female"	"Economics"	14
1968	"Male"	"Economics"	41
1969	"Male"	"Economics"	68
1968	"Female"	"Education"	494
1969	"Female"	"Education"	603
1968	"Male"	"Education"	122
1969	"Male"	"Education"	188
1968	"Female"	"Engineering"	3
1969	"Female"	"Engineering"	8
1968	"Male"	"Engineering"	629
1969	"Male"	"Engineering"	772
1968	"Female"	"English and Literature"	190
1969	"Female"	"English and Literature"	225
1968	"Male"	"English and Literature"	74
1969	"Male"	"English and Literature"	101
1968	"Female"	"Foreign Languages"	84
1969	"Female"	"Foreign Languages"	115
1968	"Male"	"Foreign Languages"	34
1969	"Male"	"Foreign Languages"	29
1968	"Female"	"History"	44
1969	"Female"	"History"	38
1968	"Male"	"History"	78
1969	"Male"	"History"	101
1968	"Female"	"Humanities, Other"	5
1969	"Female"	"Humanities, Other"	7
1968	"Male"	"Humanities, Other"	9
1969	"Male"	"Humanities, Other"	14
1968	"Female"	"Life Sciences"	75
1969	"Female"	"Life Sciences"	94
1968	"Male"	"Life Sciences"	156
1969	"Male"	"Life Sciences"	155
1968	"Female"	"Math"	38
1969	"Female"	"Math"	39
1968	"Male"	"Math"	62
1969	"Male"	"Math"	67
1968	"Female"	"Other/Unknown"	9
1969	"Female"	"Other/Unknown"	8
1968	"Male"	"Other/Unknown"	55
1969	"Male"	"Other/Unknown"	42
1968	"Female"	"Physical Sciences"	98
1969	"Female"	"Physical Sciences"	102
1968	"Male"	"Physical Sciences"	335
1969	"Male"	"Physical Sciences"	478
1968	"Female"	"Political Science and Public Administration"	32
1969	"Female"	"Political Science and Public Administration"	23
1968	"Male"	"Political Science and Public Administration"	89
1969	"Male"	"Political Science and Public Administration"	127
1968	"Female"	"Psychology"	76
1969	"Female"	"Psychology"	86
1968	"Male"	"Psychology"	120
1969	"Male"	"Psychology"	131
1968	"Female"	"Social Sciences, Other"	18
1969	"Female"	"Social Sciences, Other"	50
1968	"Male"	"Social Sciences, Other"	78
1969	"Male"	"Social Sciences, Other"	133
1968	"Female"	"Social Service Professions"	43
1969	"Female"	"Social Service Professions"	71
1968	"Male"	"Social Service Professions"	11
1969	"Male"	"Social Service Professions"	6
1968	"Female"	"Sociology"	21
1969	"Female"	"Sociology"	23
1968	"Male"	"Sociology"	12
1969	"Male"	"Sociology"	12
1968	"Female"	"Vocational Studies and Home Economics"	124
1969	"Female"	"Vocational Studies and Home Economics"	148
1968	"Male"	"Vocational Studies and Home Economics"	41
1969	"Male"	"Vocational Studies and Home Economics"	25
