"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	4
1967	"Female"	"Agriculture"	10
1970	"Female"	"Agriculture"	9
1971	"Female"	"Agriculture"	10
1972	"Female"	"Agriculture"	10
1973	"Female"	"Agriculture"	21
1974	"Female"	"Agriculture"	39
1975	"Female"	"Agriculture"	53
1976	"Female"	"Agriculture"	67
1977	"Female"	"Agriculture"	85
1978	"Female"	"Agriculture"	118
1979	"Female"	"Agriculture"	179
1980	"Female"	"Agriculture"	162
1981	"Female"	"Agriculture"	151
1982	"Female"	"Agriculture"	172
1983	"Female"	"Agriculture"	186
1984	"Female"	"Agriculture"	162
1985	"Female"	"Agriculture"	114
1986	"Female"	"Agriculture"	119
1987	"Female"	"Agriculture"	81
1988	"Female"	"Agriculture"	102
1989	"Female"	"Agriculture"	106
1990	"Female"	"Agriculture"	97
1991	"Female"	"Agriculture"	89
1992	"Female"	"Agriculture"	90
1993	"Female"	"Agriculture"	102
1994	"Female"	"Agriculture"	107
1995	"Female"	"Agriculture"	147
1996	"Female"	"Agriculture"	171
1997	"Female"	"Agriculture"	164
1998	"Female"	"Agriculture"	161
1999	"Female"	"Agriculture"	165
2000	"Female"	"Agriculture"	147
2001	"Female"	"Agriculture"	162
2002	"Female"	"Agriculture"	158
2003	"Female"	"Agriculture"	162
2004	"Female"	"Agriculture"	146
2005	"Female"	"Agriculture"	151
2006	"Female"	"Agriculture"	130
2007	"Female"	"Agriculture"	137
2008	"Female"	"Agriculture"	134
2009	"Female"	"Agriculture"	148
2010	"Female"	"Agriculture"	136
2011	"Female"	"Agriculture"	166
1966	"Male"	"Agriculture"	121
1967	"Male"	"Agriculture"	142
1970	"Male"	"Agriculture"	169
1971	"Male"	"Agriculture"	160
1972	"Male"	"Agriculture"	175
1973	"Male"	"Agriculture"	209
1974	"Male"	"Agriculture"	241
1975	"Male"	"Agriculture"	317
1976	"Male"	"Agriculture"	341
1977	"Male"	"Agriculture"	444
1978	"Male"	"Agriculture"	403
1979	"Male"	"Agriculture"	367
1980	"Male"	"Agriculture"	388
1981	"Male"	"Agriculture"	287
1982	"Male"	"Agriculture"	328
1983	"Male"	"Agriculture"	283
1984	"Male"	"Agriculture"	241
1985	"Male"	"Agriculture"	182
1986	"Male"	"Agriculture"	196
1987	"Male"	"Agriculture"	173
1988	"Male"	"Agriculture"	171
1989	"Male"	"Agriculture"	131
1990	"Male"	"Agriculture"	155
1991	"Male"	"Agriculture"	141
1992	"Male"	"Agriculture"	149
1993	"Male"	"Agriculture"	160
1994	"Male"	"Agriculture"	195
1995	"Male"	"Agriculture"	212
1996	"Male"	"Agriculture"	210
1997	"Male"	"Agriculture"	241
1998	"Male"	"Agriculture"	195
1999	"Male"	"Agriculture"	190
2000	"Male"	"Agriculture"	213
2001	"Male"	"Agriculture"	173
2002	"Male"	"Agriculture"	157
2003	"Male"	"Agriculture"	156
2004	"Male"	"Agriculture"	137
2005	"Male"	"Agriculture"	135
2006	"Male"	"Agriculture"	134
2007	"Male"	"Agriculture"	128
2008	"Male"	"Agriculture"	101
2009	"Male"	"Agriculture"	108
2010	"Male"	"Agriculture"	133
2011	"Male"	"Agriculture"	146
1966	"Female"	"Anthropology"	8
1967	"Female"	"Anthropology"	2
1970	"Female"	"Anthropology"	10
1971	"Female"	"Anthropology"	18
1972	"Female"	"Anthropology"	23
1973	"Female"	"Anthropology"	19
1974	"Female"	"Anthropology"	24
1975	"Female"	"Anthropology"	25
1976	"Female"	"Anthropology"	23
1977	"Female"	"Anthropology"	23
1978	"Female"	"Anthropology"	18
1979	"Female"	"Anthropology"	21
1980	"Female"	"Anthropology"	8
1981	"Female"	"Anthropology"	13
1982	"Female"	"Anthropology"	12
1983	"Female"	"Anthropology"	6
1984	"Female"	"Anthropology"	5
1985	"Female"	"Anthropology"	11
1986	"Female"	"Anthropology"	13
1987	"Female"	"Anthropology"	13
1988	"Female"	"Anthropology"	11
1989	"Female"	"Anthropology"	12
1990	"Female"	"Anthropology"	9
1991	"Female"	"Anthropology"	8
1992	"Female"	"Anthropology"	12
1993	"Female"	"Anthropology"	18
1994	"Female"	"Anthropology"	11
1995	"Female"	"Anthropology"	11
1996	"Female"	"Anthropology"	15
1997	"Female"	"Anthropology"	22
1998	"Female"	"Anthropology"	17
1999	"Female"	"Anthropology"	26
2000	"Female"	"Anthropology"	18
2001	"Female"	"Anthropology"	13
2002	"Female"	"Anthropology"	9
2003	"Female"	"Anthropology"	24
2004	"Female"	"Anthropology"	21
2005	"Female"	"Anthropology"	25
2006	"Female"	"Anthropology"	27
2007	"Female"	"Anthropology"	31
2008	"Female"	"Anthropology"	22
2009	"Female"	"Anthropology"	31
2010	"Female"	"Anthropology"	18
2011	"Female"	"Anthropology"	29
1966	"Male"	"Anthropology"	5
1967	"Male"	"Anthropology"	5
1970	"Male"	"Anthropology"	18
1971	"Male"	"Anthropology"	15
1972	"Male"	"Anthropology"	17
1973	"Male"	"Anthropology"	24
1974	"Male"	"Anthropology"	17
1975	"Male"	"Anthropology"	12
1976	"Male"	"Anthropology"	17
1977	"Male"	"Anthropology"	20
1978	"Male"	"Anthropology"	19
1979	"Male"	"Anthropology"	13
1980	"Male"	"Anthropology"	5
1981	"Male"	"Anthropology"	10
1982	"Male"	"Anthropology"	7
1983	"Male"	"Anthropology"	5
1984	"Male"	"Anthropology"	6
1985	"Male"	"Anthropology"	6
1986	"Male"	"Anthropology"	2
1987	"Male"	"Anthropology"	4
1988	"Male"	"Anthropology"	2
1989	"Male"	"Anthropology"	13
1990	"Male"	"Anthropology"	5
1991	"Male"	"Anthropology"	5
1992	"Male"	"Anthropology"	8
1993	"Male"	"Anthropology"	5
1994	"Male"	"Anthropology"	5
1995	"Male"	"Anthropology"	12
1996	"Male"	"Anthropology"	14
1997	"Male"	"Anthropology"	10
1998	"Male"	"Anthropology"	20
1999	"Male"	"Anthropology"	12
2000	"Male"	"Anthropology"	18
2001	"Male"	"Anthropology"	12
2002	"Male"	"Anthropology"	10
2003	"Male"	"Anthropology"	10
2004	"Male"	"Anthropology"	10
2005	"Male"	"Anthropology"	9
2006	"Male"	"Anthropology"	7
2007	"Male"	"Anthropology"	13
2008	"Male"	"Anthropology"	14
2009	"Male"	"Anthropology"	25
2010	"Male"	"Anthropology"	7
2011	"Male"	"Anthropology"	18
1966	"Female"	"Area and Ethnic Studies"	2
1967	"Female"	"Area and Ethnic Studies"	1
1970	"Female"	"Area and Ethnic Studies"	6
1971	"Female"	"Area and Ethnic Studies"	14
