"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	0
1972	"Female"	"Anthropology"	1
1973	"Female"	"Anthropology"	2
1974	"Female"	"Anthropology"	6
1975	"Female"	"Anthropology"	6
1976	"Female"	"Anthropology"	7
1977	"Female"	"Anthropology"	2
1978	"Female"	"Anthropology"	3
1979	"Female"	"Anthropology"	1
1980	"Female"	"Anthropology"	4
1981	"Female"	"Anthropology"	3
1982	"Female"	"Anthropology"	2
1983	"Female"	"Anthropology"	4
1984	"Female"	"Anthropology"	9
1985	"Female"	"Anthropology"	5
1986	"Female"	"Anthropology"	1
1987	"Female"	"Anthropology"	2
1988	"Female"	"Anthropology"	25
1989	"Female"	"Anthropology"	4
1990	"Female"	"Anthropology"	11
1991	"Female"	"Anthropology"	13
1992	"Female"	"Anthropology"	24
1993	"Female"	"Anthropology"	27
1994	"Female"	"Anthropology"	21
1995	"Female"	"Anthropology"	7
1996	"Female"	"Anthropology"	17
1997	"Female"	"Anthropology"	19
1998	"Female"	"Anthropology"	14
1999	"Female"	"Anthropology"	23
2000	"Female"	"Anthropology"	15
2001	"Female"	"Anthropology"	13
2002	"Female"	"Anthropology"	23
2003	"Female"	"Anthropology"	18
2004	"Female"	"Anthropology"	24
2005	"Female"	"Anthropology"	10
2006	"Female"	"Anthropology"	30
2007	"Female"	"Anthropology"	30
2008	"Female"	"Anthropology"	19
2009	"Female"	"Anthropology"	23
2010	"Female"	"Anthropology"	34
2011	"Female"	"Anthropology"	23
1966	"Male"	"Anthropology"	0
1967	"Male"	"Anthropology"	0
1968	"Male"	"Anthropology"	0
1969	"Male"	"Anthropology"	0
1970	"Male"	"Anthropology"	0
1971	"Male"	"Anthropology"	0
1972	"Male"	"Anthropology"	9
1973	"Male"	"Anthropology"	8
1974	"Male"	"Anthropology"	6
1975	"Male"	"Anthropology"	2
1976	"Male"	"Anthropology"	6
1977	"Male"	"Anthropology"	3
1978	"Male"	"Anthropology"	5
1979	"Male"	"Anthropology"	1
1980	"Male"	"Anthropology"	0
1981	"Male"	"Anthropology"	6
1982	"Male"	"Anthropology"	2
1983	"Male"	"Anthropology"	5
1984	"Male"	"Anthropology"	5
1985	"Male"	"Anthropology"	2
1986	"Male"	"Anthropology"	2
1987	"Male"	"Anthropology"	1
1988	"Male"	"Anthropology"	15
1989	"Male"	"Anthropology"	0
1990	"Male"	"Anthropology"	13
1991	"Male"	"Anthropology"	7
1992	"Male"	"Anthropology"	10
1993	"Male"	"Anthropology"	10
1994	"Male"	"Anthropology"	8
1995	"Male"	"Anthropology"	8
1996	"Male"	"Anthropology"	4
1997	"Male"	"Anthropology"	3
1998	"Male"	"Anthropology"	4
1999	"Male"	"Anthropology"	7
2000	"Male"	"Anthropology"	1
2001	"Male"	"Anthropology"	3
2002	"Male"	"Anthropology"	6
2003	"Male"	"Anthropology"	9
2004	"Male"	"Anthropology"	5
2005	"Male"	"Anthropology"	7
2006	"Male"	"Anthropology"	11
