"year"	"gender"	"field"	"count"
1967	"Female"	"Agriculture"	5
1968	"Female"	"Agriculture"	8
1969	"Female"	"Agriculture"	14
1970	"Female"	"Agriculture"	14
1971	"Female"	"Agriculture"	13
1972	"Female"	"Agriculture"	19
1973	"Female"	"Agriculture"	24
1974	"Female"	"Agriculture"	40
1975	"Female"	"Agriculture"	61
1976	"Female"	"Agriculture"	76
1977	"Female"	"Agriculture"	95
1978	"Female"	"Agriculture"	76
1979	"Female"	"Agriculture"	111
1980	"Female"	"Agriculture"	136
1981	"Female"	"Agriculture"	135
1982	"Female"	"Agriculture"	123
1983	"Female"	"Agriculture"	175
1984	"Female"	"Agriculture"	119
1985	"Female"	"Agriculture"	116
1986	"Female"	"Agriculture"	90
1987	"Female"	"Agriculture"	95
1988	"Female"	"Agriculture"	87
1989	"Female"	"Agriculture"	73
1990	"Female"	"Agriculture"	68
1991	"Female"	"Agriculture"	64
1992	"Female"	"Agriculture"	97
1993	"Female"	"Agriculture"	103
1994	"Female"	"Agriculture"	89
1995	"Female"	"Agriculture"	139
1996	"Female"	"Agriculture"	121
1997	"Female"	"Agriculture"	145
1998	"Female"	"Agriculture"	158
1999	"Female"	"Agriculture"	158
2000	"Female"	"Agriculture"	143
2001	"Female"	"Agriculture"	176
2002	"Female"	"Agriculture"	154
2003	"Female"	"Agriculture"	148
2004	"Female"	"Agriculture"	165
2005	"Female"	"Agriculture"	145
2006	"Female"	"Agriculture"	147
2007	"Female"	"Agriculture"	157
2008	"Female"	"Agriculture"	148
2009	"Female"	"Agriculture"	155
2010	"Female"	"Agriculture"	168
2011	"Female"	"Agriculture"	178
1967	"Male"	"Agriculture"	157
1968	"Male"	"Agriculture"	184
1969	"Male"	"Agriculture"	206
1970	"Male"	"Agriculture"	229
1971	"Male"	"Agriculture"	206
1972	"Male"	"Agriculture"	201
1973	"Male"	"Agriculture"	271
1974	"Male"	"Agriculture"	294
1975	"Male"	"Agriculture"	301
1976	"Male"	"Agriculture"	313
1977	"Male"	"Agriculture"	316
1978	"Male"	"Agriculture"	334
1979	"Male"	"Agriculture"	257
1980	"Male"	"Agriculture"	301
1981	"Male"	"Agriculture"	240
1982	"Male"	"Agriculture"	220
1983	"Male"	"Agriculture"	227
1984	"Male"	"Agriculture"	173
1985	"Male"	"Agriculture"	162
1986	"Male"	"Agriculture"	168
1987	"Male"	"Agriculture"	127
1988	"Male"	"Agriculture"	106
1989	"Male"	"Agriculture"	109
1990	"Male"	"Agriculture"	111
1991	"Male"	"Agriculture"	116
