"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	0	2219
"1966"	"Female"	"Princeton University"	0	2219
"1966"	"Male"	"University of California-Berkeley"	0	2219
"1966"	"Male"	"Holy Cross College"	0	2219
"1966"	"Gender"	"Princeton University"	0	2219
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	2219
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	2219
"1966"	"Female"	"Northeastern University"	0	2219
"1966"	"Female"	"Brandeis University"	0	2219
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	2219
"1966"	"Female"	"George Mason University"	0	2219
"1966"	"Male"	"Northeastern University"	0	2219
"1966"	"Gender"	"Stanford University"	0	2219
"1966"	"Male"	"Stanford University"	0	2219
"1966"	"Gender"	"University of California-Berkeley"	0	2219
"1966"	"Male"	"Brandeis University"	0	2219
"1966"	"Female"	"Emerson College"	0	2219
"1966"	"Gender"	"Ball State University"	0	2219
"1966"	"Female"	"Harvard University"	0	2219
"1966"	"Male"	"Princeton University"	0	2219
"1966"	"Gender"	"Emerson College"	0	2219
"1966"	"Male"	"Tufts University"	2219	2219
"1966"	"Female"	"Stanford University"	0	2219
"1966"	"Gender"	"Northeastern University"	0	2219
"1966"	"Female"	"University of California-Berkeley"	0	2219
"1966"	"Gender"	"Brandeis University"	0	2219
"1966"	"Female"	"Holy Cross College"	0	2219
"1966"	"Gender"	"George Mason University"	0	2219
"1966"	"Gender"	"Tufts University"	0	2219
"1966"	"Female"	"Tufts University"	0	2219
"1966"	"Male"	"George Mason University"	0	2219
"1966"	"Gender"	"Harvard University"	0	2219
"1966"	"Male"	"Emerson College"	0	2219
"1966"	"Male"	"Ball State University"	0	2219
"1966"	"Male"	"Harvard University"	0	2219
"1966"	"Gender"	"Holy Cross College"	0	2219
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	2219
"1967"	"Gender"	"Princeton University"	0	2219
"1967"	"Female"	"Princeton University"	0	2219
"1967"	"Female"	"George Mason University"	0	2219
"1967"	"Gender"	"Brandeis University"	0	2219
"1967"	"Female"	"Ball State University"	0	2219
"1967"	"Gender"	"University of California-Berkeley"	0	2219
"1967"	"Male"	"Holy Cross College"	0	2219
"1967"	"Gender"	"Ball State University"	0	2219
"1967"	"Male"	"University of California-Berkeley"	0	2219
"1967"	"Male"	"Princeton University"	0	2219
"1967"	"Female"	"Northeastern University"	0	2219
"1967"	"Male"	"Tufts University"	2219	2219
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	2219
"1967"	"Gender"	"Northeastern University"	0	2219
"1967"	"Male"	"Northeastern University"	0	2219
"1967"	"Male"	"Harvard University"	0	2219
"1967"	"Male"	"Stanford University"	0	2219
"1967"	"Gender"	"George Mason University"	0	2219
"1967"	"Male"	"Brandeis University"	0	2219
"1967"	"Female"	"Tufts University"	0	2219
"1967"	"Female"	"Emerson College"	0	2219
"1967"	"Gender"	"Harvard University"	0	2219
"1967"	"Gender"	"Tufts University"	0	2219
"1967"	"Gender"	"Emerson College"	0	2219
"1967"	"Male"	"Ball State University"	0	2219
"1967"	"Male"	"George Mason University"	0	2219
"1967"	"Female"	"Stanford University"	0	2219
"1967"	"Female"	"University of California-Berkeley"	0	2219
"1967"	"Male"	"Emerson College"	0	2219
"1967"	"Female"	"Holy Cross College"	0	2219
"1967"	"Female"	"Harvard University"	0	2219
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	2219
"1967"	"Female"	"Brandeis University"	0	2219
"1967"	"Gender"	"Holy Cross College"	0	2219
"1967"	"Gender"	"Stanford University"	0	2219
"1971"	"Male"	"Holy Cross College"	0	30500
"1971"	"Male"	"Northeastern University"	0	30500
"1971"	"Gender"	"Brandeis University"	0	30500
"1971"	"Female"	"Princeton University"	2627	30500
"1971"	"Female"	"Northeastern University"	0	30500
"1971"	"Male"	"Princeton University"	2627	30500
"1971"	"Female"	"George Mason University"	0	30500
"1971"	"Female"	"Emerson College"	0	30500
"1971"	"Gender"	"George Mason University"	0	30500
