"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	84
1967	"Female"	"Agriculture"	93
1968	"Female"	"Agriculture"	154
1969	"Female"	"Agriculture"	230
1970	"Female"	"Agriculture"	274
1971	"Female"	"Agriculture"	275
1972	"Female"	"Agriculture"	402
1973	"Female"	"Agriculture"	584
1974	"Female"	"Agriculture"	874
1975	"Female"	"Agriculture"	1259
1976	"Female"	"Agriculture"	1676
1977	"Female"	"Agriculture"	2211
1978	"Female"	"Agriculture"	2528
1979	"Female"	"Agriculture"	2809
1980	"Female"	"Agriculture"	2993
1981	"Female"	"Agriculture"	2942
1982	"Female"	"Agriculture"	2783
1983	"Female"	"Agriculture"	3016
1984	"Female"	"Agriculture"	2641
1985	"Female"	"Agriculture"	2339
1986	"Female"	"Agriculture"	2103
1987	"Female"	"Agriculture"	1847
1988	"Female"	"Agriculture"	1784
1989	"Female"	"Agriculture"	1601
1990	"Female"	"Agriculture"	1591
1991	"Female"	"Agriculture"	1668
1992	"Female"	"Agriculture"	1926
1993	"Female"	"Agriculture"	2117
1994	"Female"	"Agriculture"	2363
1995	"Female"	"Agriculture"	2683
1996	"Female"	"Agriculture"	2977
1997	"Female"	"Agriculture"	3197
1998	"Female"	"Agriculture"	3464
1999	"Female"	"Agriculture"	3642
2000	"Female"	"Agriculture"	3674
2001	"Female"	"Agriculture"	3668
2002	"Female"	"Agriculture"	3734
2003	"Female"	"Agriculture"	3889
2004	"Female"	"Agriculture"	3740
2005	"Female"	"Agriculture"	3844
2006	"Female"	"Agriculture"	3820
2007	"Female"	"Agriculture"	3912
2008	"Female"	"Agriculture"	3898
2009	"Female"	"Agriculture"	4209
2010	"Female"	"Agriculture"	4569
2011	"Female"	"Agriculture"	4905
1966	"Male"	"Agriculture"	3184
1967	"Male"	"Agriculture"	3616
1968	"Male"	"Agriculture"	3806
1969	"Male"	"Agriculture"	4503
1970	"Male"	"Agriculture"	4880
1971	"Male"	"Agriculture"	4512
1972	"Male"	"Agriculture"	4993
1973	"Male"	"Agriculture"	5523
1974	"Male"	"Agriculture"	5926
1975	"Male"	"Agriculture"	6373
1976	"Male"	"Agriculture"	6557
1977	"Male"	"Agriculture"	6920
1978	"Male"	"Agriculture"	6769
1979	"Male"	"Agriculture"	6467
1980	"Male"	"Agriculture"	6109
1981	"Male"	"Agriculture"	5558
1982	"Male"	"Agriculture"	5188
1983	"Male"	"Agriculture"	4579
1984	"Male"	"Agriculture"	3990
1985	"Male"	"Agriculture"	3808
1986	"Male"	"Agriculture"	3360
1987	"Male"	"Agriculture"	2910
1988	"Male"	"Agriculture"	2711
1989	"Male"	"Agriculture"	2434
1990	"Male"	"Agriculture"	2468
1991	"Male"	"Agriculture"	2412
1992	"Male"	"Agriculture"	2682
1993	"Male"	"Agriculture"	3030
1994	"Male"	"Agriculture"	3378
1995	"Male"	"Agriculture"	3707
1996	"Male"	"Agriculture"	4044
1997	"Male"	"Agriculture"	4127
1998	"Male"	"Agriculture"	4107
1999	"Male"	"Agriculture"	3931
2000	"Male"	"Agriculture"	3615
2001	"Male"	"Agriculture"	3432
2002	"Male"	"Agriculture"	3225
2003	"Male"	"Agriculture"	3387
2004	"Male"	"Agriculture"	3208
2005	"Male"	"Agriculture"	3253
2006	"Male"	"Agriculture"	3300
2007	"Male"	"Agriculture"	3456
2008	"Male"	"Agriculture"	3446
2009	"Male"	"Agriculture"	3593
2010	"Male"	"Agriculture"	3683
2011	"Male"	"Agriculture"	4078
1966	"Female"	"Anthropology"	408
1967	"Female"	"Anthropology"	427
1968	"Female"	"Anthropology"	602
1969	"Female"	"Anthropology"	793
1970	"Female"	"Anthropology"	962
1971	"Female"	"Anthropology"	1092
1972	"Female"	"Anthropology"	1165
1973	"Female"	"Anthropology"	1328
1974	"Female"	"Anthropology"	1398
1975	"Female"	"Anthropology"	1332
1976	"Female"	"Anthropology"	1238
1977	"Female"	"Anthropology"	1125
1978	"Female"	"Anthropology"	978
1979	"Female"	"Anthropology"	889
1980	"Female"	"Anthropology"	791
1981	"Female"	"Anthropology"	744
1982	"Female"	"Anthropology"	706
1983	"Female"	"Anthropology"	622
1984	"Female"	"Anthropology"	584
1985	"Female"	"Anthropology"	565
1986	"Female"	"Anthropology"	547
1987	"Female"	"Anthropology"	599
1988	"Female"	"Anthropology"	661
1989	"Female"	"Anthropology"	678
1990	"Female"	"Anthropology"	784
1991	"Female"	"Anthropology"	977
1992	"Female"	"Anthropology"	1106
1993	"Female"	"Anthropology"	1230
1994	"Female"	"Anthropology"	1227
1995	"Female"	"Anthropology"	1361
1996	"Female"	"Anthropology"	1410
1997	"Female"	"Anthropology"	1538
1998	"Female"	"Anthropology"	1597
1999	"Female"	"Anthropology"	1675
2000	"Female"	"Anthropology"	1679
2001	"Female"	"Anthropology"	1704
2002	"Female"	"Anthropology"	1687
2003	"Female"	"Anthropology"	1832
2004	"Female"	"Anthropology"	1843
2005	"Female"	"Anthropology"	1904
2006	"Female"	"Anthropology"	1893
2007	"Female"	"Anthropology"	1864
2008	"Female"	"Anthropology"	2022
2009	"Female"	"Anthropology"	2103
2010	"Female"	"Anthropology"	2155
2011	"Female"	"Anthropology"	2345
1966	"Male"	"Anthropology"	279
1967	"Male"	"Anthropology"	354
1968	"Male"	"Anthropology"	438
1969	"Male"	"Anthropology"	587
1970	"Male"	"Anthropology"	709
1971	"Male"	"Anthropology"	791
1972	"Male"	"Anthropology"	949
1973	"Male"	"Anthropology"	958
1974	"Male"	"Anthropology"	1020
1975	"Male"	"Anthropology"	925
1976	"Male"	"Anthropology"	812
1977	"Male"	"Anthropology"	738
1978	"Male"	"Anthropology"	604
1979	"Male"	"Anthropology"	561
1980	"Male"	"Anthropology"	430
1981	"Male"	"Anthropology"	426
1982	"Male"	"Anthropology"	403
1983	"Male"	"Anthropology"	334
1984	"Male"	"Anthropology"	336
1985	"Male"	"Anthropology"	334
1986	"Male"	"Anthropology"	347
1987	"Male"	"Anthropology"	326
1988	"Male"	"Anthropology"	386
1989	"Male"	"Anthropology"	414
1990	"Male"	"Anthropology"	477
1991	"Male"	"Anthropology"	545
1992	"Male"	"Anthropology"	584
1993	"Male"	"Anthropology"	691
1994	"Male"	"Anthropology"	765
1995	"Male"	"Anthropology"	809
1996	"Male"	"Anthropology"	877
1997	"Male"	"Anthropology"	899
1998	"Male"	"Anthropology"	885
1999	"Male"	"Anthropology"	937
2000	"Male"	"Anthropology"	859
2001	"Male"	"Anthropology"	792
2002	"Male"	"Anthropology"	828
2003	"Male"	"Anthropology"	852
2004	"Male"	"Anthropology"	835
2005	"Male"	"Anthropology"	836
2006	"Male"	"Anthropology"	904
2007	"Male"	"Anthropology"	864
2008	"Male"	"Anthropology"	957
2009	"Male"	"Anthropology"	965
2010	"Male"	"Anthropology"	1028
2011	"Male"	"Anthropology"	1103
1966	"Female"	"Area and Ethnic Studies"	170
1967	"Female"	"Area and Ethnic Studies"	186
1968	"Female"	"Area and Ethnic Studies"	224
1969	"Female"	"Area and Ethnic Studies"	298
1970	"Female"	"Area and Ethnic Studies"	294
1971	"Female"	"Area and Ethnic Studies"	329
1972	"Female"	"Area and Ethnic Studies"	358
1973	"Female"	"Area and Ethnic Studies"	377
1974	"Female"	"Area and Ethnic Studies"	395
1975	"Female"	"Area and Ethnic Studies"	414
1976	"Female"	"Area and Ethnic Studies"	417
1977	"Female"	"Area and Ethnic Studies"	434
1978	"Female"	"Area and Ethnic Studies"	436
1979	"Female"	"Area and Ethnic Studies"	366
1980	"Female"	"Area and Ethnic Studies"	356
1981	"Female"	"Area and Ethnic Studies"	397
1982	"Female"	"Area and Ethnic Studies"	415
1983	"Female"	"Area and Ethnic Studies"	452
1984	"Female"	"Area and Ethnic Studies"	385
1985	"Female"	"Area and Ethnic Studies"	412
1986	"Female"	"Area and Ethnic Studies"	443
