"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	88	143255
"1966"	"Male"	"Life Sciences"	7428	143255
"1966"	"Female"	"Foreign Languages"	3433	143255
"1966"	"Female"	"Social Service Professions"	552	143255
"1966"	"Female"	"Business"	1263	143255
"1966"	"Male"	"Political Science and Public Administration"	5013	143255
"1966"	"Male"	"Agriculture"	3324	143255
"1966"	"Female"	"Math"	1497	143255
"1966"	"Female"	"Education"	14364	143255
"1966"	"Male"	"Social Service Professions"	219	143255
"1966"	"Male"	"Business"	16173	143255
"1966"	"Female"	"Psychology"	1910	143255
"1966"	"Female"	"History"	2547	143255
"1966"	"Male"	"Math"	3235	143255
"1966"	"Male"	"Education"	4232	143255
"1966"	"Female"	"Sociology"	2065	143255
"1966"	"Female"	"Other/Unknown"	341	143255
"1966"	"Male"	"Anthropology"	374	143255
"1966"	"Male"	"History"	4918	143255
"1966"	"Female"	"Social Sciences, Other"	1557	143255
"1966"	"Female"	"Religion"	0	143255
"1966"	"Male"	"Communication and Librarianship"	933	143255
"1966"	"Male"	"Other/Unknown"	804	143255
"1966"	"Female"	"Area and Ethnic Studies"	247	143255
"1966"	"Female"	"Vocational Studies and Home Economics"	2173	143255
"1966"	"Male"	"Engineering"	17057	143255
"1966"	"Male"	"Religion"	3	143255
"1966"	"Female"	"Computer Science"	2	143255
"1966"	"Female"	"Physical Sciences"	1016	143255
"1966"	"Male"	"Humanities, Other"	791	143255
"1966"	"Male"	"Vocational Studies and Home Economics"	60	143255
"1966"	"Female"	"English and Literature"	6307	143255
"1966"	"Male"	"Art/Architecture"	3853	143255
"1966"	"Male"	"Physical Sciences"	5785	143255
"1966"	"Female"	"Art/Architecture"	3364	143255
"1966"	"Female"	"Life Sciences"	6689	143255
"1966"	"Male"	"Economics"	3810	143255
"1966"	"Male"	"Social Sciences, Other"	2178	143255
"1966"	"Female"	"Economics"	297	143255
"1966"	"Female"	"Political Science and Public Administration"	1549	143255
"1966"	"Male"	"Foreign Languages"	1378	143255
"1966"	"Male"	"Psychology"	3092	143255
"1966"	"Female"	"Communication and Librarianship"	748	143255
"1966"	"Female"	"Anthropology"	477	143255
"1966"	"Male"	"Sociology"	1476	143255
"1966"	"Female"	"Engineering"	305	143255
"1966"	"Male"	"Area and Ethnic Studies"	369	143255
"1966"	"Female"	"Humanities, Other"	245	143255
"1966"	"Male"	"Computer Science"	23	143255
"1966"	"Male"	"English and Literature"	3691	143255
"1967"	"Male"	"Life Sciences"	8306	153776
"1967"	"Male"	"Political Science and Public Administration"	5661	153776
"1967"	"Female"	"Agriculture"	100	153776
"1967"	"Male"	"Social Service Professions"	137	153776
"1967"	"Female"	"Business"	1341	153776
"1967"	"Male"	"Math"	3468	153776
"1967"	"Male"	"Education"	4352	153776
"1967"	"Female"	"Education"	14510	153776
"1967"	"Male"	"Anthropology"	460	153776
"1967"	"Female"	"English and Literature"	6772	153776
"1967"	"Male"	"History"	5531	153776
"1967"	"Female"	"History"	2749	153776
"1967"	"Male"	"Communication and Librarianship"	1079	153776
"1967"	"Male"	"Foreign Languages"	1474	153776
"1967"	"Female"	"Life Sciences"	7227	153776
"1967"	"Female"	"Humanities, Other"	278	153776
"1967"	"Male"	"Engineering"	16859	153776
"1967"	"Female"	"Anthropology"	529	153776
"1967"	"Female"	"Computer Science"	5	153776
"1967"	"Female"	"Foreign Languages"	3726	153776
"1967"	"Male"	"Humanities, Other"	928	153776
"1967"	"Female"	"Communication and Librarianship"	861	153776
"1967"	"Male"	"Economics"	4171	153776
"1967"	"Male"	"Agriculture"	3776	153776
"1967"	"Male"	"Computer Science"	78	153776
"1967"	"Female"	"Art/Architecture"	3869	153776
"1967"	"Female"	"Religion"	0	153776
"1967"	"Male"	"Business"	17652	153776
"1967"	"Male"	"English and Literature"	3985	153776
"1967"	"Female"	"Economics"	389	153776
"1967"	"Female"	"Vocational Studies and Home Economics"	2389	153776
"1967"	"Male"	"Art/Architecture"	4334	153776
"1967"	"Male"	"Religion"	8	153776
"1967"	"Female"	"Sociology"	2440	153776
"1967"	"Male"	"Area and Ethnic Studies"	371	153776
"1967"	"Female"	"Other/Unknown"	299	153776
"1967"	"Male"	"Vocational Studies and Home Economics"	88	153776
"1967"	"Female"	"Area and Ethnic Studies"	281	153776
"1967"	"Female"	"Math"	1506	153776
"1967"	"Male"	"Physical Sciences"	6168	153776
"1967"	"Male"	"Sociology"	1576	153776
"1967"	"Female"	"Political Science and Public Administration"	1653	153776
"1967"	"Female"	"Psychology"	2206	153776
"1967"	"Male"	"Social Sciences, Other"	2132	153776
"1967"	"Female"	"Physical Sciences"	1120	153776
"1967"	"Female"	"Social Service Professions"	679	153776
"1967"	"Male"	"Psychology"	3618	153776
"1967"	"Female"	"Engineering"	319	153776
"1967"	"Female"	"Social Sciences, Other"	1556	153776
"1967"	"Male"	"Other/Unknown"	760	153776
"1968"	"Male"	"Political Science and Public Administration"	6240	171903
"1968"	"Male"	"Life Sciences"	8906	171903
"1968"	"Female"	"History"	3100	171903
"1968"	"Female"	"Education"	17316	171903
"1968"	"Male"	"History"	5948	171903
"1968"	"Male"	"Humanities, Other"	965	171903
"1968"	"Male"	"Communication and Librarianship"	1375	171903
"1968"	"Female"	"Vocational Studies and Home Economics"	2788	171903
"1968"	"Male"	"Social Service Professions"	158	171903
"1968"	"Female"	"Computer Science"	25	171903
"1968"	"Male"	"Engineering"	17769	171903
"1968"	"Male"	"Anthropology"	554	171903
"1968"	"Female"	"Agriculture"	161	171903
"1968"	"Female"	"English and Literature"	7596	171903
"1968"	"Female"	"Foreign Languages"	4106	171903
"1968"	"Female"	"Art/Architecture"	4646	171903
"1968"	"Female"	"Religion"	0	171903
"1968"	"Female"	"Life Sciences"	7842	171903
"1968"	"Female"	"Area and Ethnic Studies"	353	171903
"1968"	"Female"	"Economics"	502	171903
"1968"	"Male"	"Social Sciences, Other"	2345	171903
"1968"	"Male"	"Math"	3548	171903
"1968"	"Male"	"Art/Architecture"	5050	171903
"1968"	"Male"	"Education"	4804	171903
"1968"	"Male"	"Area and Ethnic Studies"	590	171903
"1968"	"Female"	"Business"	1490	171903
"1968"	"Male"	"Economics"	4799	171903
"1968"	"Male"	"Vocational Studies and Home Economics"	83	171903
"1968"	"Male"	"Agriculture"	3982	171903
"1968"	"Male"	"Physical Sciences"	6601	171903
"1968"	"Male"	"Foreign Languages"	1502	171903
"1968"	"Male"	"Psychology"	4262	171903
"1968"	"Male"	"Business"	18770	171903
"1968"	"Female"	"Psychology"	2921	171903
"1968"	"Female"	"Anthropology"	701	171903
"1968"	"Male"	"Sociology"	1933	171903
"1968"	"Male"	"Religion"	4	171903
