"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	1
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	3
1970	"Female"	"Agriculture"	1
1971	"Female"	"Agriculture"	1
1972	"Female"	"Agriculture"	7
1973	"Female"	"Agriculture"	20
1974	"Female"	"Agriculture"	5
1975	"Female"	"Agriculture"	6
1976	"Female"	"Agriculture"	6
1977	"Female"	"Agriculture"	11
1978	"Female"	"Agriculture"	5
1979	"Female"	"Agriculture"	11
1980	"Female"	"Agriculture"	10
1981	"Female"	"Agriculture"	36
1982	"Female"	"Agriculture"	20
1983	"Female"	"Agriculture"	24
1984	"Female"	"Agriculture"	10
1985	"Female"	"Agriculture"	15
1986	"Female"	"Agriculture"	15
1987	"Female"	"Agriculture"	17
1988	"Female"	"Agriculture"	15
1989	"Female"	"Agriculture"	14
1990	"Female"	"Agriculture"	9
1991	"Female"	"Agriculture"	7
1992	"Female"	"Agriculture"	22
1993	"Female"	"Agriculture"	14
1994	"Female"	"Agriculture"	28
1995	"Female"	"Agriculture"	30
1996	"Female"	"Agriculture"	35
1997	"Female"	"Agriculture"	40
1998	"Female"	"Agriculture"	53
1999	"Female"	"Agriculture"	46
2000	"Female"	"Agriculture"	54
2001	"Female"	"Agriculture"	63
2002	"Female"	"Agriculture"	80
2003	"Female"	"Agriculture"	30
2004	"Female"	"Agriculture"	45
2005	"Female"	"Agriculture"	40
2006	"Female"	"Agriculture"	43
2007	"Female"	"Agriculture"	25
2008	"Female"	"Agriculture"	25
2009	"Female"	"Agriculture"	42
2010	"Female"	"Agriculture"	63
2011	"Female"	"Agriculture"	71
1966	"Male"	"Agriculture"	35
1967	"Male"	"Agriculture"	45
1968	"Male"	"Agriculture"	40
1969	"Male"	"Agriculture"	47
1970	"Male"	"Agriculture"	74
1971	"Male"	"Agriculture"	36
1972	"Male"	"Agriculture"	45
1973	"Male"	"Agriculture"	68
1974	"Male"	"Agriculture"	35
1975	"Male"	"Agriculture"	59
1976	"Male"	"Agriculture"	44
1977	"Male"	"Agriculture"	59
1978	"Male"	"Agriculture"	55
1979	"Male"	"Agriculture"	50
1980	"Male"	"Agriculture"	48
1981	"Male"	"Agriculture"	48
1982	"Male"	"Agriculture"	63
1983	"Male"	"Agriculture"	45
1984	"Male"	"Agriculture"	37
1985	"Male"	"Agriculture"	30
1986	"Male"	"Agriculture"	27
1987	"Male"	"Agriculture"	35
1988	"Male"	"Agriculture"	26
1989	"Male"	"Agriculture"	17
1990	"Male"	"Agriculture"	20
1991	"Male"	"Agriculture"	19
1992	"Male"	"Agriculture"	14
1993	"Male"	"Agriculture"	22
1994	"Male"	"Agriculture"	30
1995	"Male"	"Agriculture"	49
1996	"Male"	"Agriculture"	32
1997	"Male"	"Agriculture"	45
1998	"Male"	"Agriculture"	33
1999	"Male"	"Agriculture"	43
2000	"Male"	"Agriculture"	48
2001	"Male"	"Agriculture"	42
2002	"Male"	"Agriculture"	51
2003	"Male"	"Agriculture"	34
2004	"Male"	"Agriculture"	33
2005	"Male"	"Agriculture"	33
2006	"Male"	"Agriculture"	25
2007	"Male"	"Agriculture"	18
2008	"Male"	"Agriculture"	31
2009	"Male"	"Agriculture"	31
2010	"Male"	"Agriculture"	44
2011	"Male"	"Agriculture"	70
1966	"Female"	"Anthropology"	31
1967	"Female"	"Anthropology"	28
1968	"Female"	"Anthropology"	42
1969	"Female"	"Anthropology"	67
1970	"Female"	"Anthropology"	63
1971	"Female"	"Anthropology"	67
1972	"Female"	"Anthropology"	59
1973	"Female"	"Anthropology"	66
1974	"Female"	"Anthropology"	46
1975	"Female"	"Anthropology"	56
1976	"Female"	"Anthropology"	55
1977	"Female"	"Anthropology"	47
1978	"Female"	"Anthropology"	50
1979	"Female"	"Anthropology"	41
1980	"Female"	"Anthropology"	38
1981	"Female"	"Anthropology"	43
1982	"Female"	"Anthropology"	31
1983	"Female"	"Anthropology"	35
1984	"Female"	"Anthropology"	38
1985	"Female"	"Anthropology"	35
1986	"Female"	"Anthropology"	28
1987	"Female"	"Anthropology"	24
1988	"Female"	"Anthropology"	28
1989	"Female"	"Anthropology"	39
1990	"Female"	"Anthropology"	41
1991	"Female"	"Anthropology"	50
1992	"Female"	"Anthropology"	60
1993	"Female"	"Anthropology"	43
1994	"Female"	"Anthropology"	67
1995	"Female"	"Anthropology"	72
1996	"Female"	"Anthropology"	69
1997	"Female"	"Anthropology"	69
1998	"Female"	"Anthropology"	87
1999	"Female"	"Anthropology"	108
2000	"Female"	"Anthropology"	120
2001	"Female"	"Anthropology"	121
2002	"Female"	"Anthropology"	136
2003	"Female"	"Anthropology"	138
2004	"Female"	"Anthropology"	125
2005	"Female"	"Anthropology"	136
2006	"Female"	"Anthropology"	149
2007	"Female"	"Anthropology"	157
2008	"Female"	"Anthropology"	155
2009	"Female"	"Anthropology"	138
2010	"Female"	"Anthropology"	118
2011	"Female"	"Anthropology"	143
1966	"Male"	"Anthropology"	23
1967	"Male"	"Anthropology"	24
1968	"Male"	"Anthropology"	29
1969	"Male"	"Anthropology"	35
1970	"Male"	"Anthropology"	44
1971	"Male"	"Anthropology"	46
1972	"Male"	"Anthropology"	62
1973	"Male"	"Anthropology"	69
1974	"Male"	"Anthropology"	55
1975	"Male"	"Anthropology"	56
1976	"Male"	"Anthropology"	54
1977	"Male"	"Anthropology"	40
1978	"Male"	"Anthropology"	33
1979	"Male"	"Anthropology"	26
1980	"Male"	"Anthropology"	21
1981	"Male"	"Anthropology"	28
1982	"Male"	"Anthropology"	28
1983	"Male"	"Anthropology"	28
1984	"Male"	"Anthropology"	30
1985	"Male"	"Anthropology"	25
1986	"Male"	"Anthropology"	16
1987	"Male"	"Anthropology"	18
1988	"Male"	"Anthropology"	15
1989	"Male"	"Anthropology"	27
1990	"Male"	"Anthropology"	34
1991	"Male"	"Anthropology"	27
1992	"Male"	"Anthropology"	31
1993	"Male"	"Anthropology"	38
1994	"Male"	"Anthropology"	36
1995	"Male"	"Anthropology"	49
1996	"Male"	"Anthropology"	38
1997	"Male"	"Anthropology"	43
1998	"Male"	"Anthropology"	36
1999	"Male"	"Anthropology"	52
2000	"Male"	"Anthropology"	42
2001	"Male"	"Anthropology"	27
2002	"Male"	"Anthropology"	52
2003	"Male"	"Anthropology"	37
2004	"Male"	"Anthropology"	67
2005	"Male"	"Anthropology"	56
2006	"Male"	"Anthropology"	47
2007	"Male"	"Anthropology"	57
2008	"Male"	"Anthropology"	52
2009	"Male"	"Anthropology"	45
2010	"Male"	"Anthropology"	40
2011	"Male"	"Anthropology"	42
1966	"Female"	"Area and Ethnic Studies"	37
1967	"Female"	"Area and Ethnic Studies"	41
1968	"Female"	"Area and Ethnic Studies"	42
1969	"Female"	"Area and Ethnic Studies"	32
1970	"Female"	"Area and Ethnic Studies"	44
1971	"Female"	"Area and Ethnic Studies"	46
1972	"Female"	"Area and Ethnic Studies"	64
1973	"Female"	"Area and Ethnic Studies"	100
1974	"Female"	"Area and Ethnic Studies"	93
1975	"Female"	"Area and Ethnic Studies"	78
1976	"Female"	"Area and Ethnic Studies"	96
1977	"Female"	"Area and Ethnic Studies"	109
1978	"Female"	"Area and Ethnic Studies"	128
1979	"Female"	"Area and Ethnic Studies"	115
1980	"Female"	"Area and Ethnic Studies"	104
1981	"Female"	"Area and Ethnic Studies"	103
1982	"Female"	"Area and Ethnic Studies"	90
1983	"Female"	"Area and Ethnic Studies"	103
1984	"Female"	"Area and Ethnic Studies"	81
1985	"Female"	"Area and Ethnic Studies"	99
1986	"Female"	"Area and Ethnic Studies"	94
1987	"Female"	"Area and Ethnic Studies"	88
1988	"Female"	"Area and Ethnic Studies"	132
1989	"Female"	"Area and Ethnic Studies"	157
1990	"Female"	"Area and Ethnic Studies"	156
1991	"Female"	"Area and Ethnic Studies"	181
1992	"Female"	"Area and Ethnic Studies"	118
1993	"Female"	"Area and Ethnic Studies"	105
1994	"Female"	"Area and Ethnic Studies"	129
1995	"Female"	"Area and Ethnic Studies"	124
1996	"Female"	"Area and Ethnic Studies"	127
1997	"Female"	"Area and Ethnic Studies"	130
1998	"Female"	"Area and Ethnic Studies"	148
1999	"Female"	"Area and Ethnic Studies"	138
2000	"Female"	"Area and Ethnic Studies"	133
2001	"Female"	"Area and Ethnic Studies"	173
2002	"Female"	"Area and Ethnic Studies"	159
2003	"Female"	"Area and Ethnic Studies"	154
2004	"Female"	"Area and Ethnic Studies"	182
2005	"Female"	"Area and Ethnic Studies"	181
2006	"Female"	"Area and Ethnic Studies"	150
2007	"Female"	"Area and Ethnic Studies"	162
2008	"Female"	"Area and Ethnic Studies"	141
2009	"Female"	"Area and Ethnic Studies"	156
2010	"Female"	"Area and Ethnic Studies"	158
2011	"Female"	"Area and Ethnic Studies"	178
1966	"Male"	"Area and Ethnic Studies"	47
1967	"Male"	"Area and Ethnic Studies"	44
1968	"Male"	"Area and Ethnic Studies"	55
1969	"Male"	"Area and Ethnic Studies"	56
1970	"Male"	"Area and Ethnic Studies"	69
1971	"Male"	"Area and Ethnic Studies"	74
1972	"Male"	"Area and Ethnic Studies"	79
1973	"Male"	"Area and Ethnic Studies"	145
1974	"Male"	"Area and Ethnic Studies"	145
1975	"Male"	"Area and Ethnic Studies"	116
1976	"Male"	"Area and Ethnic Studies"	146
1977	"Male"	"Area and Ethnic Studies"	117
1978	"Male"	"Area and Ethnic Studies"	115
1979	"Male"	"Area and Ethnic Studies"	110
1980	"Male"	"Area and Ethnic Studies"	110
1981	"Male"	"Area and Ethnic Studies"	112
1982	"Male"	"Area and Ethnic Studies"	120
1983	"Male"	"Area and Ethnic Studies"	97
1984	"Male"	"Area and Ethnic Studies"	106
1985	"Male"	"Area and Ethnic Studies"	107
