"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	19
1967	"Female"	"Agriculture"	26
1968	"Female"	"Agriculture"	33
1969	"Female"	"Agriculture"	34
1970	"Female"	"Agriculture"	56
1971	"Female"	"Agriculture"	63
1972	"Female"	"Agriculture"	58
1973	"Female"	"Agriculture"	132
1974	"Female"	"Agriculture"	139
1975	"Female"	"Agriculture"	193
1976	"Female"	"Agriculture"	321
1977	"Female"	"Agriculture"	436
1978	"Female"	"Agriculture"	537
1979	"Female"	"Agriculture"	593
1980	"Female"	"Agriculture"	596
1981	"Female"	"Agriculture"	652
1982	"Female"	"Agriculture"	587
1983	"Female"	"Agriculture"	673
1984	"Female"	"Agriculture"	548
1985	"Female"	"Agriculture"	476
1986	"Female"	"Agriculture"	465
1987	"Female"	"Agriculture"	419
1988	"Female"	"Agriculture"	398
1989	"Female"	"Agriculture"	377
1990	"Female"	"Agriculture"	337
1991	"Female"	"Agriculture"	378
1992	"Female"	"Agriculture"	460
1993	"Female"	"Agriculture"	500
1994	"Female"	"Agriculture"	576
1995	"Female"	"Agriculture"	641
1996	"Female"	"Agriculture"	733
1997	"Female"	"Agriculture"	826
1998	"Female"	"Agriculture"	910
1999	"Female"	"Agriculture"	1081
2000	"Female"	"Agriculture"	1067
2001	"Female"	"Agriculture"	1086
2002	"Female"	"Agriculture"	1036
2003	"Female"	"Agriculture"	1175
2004	"Female"	"Agriculture"	1172
2005	"Female"	"Agriculture"	1127
2006	"Female"	"Agriculture"	1195
2007	"Female"	"Agriculture"	1189
2008	"Female"	"Agriculture"	1315
2009	"Female"	"Agriculture"	1263
2010	"Female"	"Agriculture"	1377
2011	"Female"	"Agriculture"	1591
1966	"Male"	"Agriculture"	1023
1967	"Male"	"Agriculture"	1014
1968	"Male"	"Agriculture"	1008
1969	"Male"	"Agriculture"	1265
1970	"Male"	"Agriculture"	1531
1971	"Male"	"Agriculture"	1390
1972	"Male"	"Agriculture"	1394
1973	"Male"	"Agriculture"	1615
1974	"Male"	"Agriculture"	1578
1975	"Male"	"Agriculture"	1723
1976	"Male"	"Agriculture"	1791
1977	"Male"	"Agriculture"	1896
1978	"Male"	"Agriculture"	1819
1979	"Male"	"Agriculture"	1872
