"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	20	46136
"1966"	"Male"	"Life Sciences"	2109	46136
"1966"	"Female"	"Foreign Languages"	809	46136
"1966"	"Female"	"Social Service Professions"	70	46136
"1966"	"Female"	"Business"	482	46136
"1966"	"Male"	"Political Science and Public Administration"	1348	46136
"1966"	"Male"	"Agriculture"	1058	46136
"1966"	"Female"	"Math"	484	46136
"1966"	"Female"	"Education"	5810	46136
"1966"	"Male"	"Social Service Professions"	16	46136
"1966"	"Male"	"Business"	6957	46136
"1966"	"Female"	"Psychology"	537	46136
"1966"	"Female"	"History"	611	46136
"1966"	"Male"	"Math"	1159	46136
"1966"	"Male"	"Education"	2011	46136
"1966"	"Female"	"Sociology"	680	46136
"1966"	"Female"	"Other/Unknown"	161	46136
"1966"	"Male"	"Anthropology"	83	46136
"1966"	"Male"	"History"	1246	46136
"1966"	"Female"	"Social Sciences, Other"	335	46136
"1966"	"Female"	"Religion"	0	46136
"1966"	"Male"	"Communication and Librarianship"	371	46136
"1966"	"Male"	"Other/Unknown"	346	46136
"1966"	"Female"	"Area and Ethnic Studies"	54	46136
"1966"	"Female"	"Vocational Studies and Home Economics"	884	46136
"1966"	"Male"	"Engineering"	5631	46136
"1966"	"Male"	"Religion"	2	46136
"1966"	"Female"	"Computer Science"	1	46136
"1966"	"Female"	"Physical Sciences"	319	46136
"1966"	"Male"	"Humanities, Other"	202	46136
"1966"	"Male"	"Vocational Studies and Home Economics"	24	46136
"1966"	"Female"	"English and Literature"	1681	46136
"1966"	"Male"	"Art/Architecture"	1329	46136
"1966"	"Male"	"Physical Sciences"	1710	46136
"1966"	"Female"	"Art/Architecture"	817	46136
"1966"	"Female"	"Life Sciences"	1381	46136
"1966"	"Male"	"Economics"	923	46136
"1966"	"Male"	"Social Sciences, Other"	869	46136
"1966"	"Female"	"Economics"	62	46136
"1966"	"Female"	"Political Science and Public Administration"	315	46136
"1966"	"Male"	"Foreign Languages"	381	46136
"1966"	"Male"	"Psychology"	944	46136
"1966"	"Female"	"Communication and Librarianship"	196	46136
"1966"	"Female"	"Anthropology"	77	46136
"1966"	"Male"	"Sociology"	559	46136
"1966"	"Female"	"Engineering"	39	46136
"1966"	"Male"	"Area and Ethnic Studies"	64	46136
"1966"	"Female"	"Humanities, Other"	45	46136
"1966"	"Male"	"Computer Science"	5	46136
"1966"	"Male"	"English and Literature"	919	46136
"1967"	"Male"	"Life Sciences"	2250	49599
"1967"	"Male"	"Political Science and Public Administration"	1574	49599
"1967"	"Female"	"Agriculture"	26	49599
"1967"	"Male"	"Social Service Professions"	34	49599
"1967"	"Female"	"Business"	489	49599
"1967"	"Male"	"Math"	1262	49599
"1967"	"Male"	"Education"	2186	49599
"1967"	"Female"	"Education"	6238	49599
"1967"	"Male"	"Anthropology"	94	49599
"1967"	"Female"	"English and Literature"	1943	49599
"1967"	"Male"	"History"	1490	49599
"1967"	"Female"	"History"	663	49599
"1967"	"Male"	"Communication and Librarianship"	428	49599
"1967"	"Male"	"Foreign Languages"	415	49599
"1967"	"Female"	"Life Sciences"	1285	49599
"1967"	"Female"	"Humanities, Other"	52	49599
"1967"	"Male"	"Engineering"	5691	49599
"1967"	"Female"	"Anthropology"	76	49599
"1967"	"Female"	"Computer Science"	3	49599
"1967"	"Female"	"Foreign Languages"	852	49599
"1967"	"Male"	"Humanities, Other"	223	49599
"1967"	"Female"	"Communication and Librarianship"	250	49599
"1967"	"Male"	"Economics"	1151	49599
"1967"	"Male"	"Agriculture"	1059	49599
"1967"	"Male"	"Computer Science"	14	49599
"1967"	"Female"	"Art/Architecture"	930	49599
"1967"	"Female"	"Religion"	5	49599
"1967"	"Male"	"Business"	7327	49599
"1967"	"Male"	"English and Literature"	1052	49599
"1967"	"Female"	"Economics"	84	49599
"1967"	"Female"	"Vocational Studies and Home Economics"	905	49599
"1967"	"Male"	"Art/Architecture"	1415	49599
"1967"	"Male"	"Religion"	7	49599
"1967"	"Female"	"Sociology"	842	49599
"1967"	"Male"	"Area and Ethnic Studies"	77	49599
"1967"	"Female"	"Other/Unknown"	160	49599
"1967"	"Male"	"Vocational Studies and Home Economics"	17	49599
