"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	3
"1967"	"Female"	"Anthropology"	2
"1968"	"Female"	"Anthropology"	2
"1969"	"Female"	"Anthropology"	2
"1970"	"Female"	"Anthropology"	9
"1971"	"Female"	"Anthropology"	9
"1972"	"Female"	"Anthropology"	3
"1973"	"Female"	"Anthropology"	7
"1974"	"Female"	"Anthropology"	3
"1975"	"Female"	"Anthropology"	4
"1976"	"Female"	"Anthropology"	5
"1977"	"Female"	"Anthropology"	2
"1978"	"Female"	"Anthropology"	1
"1979"	"Female"	"Anthropology"	2
"1980"	"Female"	"Anthropology"	3
"1981"	"Female"	"Anthropology"	2
"1982"	"Female"	"Anthropology"	2
"1983"	"Female"	"Anthropology"	7
"1984"	"Female"	"Anthropology"	7
"1985"	"Female"	"Anthropology"	6
"1986"	"Female"	"Anthropology"	7
"1987"	"Female"	"Anthropology"	6
"1988"	"Female"	"Anthropology"	3
"1989"	"Female"	"Anthropology"	5
"1990"	"Female"	"Anthropology"	4
"1991"	"Female"	"Anthropology"	7
"1992"	"Female"	"Anthropology"	9
"1993"	"Female"	"Anthropology"	3
"1994"	"Female"	"Anthropology"	8
"1995"	"Female"	"Anthropology"	10
"1996"	"Female"	"Anthropology"	4
"1997"	"Female"	"Anthropology"	10
"1998"	"Female"	"Anthropology"	6
"1999"	"Female"	"Anthropology"	6
"2000"	"Female"	"Anthropology"	14
"2001"	"Female"	"Anthropology"	9
"2002"	"Female"	"Anthropology"	6
"2003"	"Female"	"Anthropology"	9
"2004"	"Female"	"Anthropology"	18
"2005"	"Female"	"Anthropology"	13
"2006"	"Female"	"Anthropology"	7
"2007"	"Female"	"Anthropology"	10
"2008"	"Female"	"Anthropology"	7
"2009"	"Female"	"Anthropology"	4
"2010"	"Female"	"Anthropology"	4
"2011"	"Female"	"Anthropology"	8
"1966"	"Male"	"Anthropology"	2
"1967"	"Male"	"Anthropology"	2
"1968"	"Male"	"Anthropology"	1
"1969"	"Male"	"Anthropology"	1
"1970"	"Male"	"Anthropology"	4
"1971"	"Male"	"Anthropology"	9
"1972"	"Male"	"Anthropology"	6
"1973"	"Male"	"Anthropology"	6
"1974"	"Male"	"Anthropology"	4
"1975"	"Male"	"Anthropology"	3
"1976"	"Male"	"Anthropology"	3
"1977"	"Male"	"Anthropology"	2
"1978"	"Male"	"Anthropology"	1
"1979"	"Male"	"Anthropology"	1
"1980"	"Male"	"Anthropology"	0
"1981"	"Male"	"Anthropology"	3
"1982"	"Male"	"Anthropology"	7
"1983"	"Male"	"Anthropology"	4
"1984"	"Male"	"Anthropology"	2
"1985"	"Male"	"Anthropology"	8
"1986"	"Male"	"Anthropology"	6
"1987"	"Male"	"Anthropology"	3
"1988"	"Male"	"Anthropology"	4
"1989"	"Male"	"Anthropology"	4
"1990"	"Male"	"Anthropology"	2
"1991"	"Male"	"Anthropology"	3
"1992"	"Male"	"Anthropology"	3
"1993"	"Male"	"Anthropology"	0
"1994"	"Male"	"Anthropology"	5
"1995"	"Male"	"Anthropology"	3
"1996"	"Male"	"Anthropology"	2
"1997"	"Male"	"Anthropology"	1
"1998"	"Male"	"Anthropology"	2
"1999"	"Male"	"Anthropology"	1
"2000"	"Male"	"Anthropology"	5
"2001"	"Male"	"Anthropology"	0
"2002"	"Male"	"Anthropology"	2
"2003"	"Male"	"Anthropology"	2
"2004"	"Male"	"Anthropology"	4
"2005"	"Male"	"Anthropology"	4
"2006"	"Male"	"Anthropology"	5
"2007"	"Male"	"Anthropology"	6
"2008"	"Male"	"Anthropology"	1
"2009"	"Male"	"Anthropology"	2
"2010"	"Male"	"Anthropology"	0
"2011"	"Male"	"Anthropology"	1
"1966"	"Female"	"Area and Ethnic Studies"	0
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	0
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	0
"1973"	"Female"	"Area and Ethnic Studies"	0
"1974"	"Female"	"Area and Ethnic Studies"	3
"1975"	"Female"	"Area and Ethnic Studies"	0
"1976"	"Female"	"Area and Ethnic Studies"	0
"1977"	"Female"	"Area and Ethnic Studies"	0
"1978"	"Female"	"Area and Ethnic Studies"	0
"1979"	"Female"	"Area and Ethnic Studies"	0
"1980"	"Female"	"Area and Ethnic Studies"	0
"1981"	"Female"	"Area and Ethnic Studies"	0
"1982"	"Female"	"Area and Ethnic Studies"	0
"1983"	"Female"	"Area and Ethnic Studies"	0
"1984"	"Female"	"Area and Ethnic Studies"	0
"1985"	"Female"	"Area and Ethnic Studies"	0
"1986"	"Female"	"Area and Ethnic Studies"	0
"1987"	"Female"	"Area and Ethnic Studies"	0
"1988"	"Female"	"Area and Ethnic Studies"	0
"1989"	"Female"	"Area and Ethnic Studies"	0
"1990"	"Female"	"Area and Ethnic Studies"	0
"1991"	"Female"	"Area and Ethnic Studies"	0
"1992"	"Female"	"Area and Ethnic Studies"	0
"1993"	"Female"	"Area and Ethnic Studies"	0
"1994"	"Female"	"Area and Ethnic Studies"	0
"1995"	"Female"	"Area and Ethnic Studies"	0
"1996"	"Female"	"Area and Ethnic Studies"	2
"1997"	"Female"	"Area and Ethnic Studies"	2
"1998"	"Female"	"Area and Ethnic Studies"	0
"1999"	"Female"	"Area and Ethnic Studies"	0
"2000"	"Female"	"Area and Ethnic Studies"	5
"2001"	"Female"	"Area and Ethnic Studies"	3
"2002"	"Female"	"Area and Ethnic Studies"	5
"2003"	"Female"	"Area and Ethnic Studies"	4
"2004"	"Female"	"Area and Ethnic Studies"	7
"2005"	"Female"	"Area and Ethnic Studies"	4
"2006"	"Female"	"Area and Ethnic Studies"	5
"2007"	"Female"	"Area and Ethnic Studies"	4
"2008"	"Female"	"Area and Ethnic Studies"	3
"2009"	"Female"	"Area and Ethnic Studies"	4
"2010"	"Female"	"Area and Ethnic Studies"	5
"2011"	"Female"	"Area and Ethnic Studies"	2
"1966"	"Male"	"Area and Ethnic Studies"	0
"1967"	"Male"	"Area and Ethnic Studies"	0
"1968"	"Male"	"Area and Ethnic Studies"	0
"1969"	"Male"	"Area and Ethnic Studies"	0
"1970"	"Male"	"Area and Ethnic Studies"	0
"1971"	"Male"	"Area and Ethnic Studies"	0
"1972"	"Male"	"Area and Ethnic Studies"	0
"1973"	"Male"	"Area and Ethnic Studies"	0
"1974"	"Male"	"Area and Ethnic Studies"	4
"1975"	"Male"	"Area and Ethnic Studies"	9
"1976"	"Male"	"Area and Ethnic Studies"	0
"1977"	"Male"	"Area and Ethnic Studies"	0
"1978"	"Male"	"Area and Ethnic Studies"	0
"1979"	"Male"	"Area and Ethnic Studies"	0
"1980"	"Male"	"Area and Ethnic Studies"	0
"1981"	"Male"	"Area and Ethnic Studies"	0
"1982"	"Male"	"Area and Ethnic Studies"	0
"1983"	"Male"	"Area and Ethnic Studies"	0
"1984"	"Male"	"Area and Ethnic Studies"	0
"1985"	"Male"	"Area and Ethnic Studies"	0
"1986"	"Male"	"Area and Ethnic Studies"	0
"1987"	"Male"	"Area and Ethnic Studies"	0
"1988"	"Male"	"Area and Ethnic Studies"	0
"1989"	"Male"	"Area and Ethnic Studies"	0
"1990"	"Male"	"Area and Ethnic Studies"	0
"1991"	"Male"	"Area and Ethnic Studies"	0
"1992"	"Male"	"Area and Ethnic Studies"	0
"1993"	"Male"	"Area and Ethnic Studies"	0
"1994"	"Male"	"Area and Ethnic Studies"	0
"1995"	"Male"	"Area and Ethnic Studies"	0
"1996"	"Male"	"Area and Ethnic Studies"	2
