"year"	"gender"	"field"	"count"	"total"
"1973"	"Female"	"Agriculture"	0	237
"1973"	"Female"	"Math"	3	237
"1973"	"Male"	"Political Science and Public Administration"	12	237
"1973"	"Male"	"Life Sciences"	27	237
"1973"	"Female"	"Life Sciences"	5	237
"1973"	"Male"	"Humanities, Other"	1	237
"1973"	"Male"	"Social Service Professions"	0	237
"1973"	"Female"	"Humanities, Other"	0	237
"1973"	"Male"	"History"	10	237
"1973"	"Female"	"History"	1	237
"1973"	"Female"	"Social Sciences, Other"	2	237
"1973"	"Male"	"Foreign Languages"	0	237
"1973"	"Female"	"Foreign Languages"	0	237
"1973"	"Male"	"English and Literature"	6	237
"1973"	"Female"	"Engineering"	0	237
"1973"	"Female"	"Psychology"	11	237
"1973"	"Female"	"English and Literature"	18	237
"1973"	"Male"	"Engineering"	0	237
"1973"	"Male"	"Economics"	2	237
"1973"	"Female"	"Physical Sciences"	0	237
"1973"	"Male"	"Education"	0	237
"1973"	"Female"	"Education"	0	237
"1973"	"Female"	"Computer Science"	0	237
"1973"	"Male"	"Math"	1	237
"1973"	"Female"	"Economics"	0	237
"1973"	"Male"	"Computer Science"	1	237
"1973"	"Female"	"Communication and Librarianship"	0	237
"1973"	"Male"	"Business"	56	237
"1973"	"Female"	"Sociology"	14	237
"1973"	"Male"	"Communication and Librarianship"	0	237
"1973"	"Male"	"Art/Architecture"	6	237
"1973"	"Female"	"Art/Architecture"	2	237
"1973"	"Male"	"Social Sciences, Other"	17	237
"1973"	"Female"	"Business"	8	237
"1973"	"Female"	"Area and Ethnic Studies"	1	237
"1973"	"Male"	"Agriculture"	0	237
"1973"	"Male"	"Psychology"	13	237
"1973"	"Male"	"Area and Ethnic Studies"	1	237
"1973"	"Male"	"Sociology"	14	237
"1973"	"Male"	"Physical Sciences"	2	237
"1973"	"Female"	"Social Service Professions"	0	237
"1973"	"Female"	"Other/Unknown"	0	237
"1973"	"Female"	"Political Science and Public Administration"	3	237
"1973"	"Male"	"Other/Unknown"	0	237
"1974"	"Female"	"Math"	1	328
"1974"	"Female"	"Social Sciences, Other"	4	328
"1974"	"Female"	"Agriculture"	0	328
"1974"	"Male"	"Political Science and Public Administration"	13	328
"1974"	"Female"	"Psychology"	25	328
"1974"	"Male"	"Social Service Professions"	1	328
"1974"	"Male"	"Math"	1	328
"1974"	"Female"	"Sociology"	17	328
"1974"	"Female"	"Computer Science"	0	328
"1974"	"Male"	"Humanities, Other"	2	328
"1974"	"Female"	"Other/Unknown"	4	328
"1974"	"Male"	"Psychology"	12	328
"1974"	"Female"	"Communication and Librarianship"	0	328
"1974"	"Male"	"Social Sciences, Other"	34	328
"1974"	"Female"	"Life Sciences"	5	328
"1974"	"Male"	"Physical Sciences"	1	328
"1974"	"Female"	"Physical Sciences"	0	328
"1974"	"Female"	"Engineering"	0	328
"1974"	"Female"	"History"	1	328
"1974"	"Female"	"Social Service Professions"	3	328
