"year"	"gender"	"field"	"count"
"1966"	"Female"	"Art/Architecture"	0
"1967"	"Female"	"Art/Architecture"	0
"1968"	"Female"	"Art/Architecture"	0
"1969"	"Female"	"Art/Architecture"	0
"1970"	"Female"	"Art/Architecture"	0
"1971"	"Female"	"Art/Architecture"	0
"1972"	"Female"	"Art/Architecture"	0
"1973"	"Female"	"Art/Architecture"	0
"1974"	"Female"	"Art/Architecture"	0
"1975"	"Female"	"Art/Architecture"	0
"1976"	"Female"	"Art/Architecture"	2
"1977"	"Female"	"Art/Architecture"	4
"1978"	"Female"	"Art/Architecture"	13
"1979"	"Female"	"Art/Architecture"	17
"1980"	"Female"	"Art/Architecture"	17
"1981"	"Female"	"Art/Architecture"	19
"1982"	"Female"	"Art/Architecture"	17
"1983"	"Female"	"Art/Architecture"	24
"1984"	"Female"	"Art/Architecture"	12
"1985"	"Female"	"Art/Architecture"	26
"1986"	"Female"	"Art/Architecture"	32
"1987"	"Female"	"Art/Architecture"	18
"1988"	"Female"	"Art/Architecture"	15
"1989"	"Female"	"Art/Architecture"	26
"1990"	"Female"	"Art/Architecture"	21
"1991"	"Female"	"Art/Architecture"	28
"1992"	"Female"	"Art/Architecture"	28
"1993"	"Female"	"Art/Architecture"	0
"1994"	"Female"	"Art/Architecture"	26
"1995"	"Female"	"Art/Architecture"	26
"1996"	"Female"	"Art/Architecture"	20
"1997"	"Female"	"Art/Architecture"	26
"1998"	"Female"	"Art/Architecture"	18
"1999"	"Female"	"Art/Architecture"	34
"2000"	"Female"	"Art/Architecture"	26
"2001"	"Female"	"Art/Architecture"	28
"2002"	"Female"	"Art/Architecture"	25
"2003"	"Female"	"Art/Architecture"	31
"2004"	"Female"	"Art/Architecture"	27
"2005"	"Female"	"Art/Architecture"	31
"2006"	"Female"	"Art/Architecture"	37
"2007"	"Female"	"Art/Architecture"	28
"2008"	"Female"	"Art/Architecture"	44
"2009"	"Female"	"Art/Architecture"	41
"2010"	"Female"	"Art/Architecture"	20
"2011"	"Female"	"Art/Architecture"	34
"1966"	"Male"	"Art/Architecture"	0
"1967"	"Male"	"Art/Architecture"	0
"1968"	"Male"	"Art/Architecture"	0
"1969"	"Male"	"Art/Architecture"	0
"1970"	"Male"	"Art/Architecture"	0
"1971"	"Male"	"Art/Architecture"	0
"1972"	"Male"	"Art/Architecture"	0
"1973"	"Male"	"Art/Architecture"	0
"1974"	"Male"	"Art/Architecture"	0
"1975"	"Male"	"Art/Architecture"	0
"1976"	"Male"	"Art/Architecture"	0
"1977"	"Male"	"Art/Architecture"	1
"1978"	"Male"	"Art/Architecture"	3
"1979"	"Male"	"Art/Architecture"	7
"1980"	"Male"	"Art/Architecture"	8
"1981"	"Male"	"Art/Architecture"	5
"1982"	"Male"	"Art/Architecture"	9
"1983"	"Male"	"Art/Architecture"	9
"1984"	"Male"	"Art/Architecture"	5
"1985"	"Male"	"Art/Architecture"	4
"1986"	"Male"	"Art/Architecture"	15
"1987"	"Male"	"Art/Architecture"	8
"1988"	"Male"	"Art/Architecture"	12
"1989"	"Male"	"Art/Architecture"	5
"1990"	"Male"	"Art/Architecture"	11
"1991"	"Male"	"Art/Architecture"	9
"1992"	"Male"	"Art/Architecture"	9
"1993"	"Male"	"Art/Architecture"	0
"1994"	"Male"	"Art/Architecture"	21
"1995"	"Male"	"Art/Architecture"	21
"1996"	"Male"	"Art/Architecture"	18
"1997"	"Male"	"Art/Architecture"	19
"1998"	"Male"	"Art/Architecture"	14
"1999"	"Male"	"Art/Architecture"	14
"2000"	"Male"	"Art/Architecture"	15
"2001"	"Male"	"Art/Architecture"	16
"2002"	"Male"	"Art/Architecture"	8
"2003"	"Male"	"Art/Architecture"	19
"2004"	"Male"	"Art/Architecture"	16
"2005"	"Male"	"Art/Architecture"	16
"2006"	"Male"	"Art/Architecture"	27
