"year"	"gender"	"field"	"count"	"total"
"1971"	"Female"	"Ball State University"	0	19496
"1971"	"Gender"	"University of Maine"	0	19496
"1971"	"Female"	"University of Maine"	0	19496
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	19496
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	19496
"1971"	"Male"	"University of California-Berkeley"	0	19496
"1971"	"Male"	"University of Michigan at Ann Arbor"	9092	19496
"1971"	"Male"	"University of Maine"	0	19496
"1971"	"Gender"	"University of California-Berkeley"	0	19496
"1971"	"Female"	"University of California-Berkeley"	1312	19496
"1971"	"Female"	"Northeastern University"	0	19496
"1971"	"Male"	"Northeastern University"	0	19496
"1971"	"Male"	"Ball State University"	0	19496
"1971"	"Gender"	"Northeastern University"	0	19496
"1971"	"Gender"	"Ball State University"	0	19496
"1972"	"Female"	"Ball State University"	0	20237
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	20237
"1972"	"Female"	"Northeastern University"	0	20237
"1972"	"Gender"	"University of Maine"	0	20237
"1972"	"Male"	"University of Maine"	2053	20237
"1972"	"Male"	"Northeastern University"	0	20237
"1972"	"Female"	"University of California-Berkeley"	0	20237
"1972"	"Gender"	"University of California-Berkeley"	0	20237
"1972"	"Female"	"University of Michigan at Ann Arbor"	9092	20237
"1972"	"Male"	"University of California-Berkeley"	0	20237
"1972"	"Male"	"Ball State University"	0	20237
"1972"	"Male"	"University of Michigan at Ann Arbor"	9092	20237
"1972"	"Gender"	"Ball State University"	0	20237
"1972"	"Female"	"University of Maine"	0	20237
"1972"	"Gender"	"Northeastern University"	0	20237
"1973"	"Gender"	"University of Michigan at Ann Arbor"	0	1786
"1973"	"Female"	"Northeastern University"	0	1786
"1973"	"Male"	"University of Maine"	0	1786
"1973"	"Gender"	"University of Maine"	0	1786
"1973"	"Female"	"University of Michigan at Ann Arbor"	0	1786
"1973"	"Female"	"University of Maine"	0	1786
"1973"	"Male"	"Northeastern University"	0	1786
"1973"	"Male"	"University of Michigan at Ann Arbor"	0	1786
"1973"	"Gender"	"University of California-Berkeley"	0	1786
"1973"	"Gender"	"Northeastern University"	0	1786
"1973"	"Male"	"Ball State University"	1786	1786
"1973"	"Female"	"Ball State University"	0	1786
"1973"	"Female"	"University of California-Berkeley"	0	1786
"1973"	"Gender"	"Ball State University"	0	1786
"1973"	"Male"	"University of California-Berkeley"	0	1786
"1974"	"Gender"	"University of Maine"	0	3572
"1974"	"Female"	"Northeastern University"	0	3572
"1974"	"Male"	"Ball State University"	1786	3572
"1974"	"Female"	"University of Maine"	0	3572
"1974"	"Male"	"Northeastern University"	0	3572
"1974"	"Female"	"University of Michigan at Ann Arbor"	0	3572
"1974"	"Male"	"University of Michigan at Ann Arbor"	0	3572
"1974"	"Gender"	"Northeastern University"	0	3572
"1974"	"Gender"	"Ball State University"	0	3572
"1974"	"Female"	"University of California-Berkeley"	0	3572
"1974"	"Gender"	"University of Michigan at Ann Arbor"	0	3572
"1974"	"Female"	"Ball State University"	1786	3572
"1974"	"Male"	"University of California-Berkeley"	0	3572
"1974"	"Male"	"University of Maine"	0	3572
"1974"	"Gender"	"University of California-Berkeley"	0	3572
"1975"	"Female"	"University of Maine"	0	3572
"1975"	"Female"	"University of California-Berkeley"	0	3572
"1975"	"Male"	"University of California-Berkeley"	0	3572
"1975"	"Male"	"Northeastern University"	0	3572
"1975"	"Gender"	"Northeastern University"	0	3572
"1975"	"Gender"	"Ball State University"	0	3572
"1975"	"Gender"	"University of Michigan at Ann Arbor"	0	3572
"1975"	"Female"	"University of Michigan at Ann Arbor"	0	3572
"1975"	"Female"	"Northeastern University"	0	3572
"1975"	"Gender"	"University of Maine"	0	3572
"1975"	"Gender"	"University of California-Berkeley"	0	3572
"1975"	"Male"	"University of Michigan at Ann Arbor"	0	3572
"1975"	"Male"	"Ball State University"	1786	3572
"1975"	"Female"	"Ball State University"	1786	3572
"1975"	"Male"	"University of Maine"	0	3572
"1977"	"Female"	"University of Maine"	2053	2053
"1977"	"Gender"	"University of California-Berkeley"	0	2053
"1977"	"Male"	"University of California-Berkeley"	0	2053
"1977"	"Male"	"Northeastern University"	0	2053
"1977"	"Female"	"Ball State University"	0	2053
