"year"	"gender"	"field"	"count"	"total"
"1972"	"Female"	"Northeastern University"	0	6828
"1972"	"Male"	"University of Rhode Island"	3414	6828
"1972"	"Female"	"University of Michigan at Ann Arbor"	0	6828
"1972"	"Gender"	"University of California-Berkeley"	0	6828
"1972"	"Gender"	"University of Rhode Island"	0	6828
"1972"	"Male"	"University of Maine"	0	6828
"1972"	"Female"	"University of Rhode Island"	3414	6828
"1972"	"Gender"	"University of Maine"	0	6828
"1972"	"Male"	"Northeastern University"	0	6828
"1972"	"Male"	"University of Michigan at Ann Arbor"	0	6828
"1972"	"Female"	"University of Maine"	0	6828
"1972"	"Gender"	"Northeastern University"	0	6828
"1972"	"Gender"	"University of Michigan at Ann Arbor"	0	6828
"1972"	"Male"	"University of California-Berkeley"	0	6828
"1972"	"Female"	"University of California-Berkeley"	0	6828
"1974"	"Gender"	"Northeastern University"	0	1312
"1974"	"Gender"	"University of Michigan at Ann Arbor"	0	1312
"1974"	"Gender"	"University of California-Berkeley"	0	1312
"1974"	"Female"	"University of Michigan at Ann Arbor"	0	1312
"1974"	"Male"	"University of California-Berkeley"	1312	1312
"1974"	"Female"	"University of California-Berkeley"	0	1312
"1974"	"Male"	"University of Maine"	0	1312
"1974"	"Male"	"Northeastern University"	0	1312
"1974"	"Gender"	"University of Maine"	0	1312
"1974"	"Male"	"University of Michigan at Ann Arbor"	0	1312
"1974"	"Female"	"University of Maine"	0	1312
"1974"	"Female"	"Northeastern University"	0	1312
"1974"	"Gender"	"University of Rhode Island"	0	1312
"1974"	"Male"	"University of Rhode Island"	0	1312
"1974"	"Female"	"University of Rhode Island"	0	1312
"1980"	"Gender"	"University of Maine"	0	4106
"1980"	"Female"	"Northeastern University"	0	4106
"1980"	"Female"	"University of Michigan at Ann Arbor"	0	4106
"1980"	"Male"	"University of California-Berkeley"	0	4106
"1980"	"Female"	"University of California-Berkeley"	0	4106
"1980"	"Gender"	"University of California-Berkeley"	0	4106
"1980"	"Male"	"Northeastern University"	0	4106
"1980"	"Male"	"University of Michigan at Ann Arbor"	0	4106
"1980"	"Female"	"University of Rhode Island"	0	4106
"1980"	"Gender"	"Northeastern University"	0	4106
"1980"	"Female"	"University of Maine"	2053	4106
"1980"	"Gender"	"University of Rhode Island"	0	4106
"1980"	"Male"	"University of Rhode Island"	0	4106
"1980"	"Gender"	"University of Michigan at Ann Arbor"	0	4106
"1980"	"Male"	"University of Maine"	2053	4106
"1981"	"Male"	"Northeastern University"	0	2053
"1981"	"Female"	"Northeastern University"	0	2053
"1981"	"Male"	"University of Rhode Island"	0	2053
"1981"	"Gender"	"University of Michigan at Ann Arbor"	0	2053
"1981"	"Gender"	"University of California-Berkeley"	0	2053
"1981"	"Gender"	"University of Rhode Island"	0	2053
"1981"	"Gender"	"University of Maine"	0	2053
"1981"	"Female"	"University of Rhode Island"	0	2053
"1981"	"Gender"	"Northeastern University"	0	2053
"1981"	"Female"	"University of Maine"	0	2053
"1981"	"Male"	"University of Michigan at Ann Arbor"	0	2053
"1981"	"Male"	"University of California-Berkeley"	0	2053
"1981"	"Female"	"University of California-Berkeley"	0	2053
"1981"	"Male"	"University of Maine"	2053	2053
"1981"	"Female"	"University of Michigan at Ann Arbor"	0	2053
"1983"	"Female"	"University of Michigan at Ann Arbor"	9092	13490
"1983"	"Male"	"University of California-Berkeley"	0	13490
"1983"	"Gender"	"University of Michigan at Ann Arbor"	0	13490
"1983"	"Male"	"University of Maine"	0	13490
"1983"	"Male"	"Northeastern University"	2199	13490
"1983"	"Gender"	"University of Maine"	0	13490
"1983"	"Female"	"University of Rhode Island"	0	13490
"1983"	"Gender"	"Northeastern University"	0	13490
"1983"	"Female"	"University of Maine"	0	13490
"1983"	"Female"	"Northeastern University"	2199	13490
"1983"	"Male"	"University of Rhode Island"	0	13490
"1983"	"Female"	"University of California-Berkeley"	0	13490
"1983"	"Gender"	"University of California-Berkeley"	0	13490
"1983"	"Gender"	"University of Rhode Island"	0	13490
"1983"	"Male"	"University of Michigan at Ann Arbor"	0	13490
"1984"	"Male"	"University of California-Berkeley"	0	22582
"1984"	"Female"	"University of California-Berkeley"	0	22582
"1984"	"Gender"	"University of California-Berkeley"	0	22582
"1984"	"Female"	"Northeastern University"	2199	22582
"1984"	"Gender"	"University of Maine"	0	22582
"1984"	"Female"	"University of Rhode Island"	0	22582
"1984"	"Gender"	"Northeastern University"	0	22582
"1984"	"Male"	"Northeastern University"	2199	22582
"1984"	"Male"	"University of Michigan at Ann Arbor"	9092	22582
"1984"	"Male"	"University of Rhode Island"	0	22582
"1984"	"Gender"	"University of Michigan at Ann Arbor"	0	22582
"1984"	"Male"	"University of Maine"	0	22582
"1984"	"Female"	"University of Michigan at Ann Arbor"	9092	22582
"1984"	"Gender"	"University of Rhode Island"	0	22582
"1984"	"Female"	"University of Maine"	0	22582
"1985"	"Female"	"University of Maine"	0	22582
"1985"	"Female"	"University of Michigan at Ann Arbor"	9092	22582
"1985"	"Male"	"University of California-Berkeley"	0	22582
"1985"	"Gender"	"University of Rhode Island"	0	22582
"1985"	"Male"	"Northeastern University"	2199	22582
"1985"	"Gender"	"University of Maine"	0	22582
"1985"	"Gender"	"Northeastern University"	0	22582
"1985"	"Gender"	"University of California-Berkeley"	0	22582
"1985"	"Female"	"Northeastern University"	2199	22582
"1985"	"Female"	"University of California-Berkeley"	0	22582
"1985"	"Gender"	"University of Michigan at Ann Arbor"	0	22582
"1985"	"Male"	"University of Michigan at Ann Arbor"	9092	22582
"1985"	"Male"	"University of Maine"	0	22582
"1985"	"Female"	"University of Rhode Island"	0	22582
"1985"	"Male"	"University of Rhode Island"	0	22582
"1986"	"Gender"	"Northeastern University"	0	2199
"1986"	"Gender"	"University of California-Berkeley"	0	2199
"1986"	"Female"	"University of California-Berkeley"	0	2199
"1986"	"Male"	"University of Maine"	0	2199
"1986"	"Female"	"Northeastern University"	0	2199
"1986"	"Female"	"University of Rhode Island"	0	2199
"1986"	"Gender"	"University of Michigan at Ann Arbor"	0	2199
"1986"	"Male"	"Northeastern University"	2199	2199
"1986"	"Male"	"University of California-Berkeley"	0	2199
"1986"	"Male"	"University of Michigan at Ann Arbor"	0	2199
"1986"	"Male"	"University of Rhode Island"	0	2199
"1986"	"Gender"	"University of Rhode Island"	0	2199
"1986"	"Gender"	"University of Maine"	0	2199
"1986"	"Female"	"University of Maine"	0	2199
"1986"	"Female"	"University of Michigan at Ann Arbor"	0	2199
"1987"	"Gender"	"University of Maine"	0	4398
"1987"	"Male"	"University of California-Berkeley"	0	4398
"1987"	"Female"	"University of Michigan at Ann Arbor"	0	4398
"1987"	"Female"	"University of California-Berkeley"	0	4398
"1987"	"Male"	"Northeastern University"	2199	4398
"1987"	"Female"	"Northeastern University"	2199	4398
"1987"	"Female"	"University of Maine"	0	4398
"1987"	"Male"	"University of Rhode Island"	0	4398
"1987"	"Gender"	"Northeastern University"	0	4398
"1987"	"Gender"	"University of California-Berkeley"	0	4398
"1987"	"Male"	"University of Michigan at Ann Arbor"	0	4398
"1987"	"Male"	"University of Maine"	0	4398
"1987"	"Gender"	"University of Rhode Island"	0	4398
"1987"	"Female"	"University of Rhode Island"	0	4398
"1987"	"Gender"	"University of Michigan at Ann Arbor"	0	4398
"1988"	"Male"	"Northeastern University"	2199	4398
"1988"	"Gender"	"University of California-Berkeley"	0	4398
"1988"	"Male"	"University of Maine"	0	4398
"1988"	"Female"	"Northeastern University"	2199	4398
"1988"	"Gender"	"Northeastern University"	0	4398
"1988"	"Gender"	"University of Rhode Island"	0	4398
"1988"	"Male"	"University of Michigan at Ann Arbor"	0	4398
"1988"	"Female"	"University of Rhode Island"	0	4398
"1988"	"Gender"	"University of Michigan at Ann Arbor"	0	4398
"1988"	"Female"	"University of Michigan at Ann Arbor"	0	4398
"1988"	"Male"	"University of Rhode Island"	0	4398
"1988"	"Female"	"University of California-Berkeley"	0	4398
"1988"	"Female"	"University of Maine"	0	4398
"1988"	"Gender"	"University of Maine"	0	4398
"1988"	"Male"	"University of California-Berkeley"	0	4398
"1989"	"Male"	"University of California-Berkeley"	0	4398
"1989"	"Female"	"University of California-Berkeley"	0	4398
"1989"	"Gender"	"University of Maine"	0	4398
"1989"	"Male"	"University of Maine"	0	4398
"1989"	"Gender"	"Northeastern University"	0	4398
"1989"	"Male"	"Northeastern University"	2199	4398
"1989"	"Female"	"Northeastern University"	2199	4398
"1989"	"Male"	"University of Rhode Island"	0	4398
"1989"	"Gender"	"University of Michigan at Ann Arbor"	0	4398
"1989"	"Gender"	"University of California-Berkeley"	0	4398
"1989"	"Female"	"University of Michigan at Ann Arbor"	0	4398
"1989"	"Male"	"University of Michigan at Ann Arbor"	0	4398
"1989"	"Female"	"University of Rhode Island"	0	4398
"1989"	"Gender"	"University of Rhode Island"	0	4398
"1989"	"Female"	"University of Maine"	0	4398
"1990"	"Female"	"Northeastern University"	0	2199
"1990"	"Female"	"University of California-Berkeley"	0	2199
"1990"	"Female"	"University of Rhode Island"	0	2199
"1990"	"Gender"	"University of Rhode Island"	0	2199
"1990"	"Male"	"Northeastern University"	2199	2199
"1990"	"Male"	"University of Michigan at Ann Arbor"	0	2199
"1990"	"Male"	"University of California-Berkeley"	0	2199
"1990"	"Gender"	"University of Michigan at Ann Arbor"	0	2199
"1990"	"Gender"	"University of California-Berkeley"	0	2199
"1990"	"Female"	"University of Michigan at Ann Arbor"	0	2199
"1990"	"Male"	"University of Rhode Island"	0	2199
"1990"	"Male"	"University of Maine"	0	2199
"1990"	"Gender"	"Northeastern University"	0	2199
"1990"	"Female"	"University of Maine"	0	2199
"1990"	"Gender"	"University of Maine"	0	2199
"1991"	"Gender"	"University of Maine"	0	4398
"1991"	"Male"	"University of Maine"	0	4398
"1991"	"Gender"	"University of Rhode Island"	0	4398
"1991"	"Female"	"University of Maine"	0	4398
"1991"	"Female"	"Northeastern University"	2199	4398
"1991"	"Male"	"University of California-Berkeley"	0	4398
"1991"	"Gender"	"University of Michigan at Ann Arbor"	0	4398
"1991"	"Gender"	"University of California-Berkeley"	0	4398
"1991"	"Female"	"University of Michigan at Ann Arbor"	0	4398
"1991"	"Female"	"University of California-Berkeley"	0	4398
"1991"	"Female"	"University of Rhode Island"	0	4398
"1991"	"Gender"	"Northeastern University"	0	4398
"1991"	"Male"	"Northeastern University"	2199	4398
"1991"	"Male"	"University of Michigan at Ann Arbor"	0	4398
"1991"	"Male"	"University of Rhode Island"	0	4398
"1992"	"Male"	"University of Maine"	0	2199
"1992"	"Gender"	"Northeastern University"	0	2199
