"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	7
"1967"	"Female"	"Agriculture"	5
"1968"	"Female"	"Agriculture"	25
"1969"	"Female"	"Agriculture"	35
"1970"	"Female"	"Agriculture"	57
"1971"	"Female"	"Agriculture"	28
"1972"	"Female"	"Agriculture"	95
"1973"	"Female"	"Agriculture"	134
"1974"	"Female"	"Agriculture"	202
"1975"	"Female"	"Agriculture"	250
"1976"	"Female"	"Agriculture"	354
"1977"	"Female"	"Agriculture"	419
"1978"	"Female"	"Agriculture"	460
"1979"	"Female"	"Agriculture"	490
"1980"	"Female"	"Agriculture"	528
"1981"	"Female"	"Agriculture"	512
"1982"	"Female"	"Agriculture"	473
"1983"	"Female"	"Agriculture"	541
"1984"	"Female"	"Agriculture"	415
"1985"	"Female"	"Agriculture"	417
"1986"	"Female"	"Agriculture"	353
"1987"	"Female"	"Agriculture"	293
"1988"	"Female"	"Agriculture"	278
"1989"	"Female"	"Agriculture"	268
"1990"	"Female"	"Agriculture"	275
"1991"	"Female"	"Agriculture"	260
"1992"	"Female"	"Agriculture"	342
"1993"	"Female"	"Agriculture"	379
"1994"	"Female"	"Agriculture"	495
"1995"	"Female"	"Agriculture"	505
"1996"	"Female"	"Agriculture"	589
"1997"	"Female"	"Agriculture"	595
"1998"	"Female"	"Agriculture"	651
"1999"	"Female"	"Agriculture"	752
"2000"	"Female"	"Agriculture"	715
"2001"	"Female"	"Agriculture"	692
"2002"	"Female"	"Agriculture"	718
"2003"	"Female"	"Agriculture"	761
"2004"	"Female"	"Agriculture"	716
"2005"	"Female"	"Agriculture"	781
"2006"	"Female"	"Agriculture"	762
"2007"	"Female"	"Agriculture"	734
"2008"	"Female"	"Agriculture"	789
"2009"	"Female"	"Agriculture"	894
"2010"	"Female"	"Agriculture"	1052
"2011"	"Female"	"Agriculture"	1139
"1966"	"Male"	"Agriculture"	295
"1967"	"Male"	"Agriculture"	563
"1968"	"Male"	"Agriculture"	598
"1969"	"Male"	"Agriculture"	706
"1970"	"Male"	"Agriculture"	793
"1971"	"Male"	"Agriculture"	814
"1972"	"Male"	"Agriculture"	974
"1973"	"Male"	"Agriculture"	1091
"1974"	"Male"	"Agriculture"	1091
"1975"	"Male"	"Agriculture"	1065
"1976"	"Male"	"Agriculture"	1172
"1977"	"Male"	"Agriculture"	1193
"1978"	"Male"	"Agriculture"	1198
"1979"	"Male"	"Agriculture"	1039
"1980"	"Male"	"Agriculture"	997
"1981"	"Male"	"Agriculture"	904
"1982"	"Male"	"Agriculture"	867
"1983"	"Male"	"Agriculture"	845
"1984"	"Male"	"Agriculture"	698
"1985"	"Male"	"Agriculture"	679
"1986"	"Male"	"Agriculture"	587
"1987"	"Male"	"Agriculture"	462
"1988"	"Male"	"Agriculture"	440
"1989"	"Male"	"Agriculture"	410
"1990"	"Male"	"Agriculture"	427
"1991"	"Male"	"Agriculture"	401
"1992"	"Male"	"Agriculture"	457
"1993"	"Male"	"Agriculture"	529
"1994"	"Male"	"Agriculture"	587
"1995"	"Male"	"Agriculture"	641
"1996"	"Male"	"Agriculture"	714
"1997"	"Male"	"Agriculture"	677
"1998"	"Male"	"Agriculture"	676
"1999"	"Male"	"Agriculture"	640
"2000"	"Male"	"Agriculture"	614
"2001"	"Male"	"Agriculture"	614
"2002"	"Male"	"Agriculture"	595
"2003"	"Male"	"Agriculture"	599
"2004"	"Male"	"Agriculture"	610
"2005"	"Male"	"Agriculture"	594
"2006"	"Male"	"Agriculture"	570
"2007"	"Male"	"Agriculture"	629
"2008"	"Male"	"Agriculture"	643
"2009"	"Male"	"Agriculture"	704
"2010"	"Male"	"Agriculture"	764
"2011"	"Male"	"Agriculture"	886
"1966"	"Female"	"Anthropology"	222
"1967"	"Female"	"Anthropology"	258
"1968"	"Female"	"Anthropology"	300
"1969"	"Female"	"Anthropology"	362
"1970"	"Female"	"Anthropology"	445
"1971"	"Female"	"Anthropology"	521
"1972"	"Female"	"Anthropology"	485
"1973"	"Female"	"Anthropology"	556
"1974"	"Female"	"Anthropology"	556
"1975"	"Female"	"Anthropology"	516
"1976"	"Female"	"Anthropology"	500
"1977"	"Female"	"Anthropology"	463
"1978"	"Female"	"Anthropology"	409
"1979"	"Female"	"Anthropology"	364
"1980"	"Female"	"Anthropology"	361
"1981"	"Female"	"Anthropology"	287
