"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	1786	6196
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	6196
"1966"	"Female"	"University of California-Berkeley"	1312	6196
"1966"	"Male"	"University of Maine"	0	6196
"1966"	"Female"	"George Mason University"	0	6196
"1966"	"Male"	"Northeastern University"	0	6196
"1966"	"Gender"	"Ball State University"	0	6196
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	6196
"1966"	"Female"	"Northeastern University"	0	6196
"1966"	"Male"	"Richard Stockton College of New Jersey"	0	6196
"1966"	"Gender"	"University of Maine"	0	6196
"1966"	"Female"	"Richard Stockton College of New Jersey"	0	6196
"1966"	"Male"	"Ball State University"	1786	6196
"1966"	"Male"	"University of California-Berkeley"	1312	6196
"1966"	"Gender"	"Northeastern University"	0	6196
"1966"	"Female"	"University of Maine"	0	6196
"1966"	"Male"	"George Mason University"	0	6196
"1966"	"Gender"	"Richard Stockton College of New Jersey"	0	6196
"1966"	"Gender"	"George Mason University"	0	6196
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	6196
"1966"	"Gender"	"University of California-Berkeley"	0	6196
"1967"	"Male"	"George Mason University"	0	2624
"1967"	"Female"	"University of Maine"	0	2624
"1967"	"Gender"	"Northeastern University"	0	2624
"1967"	"Gender"	"Ball State University"	0	2624
"1967"	"Gender"	"University of Maine"	0	2624
"1967"	"Male"	"Ball State University"	0	2624
"1967"	"Female"	"Ball State University"	0	2624
"1967"	"Gender"	"George Mason University"	0	2624
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Female"	"University of California-Berkeley"	1312	2624
"1967"	"Female"	"George Mason University"	0	2624
"1967"	"Male"	"University of California-Berkeley"	1312	2624
"1967"	"Male"	"Northeastern University"	0	2624
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Female"	"Northeastern University"	0	2624
"1967"	"Gender"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Male"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	2624
"1967"	"Female"	"Richard Stockton College of New Jersey"	0	2624
"1967"	"Male"	"University of Maine"	0	2624
"1967"	"Gender"	"University of California-Berkeley"	0	2624
"1968"	"Male"	"Ball State University"	0	2624
"1968"	"Gender"	"Ball State University"	0	2624
"1968"	"Male"	"Northeastern University"	0	2624
"1968"	"Male"	"George Mason University"	0	2624
"1968"	"Gender"	"Northeastern University"	0	2624
"1968"	"Gender"	"George Mason University"	0	2624
"1968"	"Female"	"University of Maine"	0	2624
"1968"	"Female"	"Ball State University"	0	2624
"1968"	"Gender"	"Richard Stockton College of New Jersey"	0	2624
"1968"	"Male"	"University of California-Berkeley"	1312	2624
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	2624
"1968"	"Female"	"Richard Stockton College of New Jersey"	0	2624
"1968"	"Gender"	"University of California-Berkeley"	0	2624
"1968"	"Male"	"University of Maine"	0	2624
"1968"	"Male"	"Richard Stockton College of New Jersey"	0	2624
"1968"	"Female"	"University of California-Berkeley"	1312	2624
"1968"	"Female"	"George Mason University"	0	2624
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	2624
"1968"	"Gender"	"University of Maine"	0	2624
"1968"	"Female"	"Northeastern University"	0	2624
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	2624
"1969"	"Male"	"University of California-Berkeley"	1312	6196
"1969"	"Gender"	"Ball State University"	0	6196
"1969"	"Gender"	"Richard Stockton College of New Jersey"	0	6196
"1969"	"Gender"	"George Mason University"	0	6196
"1969"	"Gender"	"Northeastern University"	0	6196
"1969"	"Female"	"Ball State University"	1786	6196
"1969"	"Male"	"University of Maine"	0	6196
"1969"	"Male"	"Ball State University"	1786	6196
"1969"	"Female"	"Richard Stockton College of New Jersey"	0	6196
"1969"	"Female"	"George Mason University"	0	6196
"1969"	"Gender"	"University of California-Berkeley"	0	6196
"1969"	"Male"	"Northeastern University"	0	6196
"1969"	"Male"	"George Mason University"	0	6196
"1969"	"Female"	"Northeastern University"	0	6196
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	6196
"1969"	"Male"	"Richard Stockton College of New Jersey"	0	6196
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	6196
"1969"	"Gender"	"University of Maine"	0	6196
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	6196
"1969"	"Female"	"University of California-Berkeley"	1312	6196
"1969"	"Female"	"University of Maine"	0	6196
"1970"	"Female"	"Ball State University"	1786	24380
"1970"	"Gender"	"Northeastern University"	0	24380
"1970"	"Female"	"Richard Stockton College of New Jersey"	0	24380
"1970"	"Male"	"Ball State University"	1786	24380
"1970"	"Gender"	"Richard Stockton College of New Jersey"	0	24380
"1970"	"Female"	"University of California-Berkeley"	1312	24380
"1970"	"Female"	"George Mason University"	0	24380
"1970"	"Gender"	"University of California-Berkeley"	0	24380
"1970"	"Male"	"Richard Stockton College of New Jersey"	0	24380
"1970"	"Gender"	"Ball State University"	0	24380
"1970"	"Gender"	"University of Maine"	0	24380
"1970"	"Male"	"George Mason University"	0	24380
"1970"	"Male"	"University of California-Berkeley"	1312	24380
"1970"	"Gender"	"George Mason University"	0	24380
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	24380
"1970"	"Female"	"Northeastern University"	0	24380
"1970"	"Male"	"University of Maine"	0	24380
"1970"	"Male"	"Northeastern University"	0	24380
"1970"	"Female"	"University of Maine"	0	24380
"1970"	"Male"	"University of Michigan at Ann Arbor"	9092	24380
"1970"	"Female"	"University of Michigan at Ann Arbor"	9092	24380
"1971"	"Gender"	"University of Maine"	0	24380
"1971"	"Gender"	"University of California-Berkeley"	0	24380
"1971"	"Female"	"University of Michigan at Ann Arbor"	9092	24380
"1971"	"Male"	"Richard Stockton College of New Jersey"	0	24380
"1971"	"Female"	"Ball State University"	1786	24380
"1971"	"Male"	"University of California-Berkeley"	1312	24380
"1971"	"Female"	"Richard Stockton College of New Jersey"	0	24380
