"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	6
1967	"Female"	"Anthropology"	15
1968	"Female"	"Anthropology"	14
1969	"Female"	"Anthropology"	15
1970	"Female"	"Anthropology"	28
1971	"Female"	"Anthropology"	38
1972	"Female"	"Anthropology"	30
1973	"Female"	"Anthropology"	42
1974	"Female"	"Anthropology"	35
1975	"Female"	"Anthropology"	20
1976	"Female"	"Anthropology"	24
1977	"Female"	"Anthropology"	13
1978	"Female"	"Anthropology"	12
1979	"Female"	"Anthropology"	14
1980	"Female"	"Anthropology"	9
1981	"Female"	"Anthropology"	11
1982	"Female"	"Anthropology"	13
1983	"Female"	"Anthropology"	9
1984	"Female"	"Anthropology"	10
1985	"Female"	"Anthropology"	10
1986	"Female"	"Anthropology"	9
1987	"Female"	"Anthropology"	13
1988	"Female"	"Anthropology"	15
1989	"Female"	"Anthropology"	22
1990	"Female"	"Anthropology"	21
1991	"Female"	"Anthropology"	17
1992	"Female"	"Anthropology"	21
1993	"Female"	"Anthropology"	18
1994	"Female"	"Anthropology"	15
1995	"Female"	"Anthropology"	12
1996	"Female"	"Anthropology"	27
1997	"Female"	"Anthropology"	24
1998	"Female"	"Anthropology"	20
1999	"Female"	"Anthropology"	15
2000	"Female"	"Anthropology"	13
2001	"Female"	"Anthropology"	12
2002	"Female"	"Anthropology"	19
2003	"Female"	"Anthropology"	24
2004	"Female"	"Anthropology"	26
2005	"Female"	"Anthropology"	19
2006	"Female"	"Anthropology"	23
2007	"Female"	"Anthropology"	21
2008	"Female"	"Anthropology"	25
2009	"Female"	"Anthropology"	22
2010	"Female"	"Anthropology"	13
2011	"Female"	"Anthropology"	24
1966	"Male"	"Anthropology"	10
1967	"Male"	"Anthropology"	10
1968	"Male"	"Anthropology"	10
1969	"Male"	"Anthropology"	16
1970	"Male"	"Anthropology"	19
1971	"Male"	"Anthropology"	16
1972	"Male"	"Anthropology"	24
1973	"Male"	"Anthropology"	32
1974	"Male"	"Anthropology"	15
1975	"Male"	"Anthropology"	14
1976	"Male"	"Anthropology"	10
1977	"Male"	"Anthropology"	8
1978	"Male"	"Anthropology"	5
1979	"Male"	"Anthropology"	6
1980	"Male"	"Anthropology"	3
1981	"Male"	"Anthropology"	5
1982	"Male"	"Anthropology"	5
1983	"Male"	"Anthropology"	7
1984	"Male"	"Anthropology"	6
1985	"Male"	"Anthropology"	6
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	11
1988	"Male"	"Anthropology"	10
1989	"Male"	"Anthropology"	9
1990	"Male"	"Anthropology"	12
1991	"Male"	"Anthropology"	4
1992	"Male"	"Anthropology"	13
1993	"Male"	"Anthropology"	3
1994	"Male"	"Anthropology"	6
1995	"Male"	"Anthropology"	5
1996	"Male"	"Anthropology"	7
1997	"Male"	"Anthropology"	3
1998	"Male"	"Anthropology"	4
1999	"Male"	"Anthropology"	5
2000	"Male"	"Anthropology"	6
2001	"Male"	"Anthropology"	6
2002	"Male"	"Anthropology"	6
2003	"Male"	"Anthropology"	7
2004	"Male"	"Anthropology"	3
2005	"Male"	"Anthropology"	9
2006	"Male"	"Anthropology"	5
2007	"Male"	"Anthropology"	9
2008	"Male"	"Anthropology"	9
2009	"Male"	"Anthropology"	1
2010	"Male"	"Anthropology"	5
2011	"Male"	"Anthropology"	6
1966	"Female"	"Area and Ethnic Studies"	4
1967	"Female"	"Area and Ethnic Studies"	0
1968	"Female"	"Area and Ethnic Studies"	0
1969	"Female"	"Area and Ethnic Studies"	0
1970	"Female"	"Area and Ethnic Studies"	0
1971	"Female"	"Area and Ethnic Studies"	2
1972	"Female"	"Area and Ethnic Studies"	1
1973	"Female"	"Area and Ethnic Studies"	1
1974	"Female"	"Area and Ethnic Studies"	2
1975	"Female"	"Area and Ethnic Studies"	0
1976	"Female"	"Area and Ethnic Studies"	2
1977	"Female"	"Area and Ethnic Studies"	4
1978	"Female"	"Area and Ethnic Studies"	11
1979	"Female"	"Area and Ethnic Studies"	22
1980	"Female"	"Area and Ethnic Studies"	22
1981	"Female"	"Area and Ethnic Studies"	23
1982	"Female"	"Area and Ethnic Studies"	22
1983	"Female"	"Area and Ethnic Studies"	14
1984	"Female"	"Area and Ethnic Studies"	17
1985	"Female"	"Area and Ethnic Studies"	17
1986	"Female"	"Area and Ethnic Studies"	13
1987	"Female"	"Area and Ethnic Studies"	12
1988	"Female"	"Area and Ethnic Studies"	21
1989	"Female"	"Area and Ethnic Studies"	29
1990	"Female"	"Area and Ethnic Studies"	34
1991	"Female"	"Area and Ethnic Studies"	33
1992	"Female"	"Area and Ethnic Studies"	30
1993	"Female"	"Area and Ethnic Studies"	37
1994	"Female"	"Area and Ethnic Studies"	41
1995	"Female"	"Area and Ethnic Studies"	31
1996	"Female"	"Area and Ethnic Studies"	45
1997	"Female"	"Area and Ethnic Studies"	43
1998	"Female"	"Area and Ethnic Studies"	31
1999	"Female"	"Area and Ethnic Studies"	44
2000	"Female"	"Area and Ethnic Studies"	38
2001	"Female"	"Area and Ethnic Studies"	46
2002	"Female"	"Area and Ethnic Studies"	40
2003	"Female"	"Area and Ethnic Studies"	61
2004	"Female"	"Area and Ethnic Studies"	42
2005	"Female"	"Area and Ethnic Studies"	31
2006	"Female"	"Area and Ethnic Studies"	39
2007	"Female"	"Area and Ethnic Studies"	37
2008	"Female"	"Area and Ethnic Studies"	32
2009	"Female"	"Area and Ethnic Studies"	30
2010	"Female"	"Area and Ethnic Studies"	23
2011	"Female"	"Area and Ethnic Studies"	27
1966	"Male"	"Area and Ethnic Studies"	2
1967	"Male"	"Area and Ethnic Studies"	1
1968	"Male"	"Area and Ethnic Studies"	0
1969	"Male"	"Area and Ethnic Studies"	0
1970	"Male"	"Area and Ethnic Studies"	0
1971	"Male"	"Area and Ethnic Studies"	1
1972	"Male"	"Area and Ethnic Studies"	1
1973	"Male"	"Area and Ethnic Studies"	3
1974	"Male"	"Area and Ethnic Studies"	6
1975	"Male"	"Area and Ethnic Studies"	0
1976	"Male"	"Area and Ethnic Studies"	2
1977	"Male"	"Area and Ethnic Studies"	7
1978	"Male"	"Area and Ethnic Studies"	16
1979	"Male"	"Area and Ethnic Studies"	13
1980	"Male"	"Area and Ethnic Studies"	12
1981	"Male"	"Area and Ethnic Studies"	9
1982	"Male"	"Area and Ethnic Studies"	12
1983	"Male"	"Area and Ethnic Studies"	16
1984	"Male"	"Area and Ethnic Studies"	7
1985	"Male"	"Area and Ethnic Studies"	7
1986	"Male"	"Area and Ethnic Studies"	8
