"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Area and Ethnic Studies"	0	495
"1966"	"Male"	"Social Service Professions"	0	495
"1966"	"Female"	"Psychology"	0	495
"1966"	"Female"	"Education"	394	495
"1966"	"Female"	"Computer Science"	0	495
"1966"	"Male"	"Religion"	0	495
"1966"	"Male"	"Area and Ethnic Studies"	0	495
"1966"	"Female"	"Vocational Studies and Home Economics"	0	495
"1966"	"Female"	"Life Sciences"	0	495
"1966"	"Female"	"Social Service Professions"	0	495
"1966"	"Male"	"Computer Science"	0	495
"1966"	"Female"	"Social Sciences, Other"	0	495
"1966"	"Female"	"Religion"	0	495
"1966"	"Male"	"Vocational Studies and Home Economics"	0	495
"1966"	"Male"	"Life Sciences"	0	495
"1966"	"Female"	"Business"	0	495
"1966"	"Male"	"Social Sciences, Other"	0	495
"1966"	"Male"	"Art/Architecture"	0	495
"1966"	"Female"	"Other/Unknown"	0	495
"1966"	"Female"	"Engineering"	0	495
"1966"	"Female"	"Math"	0	495
"1966"	"Male"	"Education"	101	495
"1966"	"Male"	"Psychology"	0	495
"1966"	"Male"	"English and Literature"	0	495
"1966"	"Male"	"Other/Unknown"	0	495
"1966"	"Male"	"Math"	0	495
"1966"	"Female"	"Art/Architecture"	0	495
"1966"	"Male"	"Communication and Librarianship"	0	495
"1966"	"Male"	"Engineering"	0	495
"1966"	"Male"	"Business"	0	495
"1966"	"Female"	"Communication and Librarianship"	0	495
"1966"	"Female"	"English and Literature"	0	495
"1967"	"Male"	"Life Sciences"	0	480
"1967"	"Male"	"Religion"	0	480
"1967"	"Female"	"Engineering"	0	480
"1967"	"Female"	"Psychology"	0	480
"1967"	"Female"	"Life Sciences"	0	480
"1967"	"Female"	"Other/Unknown"	0	480
"1967"	"Male"	"Computer Science"	0	480
"1967"	"Male"	"Math"	0	480
"1967"	"Female"	"Social Service Professions"	0	480
"1967"	"Female"	"Area and Ethnic Studies"	0	480
"1967"	"Male"	"Social Service Professions"	0	480
"1967"	"Male"	"Social Sciences, Other"	0	480
"1967"	"Female"	"Computer Science"	0	480
"1967"	"Male"	"English and Literature"	0	480
"1967"	"Male"	"Vocational Studies and Home Economics"	0	480
"1967"	"Male"	"Area and Ethnic Studies"	0	480
"1967"	"Male"	"Education"	97	480
"1967"	"Male"	"Psychology"	0	480
"1967"	"Male"	"Art/Architecture"	0	480
"1967"	"Female"	"Business"	0	480
"1967"	"Female"	"English and Literature"	0	480
"1967"	"Female"	"Religion"	0	480
"1967"	"Female"	"Communication and Librarianship"	0	480
"1967"	"Male"	"Communication and Librarianship"	0	480
"1967"	"Female"	"Education"	383	480
"1967"	"Male"	"Business"	0	480
"1967"	"Female"	"Art/Architecture"	0	480
"1967"	"Female"	"Math"	0	480
"1967"	"Male"	"Engineering"	0	480
"1967"	"Female"	"Vocational Studies and Home Economics"	0	480
"1967"	"Female"	"Social Sciences, Other"	0	480
"1967"	"Male"	"Other/Unknown"	0	480
"1968"	"Male"	"Social Service Professions"	0	462
"1968"	"Male"	"Religion"	0	462
"1968"	"Female"	"Social Service Professions"	0	462
"1968"	"Male"	"Art/Architecture"	0	462
"1968"	"Male"	"Vocational Studies and Home Economics"	0	462
"1968"	"Male"	"Life Sciences"	0	462
"1968"	"Female"	"Computer Science"	0	462
"1968"	"Male"	"Education"	77	462
"1968"	"Female"	"Education"	385	462
"1968"	"Female"	"Other/Unknown"	0	462
"1968"	"Female"	"Life Sciences"	0	462
"1968"	"Male"	"Social Sciences, Other"	0	462
"1968"	"Female"	"Communication and Librarianship"	0	462
"1968"	"Male"	"Psychology"	0	462
"1968"	"Female"	"Social Sciences, Other"	0	462
"1968"	"Male"	"Other/Unknown"	0	462
"1968"	"Male"	"Math"	0	462
"1968"	"Female"	"Religion"	0	462
"1968"	"Female"	"Area and Ethnic Studies"	0	462
"1968"	"Female"	"Engineering"	0	462
"1968"	"Female"	"Psychology"	0	462
"1968"	"Male"	"Business"	0	462
"1968"	"Male"	"English and Literature"	0	462
"1968"	"Female"	"Art/Architecture"	0	462
"1968"	"Female"	"Math"	0	462
"1968"	"Female"	"Vocational Studies and Home Economics"	0	462
"1968"	"Male"	"Engineering"	0	462
"1968"	"Male"	"Area and Ethnic Studies"	0	462
"1968"	"Male"	"Computer Science"	0	462
"1968"	"Female"	"English and Literature"	0	462
"1968"	"Male"	"Communication and Librarianship"	0	462
"1968"	"Female"	"Business"	0	462
"1969"	"Female"	"Life Sciences"	0	487
"1969"	"Female"	"Computer Science"	0	487
"1969"	"Male"	"Math"	0	487
"1969"	"Male"	"Psychology"	0	487
"1969"	"Male"	"Art/Architecture"	0	487
"1969"	"Male"	"Life Sciences"	0	487
"1969"	"Male"	"Social Sciences, Other"	0	487
"1969"	"Female"	"Education"	384	487
"1969"	"Male"	"Education"	103	487
"1969"	"Male"	"Religion"	0	487
"1969"	"Female"	"Business"	0	487
"1969"	"Female"	"Math"	0	487
"1969"	"Female"	"Religion"	0	487
"1969"	"Female"	"Area and Ethnic Studies"	0	487
"1969"	"Female"	"Engineering"	0	487
"1969"	"Female"	"Social Sciences, Other"	0	487
"1969"	"Male"	"Business"	0	487
"1969"	"Female"	"Communication and Librarianship"	0	487
"1969"	"Female"	"Other/Unknown"	0	487
"1969"	"Female"	"Psychology"	0	487
"1969"	"Male"	"Engineering"	0	487
"1969"	"Female"	"English and Literature"	0	487
"1969"	"Female"	"Social Service Professions"	0	487
"1969"	"Male"	"Communication and Librarianship"	0	487
"1969"	"Male"	"Other/Unknown"	0	487
"1969"	"Male"	"Area and Ethnic Studies"	0	487
"1969"	"Male"	"Vocational Studies and Home Economics"	0	487
"1969"	"Male"	"English and Literature"	0	487
"1969"	"Male"	"Social Service Professions"	0	487
"1969"	"Male"	"Computer Science"	0	487
"1969"	"Female"	"Vocational Studies and Home Economics"	0	487
"1969"	"Female"	"Art/Architecture"	0	487
"1970"	"Male"	"Religion"	0	488
"1970"	"Male"	"Social Sciences, Other"	0	488
"1970"	"Female"	"Area and Ethnic Studies"	0	488
"1970"	"Female"	"Social Service Professions"	0	488
"1970"	"Male"	"Area and Ethnic Studies"	0	488
"1970"	"Male"	"Social Service Professions"	0	488
"1970"	"Female"	"Social Sciences, Other"	0	488
"1970"	"Female"	"Vocational Studies and Home Economics"	0	488
"1970"	"Female"	"Religion"	0	488
"1970"	"Male"	"Vocational Studies and Home Economics"	0	488
"1970"	"Female"	"Art/Architecture"	0	488
"1970"	"Male"	"Art/Architecture"	0	488
"1970"	"Male"	"Life Sciences"	0	488
"1970"	"Male"	"English and Literature"	0	488
"1970"	"Female"	"Education"	388	488
"1970"	"Male"	"Education"	100	488
"1970"	"Female"	"Other/Unknown"	0	488
"1970"	"Female"	"Business"	0	488
"1970"	"Female"	"Math"	0	488
"1970"	"Male"	"Math"	0	488
"1970"	"Female"	"Life Sciences"	0	488
"1970"	"Female"	"Engineering"	0	488
