"year"	"gender"	"field"	"count"
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	9
1974	"Female"	"Agriculture"	18
1975	"Female"	"Agriculture"	30
1976	"Female"	"Agriculture"	60
1977	"Female"	"Agriculture"	100
1978	"Female"	"Agriculture"	98
1979	"Female"	"Agriculture"	149
1980	"Female"	"Agriculture"	157
1981	"Female"	"Agriculture"	159
1982	"Female"	"Agriculture"	147
1983	"Female"	"Agriculture"	154
1984	"Female"	"Agriculture"	155
1985	"Female"	"Agriculture"	115
1986	"Female"	"Agriculture"	155
1987	"Female"	"Agriculture"	167
1988	"Female"	"Agriculture"	129
1989	"Female"	"Agriculture"	125
1990	"Female"	"Agriculture"	176
1991	"Female"	"Agriculture"	148
1992	"Female"	"Agriculture"	150
1993	"Female"	"Agriculture"	147
1994	"Female"	"Agriculture"	187
1995	"Female"	"Agriculture"	237
1996	"Female"	"Agriculture"	214
1997	"Female"	"Agriculture"	216
1998	"Female"	"Agriculture"	215
1999	"Female"	"Agriculture"	138
2000	"Female"	"Agriculture"	135
2001	"Female"	"Agriculture"	118
2002	"Female"	"Agriculture"	139
2003	"Female"	"Agriculture"	159
2004	"Female"	"Agriculture"	186
2005	"Female"	"Agriculture"	178
2006	"Female"	"Agriculture"	190
2007	"Female"	"Agriculture"	271
2008	"Female"	"Agriculture"	185
2009	"Female"	"Agriculture"	203
2010	"Female"	"Agriculture"	232
2011	"Female"	"Agriculture"	271
1972	"Male"	"Agriculture"	242
1973	"Male"	"Agriculture"	239
1974	"Male"	"Agriculture"	297
1975	"Male"	"Agriculture"	288
1976	"Male"	"Agriculture"	345
1977	"Male"	"Agriculture"	416
1978	"Male"	"Agriculture"	376
1979	"Male"	"Agriculture"	370
1980	"Male"	"Agriculture"	349
1981	"Male"	"Agriculture"	331
1982	"Male"	"Agriculture"	283
1983	"Male"	"Agriculture"	264
1984	"Male"	"Agriculture"	241
1985	"Male"	"Agriculture"	231
1986	"Male"	"Agriculture"	205
1987	"Male"	"Agriculture"	205
1988	"Male"	"Agriculture"	203
1989	"Male"	"Agriculture"	188
1990	"Male"	"Agriculture"	242
1991	"Male"	"Agriculture"	244
1992	"Male"	"Agriculture"	285
1993	"Male"	"Agriculture"	224
1994	"Male"	"Agriculture"	280
1995	"Male"	"Agriculture"	341
1996	"Male"	"Agriculture"	316
1997	"Male"	"Agriculture"	294
1998	"Male"	"Agriculture"	313
1999	"Male"	"Agriculture"	174
2000	"Male"	"Agriculture"	165
2001	"Male"	"Agriculture"	183
2002	"Male"	"Agriculture"	149
2003	"Male"	"Agriculture"	179
2004	"Male"	"Agriculture"	178
2005	"Male"	"Agriculture"	187
2006	"Male"	"Agriculture"	187
2007	"Male"	"Agriculture"	266
2008	"Male"	"Agriculture"	194
2009	"Male"	"Agriculture"	184
2010	"Male"	"Agriculture"	177
2011	"Male"	"Agriculture"	226
1972	"Female"	"Anthropology"	0
1973	"Female"	"Anthropology"	0
1974	"Female"	"Anthropology"	1
1975	"Female"	"Anthropology"	1
1976	"Female"	"Anthropology"	9
1977	"Female"	"Anthropology"	6
1978	"Female"	"Anthropology"	7
1979	"Female"	"Anthropology"	13
1980	"Female"	"Anthropology"	10
1981	"Female"	"Anthropology"	12
1982	"Female"	"Anthropology"	7
1983	"Female"	"Anthropology"	4
1984	"Female"	"Anthropology"	6
1985	"Female"	"Anthropology"	7
1986	"Female"	"Anthropology"	9
1987	"Female"	"Anthropology"	9
1988	"Female"	"Anthropology"	7
1989	"Female"	"Anthropology"	6
1990	"Female"	"Anthropology"	7
1991	"Female"	"Anthropology"	16
1992	"Female"	"Anthropology"	16
1993	"Female"	"Anthropology"	15
1994	"Female"	"Anthropology"	17
1995	"Female"	"Anthropology"	17
1996	"Female"	"Anthropology"	14
1997	"Female"	"Anthropology"	15
1998	"Female"	"Anthropology"	20
1999	"Female"	"Anthropology"	12
2000	"Female"	"Anthropology"	15
2001	"Female"	"Anthropology"	20
2002	"Female"	"Anthropology"	9
2003	"Female"	"Anthropology"	34
2004	"Female"	"Anthropology"	23
2005	"Female"	"Anthropology"	27
2006	"Female"	"Anthropology"	19
2007	"Female"	"Anthropology"	13
2008	"Female"	"Anthropology"	21
2009	"Female"	"Anthropology"	20
2010	"Female"	"Anthropology"	24
2011	"Female"	"Anthropology"	31
1972	"Male"	"Anthropology"	0
1973	"Male"	"Anthropology"	0
1974	"Male"	"Anthropology"	2
1975	"Male"	"Anthropology"	4
1976	"Male"	"Anthropology"	0
1977	"Male"	"Anthropology"	7
1978	"Male"	"Anthropology"	6
1979	"Male"	"Anthropology"	6
1980	"Male"	"Anthropology"	4
1981	"Male"	"Anthropology"	7
1982	"Male"	"Anthropology"	5
1983	"Male"	"Anthropology"	2
1984	"Male"	"Anthropology"	4
1985	"Male"	"Anthropology"	6
1986	"Male"	"Anthropology"	5
1987	"Male"	"Anthropology"	7
1988	"Male"	"Anthropology"	4
1989	"Male"	"Anthropology"	6
1990	"Male"	"Anthropology"	4
1991	"Male"	"Anthropology"	8
1992	"Male"	"Anthropology"	15
1993	"Male"	"Anthropology"	5
1994	"Male"	"Anthropology"	7
1995	"Male"	"Anthropology"	18
1996	"Male"	"Anthropology"	14
1997	"Male"	"Anthropology"	13
1998	"Male"	"Anthropology"	11
1999	"Male"	"Anthropology"	12
2000	"Male"	"Anthropology"	5
2001	"Male"	"Anthropology"	3
2002	"Male"	"Anthropology"	9
2003	"Male"	"Anthropology"	5
2004	"Male"	"Anthropology"	18
2005	"Male"	"Anthropology"	11
2006	"Male"	"Anthropology"	13
2007	"Male"	"Anthropology"	10
2008	"Male"	"Anthropology"	14
2009	"Male"	"Anthropology"	10
2010	"Male"	"Anthropology"	20
2011	"Male"	"Anthropology"	9
1972	"Female"	"Area and Ethnic Studies"	0
1973	"Female"	"Area and Ethnic Studies"	0
1974	"Female"	"Area and Ethnic Studies"	0
1975	"Female"	"Area and Ethnic Studies"	0
1976	"Female"	"Area and Ethnic Studies"	0
1977	"Female"	"Area and Ethnic Studies"	0
1978	"Female"	"Area and Ethnic Studies"	0
1979	"Female"	"Area and Ethnic Studies"	0
1980	"Female"	"Area and Ethnic Studies"	0
1981	"Female"	"Area and Ethnic Studies"	0
1982	"Female"	"Area and Ethnic Studies"	0
1983	"Female"	"Area and Ethnic Studies"	0
1984	"Female"	"Area and Ethnic Studies"	0
1985	"Female"	"Area and Ethnic Studies"	0
1986	"Female"	"Area and Ethnic Studies"	0
1987	"Female"	"Area and Ethnic Studies"	0
1988	"Female"	"Area and Ethnic Studies"	0
1989	"Female"	"Area and Ethnic Studies"	0
1990	"Female"	"Area and Ethnic Studies"	0
1991	"Female"	"Area and Ethnic Studies"	0
1992	"Female"	"Area and Ethnic Studies"	0
1993	"Female"	"Area and Ethnic Studies"	0
1994	"Female"	"Area and Ethnic Studies"	0
1995	"Female"	"Area and Ethnic Studies"	0
1996	"Female"	"Area and Ethnic Studies"	0
1997	"Female"	"Area and Ethnic Studies"	0
1998	"Female"	"Area and Ethnic Studies"	0
1999	"Female"	"Area and Ethnic Studies"	0
2000	"Female"	"Area and Ethnic Studies"	0
2001	"Female"	"Area and Ethnic Studies"	0
2002	"Female"	"Area and Ethnic Studies"	0
2003	"Female"	"Area and Ethnic Studies"	0
2004	"Female"	"Area and Ethnic Studies"	3
2005	"Female"	"Area and Ethnic Studies"	6
2006	"Female"	"Area and Ethnic Studies"	6
2007	"Female"	"Area and Ethnic Studies"	3
2008	"Female"	"Area and Ethnic Studies"	5
2009	"Female"	"Area and Ethnic Studies"	0
2010	"Female"	"Area and Ethnic Studies"	4
2011	"Female"	"Area and Ethnic Studies"	1
1972	"Male"	"Area and Ethnic Studies"	0
1973	"Male"	"Area and Ethnic Studies"	0
1974	"Male"	"Area and Ethnic Studies"	0
1975	"Male"	"Area and Ethnic Studies"	0
1976	"Male"	"Area and Ethnic Studies"	0
1977	"Male"	"Area and Ethnic Studies"	0
1978	"Male"	"Area and Ethnic Studies"	0
1979	"Male"	"Area and Ethnic Studies"	0
1980	"Male"	"Area and Ethnic Studies"	0
1981	"Male"	"Area and Ethnic Studies"	0
1982	"Male"	"Area and Ethnic Studies"	0
1983	"Male"	"Area and Ethnic Studies"	0
1984	"Male"	"Area and Ethnic Studies"	0
1985	"Male"	"Area and Ethnic Studies"	0
1986	"Male"	"Area and Ethnic Studies"	0
1987	"Male"	"Area and Ethnic Studies"	0
1988	"Male"	"Area and Ethnic Studies"	0
1989	"Male"	"Area and Ethnic Studies"	0
1990	"Male"	"Area and Ethnic Studies"	0
1991	"Male"	"Area and Ethnic Studies"	0
1992	"Male"	"Area and Ethnic Studies"	0
1993	"Male"	"Area and Ethnic Studies"	0
1994	"Male"	"Area and Ethnic Studies"	0
1995	"Male"	"Area and Ethnic Studies"	0
1996	"Male"	"Area and Ethnic Studies"	0
1997	"Male"	"Area and Ethnic Studies"	0
1998	"Male"	"Area and Ethnic Studies"	0
1999	"Male"	"Area and Ethnic Studies"	0
2000	"Male"	"Area and Ethnic Studies"	0
2001	"Male"	"Area and Ethnic Studies"	0
2002	"Male"	"Area and Ethnic Studies"	0
2003	"Male"	"Area and Ethnic Studies"	0
2004	"Male"	"Area and Ethnic Studies"	3
2005	"Male"	"Area and Ethnic Studies"	4
2006	"Male"	"Area and Ethnic Studies"	3
2007	"Male"	"Area and Ethnic Studies"	1
2008	"Male"	"Area and Ethnic Studies"	0
2009	"Male"	"Area and Ethnic Studies"	2
2010	"Male"	"Area and Ethnic Studies"	1
2011	"Male"	"Area and Ethnic Studies"	1
1972	"Female"	"Art/Architecture"	2
1973	"Female"	"Art/Architecture"	2
1974	"Female"	"Art/Architecture"	5
1975	"Female"	"Art/Architecture"	13
1976	"Female"	"Art/Architecture"	20
1977	"Female"	"Art/Architecture"	26
1978	"Female"	"Art/Architecture"	25
1979	"Female"	"Art/Architecture"	36
1980	"Female"	"Art/Architecture"	31
1981	"Female"	"Art/Architecture"	44
1982	"Female"	"Art/Architecture"	54
1983	"Female"	"Art/Architecture"	65
1984	"Female"	"Art/Architecture"	71
1985	"Female"	"Art/Architecture"	66
1986	"Female"	"Art/Architecture"	76
1987	"Female"	"Art/Architecture"	75
1988	"Female"	"Art/Architecture"	47
1989	"Female"	"Art/Architecture"	63
1990	"Female"	"Art/Architecture"	62
1991	"Female"	"Art/Architecture"	55
1992	"Female"	"Art/Architecture"	61
1993	"Female"	"Art/Architecture"	48
1994	"Female"	"Art/Architecture"	69
1995	"Female"	"Art/Architecture"	62
1996	"Female"	"Art/Architecture"	50
1997	"Female"	"Art/Architecture"	55
1998	"Female"	"Art/Architecture"	55
1999	"Female"	"Art/Architecture"	77
2000	"Female"	"Art/Architecture"	78
2001	"Female"	"Art/Architecture"	66
2002	"Female"	"Art/Architecture"	116
2003	"Female"	"Art/Architecture"	115
2004	"Female"	"Art/Architecture"	79
2005	"Female"	"Art/Architecture"	84
2006	"Female"	"Art/Architecture"	80
2007	"Female"	"Art/Architecture"	92
2008	"Female"	"Art/Architecture"	81
2009	"Female"	"Art/Architecture"	88
2010	"Female"	"Art/Architecture"	92
2011	"Female"	"Art/Architecture"	76
1972	"Male"	"Art/Architecture"	181
1973	"Male"	"Art/Architecture"	180
1974	"Male"	"Art/Architecture"	194
1975	"Male"	"Art/Architecture"	166
1976	"Male"	"Art/Architecture"	202
1977	"Male"	"Art/Architecture"	184
1978	"Male"	"Art/Architecture"	234
1979	"Male"	"Art/Architecture"	238
1980	"Male"	"Art/Architecture"	219
1981	"Male"	"Art/Architecture"	198
1982	"Male"	"Art/Architecture"	258
1983	"Male"	"Art/Architecture"	255
1984	"Male"	"Art/Architecture"	251
1985	"Male"	"Art/Architecture"	260
1986	"Male"	"Art/Architecture"	255
1987	"Male"	"Art/Architecture"	269
1988	"Male"	"Art/Architecture"	144
1989	"Male"	"Art/Architecture"	128
1990	"Male"	"Art/Architecture"	140
1991	"Male"	"Art/Architecture"	154
1992	"Male"	"Art/Architecture"	158
1993	"Male"	"Art/Architecture"	131
1994	"Male"	"Art/Architecture"	104
1995	"Male"	"Art/Architecture"	127
1996	"Male"	"Art/Architecture"	114
1997	"Male"	"Art/Architecture"	123
1998	"Male"	"Art/Architecture"	120
1999	"Male"	"Art/Architecture"	123
2000	"Male"	"Art/Architecture"	122
2001	"Male"	"Art/Architecture"	122
2002	"Male"	"Art/Architecture"	111
2003	"Male"	"Art/Architecture"	113
2004	"Male"	"Art/Architecture"	89
2005	"Male"	"Art/Architecture"	84
2006	"Male"	"Art/Architecture"	63
2007	"Male"	"Art/Architecture"	101
2008	"Male"	"Art/Architecture"	70
2009	"Male"	"Art/Architecture"	106
2010	"Male"	"Art/Architecture"	77
2011	"Male"	"Art/Architecture"	75
1972	"Female"	"Business"	6
1973	"Female"	"Business"	12
1974	"Female"	"Business"	41
1975	"Female"	"Business"	70
1976	"Female"	"Business"	138
1977	"Female"	"Business"	212
1978	"Female"	"Business"	271
1979	"Female"	"Business"	383
1980	"Female"	"Business"	440
1981	"Female"	"Business"	558
1982	"Female"	"Business"	551
1983	"Female"	"Business"	595
1984	"Female"	"Business"	661
1985	"Female"	"Business"	740
1986	"Female"	"Business"	657
1987	"Female"	"Business"	603
1988	"Female"	"Business"	591
1989	"Female"	"Business"	556
1990	"Female"	"Business"	596
1991	"Female"	"Business"	581
1992	"Female"	"Business"	702
1993	"Female"	"Business"	683
1994	"Female"	"Business"	648
1995	"Female"	"Business"	631
1996	"Female"	"Business"	720
1997	"Female"	"Business"	825
1998	"Female"	"Business"	877
1999	"Female"	"Business"	1033
2000	"Female"	"Business"	1154
2001	"Female"	"Business"	1148
2002	"Female"	"Business"	1156
2003	"Female"	"Business"	1160
2004	"Female"	"Business"	1016
2005	"Female"	"Business"	934
2006	"Female"	"Business"	1077
2007	"Female"	"Business"	914
2008	"Female"	"Business"	986
2009	"Female"	"Business"	1061
2010	"Female"	"Business"	1076
2011	"Female"	"Business"	1048
1972	"Male"	"Business"	388
1973	"Male"	"Business"	297
1974	"Male"	"Business"	364
1975	"Male"	"Business"	278
1976	"Male"	"Business"	362
1977	"Male"	"Business"	358
1978	"Male"	"Business"	431
1979	"Male"	"Business"	461
1980	"Male"	"Business"	545
1981	"Male"	"Business"	543
1982	"Male"	"Business"	562
1983	"Male"	"Business"	533
1984	"Male"	"Business"	544
1985	"Male"	"Business"	745
1986	"Male"	"Business"	656
1987	"Male"	"Business"	654
1988	"Male"	"Business"	639
1989	"Male"	"Business"	711
1990	"Male"	"Business"	800
1991	"Male"	"Business"	829
1992	"Male"	"Business"	854
1993	"Male"	"Business"	903
1994	"Male"	"Business"	842
1995	"Male"	"Business"	887
1996	"Male"	"Business"	910
1997	"Male"	"Business"	1018
1998	"Male"	"Business"	1040
1999	"Male"	"Business"	1359
2000	"Male"	"Business"	1501
2001	"Male"	"Business"	1343
2002	"Male"	"Business"	1255
2003	"Male"	"Business"	1236
2004	"Male"	"Business"	1156
2005	"Male"	"Business"	1116
2006	"Male"	"Business"	1131
2007	"Male"	"Business"	1117
2008	"Male"	"Business"	1183
2009	"Male"	"Business"	1241
2010	"Male"	"Business"	1205
2011	"Male"	"Business"	1202
1972	"Female"	"Communication and Library Science"	3
1973	"Female"	"Communication and Library Science"	1
1974	"Female"	"Communication and Library Science"	8
1975	"Female"	"Communication and Library Science"	8
1976	"Female"	"Communication and Library Science"	24
1977	"Female"	"Communication and Library Science"	35
1978	"Female"	"Communication and Library Science"	32
1979	"Female"	"Communication and Library Science"	35
1980	"Female"	"Communication and Library Science"	45
1981	"Female"	"Communication and Library Science"	48
1982	"Female"	"Communication and Library Science"	54
1983	"Female"	"Communication and Library Science"	40
1984	"Female"	"Communication and Library Science"	41
1985	"Female"	"Communication and Library Science"	68
1986	"Female"	"Communication and Library Science"	95
1987	"Female"	"Communication and Library Science"	84
1988	"Female"	"Communication and Library Science"	92
1989	"Female"	"Communication and Library Science"	105
1990	"Female"	"Communication and Library Science"	128
1991	"Female"	"Communication and Library Science"	139
1992	"Female"	"Communication and Library Science"	156
1993	"Female"	"Communication and Library Science"	143
1994	"Female"	"Communication and Library Science"	157
1995	"Female"	"Communication and Library Science"	137
1996	"Female"	"Communication and Library Science"	118
1997	"Female"	"Communication and Library Science"	103
1998	"Female"	"Communication and Library Science"	115
1999	"Female"	"Communication and Library Science"	131
2000	"Female"	"Communication and Library Science"	121
2001	"Female"	"Communication and Library Science"	159
2002	"Female"	"Communication and Library Science"	221
2003	"Female"	"Communication and Library Science"	203
2004	"Female"	"Communication and Library Science"	138
2005	"Female"	"Communication and Library Science"	85
2006	"Female"	"Communication and Library Science"	41
2007	"Female"	"Communication and Library Science"	21
