"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Area and Ethnic Studies"	0	1761
"1966"	"Male"	"Physical Sciences"	0	1761
"1966"	"Female"	"Life Sciences"	0	1761
"1966"	"Female"	"Psychology"	0	1761
"1966"	"Female"	"Computer Science"	0	1761
"1966"	"Male"	"Social Sciences, Other"	0	1761
"1966"	"Male"	"Area and Ethnic Studies"	0	1761
"1966"	"Female"	"Political Science and Public Administration"	0	1761
"1966"	"Female"	"Foreign Languages"	8	1761
"1966"	"Male"	"Psychology"	0	1761
"1966"	"Male"	"Computer Science"	0	1761
"1966"	"Female"	"Social Service Professions"	0	1761
"1966"	"Female"	"Math"	0	1761
"1966"	"Male"	"Political Science and Public Administration"	0	1761
"1966"	"Male"	"Foreign Languages"	0	1761
"1966"	"Female"	"Religion"	1	1761
"1966"	"Male"	"Other/Unknown"	0	1761
"1966"	"Male"	"Art/Architecture"	6	1761
"1966"	"Male"	"Math"	0	1761
"1966"	"Female"	"Vocational Studies and Home Economics"	0	1761
"1966"	"Female"	"Sociology"	0	1761
"1966"	"Male"	"Education"	405	1761
"1966"	"Female"	"Physical Sciences"	0	1761
"1966"	"Female"	"Business"	6	1761
"1966"	"Female"	"Other/Unknown"	0	1761
"1966"	"Male"	"History"	14	1761
"1966"	"Male"	"Sociology"	0	1761
"1966"	"Female"	"Engineering"	0	1761
"1966"	"Male"	"Communication and Librarianship"	0	1761
"1966"	"Male"	"Religion"	199	1761
"1966"	"Female"	"Education"	256	1761
"1966"	"Female"	"Humanities, Other"	4	1761
"1966"	"Male"	"English and Literature"	18	1761
"1966"	"Male"	"Vocational Studies and Home Economics"	0	1761
"1966"	"Female"	"Communication and Librarianship"	0	1761
"1966"	"Male"	"Life Sciences"	0	1761
"1966"	"Female"	"Art/Architecture"	12	1761
"1966"	"Male"	"Social Service Professions"	0	1761
"1966"	"Female"	"English and Literature"	0	1761
"1966"	"Female"	"Social Sciences, Other"	0	1761
"1966"	"Male"	"Engineering"	0	1761
"1966"	"Male"	"Business"	0	1761
"1966"	"Female"	"History"	0	1761
"1966"	"Male"	"Humanities, Other"	832	1761
"1967"	"Female"	"Life Sciences"	0	1879
"1967"	"Male"	"Physical Sciences"	0	1879
"1967"	"Male"	"Foreign Languages"	13	1879
"1967"	"Female"	"Area and Ethnic Studies"	0	1879
"1967"	"Male"	"Social Sciences, Other"	0	1879
"1967"	"Male"	"Math"	0	1879
"1967"	"Female"	"Computer Science"	0	1879
"1967"	"Female"	"Sociology"	0	1879
"1967"	"Female"	"Physical Sciences"	0	1879
"1967"	"Male"	"Life Sciences"	0	1879
"1967"	"Male"	"Political Science and Public Administration"	0	1879
"1967"	"Female"	"Engineering"	0	1879
"1967"	"Female"	"Foreign Languages"	6	1879
"1967"	"Female"	"Math"	0	1879
"1967"	"Male"	"Art/Architecture"	15	1879
"1967"	"Female"	"Humanities, Other"	18	1879
"1967"	"Male"	"Other/Unknown"	0	1879
"1967"	"Female"	"History"	4	1879
"1967"	"Male"	"Education"	411	1879
"1967"	"Male"	"Religion"	117	1879
"1967"	"Male"	"Computer Science"	0	1879
"1967"	"Female"	"Other/Unknown"	0	1879
"1967"	"Male"	"History"	16	1879
"1967"	"Female"	"Art/Architecture"	9	1879
"1967"	"Male"	"Communication and Librarianship"	0	1879
"1967"	"Male"	"Sociology"	0	1879
"1967"	"Male"	"Business"	0	1879
"1967"	"Female"	"Education"	290	1879
"1967"	"Male"	"English and Literature"	20	1879
"1967"	"Male"	"Area and Ethnic Studies"	0	1879
"1967"	"Male"	"Engineering"	0	1879
"1967"	"Female"	"Communication and Librarianship"	0	1879
"1967"	"Male"	"Vocational Studies and Home Economics"	0	1879
"1967"	"Female"	"Business"	4	1879
"1967"	"Male"	"Humanities, Other"	939	1879
"1967"	"Female"	"English and Literature"	1	1879
"1967"	"Female"	"Religion"	5	1879
"1967"	"Female"	"Psychology"	0	1879
"1967"	"Female"	"Social Sciences, Other"	11	1879
"1967"	"Male"	"Psychology"	0	1879
"1967"	"Female"	"Political Science and Public Administration"	0	1879
"1967"	"Female"	"Vocational Studies and Home Economics"	0	1879
"1967"	"Male"	"Social Service Professions"	0	1879
"1967"	"Female"	"Social Service Professions"	0	1879
"1968"	"Male"	"Foreign Languages"	11	1986
"1968"	"Male"	"Political Science and Public Administration"	0	1986
"1968"	"Male"	"Life Sciences"	0	1986
"1968"	"Male"	"Social Sciences, Other"	0	1986
"1968"	"Female"	"Foreign Languages"	4	1986
"1968"	"Male"	"Education"	508	1986
"1968"	"Female"	"Math"	0	1986
"1968"	"Male"	"Physical Sciences"	0	1986
"1968"	"Female"	"Engineering"	0	1986
"1968"	"Male"	"History"	23	1986
"1968"	"Male"	"Art/Architecture"	12	1986
"1968"	"Female"	"Computer Science"	0	1986
"1968"	"Male"	"Math"	0	1986
"1968"	"Male"	"Other/Unknown"	12	1986
"1968"	"Female"	"Communication and Librarianship"	0	1986
"1968"	"Female"	"Sociology"	0	1986
"1968"	"Female"	"Physical Sciences"	0	1986
"1968"	"Female"	"Business"	0	1986
"1968"	"Female"	"English and Literature"	1	1986
"1968"	"Male"	"Vocational Studies and Home Economics"	0	1986
"1968"	"Female"	"Area and Ethnic Studies"	0	1986
"1968"	"Male"	"Communication and Librarianship"	0	1986
"1968"	"Female"	"Life Sciences"	0	1986
"1968"	"Male"	"Business"	0	1986
"1968"	"Female"	"Psychology"	0	1986
"1968"	"Female"	"Humanities, Other"	2	1986
"1968"	"Male"	"English and Literature"	21	1986
"1968"	"Female"	"Political Science and Public Administration"	0	1986
"1968"	"Male"	"Religion"	136	1986
"1968"	"Female"	"Vocational Studies and Home Economics"	0	1986
"1968"	"Male"	"Engineering"	0	1986
"1968"	"Female"	"Other/Unknown"	0	1986
"1968"	"Female"	"Social Service Professions"	0	1986
"1968"	"Female"	"Art/Architecture"	18	1986
"1968"	"Male"	"Sociology"	0	1986
"1968"	"Male"	"Area and Ethnic Studies"	0	1986
"1968"	"Female"	"Religion"	3	1986
"1968"	"Male"	"Social Service Professions"	0	1986
"1968"	"Male"	"Computer Science"	0	1986
"1968"	"Female"	"History"	3	1986
"1968"	"Female"	"Social Sciences, Other"	9	1986
"1968"	"Male"	"Humanities, Other"	876	1986
"1968"	"Female"	"Education"	347	1986
"1968"	"Male"	"Psychology"	0	1986
"1969"	"Male"	"Math"	0	2198
"1969"	"Female"	"Physical Sciences"	1	2198
"1969"	"Female"	"Area and Ethnic Studies"	0	2198
"1969"	"Female"	"Computer Science"	0	2198
"1969"	"Female"	"Foreign Languages"	3	2198
"1969"	"Male"	"Life Sciences"	0	2198
"1969"	"Female"	"Math"	0	2198
"1969"	"Female"	"Art/Architecture"	17	2198
"1969"	"Male"	"Physical Sciences"	0	2198
"1969"	"Male"	"Foreign Languages"	60	2198
"1969"	"Male"	"Other/Unknown"	17	2198
"1969"	"Female"	"Political Science and Public Administration"	0	2198
"1969"	"Female"	"Psychology"	0	2198
"1969"	"Male"	"Art/Architecture"	18	2198
"1969"	"Female"	"Other/Unknown"	0	2198
"1969"	"Female"	"Business"	0	2198
"1969"	"Male"	"Education"	461	2198
"1969"	"Male"	"Communication and Librarianship"	0	2198
"1969"	"Female"	"Engineering"	0	2198
"1969"	"Female"	"Life Sciences"	0	2198
"1969"	"Male"	"History"	2	2198
"1969"	"Male"	"Business"	2	2198
"1969"	"Female"	"Humanities, Other"	19	2198
"1969"	"Male"	"Area and Ethnic Studies"	0	2198
"1969"	"Female"	"History"	0	2198
"1969"	"Male"	"Religion"	237	2198
"1969"	"Female"	"Communication and Librarianship"	0	2198
"1969"	"Male"	"Psychology"	0	2198
"1969"	"Male"	"Humanities, Other"	895	2198
"1969"	"Female"	"English and Literature"	7	2198
"1969"	"Male"	"Political Science and Public Administration"	0	2198
"1969"	"Female"	"Social Sciences, Other"	12	2198
"1969"	"Male"	"Sociology"	0	2198
"1969"	"Female"	"Religion"	5	2198
"1969"	"Female"	"Education"	383	2198
"1969"	"Male"	"English and Literature"	34	2198
"1969"	"Male"	"Social Sciences, Other"	23	2198
"1969"	"Male"	"Engineering"	0	2198
"1969"	"Female"	"Vocational Studies and Home Economics"	0	2198
"1969"	"Female"	"Sociology"	0	2198
"1969"	"Male"	"Social Service Professions"	1	2198
"1969"	"Male"	"Computer Science"	0	2198
"1969"	"Female"	"Social Service Professions"	1	2198
"1969"	"Male"	"Vocational Studies and Home Economics"	0	2198
"1970"	"Female"	"Sociology"	0	2118
"1970"	"Female"	"English and Literature"	1	2118
