"year"	"gender"	"field"	"count"	"total"
"1981"	"Female"	"Agriculture"	0	6
"1981"	"Female"	"Social Service Professions"	0	6
"1981"	"Male"	"History"	0	6
"1981"	"Female"	"Art/Architecture"	0	6
"1981"	"Female"	"Vocational Studies and Home Economics"	0	6
"1981"	"Male"	"Other/Unknown"	0	6
"1981"	"Female"	"Communication and Librarianship"	0	6
"1981"	"Male"	"Political Science and Public Administration"	0	6
"1981"	"Female"	"Education"	0	6
"1981"	"Female"	"Sociology"	0	6
"1981"	"Male"	"Social Sciences, Other"	0	6
"1981"	"Female"	"History"	0	6
"1981"	"Female"	"Business"	0	6
"1981"	"Male"	"Sociology"	0	6
"1981"	"Female"	"Other/Unknown"	0	6
"1981"	"Female"	"Computer Science"	0	6
"1981"	"Female"	"Political Science and Public Administration"	0	6
"1981"	"Female"	"Engineering"	0	6
"1981"	"Male"	"Agriculture"	0	6
"1981"	"Female"	"Social Sciences, Other"	0	6
"1981"	"Female"	"Life Sciences"	0	6
"1981"	"Male"	"Engineering"	0	6
"1981"	"Male"	"Vocational Studies and Home Economics"	0	6
"1981"	"Female"	"Physical Sciences"	0	6
"1981"	"Male"	"Life Sciences"	0	6
"1981"	"Female"	"Psychology"	2	6
"1981"	"Male"	"Education"	4	6
"1981"	"Male"	"Physical Sciences"	0	6
"1981"	"Male"	"Social Service Professions"	0	6
"1981"	"Male"	"Psychology"	0	6
"1981"	"Male"	"Business"	0	6
"1981"	"Female"	"Area and Ethnic Studies"	0	6
"1981"	"Male"	"Computer Science"	0	6
"1981"	"Male"	"Art/Architecture"	0	6
"1981"	"Male"	"Area and Ethnic Studies"	0	6
"1981"	"Male"	"Communication and Librarianship"	0	6
"1982"	"Female"	"Art/Architecture"	0	9
"1982"	"Female"	"Education"	5	9
"1982"	"Female"	"History"	0	9
"1982"	"Female"	"Business"	0	9
"1982"	"Female"	"Other/Unknown"	0	9
"1982"	"Female"	"Agriculture"	0	9
"1982"	"Female"	"Social Service Professions"	2	9
"1982"	"Female"	"Political Science and Public Administration"	0	9
"1982"	"Male"	"Business"	0	9
"1982"	"Female"	"Vocational Studies and Home Economics"	1	9
"1982"	"Female"	"Social Sciences, Other"	0	9
"1982"	"Female"	"Communication and Librarianship"	0	9
"1982"	"Male"	"Political Science and Public Administration"	0	9
"1982"	"Female"	"Sociology"	0	9
"1982"	"Female"	"Area and Ethnic Studies"	0	9
"1982"	"Male"	"Social Sciences, Other"	0	9
"1982"	"Male"	"Life Sciences"	0	9
"1982"	"Male"	"Education"	0	9
"1982"	"Male"	"Sociology"	0	9
"1982"	"Male"	"Physical Sciences"	0	9
"1982"	"Male"	"History"	0	9
"1982"	"Male"	"Psychology"	0	9
"1982"	"Female"	"Engineering"	0	9
"1982"	"Male"	"Other/Unknown"	0	9
"1982"	"Male"	"Computer Science"	0	9
"1982"	"Female"	"Life Sciences"	0	9
"1982"	"Male"	"Art/Architecture"	0	9
"1982"	"Male"	"Vocational Studies and Home Economics"	0	9
"1982"	"Female"	"Physical Sciences"	0	9
"1982"	"Male"	"Communication and Librarianship"	0	9
"1982"	"Female"	"Psychology"	0	9
"1982"	"Male"	"Area and Ethnic Studies"	0	9
"1982"	"Female"	"Computer Science"	0	9
"1982"	"Male"	"Agriculture"	0	9
"1982"	"Male"	"Social Service Professions"	1	9
"1982"	"Male"	"Engineering"	0	9
"1983"	"Female"	"Business"	0	7
"1983"	"Female"	"Political Science and Public Administration"	0	7
"1983"	"Male"	"Business"	0	7
"1983"	"Female"	"Social Sciences, Other"	0	7
"1983"	"Male"	"Political Science and Public Administration"	0	7
"1983"	"Female"	"Sociology"	0	7
"1983"	"Male"	"Social Sciences, Other"	0	7
"1983"	"Male"	"Life Sciences"	0	7
"1983"	"Female"	"Psychology"	0	7
"1983"	"Male"	"Sociology"	0	7
"1983"	"Female"	"Agriculture"	0	7
"1983"	"Female"	"Social Service Professions"	0	7
"1983"	"Male"	"History"	0	7
"1983"	"Female"	"Art/Architecture"	0	7
"1983"	"Female"	"Vocational Studies and Home Economics"	0	7
"1983"	"Male"	"Agriculture"	0	7
"1983"	"Male"	"Other/Unknown"	0	7
"1983"	"Female"	"Education"	5	7
"1983"	"Male"	"Engineering"	1	7
"1983"	"Female"	"Area and Ethnic Studies"	0	7
"1983"	"Male"	"Vocational Studies and Home Economics"	0	7
"1983"	"Female"	"History"	0	7
"1983"	"Male"	"Education"	1	7
"1983"	"Male"	"Area and Ethnic Studies"	0	7
"1983"	"Female"	"Computer Science"	0	7
"1983"	"Female"	"Other/Unknown"	0	7
"1983"	"Male"	"Psychology"	0	7
"1983"	"Female"	"Engineering"	0	7
"1983"	"Male"	"Computer Science"	0	7
"1983"	"Male"	"Social Service Professions"	0	7
"1983"	"Female"	"Communication and Librarianship"	0	7
"1983"	"Male"	"Art/Architecture"	0	7
"1983"	"Female"	"Physical Sciences"	0	7
"1983"	"Male"	"Communication and Librarianship"	0	7
"1983"	"Male"	"Physical Sciences"	0	7
"1983"	"Female"	"Life Sciences"	0	7
"1984"	"Female"	"Education"	9	13
"1984"	"Female"	"Sociology"	0	13
"1984"	"Male"	"Sociology"	0	13
"1984"	"Female"	"Business"	0	13
"1984"	"Female"	"Vocational Studies and Home Economics"	0	13
"1984"	"Female"	"Political Science and Public Administration"	0	13
"1984"	"Female"	"Art/Architecture"	0	13
"1984"	"Female"	"Other/Unknown"	0	13
"1984"	"Male"	"Life Sciences"	0	13
"1984"	"Male"	"Political Science and Public Administration"	0	13
"1984"	"Male"	"Vocational Studies and Home Economics"	0	13
"1984"	"Female"	"Area and Ethnic Studies"	0	13
"1984"	"Female"	"Agriculture"	0	13
"1984"	"Male"	"Communication and Librarianship"	0	13
"1984"	"Female"	"Psychology"	0	13
"1984"	"Male"	"Education"	3	13
"1984"	"Female"	"Engineering"	1	13
"1984"	"Female"	"Social Service Professions"	0	13
"1984"	"Male"	"History"	0	13
"1984"	"Male"	"Business"	0	13
"1984"	"Male"	"Engineering"	0	13
"1984"	"Female"	"Communication and Librarianship"	0	13
"1984"	"Female"	"Social Sciences, Other"	0	13
"1984"	"Female"	"Life Sciences"	0	13
"1984"	"Male"	"Psychology"	0	13
"1984"	"Male"	"Area and Ethnic Studies"	0	13
"1984"	"Male"	"Social Sciences, Other"	0	13
"1984"	"Female"	"History"	0	13
"1984"	"Male"	"Computer Science"	0	13
"1984"	"Male"	"Art/Architecture"	0	13
"1984"	"Male"	"Other/Unknown"	0	13
"1984"	"Female"	"Computer Science"	0	13
"1984"	"Male"	"Physical Sciences"	0	13
"1984"	"Male"	"Social Service Professions"	0	13
"1984"	"Female"	"Physical Sciences"	0	13
"1984"	"Male"	"Agriculture"	0	13
"1985"	"Female"	"Education"	7	16
"1985"	"Female"	"Other/Unknown"	0	16
"1985"	"Female"	"Area and Ethnic Studies"	0	16
"1985"	"Female"	"Vocational Studies and Home Economics"	0	16
"1985"	"Female"	"Sociology"	0	16
"1985"	"Female"	"History"	0	16
"1985"	"Male"	"Life Sciences"	0	16
"1985"	"Female"	"Business"	0	16
"1985"	"Female"	"Physical Sciences"	0	16
"1985"	"Female"	"Political Science and Public Administration"	0	16
"1985"	"Male"	"Business"	0	16
"1985"	"Male"	"Area and Ethnic Studies"	0	16
"1985"	"Male"	"Other/Unknown"	0	16
"1985"	"Female"	"Communication and Librarianship"	0	16
"1985"	"Male"	"Political Science and Public Administration"	0	16
"1985"	"Male"	"Vocational Studies and Home Economics"	0	16
"1985"	"Male"	"Engineering"	1	16
"1985"	"Female"	"Agriculture"	0	16
"1985"	"Male"	"Communication and Librarianship"	0	16
"1985"	"Female"	"Psychology"	0	16
"1985"	"Male"	"Education"	3	16
"1985"	"Female"	"Engineering"	2	16
"1985"	"Female"	"Social Service Professions"	0	16
"1985"	"Male"	"History"	0	16
"1985"	"Female"	"Art/Architecture"	0	16
"1985"	"Male"	"Art/Architecture"	0	16
"1985"	"Female"	"Social Sciences, Other"	2	16
"1985"	"Male"	"Computer Science"	0	16
"1985"	"Female"	"Life Sciences"	0	16
"1985"	"Male"	"Sociology"	0	16
"1985"	"Male"	"Social Sciences, Other"	1	16
"1985"	"Female"	"Computer Science"	0	16
"1985"	"Male"	"Psychology"	0	16
"1985"	"Male"	"Physical Sciences"	0	16
"1985"	"Male"	"Social Service Professions"	0	16
"1985"	"Male"	"Agriculture"	0	16
"1986"	"Female"	"Education"	4	19
"1986"	"Male"	"Area and Ethnic Studies"	0	19
"1986"	"Female"	"Area and Ethnic Studies"	0	19
"1986"	"Female"	"Vocational Studies and Home Economics"	0	19
"1986"	"Male"	"Social Sciences, Other"	0	19
"1986"	"Male"	"Other/Unknown"	0	19
"1986"	"Female"	"Sociology"	0	19
"1986"	"Male"	"Engineering"	1	19
"1986"	"Male"	"Art/Architecture"	0	19
"1986"	"Female"	"Agriculture"	0	19
"1986"	"Female"	"Physical Sciences"	0	19
"1986"	"Male"	"Sociology"	0	19
"1986"	"Male"	"Education"	3	19
"1986"	"Male"	"Business"	1	19
"1986"	"Female"	"Other/Unknown"	2	19
"1986"	"Female"	"Political Science and Public Administration"	0	19
"1986"	"Female"	"Art/Architecture"	0	19
"1986"	"Female"	"Life Sciences"	0	19
"1986"	"Female"	"Social Sciences, Other"	5	19
"1986"	"Male"	"Political Science and Public Administration"	0	19
"1986"	"Male"	"Vocational Studies and Home Economics"	0	19
"1986"	"Female"	"History"	0	19
"1986"	"Female"	"Business"	1	19
"1986"	"Female"	"Social Service Professions"	0	19
"1986"	"Female"	"Psychology"	0	19
"1986"	"Male"	"History"	0	19
"1986"	"Female"	"Engineering"	2	19
"1986"	"Male"	"Agriculture"	0	19
"1986"	"Male"	"Physical Sciences"	0	19
"1986"	"Female"	"Communication and Librarianship"	0	19
"1986"	"Male"	"Life Sciences"	0	19
"1986"	"Female"	"Computer Science"	0	19
"1986"	"Male"	"Social Service Professions"	0	19
"1986"	"Male"	"Psychology"	0	19
"1986"	"Male"	"Communication and Librarianship"	0	19
"1986"	"Male"	"Computer Science"	0	19
"1987"	"Male"	"Engineering"	2	29
"1987"	"Female"	"Education"	16	29
"1987"	"Male"	"Social Sciences, Other"	3	29
"1987"	"Female"	"Area and Ethnic Studies"	0	29
"1987"	"Female"	"Business"	0	29
"1987"	"Female"	"Social Service Professions"	0	29
"1987"	"Male"	"Art/Architecture"	0	29
"1987"	"Male"	"Political Science and Public Administration"	0	29
"1987"	"Female"	"Political Science and Public Administration"	0	29
"1987"	"Male"	"Business"	1	29
"1987"	"Female"	"Sociology"	0	29
"1987"	"Female"	"History"	0	29
"1987"	"Male"	"Vocational Studies and Home Economics"	0	29
"1987"	"Female"	"Life Sciences"	0	29
"1987"	"Male"	"Area and Ethnic Studies"	0	29
"1987"	"Female"	"Communication and Librarianship"	0	29
"1987"	"Male"	"Communication and Librarianship"	0	29
"1987"	"Female"	"Psychology"	0	29
"1987"	"Male"	"Psychology"	0	29
"1987"	"Female"	"Other/Unknown"	0	29
"1987"	"Female"	"Art/Architecture"	0	29
"1987"	"Male"	"History"	0	29
"1987"	"Male"	"Life Sciences"	0	29
"1987"	"Male"	"Social Service Professions"	0	29
"1987"	"Male"	"Computer Science"	0	29
"1987"	"Female"	"Physical Sciences"	0	29
"1987"	"Female"	"Computer Science"	0	29
"1987"	"Male"	"Education"	0	29
"1987"	"Male"	"Sociology"	0	29
"1987"	"Female"	"Vocational Studies and Home Economics"	0	29
"1987"	"Female"	"Social Sciences, Other"	5	29
"1987"	"Male"	"Physical Sciences"	0	29
"1987"	"Female"	"Agriculture"	0	29
"1987"	"Male"	"Other/Unknown"	0	29
"1987"	"Male"	"Agriculture"	0	29
"1987"	"Female"	"Engineering"	2	29
"1988"	"Male"	"Engineering"	1	27
"1988"	"Male"	"Computer Science"	0	27
"1988"	"Female"	"Sociology"	0	27
"1988"	"Male"	"Art/Architecture"	0	27
"1988"	"Male"	"Political Science and Public Administration"	0	27
"1988"	"Female"	"Education"	10	27
"1988"	"Male"	"Other/Unknown"	0	27
"1988"	"Female"	"Art/Architecture"	0	27
"1988"	"Male"	"Life Sciences"	0	27
