"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	0
1972	"Female"	"Anthropology"	0
1973	"Female"	"Anthropology"	3
1974	"Female"	"Anthropology"	5
1975	"Female"	"Anthropology"	2
1976	"Female"	"Anthropology"	4
1977	"Female"	"Anthropology"	4
1978	"Female"	"Anthropology"	6
1979	"Female"	"Anthropology"	6
1980	"Female"	"Anthropology"	6
1981	"Female"	"Anthropology"	4
1982	"Female"	"Anthropology"	8
1983	"Female"	"Anthropology"	4
1984	"Female"	"Anthropology"	9
1985	"Female"	"Anthropology"	6
1986	"Female"	"Anthropology"	9
1987	"Female"	"Anthropology"	9
1988	"Female"	"Anthropology"	7
1989	"Female"	"Anthropology"	10
1990	"Female"	"Anthropology"	11
1991	"Female"	"Anthropology"	8
1992	"Female"	"Anthropology"	9
1993	"Female"	"Anthropology"	14
1994	"Female"	"Anthropology"	12
1995	"Female"	"Anthropology"	6
1996	"Female"	"Anthropology"	12
1997	"Female"	"Anthropology"	13
1998	"Female"	"Anthropology"	21
1999	"Female"	"Anthropology"	11
2000	"Female"	"Anthropology"	22
2001	"Female"	"Anthropology"	12
2002	"Female"	"Anthropology"	12
2003	"Female"	"Anthropology"	14
2004	"Female"	"Anthropology"	9
2005	"Female"	"Anthropology"	19
2006	"Female"	"Anthropology"	10
2007	"Female"	"Anthropology"	12
2008	"Female"	"Anthropology"	5
2009	"Female"	"Anthropology"	10
2010	"Female"	"Anthropology"	23
2011	"Female"	"Anthropology"	19
1966	"Male"	"Anthropology"	0
1967	"Male"	"Anthropology"	0
1968	"Male"	"Anthropology"	0
1969	"Male"	"Anthropology"	0
1970	"Male"	"Anthropology"	0
1971	"Male"	"Anthropology"	0
1972	"Male"	"Anthropology"	0
1973	"Male"	"Anthropology"	0
1974	"Male"	"Anthropology"	4
1975	"Male"	"Anthropology"	5
1976	"Male"	"Anthropology"	2
1977	"Male"	"Anthropology"	1
1978	"Male"	"Anthropology"	0
1979	"Male"	"Anthropology"	1
1980	"Male"	"Anthropology"	3
1981	"Male"	"Anthropology"	5
1982	"Male"	"Anthropology"	2
1983	"Male"	"Anthropology"	2
1984	"Male"	"Anthropology"	1
1985	"Male"	"Anthropology"	2
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	2
1988	"Male"	"Anthropology"	2
1989	"Male"	"Anthropology"	1
1990	"Male"	"Anthropology"	1
1991	"Male"	"Anthropology"	3
1992	"Male"	"Anthropology"	1
1993	"Male"	"Anthropology"	4
1994	"Male"	"Anthropology"	2
1995	"Male"	"Anthropology"	3
1996	"Male"	"Anthropology"	7
1997	"Male"	"Anthropology"	4
1998	"Male"	"Anthropology"	8
1999	"Male"	"Anthropology"	2
2000	"Male"	"Anthropology"	3
2001	"Male"	"Anthropology"	8
2002	"Male"	"Anthropology"	4
2003	"Male"	"Anthropology"	4
2004	"Male"	"Anthropology"	4
2005	"Male"	"Anthropology"	2
2006	"Male"	"Anthropology"	7
