"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	1
1973	"Female"	"Agriculture"	1
1974	"Female"	"Agriculture"	1
1975	"Female"	"Agriculture"	1
1976	"Female"	"Agriculture"	4
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	1
1979	"Female"	"Agriculture"	2
1980	"Female"	"Agriculture"	7
1981	"Female"	"Agriculture"	4
1982	"Female"	"Agriculture"	3
1983	"Female"	"Agriculture"	10
1984	"Female"	"Agriculture"	9
1985	"Female"	"Agriculture"	6
1986	"Female"	"Agriculture"	10
1987	"Female"	"Agriculture"	10
1988	"Female"	"Agriculture"	2
1989	"Female"	"Agriculture"	3
1990	"Female"	"Agriculture"	6
1991	"Female"	"Agriculture"	6
1992	"Female"	"Agriculture"	3
1993	"Female"	"Agriculture"	5
1994	"Female"	"Agriculture"	9
1995	"Female"	"Agriculture"	7
1996	"Female"	"Agriculture"	10
1997	"Female"	"Agriculture"	14
1998	"Female"	"Agriculture"	23
1999	"Female"	"Agriculture"	13
2000	"Female"	"Agriculture"	8
2001	"Female"	"Agriculture"	4
2002	"Female"	"Agriculture"	9
2003	"Female"	"Agriculture"	17
2004	"Female"	"Agriculture"	9
2005	"Female"	"Agriculture"	7
2006	"Female"	"Agriculture"	11
2007	"Female"	"Agriculture"	12
2008	"Female"	"Agriculture"	8
2009	"Female"	"Agriculture"	14
2010	"Female"	"Agriculture"	9
2011	"Female"	"Agriculture"	10
1966	"Male"	"Agriculture"	3
1967	"Male"	"Agriculture"	5
1968	"Male"	"Agriculture"	1
1970	"Male"	"Agriculture"	8
1971	"Male"	"Agriculture"	9
1972	"Male"	"Agriculture"	12
1973	"Male"	"Agriculture"	11
1974	"Male"	"Agriculture"	13
1975	"Male"	"Agriculture"	18
1976	"Male"	"Agriculture"	16
1977	"Male"	"Agriculture"	22
1978	"Male"	"Agriculture"	11
1979	"Male"	"Agriculture"	9
1980	"Male"	"Agriculture"	18
1981	"Male"	"Agriculture"	20
1982	"Male"	"Agriculture"	19
1983	"Male"	"Agriculture"	38
1984	"Male"	"Agriculture"	21
1985	"Male"	"Agriculture"	23
1986	"Male"	"Agriculture"	19
1987	"Male"	"Agriculture"	19
1988	"Male"	"Agriculture"	16
1989	"Male"	"Agriculture"	17
1990	"Male"	"Agriculture"	15
1991	"Male"	"Agriculture"	18
1992	"Male"	"Agriculture"	13
1993	"Male"	"Agriculture"	14
1994	"Male"	"Agriculture"	21
1995	"Male"	"Agriculture"	21
1996	"Male"	"Agriculture"	23
1997	"Male"	"Agriculture"	18
1998	"Male"	"Agriculture"	21
1999	"Male"	"Agriculture"	16
2000	"Male"	"Agriculture"	14
2001	"Male"	"Agriculture"	14
2002	"Male"	"Agriculture"	15
2003	"Male"	"Agriculture"	8
2004	"Male"	"Agriculture"	10
2005	"Male"	"Agriculture"	7
2006	"Male"	"Agriculture"	17
2007	"Male"	"Agriculture"	16
2008	"Male"	"Agriculture"	16
2009	"Male"	"Agriculture"	11
2010	"Male"	"Agriculture"	5
2011	"Male"	"Agriculture"	14
1966	"Female"	"Anthropology"	1
1967	"Female"	"Anthropology"	1
1968	"Female"	"Anthropology"	1
1970	"Female"	"Anthropology"	3
1971	"Female"	"Anthropology"	5
1972	"Female"	"Anthropology"	4
1973	"Female"	"Anthropology"	3
1974	"Female"	"Anthropology"	9
1975	"Female"	"Anthropology"	5
1976	"Female"	"Anthropology"	4
1977	"Female"	"Anthropology"	4
1978	"Female"	"Anthropology"	4
1979	"Female"	"Anthropology"	3
1980	"Female"	"Anthropology"	1
1981	"Female"	"Anthropology"	6
1982	"Female"	"Anthropology"	0
1983	"Female"	"Anthropology"	9
1984	"Female"	"Anthropology"	7
1985	"Female"	"Anthropology"	11
1986	"Female"	"Anthropology"	6
1987	"Female"	"Anthropology"	4
1988	"Female"	"Anthropology"	5
1989	"Female"	"Anthropology"	2
1990	"Female"	"Anthropology"	7
1991	"Female"	"Anthropology"	6
1992	"Female"	"Anthropology"	3
1993	"Female"	"Anthropology"	8
1994	"Female"	"Anthropology"	6
1995	"Female"	"Anthropology"	2
1996	"Female"	"Anthropology"	7
1997	"Female"	"Anthropology"	3
1998	"Female"	"Anthropology"	4
1999	"Female"	"Anthropology"	4
