"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	4
"1967"	"Female"	"Agriculture"	0
"1968"	"Female"	"Agriculture"	11
"1969"	"Female"	"Agriculture"	9
"1970"	"Female"	"Agriculture"	2
"1971"	"Female"	"Agriculture"	11
"1972"	"Female"	"Agriculture"	31
"1973"	"Female"	"Agriculture"	47
"1974"	"Female"	"Agriculture"	54
"1975"	"Female"	"Agriculture"	78
"1976"	"Female"	"Agriculture"	110
"1977"	"Female"	"Agriculture"	121
"1978"	"Female"	"Agriculture"	116
"1979"	"Female"	"Agriculture"	137
"1980"	"Female"	"Agriculture"	134
"1981"	"Female"	"Agriculture"	128
"1982"	"Female"	"Agriculture"	133
"1983"	"Female"	"Agriculture"	108
"1984"	"Female"	"Agriculture"	109
"1985"	"Female"	"Agriculture"	82
"1986"	"Female"	"Agriculture"	60
"1987"	"Female"	"Agriculture"	53
"1988"	"Female"	"Agriculture"	52
"1989"	"Female"	"Agriculture"	50
"1990"	"Female"	"Agriculture"	49
"1991"	"Female"	"Agriculture"	49
"1992"	"Female"	"Agriculture"	69
"1993"	"Female"	"Agriculture"	50
"1994"	"Female"	"Agriculture"	63
"1995"	"Female"	"Agriculture"	72
"1996"	"Female"	"Agriculture"	83
"1997"	"Female"	"Agriculture"	73
"1998"	"Female"	"Agriculture"	75
"1999"	"Female"	"Agriculture"	65
"2000"	"Female"	"Agriculture"	54
"2001"	"Female"	"Agriculture"	53
"2002"	"Female"	"Agriculture"	54
"2003"	"Female"	"Agriculture"	77
"2004"	"Female"	"Agriculture"	64
"2005"	"Female"	"Agriculture"	66
"2006"	"Female"	"Agriculture"	73
"2007"	"Female"	"Agriculture"	96
"2008"	"Female"	"Agriculture"	117
"2009"	"Female"	"Agriculture"	163
"2010"	"Female"	"Agriculture"	173
"2011"	"Female"	"Agriculture"	229
"1966"	"Male"	"Agriculture"	32
"1967"	"Male"	"Agriculture"	32
"1968"	"Male"	"Agriculture"	30
"1969"	"Male"	"Agriculture"	45
"1970"	"Male"	"Agriculture"	29
"1971"	"Male"	"Agriculture"	57
"1972"	"Male"	"Agriculture"	81
"1973"	"Male"	"Agriculture"	117
"1974"	"Male"	"Agriculture"	123
"1975"	"Male"	"Agriculture"	134
"1976"	"Male"	"Agriculture"	151
"1977"	"Male"	"Agriculture"	148
"1978"	"Male"	"Agriculture"	166
"1979"	"Male"	"Agriculture"	143
"1980"	"Male"	"Agriculture"	127
"1981"	"Male"	"Agriculture"	106
"1982"	"Male"	"Agriculture"	98
"1983"	"Male"	"Agriculture"	125
"1984"	"Male"	"Agriculture"	86
"1985"	"Male"	"Agriculture"	69
"1986"	"Male"	"Agriculture"	62
"1987"	"Male"	"Agriculture"	48
"1988"	"Male"	"Agriculture"	50
"1989"	"Male"	"Agriculture"	50
"1990"	"Male"	"Agriculture"	47
"1991"	"Male"	"Agriculture"	47
"1992"	"Male"	"Agriculture"	57
"1993"	"Male"	"Agriculture"	65
"1994"	"Male"	"Agriculture"	69
"1995"	"Male"	"Agriculture"	64
"1996"	"Male"	"Agriculture"	63
"1997"	"Male"	"Agriculture"	47
"1998"	"Male"	"Agriculture"	50
"1999"	"Male"	"Agriculture"	34
"2000"	"Male"	"Agriculture"	37
"2001"	"Male"	"Agriculture"	49
"2002"	"Male"	"Agriculture"	41
"2003"	"Male"	"Agriculture"	47
"2004"	"Male"	"Agriculture"	49
"2005"	"Male"	"Agriculture"	36
"2006"	"Male"	"Agriculture"	49
"2007"	"Male"	"Agriculture"	55
"2008"	"Male"	"Agriculture"	86
"2009"	"Male"	"Agriculture"	103
"2010"	"Male"	"Agriculture"	148
"2011"	"Male"	"Agriculture"	170
"1966"	"Female"	"Anthropology"	105
"1967"	"Female"	"Anthropology"	88
"1968"	"Female"	"Anthropology"	110
"1969"	"Female"	"Anthropology"	127
"1970"	"Female"	"Anthropology"	168
"1971"	"Female"	"Anthropology"	172
"1972"	"Female"	"Anthropology"	131
"1973"	"Female"	"Anthropology"	133
"1974"	"Female"	"Anthropology"	113
"1975"	"Female"	"Anthropology"	114
"1976"	"Female"	"Anthropology"	91
"1977"	"Female"	"Anthropology"	86
"1978"	"Female"	"Anthropology"	86
"1979"	"Female"	"Anthropology"	73
"1980"	"Female"	"Anthropology"	69
"1981"	"Female"	"Anthropology"	58
"1982"	"Female"	"Anthropology"	61
"1983"	"Female"	"Anthropology"	66
"1984"	"Female"	"Anthropology"	56
"1985"	"Female"	"Anthropology"	39
"1986"	"Female"	"Anthropology"	36
"1987"	"Female"	"Anthropology"	49
"1988"	"Female"	"Anthropology"	50
"1989"	"Female"	"Anthropology"	68
"1990"	"Female"	"Anthropology"	76
"1991"	"Female"	"Anthropology"	76
"1992"	"Female"	"Anthropology"	122
"1993"	"Female"	"Anthropology"	106
"1994"	"Female"	"Anthropology"	101
"1995"	"Female"	"Anthropology"	74
"1996"	"Female"	"Anthropology"	78
"1997"	"Female"	"Anthropology"	71
"1998"	"Female"	"Anthropology"	79
