"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	8
"1967"	"Female"	"Agriculture"	5
"1968"	"Female"	"Agriculture"	19
"1969"	"Female"	"Agriculture"	13
"1970"	"Female"	"Agriculture"	16
"1971"	"Female"	"Agriculture"	36
"1972"	"Female"	"Agriculture"	47
"1973"	"Female"	"Agriculture"	68
"1974"	"Female"	"Agriculture"	52
"1975"	"Female"	"Agriculture"	80
"1976"	"Female"	"Agriculture"	87
"1977"	"Female"	"Agriculture"	107
"1978"	"Female"	"Agriculture"	105
"1979"	"Female"	"Agriculture"	143
"1980"	"Female"	"Agriculture"	177
"1981"	"Female"	"Agriculture"	178
"1982"	"Female"	"Agriculture"	161
"1983"	"Female"	"Agriculture"	192
"1984"	"Female"	"Agriculture"	197
"1985"	"Female"	"Agriculture"	158
"1986"	"Female"	"Agriculture"	130
"1987"	"Female"	"Agriculture"	107
"1988"	"Female"	"Agriculture"	106
"1989"	"Female"	"Agriculture"	89
"1990"	"Female"	"Agriculture"	88
"1991"	"Female"	"Agriculture"	88
"1992"	"Female"	"Agriculture"	101
"1993"	"Female"	"Agriculture"	97
"1994"	"Female"	"Agriculture"	93
"1995"	"Female"	"Agriculture"	108
"1996"	"Female"	"Agriculture"	119
"1997"	"Female"	"Agriculture"	141
"1998"	"Female"	"Agriculture"	160
"1999"	"Female"	"Agriculture"	179
"2000"	"Female"	"Agriculture"	200
"2001"	"Female"	"Agriculture"	208
"2002"	"Female"	"Agriculture"	214
"2003"	"Female"	"Agriculture"	210
"2004"	"Female"	"Agriculture"	207
"2005"	"Female"	"Agriculture"	208
"2006"	"Female"	"Agriculture"	198
"2007"	"Female"	"Agriculture"	201
"2008"	"Female"	"Agriculture"	188
"2009"	"Female"	"Agriculture"	200
"2010"	"Female"	"Agriculture"	272
"2011"	"Female"	"Agriculture"	258
"1966"	"Male"	"Agriculture"	60
"1967"	"Male"	"Agriculture"	73
"1968"	"Male"	"Agriculture"	53
"1969"	"Male"	"Agriculture"	49
"1970"	"Male"	"Agriculture"	28
"1971"	"Male"	"Agriculture"	67
"1972"	"Male"	"Agriculture"	105
"1973"	"Male"	"Agriculture"	183
"1974"	"Male"	"Agriculture"	135
"1975"	"Male"	"Agriculture"	119
"1976"	"Male"	"Agriculture"	215
"1977"	"Male"	"Agriculture"	237
"1978"	"Male"	"Agriculture"	104
"1979"	"Male"	"Agriculture"	219
"1980"	"Male"	"Agriculture"	229
"1981"	"Male"	"Agriculture"	226
"1982"	"Male"	"Agriculture"	187
"1983"	"Male"	"Agriculture"	154
"1984"	"Male"	"Agriculture"	158
"1985"	"Male"	"Agriculture"	152
"1986"	"Male"	"Agriculture"	116
"1987"	"Male"	"Agriculture"	114
"1988"	"Male"	"Agriculture"	113
"1989"	"Male"	"Agriculture"	77
"1990"	"Male"	"Agriculture"	71
"1991"	"Male"	"Agriculture"	71
"1992"	"Male"	"Agriculture"	74
"1993"	"Male"	"Agriculture"	80
"1994"	"Male"	"Agriculture"	87
"1995"	"Male"	"Agriculture"	79
"1996"	"Male"	"Agriculture"	105
"1997"	"Male"	"Agriculture"	111
"1998"	"Male"	"Agriculture"	120
"1999"	"Male"	"Agriculture"	118
"2000"	"Male"	"Agriculture"	115
"2001"	"Male"	"Agriculture"	100
"2002"	"Male"	"Agriculture"	103
"2003"	"Male"	"Agriculture"	110
"2004"	"Male"	"Agriculture"	110
"2005"	"Male"	"Agriculture"	90
"2006"	"Male"	"Agriculture"	78
"2007"	"Male"	"Agriculture"	89
"2008"	"Male"	"Agriculture"	94
"2009"	"Male"	"Agriculture"	121
"2010"	"Male"	"Agriculture"	120
"2011"	"Male"	"Agriculture"	109
"1966"	"Female"	"Anthropology"	9
"1967"	"Female"	"Anthropology"	11
"1968"	"Female"	"Anthropology"	19
"1969"	"Female"	"Anthropology"	29
"1970"	"Female"	"Anthropology"	24
"1971"	"Female"	"Anthropology"	32
"1972"	"Female"	"Anthropology"	27
"1973"	"Female"	"Anthropology"	73
"1974"	"Female"	"Anthropology"	41
"1975"	"Female"	"Anthropology"	25
"1976"	"Female"	"Anthropology"	30
"1977"	"Female"	"Anthropology"	21
"1978"	"Female"	"Anthropology"	12
"1979"	"Female"	"Anthropology"	14
"1980"	"Female"	"Anthropology"	10
"1981"	"Female"	"Anthropology"	14
"1982"	"Female"	"Anthropology"	4
"1983"	"Female"	"Anthropology"	16
"1984"	"Female"	"Anthropology"	13
"1985"	"Female"	"Anthropology"	5
"1986"	"Female"	"Anthropology"	13
"1987"	"Female"	"Anthropology"	19
"1988"	"Female"	"Anthropology"	12
"1989"	"Female"	"Anthropology"	5
"1990"	"Female"	"Anthropology"	10
"1991"	"Female"	"Anthropology"	10
"1992"	"Female"	"Anthropology"	15
"1993"	"Female"	"Anthropology"	24
"1994"	"Female"	"Anthropology"	23
"1995"	"Female"	"Anthropology"	19
"1996"	"Female"	"Anthropology"	29
"1997"	"Female"	"Anthropology"	21
"1998"	"Female"	"Anthropology"	22
"1999"	"Female"	"Anthropology"	25
"2000"	"Female"	"Anthropology"	31
"2001"	"Female"	"Anthropology"	20
"2002"	"Female"	"Anthropology"	36
"2003"	"Female"	"Anthropology"	33
"2004"	"Female"	"Anthropology"	47
"2005"	"Female"	"Anthropology"	31
"2006"	"Female"	"Anthropology"	38
"2007"	"Female"	"Anthropology"	46
"2008"	"Female"	"Anthropology"	36
"2009"	"Female"	"Anthropology"	62
"2010"	"Female"	"Anthropology"	43
"2011"	"Female"	"Anthropology"	49
"1966"	"Male"	"Anthropology"	4
"1967"	"Male"	"Anthropology"	8
"1968"	"Male"	"Anthropology"	6
"1969"	"Male"	"Anthropology"	13
"1970"	"Male"	"Anthropology"	16
"1971"	"Male"	"Anthropology"	18
"1972"	"Male"	"Anthropology"	23
"1973"	"Male"	"Anthropology"	28
"1974"	"Male"	"Anthropology"	10
"1975"	"Male"	"Anthropology"	13
"1976"	"Male"	"Anthropology"	10
"1977"	"Male"	"Anthropology"	10
"1978"	"Male"	"Anthropology"	7
"1979"	"Male"	"Anthropology"	6
"1980"	"Male"	"Anthropology"	6
"1981"	"Male"	"Anthropology"	7
"1982"	"Male"	"Anthropology"	6
"1983"	"Male"	"Anthropology"	1
"1984"	"Male"	"Anthropology"	3
"1985"	"Male"	"Anthropology"	6
"1986"	"Male"	"Anthropology"	6
"1987"	"Male"	"Anthropology"	6
"1988"	"Male"	"Anthropology"	4
"1989"	"Male"	"Anthropology"	7
"1990"	"Male"	"Anthropology"	9
"1991"	"Male"	"Anthropology"	9
"1992"	"Male"	"Anthropology"	5
"1993"	"Male"	"Anthropology"	9
"1994"	"Male"	"Anthropology"	18
"1995"	"Male"	"Anthropology"	11
"1996"	"Male"	"Anthropology"	10
"1997"	"Male"	"Anthropology"	13
"1998"	"Male"	"Anthropology"	5
"1999"	"Male"	"Anthropology"	12
"2000"	"Male"	"Anthropology"	14
"2001"	"Male"	"Anthropology"	16
"2002"	"Male"	"Anthropology"	14
"2003"	"Male"	"Anthropology"	12
"2004"	"Male"	"Anthropology"	14
"2005"	"Male"	"Anthropology"	11
"2006"	"Male"	"Anthropology"	8
"2007"	"Male"	"Anthropology"	10
"2008"	"Male"	"Anthropology"	20
"2009"	"Male"	"Anthropology"	20
"2010"	"Male"	"Anthropology"	25
"2011"	"Male"	"Anthropology"	14
"1966"	"Female"	"Area and Ethnic Studies"	3
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	2
"1969"	"Female"	"Area and Ethnic Studies"	10
"1970"	"Female"	"Area and Ethnic Studies"	14
"1971"	"Female"	"Area and Ethnic Studies"	5
"1972"	"Female"	"Area and Ethnic Studies"	11
"1973"	"Female"	"Area and Ethnic Studies"	9
"1974"	"Female"	"Area and Ethnic Studies"	10
"1975"	"Female"	"Area and Ethnic Studies"	7
"1976"	"Female"	"Area and Ethnic Studies"	7
"1977"	"Female"	"Area and Ethnic Studies"	19
"1978"	"Female"	"Area and Ethnic Studies"	15
"1979"	"Female"	"Area and Ethnic Studies"	16
"1980"	"Female"	"Area and Ethnic Studies"	10
"1981"	"Female"	"Area and Ethnic Studies"	15
"1982"	"Female"	"Area and Ethnic Studies"	6
"1983"	"Female"	"Area and Ethnic Studies"	7
"1984"	"Female"	"Area and Ethnic Studies"	0
"1985"	"Female"	"Area and Ethnic Studies"	3
"1986"	"Female"	"Area and Ethnic Studies"	1
"1987"	"Female"	"Area and Ethnic Studies"	0
"1988"	"Female"	"Area and Ethnic Studies"	3
"1989"	"Female"	"Area and Ethnic Studies"	5
"1990"	"Female"	"Area and Ethnic Studies"	9
"1991"	"Female"	"Area and Ethnic Studies"	9
"1992"	"Female"	"Area and Ethnic Studies"	18
"1993"	"Female"	"Area and Ethnic Studies"	26
"1994"	"Female"	"Area and Ethnic Studies"	33
"1995"	"Female"	"Area and Ethnic Studies"	35
"1996"	"Female"	"Area and Ethnic Studies"	27
"1997"	"Female"	"Area and Ethnic Studies"	30
"1998"	"Female"	"Area and Ethnic Studies"	28
"1999"	"Female"	"Area and Ethnic Studies"	26
"2000"	"Female"	"Area and Ethnic Studies"	31
"2001"	"Female"	"Area and Ethnic Studies"	22
"2002"	"Female"	"Area and Ethnic Studies"	24
"2003"	"Female"	"Area and Ethnic Studies"	43
"2004"	"Female"	"Area and Ethnic Studies"	63
"2005"	"Female"	"Area and Ethnic Studies"	55
"2006"	"Female"	"Area and Ethnic Studies"	50
"2007"	"Female"	"Area and Ethnic Studies"	61
"2008"	"Female"	"Area and Ethnic Studies"	54
"2009"	"Female"	"Area and Ethnic Studies"	54
"2010"	"Female"	"Area and Ethnic Studies"	60
"2011"	"Female"	"Area and Ethnic Studies"	74
"1966"	"Male"	"Area and Ethnic Studies"	1
"1967"	"Male"	"Area and Ethnic Studies"	0
"1968"	"Male"	"Area and Ethnic Studies"	1
"1969"	"Male"	"Area and Ethnic Studies"	1
"1970"	"Male"	"Area and Ethnic Studies"	2
"1971"	"Male"	"Area and Ethnic Studies"	2
"1972"	"Male"	"Area and Ethnic Studies"	5
"1973"	"Male"	"Area and Ethnic Studies"	7
"1974"	"Male"	"Area and Ethnic Studies"	8
"1975"	"Male"	"Area and Ethnic Studies"	5
"1976"	"Male"	"Area and Ethnic Studies"	9
"1977"	"Male"	"Area and Ethnic Studies"	9
"1978"	"Male"	"Area and Ethnic Studies"	8
"1979"	"Male"	"Area and Ethnic Studies"	4
"1980"	"Male"	"Area and Ethnic Studies"	5
"1981"	"Male"	"Area and Ethnic Studies"	2
"1982"	"Male"	"Area and Ethnic Studies"	3
"1983"	"Male"	"Area and Ethnic Studies"	3
"1984"	"Male"	"Area and Ethnic Studies"	5
"1985"	"Male"	"Area and Ethnic Studies"	0
"1986"	"Male"	"Area and Ethnic Studies"	2
"1987"	"Male"	"Area and Ethnic Studies"	1
"1988"	"Male"	"Area and Ethnic Studies"	1
"1989"	"Male"	"Area and Ethnic Studies"	2
"1990"	"Male"	"Area and Ethnic Studies"	6
"1991"	"Male"	"Area and Ethnic Studies"	6
"1992"	"Male"	"Area and Ethnic Studies"	7
"1993"	"Male"	"Area and Ethnic Studies"	10
"1994"	"Male"	"Area and Ethnic Studies"	10
"1995"	"Male"	"Area and Ethnic Studies"	19
"1996"	"Male"	"Area and Ethnic Studies"	5
"1997"	"Male"	"Area and Ethnic Studies"	15
"1998"	"Male"	"Area and Ethnic Studies"	12
"1999"	"Male"	"Area and Ethnic Studies"	9
"2000"	"Male"	"Area and Ethnic Studies"	16
"2001"	"Male"	"Area and Ethnic Studies"	12
"2002"	"Male"	"Area and Ethnic Studies"	13
"2003"	"Male"	"Area and Ethnic Studies"	18
"2004"	"Male"	"Area and Ethnic Studies"	17
"2005"	"Male"	"Area and Ethnic Studies"	26
"2006"	"Male"	"Area and Ethnic Studies"	26
"2007"	"Male"	"Area and Ethnic Studies"	24
"2008"	"Male"	"Area and Ethnic Studies"	18
"2009"	"Male"	"Area and Ethnic Studies"	26
"2010"	"Male"	"Area and Ethnic Studies"	41
"2011"	"Male"	"Area and Ethnic Studies"	24
"1966"	"Female"	"Art/Architecture"	32
