"year"	"gender"	"field"	"count"
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	1
"1968"	"Female"	"Anthropology"	0
"1969"	"Female"	"Anthropology"	1
"1970"	"Female"	"Anthropology"	1
"1971"	"Female"	"Anthropology"	0
"1972"	"Female"	"Anthropology"	2
"1973"	"Female"	"Anthropology"	1
"1974"	"Female"	"Anthropology"	1
"1975"	"Female"	"Anthropology"	2
"1976"	"Female"	"Anthropology"	2
"1977"	"Female"	"Anthropology"	3
"1978"	"Female"	"Anthropology"	1
"1979"	"Female"	"Anthropology"	3
"1980"	"Female"	"Anthropology"	3
"1981"	"Female"	"Anthropology"	3
"1982"	"Female"	"Anthropology"	4
"1983"	"Female"	"Anthropology"	3
"1984"	"Female"	"Anthropology"	7
"1985"	"Female"	"Anthropology"	0
"1986"	"Female"	"Anthropology"	7
"1987"	"Female"	"Anthropology"	6
"1988"	"Female"	"Anthropology"	5
"1989"	"Female"	"Anthropology"	8
"1990"	"Female"	"Anthropology"	14
"1991"	"Female"	"Anthropology"	14
"1992"	"Female"	"Anthropology"	15
"1993"	"Female"	"Anthropology"	13
"1994"	"Female"	"Anthropology"	7
"1995"	"Female"	"Anthropology"	15
"1996"	"Female"	"Anthropology"	7
"1997"	"Female"	"Anthropology"	19
"1998"	"Female"	"Anthropology"	12
"1999"	"Female"	"Anthropology"	16
"2000"	"Female"	"Anthropology"	22
"2001"	"Female"	"Anthropology"	26
"2002"	"Female"	"Anthropology"	20
"2003"	"Female"	"Anthropology"	38
"2004"	"Female"	"Anthropology"	23
"2005"	"Female"	"Anthropology"	43
"2006"	"Female"	"Anthropology"	44
"2007"	"Female"	"Anthropology"	44
"2008"	"Female"	"Anthropology"	45
"2009"	"Female"	"Anthropology"	50
"2010"	"Female"	"Anthropology"	66
"2011"	"Female"	"Anthropology"	65
"1966"	"Male"	"Anthropology"	0
"1967"	"Male"	"Anthropology"	0
"1968"	"Male"	"Anthropology"	1
"1969"	"Male"	"Anthropology"	2
"1970"	"Male"	"Anthropology"	3
"1971"	"Male"	"Anthropology"	1
"1972"	"Male"	"Anthropology"	4
"1973"	"Male"	"Anthropology"	1
"1974"	"Male"	"Anthropology"	2
"1975"	"Male"	"Anthropology"	2
"1976"	"Male"	"Anthropology"	1
"1977"	"Male"	"Anthropology"	0
"1978"	"Male"	"Anthropology"	3
"1979"	"Male"	"Anthropology"	4
"1980"	"Male"	"Anthropology"	2
"1981"	"Male"	"Anthropology"	0
"1982"	"Male"	"Anthropology"	4
