"year"	"gender"	"field"	"count"
"1967"	"Female"	"Agriculture"	0
"1973"	"Female"	"Agriculture"	0
"1974"	"Female"	"Agriculture"	0
"1975"	"Female"	"Agriculture"	0
"1976"	"Female"	"Agriculture"	0
"1977"	"Female"	"Agriculture"	0
"1978"	"Female"	"Agriculture"	0
"1979"	"Female"	"Agriculture"	0
"1980"	"Female"	"Agriculture"	0
"1981"	"Female"	"Agriculture"	0
"1982"	"Female"	"Agriculture"	0
"1983"	"Female"	"Agriculture"	37
"1984"	"Female"	"Agriculture"	0
"1985"	"Female"	"Agriculture"	26
"1986"	"Female"	"Agriculture"	26
"1987"	"Female"	"Agriculture"	0
"1988"	"Female"	"Agriculture"	11
"1989"	"Female"	"Agriculture"	11
"1990"	"Female"	"Agriculture"	16
"1991"	"Female"	"Agriculture"	27
"1992"	"Female"	"Agriculture"	47
"1993"	"Female"	"Agriculture"	44
"1994"	"Female"	"Agriculture"	53
"1995"	"Female"	"Agriculture"	53
"1996"	"Female"	"Agriculture"	47
"1997"	"Female"	"Agriculture"	43
"1998"	"Female"	"Agriculture"	61
"1999"	"Female"	"Agriculture"	91
"2000"	"Female"	"Agriculture"	74
"2001"	"Female"	"Agriculture"	55
"2002"	"Female"	"Agriculture"	65
"2003"	"Female"	"Agriculture"	62
"2004"	"Female"	"Agriculture"	60
"2005"	"Female"	"Agriculture"	56
"2006"	"Female"	"Agriculture"	53
"2007"	"Female"	"Agriculture"	38
"2008"	"Female"	"Agriculture"	44
"2009"	"Female"	"Agriculture"	51
"2010"	"Female"	"Agriculture"	64
"2011"	"Female"	"Agriculture"	61
"1967"	"Male"	"Agriculture"	0
"1973"	"Male"	"Agriculture"	0
"1974"	"Male"	"Agriculture"	0
"1975"	"Male"	"Agriculture"	0
"1976"	"Male"	"Agriculture"	0
"1977"	"Male"	"Agriculture"	0
"1978"	"Male"	"Agriculture"	0
"1979"	"Male"	"Agriculture"	0
"1980"	"Male"	"Agriculture"	0
"1981"	"Male"	"Agriculture"	0
"1982"	"Male"	"Agriculture"	0
"1983"	"Male"	"Agriculture"	31
"1984"	"Male"	"Agriculture"	0
"1985"	"Male"	"Agriculture"	26
"1986"	"Male"	"Agriculture"	26
"1987"	"Male"	"Agriculture"	0
"1988"	"Male"	"Agriculture"	17
"1989"	"Male"	"Agriculture"	17
"1990"	"Male"	"Agriculture"	25
"1991"	"Male"	"Agriculture"	35
"1992"	"Male"	"Agriculture"	52
"1993"	"Male"	"Agriculture"	58
"1994"	"Male"	"Agriculture"	69
"1995"	"Male"	"Agriculture"	78
"1996"	"Male"	"Agriculture"	73
"1997"	"Male"	"Agriculture"	60
"1998"	"Male"	"Agriculture"	48
"1999"	"Male"	"Agriculture"	83
"2000"	"Male"	"Agriculture"	70
"2001"	"Male"	"Agriculture"	78
"2002"	"Male"	"Agriculture"	62
"2003"	"Male"	"Agriculture"	57
"2004"	"Male"	"Agriculture"	65
"2005"	"Male"	"Agriculture"	55
"2006"	"Male"	"Agriculture"	49
"2007"	"Male"	"Agriculture"	47
"2008"	"Male"	"Agriculture"	59
"2009"	"Male"	"Agriculture"	54
"2010"	"Male"	"Agriculture"	71
"2011"	"Male"	"Agriculture"	102
"1967"	"Female"	"Anthropology"	18
"1973"	"Female"	"Anthropology"	47
"1974"	"Female"	"Anthropology"	57
"1975"	"Female"	"Anthropology"	43
"1976"	"Female"	"Anthropology"	36
"1977"	"Female"	"Anthropology"	41
"1978"	"Female"	"Anthropology"	40
"1979"	"Female"	"Anthropology"	31
"1980"	"Female"	"Anthropology"	35
"1981"	"Female"	"Anthropology"	33
"1982"	"Female"	"Anthropology"	34
"1983"	"Female"	"Anthropology"	29
"1984"	"Female"	"Anthropology"	31
"1985"	"Female"	"Anthropology"	29
"1986"	"Female"	"Anthropology"	29
"1987"	"Female"	"Anthropology"	29
"1988"	"Female"	"Anthropology"	30
"1989"	"Female"	"Anthropology"	30
"1990"	"Female"	"Anthropology"	35
"1991"	"Female"	"Anthropology"	39
"1992"	"Female"	"Anthropology"	48
"1993"	"Female"	"Anthropology"	54
"1994"	"Female"	"Anthropology"	48
"1995"	"Female"	"Anthropology"	55
"1996"	"Female"	"Anthropology"	64
"1997"	"Female"	"Anthropology"	73
"1998"	"Female"	"Anthropology"	75
"1999"	"Female"	"Anthropology"	67
"2000"	"Female"	"Anthropology"	72
"2001"	"Female"	"Anthropology"	95
"2002"	"Female"	"Anthropology"	92
"2003"	"Female"	"Anthropology"	88
"2004"	"Female"	"Anthropology"	88
"2005"	"Female"	"Anthropology"	88
"2006"	"Female"	"Anthropology"	101
"2007"	"Female"	"Anthropology"	88
"2008"	"Female"	"Anthropology"	74
"2009"	"Female"	"Anthropology"	92
"2010"	"Female"	"Anthropology"	74
"2011"	"Female"	"Anthropology"	70
