"year"	"gender"	"field"	"count"
1976	"Female"	"Anthropology"	9
1977	"Female"	"Anthropology"	9
1978	"Female"	"Anthropology"	5
1979	"Female"	"Anthropology"	10
1980	"Female"	"Anthropology"	10
1981	"Female"	"Anthropology"	5
1982	"Female"	"Anthropology"	6
1983	"Female"	"Anthropology"	4
1984	"Female"	"Anthropology"	10
1985	"Female"	"Anthropology"	3
1986	"Female"	"Anthropology"	3
1987	"Female"	"Anthropology"	3
1988	"Female"	"Anthropology"	4
1989	"Female"	"Anthropology"	3
1990	"Female"	"Anthropology"	2
1991	"Female"	"Anthropology"	9
1992	"Female"	"Anthropology"	11
1993	"Female"	"Anthropology"	10
1994	"Female"	"Anthropology"	14
1995	"Female"	"Anthropology"	15
1996	"Female"	"Anthropology"	11
1997	"Female"	"Anthropology"	20
1998	"Female"	"Anthropology"	11
1999	"Female"	"Anthropology"	15
2000	"Female"	"Anthropology"	16
2001	"Female"	"Anthropology"	10
2002	"Female"	"Anthropology"	14
2003	"Female"	"Anthropology"	13
2004	"Female"	"Anthropology"	12
2005	"Female"	"Anthropology"	13
2006	"Female"	"Anthropology"	6
2007	"Female"	"Anthropology"	14
2008	"Female"	"Anthropology"	8
2009	"Female"	"Anthropology"	15
2010	"Female"	"Anthropology"	8
2011	"Female"	"Anthropology"	12
1976	"Male"	"Anthropology"	4
1977	"Male"	"Anthropology"	3
1978	"Male"	"Anthropology"	4
1979	"Male"	"Anthropology"	2
1980	"Male"	"Anthropology"	6
1981	"Male"	"Anthropology"	1
1982	"Male"	"Anthropology"	4
1983	"Male"	"Anthropology"	1
1984	"Male"	"Anthropology"	1
1985	"Male"	"Anthropology"	0
1986	"Male"	"Anthropology"	0
1987	"Male"	"Anthropology"	3
1988	"Male"	"Anthropology"	1
1989	"Male"	"Anthropology"	1
1990	"Male"	"Anthropology"	6
1991	"Male"	"Anthropology"	2
1992	"Male"	"Anthropology"	2
1993	"Male"	"Anthropology"	1
1994	"Male"	"Anthropology"	3
1995	"Male"	"Anthropology"	9
1996	"Male"	"Anthropology"	5
1997	"Male"	"Anthropology"	5
1998	"Male"	"Anthropology"	2
1999	"Male"	"Anthropology"	7
2000	"Male"	"Anthropology"	4
2001	"Male"	"Anthropology"	6
2002	"Male"	"Anthropology"	5
2003	"Male"	"Anthropology"	2
2004	"Male"	"Anthropology"	4
2005	"Male"	"Anthropology"	8
2006	"Male"	"Anthropology"	3
2007	"Male"	"Anthropology"	4
2008	"Male"	"Anthropology"	5
2009	"Male"	"Anthropology"	5
2010	"Male"	"Anthropology"	3
2011	"Male"	"Anthropology"	4
1976	"Female"	"Area and Ethnic Studies"	0
1977	"Female"	"Area and Ethnic Studies"	0
1978	"Female"	"Area and Ethnic Studies"	0
1979	"Female"	"Area and Ethnic Studies"	0
1980	"Female"	"Area and Ethnic Studies"	0
1981	"Female"	"Area and Ethnic Studies"	0
1982	"Female"	"Area and Ethnic Studies"	0
1983	"Female"	"Area and Ethnic Studies"	1
1984	"Female"	"Area and Ethnic Studies"	5
1985	"Female"	"Area and Ethnic Studies"	2
1986	"Female"	"Area and Ethnic Studies"	2
1987	"Female"	"Area and Ethnic Studies"	1
1988	"Female"	"Area and Ethnic Studies"	0
1989	"Female"	"Area and Ethnic Studies"	0
1990	"Female"	"Area and Ethnic Studies"	0
1991	"Female"	"Area and Ethnic Studies"	0
1992	"Female"	"Area and Ethnic Studies"	0
1993	"Female"	"Area and Ethnic Studies"	0
1994	"Female"	"Area and Ethnic Studies"	0
1995	"Female"	"Area and Ethnic Studies"	0
1996	"Female"	"Area and Ethnic Studies"	0
1997	"Female"	"Area and Ethnic Studies"	0
1998	"Female"	"Area and Ethnic Studies"	0
1999	"Female"	"Area and Ethnic Studies"	0
2000	"Female"	"Area and Ethnic Studies"	0
2001	"Female"	"Area and Ethnic Studies"	0
2002	"Female"	"Area and Ethnic Studies"	0
2003	"Female"	"Area and Ethnic Studies"	0
2004	"Female"	"Area and Ethnic Studies"	0
2005	"Female"	"Area and Ethnic Studies"	0
2006	"Female"	"Area and Ethnic Studies"	0
2007	"Female"	"Area and Ethnic Studies"	0
2008	"Female"	"Area and Ethnic Studies"	0
2009	"Female"	"Area and Ethnic Studies"	0
2010	"Female"	"Area and Ethnic Studies"	0
2011	"Female"	"Area and Ethnic Studies"	0
1976	"Male"	"Area and Ethnic Studies"	0
1977	"Male"	"Area and Ethnic Studies"	0
1978	"Male"	"Area and Ethnic Studies"	0
1979	"Male"	"Area and Ethnic Studies"	0
1980	"Male"	"Area and Ethnic Studies"	0
1981	"Male"	"Area and Ethnic Studies"	0
1982	"Male"	"Area and Ethnic Studies"	0
1983	"Male"	"Area and Ethnic Studies"	0
1984	"Male"	"Area and Ethnic Studies"	0
1985	"Male"	"Area and Ethnic Studies"	1
1986	"Male"	"Area and Ethnic Studies"	1
1987	"Male"	"Area and Ethnic Studies"	0
1988	"Male"	"Area and Ethnic Studies"	0
1989	"Male"	"Area and Ethnic Studies"	0
1990	"Male"	"Area and Ethnic Studies"	0
1991	"Male"	"Area and Ethnic Studies"	0
1992	"Male"	"Area and Ethnic Studies"	0
1993	"Male"	"Area and Ethnic Studies"	0
1994	"Male"	"Area and Ethnic Studies"	0
1995	"Male"	"Area and Ethnic Studies"	0
1996	"Male"	"Area and Ethnic Studies"	0
1997	"Male"	"Area and Ethnic Studies"	0
1998	"Male"	"Area and Ethnic Studies"	0
1999	"Male"	"Area and Ethnic Studies"	0
2000	"Male"	"Area and Ethnic Studies"	0
2001	"Male"	"Area and Ethnic Studies"	0
2002	"Male"	"Area and Ethnic Studies"	0
2003	"Male"	"Area and Ethnic Studies"	0
2004	"Male"	"Area and Ethnic Studies"	0
2005	"Male"	"Area and Ethnic Studies"	0
2006	"Male"	"Area and Ethnic Studies"	0
2007	"Male"	"Area and Ethnic Studies"	0
2008	"Male"	"Area and Ethnic Studies"	0
2009	"Male"	"Area and Ethnic Studies"	0
2010	"Male"	"Area and Ethnic Studies"	0
2011	"Male"	"Area and Ethnic Studies"	0
1976	"Female"	"Art/Architecture"	13
1977	"Female"	"Art/Architecture"	32
1978	"Female"	"Art/Architecture"	18
1979	"Female"	"Art/Architecture"	17
1980	"Female"	"Art/Architecture"	13
1981	"Female"	"Art/Architecture"	9
1982	"Female"	"Art/Architecture"	11
1983	"Female"	"Art/Architecture"	21
1984	"Female"	"Art/Architecture"	19
1985	"Female"	"Art/Architecture"	16
1986	"Female"	"Art/Architecture"	16
1987	"Female"	"Art/Architecture"	15
1988	"Female"	"Art/Architecture"	28
1989	"Female"	"Art/Architecture"	21
1990	"Female"	"Art/Architecture"	28
1991	"Female"	"Art/Architecture"	26
1992	"Female"	"Art/Architecture"	18
1993	"Female"	"Art/Architecture"	28
1994	"Female"	"Art/Architecture"	32
1995	"Female"	"Art/Architecture"	33
1996	"Female"	"Art/Architecture"	29
1997	"Female"	"Art/Architecture"	34
1998	"Female"	"Art/Architecture"	34
1999	"Female"	"Art/Architecture"	30
2000	"Female"	"Art/Architecture"	38
2001	"Female"	"Art/Architecture"	30
2002	"Female"	"Art/Architecture"	58
2003	"Female"	"Art/Architecture"	55
2004	"Female"	"Art/Architecture"	51
2005	"Female"	"Art/Architecture"	67
2006	"Female"	"Art/Architecture"	50
2007	"Female"	"Art/Architecture"	73
2008	"Female"	"Art/Architecture"	77
2009	"Female"	"Art/Architecture"	73
2010	"Female"	"Art/Architecture"	77
2011	"Female"	"Art/Architecture"	97
1976	"Male"	"Art/Architecture"	11
1977	"Male"	"Art/Architecture"	21
1978	"Male"	"Art/Architecture"	14
1979	"Male"	"Art/Architecture"	16
1980	"Male"	"Art/Architecture"	11
1981	"Male"	"Art/Architecture"	9
1982	"Male"	"Art/Architecture"	20
1983	"Male"	"Art/Architecture"	15
1984	"Male"	"Art/Architecture"	22
1985	"Male"	"Art/Architecture"	24
1986	"Male"	"Art/Architecture"	24
1987	"Male"	"Art/Architecture"	11
1988	"Male"	"Art/Architecture"	12
1989	"Male"	"Art/Architecture"	15
1990	"Male"	"Art/Architecture"	25
1991	"Male"	"Art/Architecture"	23
1992	"Male"	"Art/Architecture"	22
1993	"Male"	"Art/Architecture"	25
1994	"Male"	"Art/Architecture"	18
1995	"Male"	"Art/Architecture"	18
1996	"Male"	"Art/Architecture"	20
1997	"Male"	"Art/Architecture"	24
1998	"Male"	"Art/Architecture"	19
1999	"Male"	"Art/Architecture"	18
2000	"Male"	"Art/Architecture"	17
2001	"Male"	"Art/Architecture"	31
2002	"Male"	"Art/Architecture"	42
2003	"Male"	"Art/Architecture"	52
2004	"Male"	"Art/Architecture"	60
2005	"Male"	"Art/Architecture"	88
2006	"Male"	"Art/Architecture"	84
2007	"Male"	"Art/Architecture"	106
2008	"Male"	"Art/Architecture"	131
2009	"Male"	"Art/Architecture"	140
2010	"Male"	"Art/Architecture"	162
2011	"Male"	"Art/Architecture"	128
1976	"Female"	"Business"	36
1977	"Female"	"Business"	49
1978	"Female"	"Business"	38
1979	"Female"	"Business"	61
1980	"Female"	"Business"	78
1981	"Female"	"Business"	80
1982	"Female"	"Business"	86
1983	"Female"	"Business"	109
1984	"Female"	"Business"	100
1985	"Female"	"Business"	93
1986	"Female"	"Business"	93
1987	"Female"	"Business"	134
1988	"Female"	"Business"	151
1989	"Female"	"Business"	140
1990	"Female"	"Business"	148
1991	"Female"	"Business"	137
1992	"Female"	"Business"	149
1993	"Female"	"Business"	164
1994	"Female"	"Business"	171
1995	"Female"	"Business"	148
1996	"Female"	"Business"	170
1997	"Female"	"Business"	151
1998	"Female"	"Business"	138
1999	"Female"	"Business"	146
2000	"Female"	"Business"	171
2001	"Female"	"Business"	173
2002	"Female"	"Business"	199
2003	"Female"	"Business"	189
2004	"Female"	"Business"	182
2005	"Female"	"Business"	184
2006	"Female"	"Business"	191
2007	"Female"	"Business"	170
2008	"Female"	"Business"	170
2009	"Female"	"Business"	186
2010	"Female"	"Business"	166
2011	"Female"	"Business"	158
1976	"Male"	"Business"	120
1977	"Male"	"Business"	88
1978	"Male"	"Business"	69
1979	"Male"	"Business"	98
1980	"Male"	"Business"	88
1981	"Male"	"Business"	105
1982	"Male"	"Business"	110
1983	"Male"	"Business"	99
1984	"Male"	"Business"	69
1985	"Male"	"Business"	93
1986	"Male"	"Business"	93
1987	"Male"	"Business"	111
1988	"Male"	"Business"	92
1989	"Male"	"Business"	82
1990	"Male"	"Business"	104
1991	"Male"	"Business"	107
1992	"Male"	"Business"	110
1993	"Male"	"Business"	106
1994	"Male"	"Business"	104
1995	"Male"	"Business"	94
1996	"Male"	"Business"	131
1997	"Male"	"Business"	131
1998	"Male"	"Business"	125
1999	"Male"	"Business"	141
2000	"Male"	"Business"	116
2001	"Male"	"Business"	153
2002	"Male"	"Business"	149
2003	"Male"	"Business"	173
2004	"Male"	"Business"	152
2005	"Male"	"Business"	174
2006	"Male"	"Business"	145
2007	"Male"	"Business"	176
