"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	4
1967	"Female"	"Agriculture"	5
1968	"Female"	"Agriculture"	6
1969	"Female"	"Agriculture"	9
1970	"Female"	"Agriculture"	12
1971	"Female"	"Agriculture"	7
1972	"Female"	"Agriculture"	10
1973	"Female"	"Agriculture"	13
1974	"Female"	"Agriculture"	31
1975	"Female"	"Agriculture"	42
1966	"Male"	"Agriculture"	41
1967	"Male"	"Agriculture"	28
1968	"Male"	"Agriculture"	35
1969	"Male"	"Agriculture"	36
1970	"Male"	"Agriculture"	40
1971	"Male"	"Agriculture"	47
1972	"Male"	"Agriculture"	47
1973	"Male"	"Agriculture"	64
1974	"Male"	"Agriculture"	80
1975	"Male"	"Agriculture"	80
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	4
1968	"Female"	"Anthropology"	2
1969	"Female"	"Anthropology"	8
1970	"Female"	"Anthropology"	11
1971	"Female"	"Anthropology"	8
1972	"Female"	"Anthropology"	22
1973	"Female"	"Anthropology"	19
1974	"Female"	"Anthropology"	26
1975	"Female"	"Anthropology"	13
1966	"Male"	"Anthropology"	1
1967	"Male"	"Anthropology"	1
1968	"Male"	"Anthropology"	1
1969	"Male"	"Anthropology"	6
1970	"Male"	"Anthropology"	2
1971	"Male"	"Anthropology"	5
1972	"Male"	"Anthropology"	8
1973	"Male"	"Anthropology"	17
1974	"Male"	"Anthropology"	16
1975	"Male"	"Anthropology"	26
1966	"Female"	"Art/Architecture"	16
1967	"Female"	"Art/Architecture"	22
1968	"Female"	"Art/Architecture"	31
1969	"Female"	"Art/Architecture"	34
1970	"Female"	"Art/Architecture"	40
1971	"Female"	"Art/Architecture"	36
1972	"Female"	"Art/Architecture"	67
1973	"Female"	"Art/Architecture"	66
1974	"Female"	"Art/Architecture"	74
1975	"Female"	"Art/Architecture"	91
1966	"Male"	"Art/Architecture"	12
1967	"Male"	"Art/Architecture"	12
1968	"Male"	"Art/Architecture"	14
1969	"Male"	"Art/Architecture"	14
1970	"Male"	"Art/Architecture"	24
