"year"	"gender"	"field"	"count"
"1976"	"Female"	"Agriculture"	60
"1977"	"Female"	"Agriculture"	77
"1978"	"Female"	"Agriculture"	85
"1979"	"Female"	"Agriculture"	96
"1980"	"Female"	"Agriculture"	71
"1981"	"Female"	"Agriculture"	59
"1982"	"Female"	"Agriculture"	52
"1983"	"Female"	"Agriculture"	59
"1984"	"Female"	"Agriculture"	62
"1985"	"Female"	"Agriculture"	55
"1986"	"Female"	"Agriculture"	58
"1987"	"Female"	"Agriculture"	39
"1988"	"Female"	"Agriculture"	39
"1989"	"Female"	"Agriculture"	15
"1990"	"Female"	"Agriculture"	32
"1991"	"Female"	"Agriculture"	48
"1992"	"Female"	"Agriculture"	28
"1993"	"Female"	"Agriculture"	45
"1994"	"Female"	"Agriculture"	45
"1995"	"Female"	"Agriculture"	41
"1996"	"Female"	"Agriculture"	46
"1997"	"Female"	"Agriculture"	40
"1998"	"Female"	"Agriculture"	38
"1999"	"Female"	"Agriculture"	44
"2000"	"Female"	"Agriculture"	44
"2001"	"Female"	"Agriculture"	55
"2002"	"Female"	"Agriculture"	50
"2003"	"Female"	"Agriculture"	60
"2004"	"Female"	"Agriculture"	68
"2005"	"Female"	"Agriculture"	68
"2006"	"Female"	"Agriculture"	81
"2007"	"Female"	"Agriculture"	69
"2008"	"Female"	"Agriculture"	80
"2009"	"Female"	"Agriculture"	68
"2010"	"Female"	"Agriculture"	77
"2011"	"Female"	"Agriculture"	79
"1976"	"Male"	"Agriculture"	85
"1977"	"Male"	"Agriculture"	84
"1978"	"Male"	"Agriculture"	111
"1979"	"Male"	"Agriculture"	96
"1980"	"Male"	"Agriculture"	58
"1981"	"Male"	"Agriculture"	68
"1982"	"Male"	"Agriculture"	52
"1983"	"Male"	"Agriculture"	55
"1984"	"Male"	"Agriculture"	41
"1985"	"Male"	"Agriculture"	48
"1986"	"Male"	"Agriculture"	25
"1987"	"Male"	"Agriculture"	33
"1988"	"Male"	"Agriculture"	23
"1989"	"Male"	"Agriculture"	22
"1990"	"Male"	"Agriculture"	16
"1991"	"Male"	"Agriculture"	29
"1992"	"Male"	"Agriculture"	29
"1993"	"Male"	"Agriculture"	43
"1994"	"Male"	"Agriculture"	36
"1995"	"Male"	"Agriculture"	41
"1996"	"Male"	"Agriculture"	49
"1997"	"Male"	"Agriculture"	51
"1998"	"Male"	"Agriculture"	40
"1999"	"Male"	"Agriculture"	35
"2000"	"Male"	"Agriculture"	71
"2001"	"Male"	"Agriculture"	37
"2002"	"Male"	"Agriculture"	43
"2003"	"Male"	"Agriculture"	27
"2004"	"Male"	"Agriculture"	32
"2005"	"Male"	"Agriculture"	36
"2006"	"Male"	"Agriculture"	47
"2007"	"Male"	"Agriculture"	49
"2008"	"Male"	"Agriculture"	48
"2009"	"Male"	"Agriculture"	56
"2010"	"Male"	"Agriculture"	56
"2011"	"Male"	"Agriculture"	50
"1976"	"Female"	"Anthropology"	15
"1977"	"Female"	"Anthropology"	20
"1978"	"Female"	"Anthropology"	23
"1979"	"Female"	"Anthropology"	9
"1980"	"Female"	"Anthropology"	6
"1981"	"Female"	"Anthropology"	10
"1982"	"Female"	"Anthropology"	7
"1983"	"Female"	"Anthropology"	10
"1984"	"Female"	"Anthropology"	6
"1985"	"Female"	"Anthropology"	4
"1986"	"Female"	"Anthropology"	1
"1987"	"Female"	"Anthropology"	10
"1988"	"Female"	"Anthropology"	9
"1989"	"Female"	"Anthropology"	3
"1990"	"Female"	"Anthropology"	8
"1991"	"Female"	"Anthropology"	12
"1992"	"Female"	"Anthropology"	18
"1993"	"Female"	"Anthropology"	16
"1994"	"Female"	"Anthropology"	11
"1995"	"Female"	"Anthropology"	15
"1996"	"Female"	"Anthropology"	11
"1997"	"Female"	"Anthropology"	16
"1998"	"Female"	"Anthropology"	12
"1999"	"Female"	"Anthropology"	13
"2000"	"Female"	"Anthropology"	11
"2001"	"Female"	"Anthropology"	14
"2002"	"Female"	"Anthropology"	14
"2003"	"Female"	"Anthropology"	15
"2004"	"Female"	"Anthropology"	13
"2005"	"Female"	"Anthropology"	17
"2006"	"Female"	"Anthropology"	19
"2007"	"Female"	"Anthropology"	16
"2008"	"Female"	"Anthropology"	19
"2009"	"Female"	"Anthropology"	14
"2010"	"Female"	"Anthropology"	28
"2011"	"Female"	"Anthropology"	16
"1976"	"Male"	"Anthropology"	21
"1977"	"Male"	"Anthropology"	8
"1978"	"Male"	"Anthropology"	8
"1979"	"Male"	"Anthropology"	6
"1980"	"Male"	"Anthropology"	5
"1981"	"Male"	"Anthropology"	7
"1982"	"Male"	"Anthropology"	9
"1983"	"Male"	"Anthropology"	6
"1984"	"Male"	"Anthropology"	3
"1985"	"Male"	"Anthropology"	2
"1986"	"Male"	"Anthropology"	1
"1987"	"Male"	"Anthropology"	1
"1988"	"Male"	"Anthropology"	1
"1989"	"Male"	"Anthropology"	8
