"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	2
"1967"	"Female"	"Agriculture"	2
"1968"	"Female"	"Agriculture"	4
"1969"	"Female"	"Agriculture"	10
"1970"	"Female"	"Agriculture"	9
"1971"	"Female"	"Agriculture"	9
"1972"	"Female"	"Agriculture"	11
"1973"	"Female"	"Agriculture"	5
"1974"	"Female"	"Agriculture"	9
"1975"	"Female"	"Agriculture"	16
"1976"	"Female"	"Agriculture"	20
"1977"	"Female"	"Agriculture"	47
"1978"	"Female"	"Agriculture"	51
"1979"	"Female"	"Agriculture"	55
"1980"	"Female"	"Agriculture"	64
"1981"	"Female"	"Agriculture"	71
"1982"	"Female"	"Agriculture"	50
"1983"	"Female"	"Agriculture"	56
"1984"	"Female"	"Agriculture"	55
"1985"	"Female"	"Agriculture"	50
"1986"	"Female"	"Agriculture"	32
"1987"	"Female"	"Agriculture"	44
"1988"	"Female"	"Agriculture"	37
"1989"	"Female"	"Agriculture"	28
"1990"	"Female"	"Agriculture"	38
"1991"	"Female"	"Agriculture"	28
"1992"	"Female"	"Agriculture"	33
"1993"	"Female"	"Agriculture"	49
"1994"	"Female"	"Agriculture"	41
"1995"	"Female"	"Agriculture"	39
"1996"	"Female"	"Agriculture"	56
"1997"	"Female"	"Agriculture"	59
"1998"	"Female"	"Agriculture"	67
"1999"	"Female"	"Agriculture"	64
"2000"	"Female"	"Agriculture"	64
"2001"	"Female"	"Agriculture"	61
"2002"	"Female"	"Agriculture"	56
"2003"	"Female"	"Agriculture"	71
"2004"	"Female"	"Agriculture"	71
"2005"	"Female"	"Agriculture"	70
"2006"	"Female"	"Agriculture"	54
"2007"	"Female"	"Agriculture"	74
"2008"	"Female"	"Agriculture"	85
"2009"	"Female"	"Agriculture"	96
"2010"	"Female"	"Agriculture"	87
"2011"	"Female"	"Agriculture"	123
"1966"	"Male"	"Agriculture"	198
"1967"	"Male"	"Agriculture"	181
"1968"	"Male"	"Agriculture"	216
"1969"	"Male"	"Agriculture"	244
"1970"	"Male"	"Agriculture"	253
"1971"	"Male"	"Agriculture"	209
"1972"	"Male"	"Agriculture"	237
"1973"	"Male"	"Agriculture"	156
"1974"	"Male"	"Agriculture"	201
"1975"	"Male"	"Agriculture"	177
"1976"	"Male"	"Agriculture"	157
"1977"	"Male"	"Agriculture"	185
"1978"	"Male"	"Agriculture"	226
"1979"	"Male"	"Agriculture"	217
"1980"	"Male"	"Agriculture"	206
"1981"	"Male"	"Agriculture"	200
"1982"	"Male"	"Agriculture"	147
"1983"	"Male"	"Agriculture"	103
"1984"	"Male"	"Agriculture"	112
"1985"	"Male"	"Agriculture"	156
"1986"	"Male"	"Agriculture"	108
"1987"	"Male"	"Agriculture"	109
"1988"	"Male"	"Agriculture"	93
"1989"	"Male"	"Agriculture"	88
"1990"	"Male"	"Agriculture"	65
"1991"	"Male"	"Agriculture"	69
"1992"	"Male"	"Agriculture"	54
"1993"	"Male"	"Agriculture"	87
"1994"	"Male"	"Agriculture"	107
"1995"	"Male"	"Agriculture"	117
"1996"	"Male"	"Agriculture"	127
"1997"	"Male"	"Agriculture"	132
"1998"	"Male"	"Agriculture"	137
"1999"	"Male"	"Agriculture"	128
"2000"	"Male"	"Agriculture"	111
"2001"	"Male"	"Agriculture"	90
"2002"	"Male"	"Agriculture"	77
"2003"	"Male"	"Agriculture"	53
"2004"	"Male"	"Agriculture"	73
"2005"	"Male"	"Agriculture"	71
"2006"	"Male"	"Agriculture"	86
"2007"	"Male"	"Agriculture"	100
"2008"	"Male"	"Agriculture"	94
"2009"	"Male"	"Agriculture"	92
"2010"	"Male"	"Agriculture"	102
"2011"	"Male"	"Agriculture"	110
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	1
"1968"	"Female"	"Anthropology"	1
"1969"	"Female"	"Anthropology"	4
"1970"	"Female"	"Anthropology"	5
"1971"	"Female"	"Anthropology"	6
"1972"	"Female"	"Anthropology"	4
"1973"	"Female"	"Anthropology"	7
"1974"	"Female"	"Anthropology"	8
"1975"	"Female"	"Anthropology"	11
