"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	3
1969	"Female"	"Anthropology"	6
1970	"Female"	"Anthropology"	11
1971	"Female"	"Anthropology"	24
1972	"Female"	"Anthropology"	31
1973	"Female"	"Anthropology"	27
1974	"Female"	"Anthropology"	33
1975	"Female"	"Anthropology"	31
1976	"Female"	"Anthropology"	23
1977	"Female"	"Anthropology"	13
1978	"Female"	"Anthropology"	16
1979	"Female"	"Anthropology"	10
1980	"Female"	"Anthropology"	15
1981	"Female"	"Anthropology"	8
1982	"Female"	"Anthropology"	12
1983	"Female"	"Anthropology"	9
1984	"Female"	"Anthropology"	0
1985	"Female"	"Anthropology"	0
1986	"Female"	"Anthropology"	8
1987	"Female"	"Anthropology"	8
1988	"Female"	"Anthropology"	10
1989	"Female"	"Anthropology"	5
1990	"Female"	"Anthropology"	7
1991	"Female"	"Anthropology"	9
1992	"Female"	"Anthropology"	9
1993	"Female"	"Anthropology"	9
1994	"Female"	"Anthropology"	11
1995	"Female"	"Anthropology"	11
1996	"Female"	"Anthropology"	17
1997	"Female"	"Anthropology"	13
1998	"Female"	"Anthropology"	15
1999	"Female"	"Anthropology"	16
2000	"Female"	"Anthropology"	16
2001	"Female"	"Anthropology"	24
2002	"Female"	"Anthropology"	22
2003	"Female"	"Anthropology"	19
2004	"Female"	"Anthropology"	17
2005	"Female"	"Anthropology"	14
2006	"Female"	"Anthropology"	19
2007	"Female"	"Anthropology"	23
2008	"Female"	"Anthropology"	30
2009	"Female"	"Anthropology"	32
2010	"Female"	"Anthropology"	24
2011	"Female"	"Anthropology"	31
1966	"Male"	"Anthropology"	0
1967	"Male"	"Anthropology"	0
1968	"Male"	"Anthropology"	3
1969	"Male"	"Anthropology"	7
1970	"Male"	"Anthropology"	11
1971	"Male"	"Anthropology"	15
1972	"Male"	"Anthropology"	18
1973	"Male"	"Anthropology"	14
1974	"Male"	"Anthropology"	27
1975	"Male"	"Anthropology"	17
1976	"Male"	"Anthropology"	7
1977	"Male"	"Anthropology"	9
1978	"Male"	"Anthropology"	6
1979	"Male"	"Anthropology"	10
1980	"Male"	"Anthropology"	7
1981	"Male"	"Anthropology"	5
1982	"Male"	"Anthropology"	7
1983	"Male"	"Anthropology"	4
1984	"Male"	"Anthropology"	0
1985	"Male"	"Anthropology"	0
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	4
1988	"Male"	"Anthropology"	5
1989	"Male"	"Anthropology"	7
1990	"Male"	"Anthropology"	7
1991	"Male"	"Anthropology"	10
1992	"Male"	"Anthropology"	4
1993	"Male"	"Anthropology"	6
1994	"Male"	"Anthropology"	4
1995	"Male"	"Anthropology"	5
1996	"Male"	"Anthropology"	7
1997	"Male"	"Anthropology"	7
1998	"Male"	"Anthropology"	7
1999	"Male"	"Anthropology"	4
2000	"Male"	"Anthropology"	6
2001	"Male"	"Anthropology"	10
2002	"Male"	"Anthropology"	8
2003	"Male"	"Anthropology"	6
2004	"Male"	"Anthropology"	12
2005	"Male"	"Anthropology"	13
2006	"Male"	"Anthropology"	7
