"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	2
1967	"Female"	"Agriculture"	1
1968	"Female"	"Agriculture"	6
1969	"Female"	"Agriculture"	5
1970	"Female"	"Agriculture"	14
1971	"Female"	"Agriculture"	3
1972	"Female"	"Agriculture"	15
1973	"Female"	"Agriculture"	19
1974	"Female"	"Agriculture"	24
1975	"Female"	"Agriculture"	27
1976	"Female"	"Agriculture"	56
1977	"Female"	"Agriculture"	63
1978	"Female"	"Agriculture"	90
1979	"Female"	"Agriculture"	81
1980	"Female"	"Agriculture"	96
1981	"Female"	"Agriculture"	79
1982	"Female"	"Agriculture"	71
1983	"Female"	"Agriculture"	86
1984	"Female"	"Agriculture"	74
1985	"Female"	"Agriculture"	83
1986	"Female"	"Agriculture"	68
1987	"Female"	"Agriculture"	60
1988	"Female"	"Agriculture"	56
1989	"Female"	"Agriculture"	60
1990	"Female"	"Agriculture"	60
1991	"Female"	"Agriculture"	61
1992	"Female"	"Agriculture"	53
1993	"Female"	"Agriculture"	46
1994	"Female"	"Agriculture"	60
1995	"Female"	"Agriculture"	79
1996	"Female"	"Agriculture"	91
1997	"Female"	"Agriculture"	92
1998	"Female"	"Agriculture"	100
1999	"Female"	"Agriculture"	151
2000	"Female"	"Agriculture"	160
2001	"Female"	"Agriculture"	175
2002	"Female"	"Agriculture"	181
2003	"Female"	"Agriculture"	212
2004	"Female"	"Agriculture"	183
2005	"Female"	"Agriculture"	217
2006	"Female"	"Agriculture"	201
2007	"Female"	"Agriculture"	195
2008	"Female"	"Agriculture"	216
2009	"Female"	"Agriculture"	222
2010	"Female"	"Agriculture"	227
2011	"Female"	"Agriculture"	223
1966	"Male"	"Agriculture"	150
1967	"Male"	"Agriculture"	170
1968	"Male"	"Agriculture"	176
1969	"Male"	"Agriculture"	179
1970	"Male"	"Agriculture"	190
1971	"Male"	"Agriculture"	174
1972	"Male"	"Agriculture"	198
1973	"Male"	"Agriculture"	213
1974	"Male"	"Agriculture"	178
1975	"Male"	"Agriculture"	160
1976	"Male"	"Agriculture"	190
1977	"Male"	"Agriculture"	176
1978	"Male"	"Agriculture"	168
1979	"Male"	"Agriculture"	140
1980	"Male"	"Agriculture"	135
1981	"Male"	"Agriculture"	142
1982	"Male"	"Agriculture"	124
1983	"Male"	"Agriculture"	105
1984	"Male"	"Agriculture"	110
1985	"Male"	"Agriculture"	119
1986	"Male"	"Agriculture"	91
1987	"Male"	"Agriculture"	75
1988	"Male"	"Agriculture"	57
1989	"Male"	"Agriculture"	70
1990	"Male"	"Agriculture"	76
1991	"Male"	"Agriculture"	65
1992	"Male"	"Agriculture"	48
1993	"Male"	"Agriculture"	58
1994	"Male"	"Agriculture"	72
1995	"Male"	"Agriculture"	69
