"year"	"gender"	"field"	"count"
"1967"	"Female"	"Agriculture"	1
"1970"	"Female"	"Agriculture"	8
"1971"	"Female"	"Agriculture"	15
"1972"	"Female"	"Agriculture"	14
"1973"	"Female"	"Agriculture"	13
"1974"	"Female"	"Agriculture"	11
"1975"	"Female"	"Agriculture"	21
"1976"	"Female"	"Agriculture"	37
"1977"	"Female"	"Agriculture"	35
"1978"	"Female"	"Agriculture"	60
"1979"	"Female"	"Agriculture"	49
"1980"	"Female"	"Agriculture"	74
"1981"	"Female"	"Agriculture"	70
"1982"	"Female"	"Agriculture"	69
"1983"	"Female"	"Agriculture"	60
"1984"	"Female"	"Agriculture"	42
"1985"	"Female"	"Agriculture"	44
"1986"	"Female"	"Agriculture"	28
"1987"	"Female"	"Agriculture"	31
"1988"	"Female"	"Agriculture"	26
"1989"	"Female"	"Agriculture"	22
"1990"	"Female"	"Agriculture"	18
"1991"	"Female"	"Agriculture"	22
"1992"	"Female"	"Agriculture"	22
"1993"	"Female"	"Agriculture"	33
"1994"	"Female"	"Agriculture"	38
"1995"	"Female"	"Agriculture"	28
"1996"	"Female"	"Agriculture"	26
"1997"	"Female"	"Agriculture"	43
"1998"	"Female"	"Agriculture"	49
"1999"	"Female"	"Agriculture"	50
"2000"	"Female"	"Agriculture"	63
"2001"	"Female"	"Agriculture"	39
"2002"	"Female"	"Agriculture"	40
"2003"	"Female"	"Agriculture"	50
"2004"	"Female"	"Agriculture"	69
"2005"	"Female"	"Agriculture"	72
"2006"	"Female"	"Agriculture"	74
"2007"	"Female"	"Agriculture"	68
"2008"	"Female"	"Agriculture"	61
"2009"	"Female"	"Agriculture"	74
"2010"	"Female"	"Agriculture"	68
"2011"	"Female"	"Agriculture"	83
"1967"	"Male"	"Agriculture"	59
"1970"	"Male"	"Agriculture"	73
"1971"	"Male"	"Agriculture"	69
"1972"	"Male"	"Agriculture"	85
"1973"	"Male"	"Agriculture"	96
"1974"	"Male"	"Agriculture"	101
"1975"	"Male"	"Agriculture"	123
"1976"	"Male"	"Agriculture"	132
"1977"	"Male"	"Agriculture"	117
"1978"	"Male"	"Agriculture"	142
"1979"	"Male"	"Agriculture"	124
"1980"	"Male"	"Agriculture"	134
"1981"	"Male"	"Agriculture"	103
"1982"	"Male"	"Agriculture"	100
"1983"	"Male"	"Agriculture"	110
"1984"	"Male"	"Agriculture"	81
"1985"	"Male"	"Agriculture"	82
"1986"	"Male"	"Agriculture"	72
"1987"	"Male"	"Agriculture"	70
"1988"	"Male"	"Agriculture"	69
"1989"	"Male"	"Agriculture"	44
"1990"	"Male"	"Agriculture"	44
"1991"	"Male"	"Agriculture"	68
"1992"	"Male"	"Agriculture"	62
"1993"	"Male"	"Agriculture"	72
"1994"	"Male"	"Agriculture"	64
"1995"	"Male"	"Agriculture"	63
"1996"	"Male"	"Agriculture"	67
"1997"	"Male"	"Agriculture"	67
"1998"	"Male"	"Agriculture"	70
"1999"	"Male"	"Agriculture"	65
"2000"	"Male"	"Agriculture"	67
"2001"	"Male"	"Agriculture"	60
"2002"	"Male"	"Agriculture"	63
"2003"	"Male"	"Agriculture"	63
"2004"	"Male"	"Agriculture"	40
"2005"	"Male"	"Agriculture"	53
"2006"	"Male"	"Agriculture"	51
"2007"	"Male"	"Agriculture"	44
"2008"	"Male"	"Agriculture"	55
"2009"	"Male"	"Agriculture"	43
