"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	2
"1967"	"Female"	"Agriculture"	3
"1968"	"Female"	"Agriculture"	6
"1969"	"Female"	"Agriculture"	6
"1970"	"Female"	"Agriculture"	8
"1971"	"Female"	"Agriculture"	7
"1972"	"Female"	"Agriculture"	22
"1973"	"Female"	"Agriculture"	19
"1974"	"Female"	"Agriculture"	26
"1975"	"Female"	"Agriculture"	40
"1976"	"Female"	"Agriculture"	58
"1977"	"Female"	"Agriculture"	71
"1978"	"Female"	"Agriculture"	83
"1979"	"Female"	"Agriculture"	78
"1980"	"Female"	"Agriculture"	89
"1981"	"Female"	"Agriculture"	96
"1982"	"Female"	"Agriculture"	83
"1983"	"Female"	"Agriculture"	101
"1984"	"Female"	"Agriculture"	86
"1985"	"Female"	"Agriculture"	62
"1986"	"Female"	"Agriculture"	71
"1987"	"Female"	"Agriculture"	44
"1988"	"Female"	"Agriculture"	45
"1989"	"Female"	"Agriculture"	43
"1990"	"Female"	"Agriculture"	42
"1991"	"Female"	"Agriculture"	42
"1992"	"Female"	"Agriculture"	33
"1993"	"Female"	"Agriculture"	39
"1994"	"Female"	"Agriculture"	42
"1995"	"Female"	"Agriculture"	55
"1996"	"Female"	"Agriculture"	52
"1997"	"Female"	"Agriculture"	46
"1998"	"Female"	"Agriculture"	60
"1999"	"Female"	"Agriculture"	68
"2000"	"Female"	"Agriculture"	50
"2001"	"Female"	"Agriculture"	50
"2002"	"Female"	"Agriculture"	39
"2003"	"Female"	"Agriculture"	49
"2004"	"Female"	"Agriculture"	46
"2005"	"Female"	"Agriculture"	46
"2006"	"Female"	"Agriculture"	43
"2007"	"Female"	"Agriculture"	56
"2008"	"Female"	"Agriculture"	52
"2009"	"Female"	"Agriculture"	67
"2010"	"Female"	"Agriculture"	60
"2011"	"Female"	"Agriculture"	102
"1966"	"Male"	"Agriculture"	29
"1967"	"Male"	"Agriculture"	60
"1968"	"Male"	"Agriculture"	65
"1969"	"Male"	"Agriculture"	77
"1970"	"Male"	"Agriculture"	78
"1971"	"Male"	"Agriculture"	49
"1972"	"Male"	"Agriculture"	89
"1973"	"Male"	"Agriculture"	85
"1974"	"Male"	"Agriculture"	125
"1975"	"Male"	"Agriculture"	129
"1976"	"Male"	"Agriculture"	121
"1977"	"Male"	"Agriculture"	117
"1978"	"Male"	"Agriculture"	117
"1979"	"Male"	"Agriculture"	118
"1980"	"Male"	"Agriculture"	101
"1981"	"Male"	"Agriculture"	100
"1982"	"Male"	"Agriculture"	105
"1983"	"Male"	"Agriculture"	106
"1984"	"Male"	"Agriculture"	86
"1985"	"Male"	"Agriculture"	82
"1986"	"Male"	"Agriculture"	69
"1987"	"Male"	"Agriculture"	52
"1988"	"Male"	"Agriculture"	41
