"year"	"gender"	"field"	"count"
"1966"	"Female"	"Area and Ethnic Studies"	0
"1967"	"Female"	"Area and Ethnic Studies"	0
"1968"	"Female"	"Area and Ethnic Studies"	0
"1969"	"Female"	"Area and Ethnic Studies"	0
"1970"	"Female"	"Area and Ethnic Studies"	0
"1971"	"Female"	"Area and Ethnic Studies"	0
"1972"	"Female"	"Area and Ethnic Studies"	0
"1973"	"Female"	"Area and Ethnic Studies"	0
"1974"	"Female"	"Area and Ethnic Studies"	0
"1975"	"Female"	"Area and Ethnic Studies"	0
"1976"	"Female"	"Area and Ethnic Studies"	2
"1977"	"Female"	"Area and Ethnic Studies"	3
"1978"	"Female"	"Area and Ethnic Studies"	7
"1979"	"Female"	"Area and Ethnic Studies"	5
"1980"	"Female"	"Area and Ethnic Studies"	2
"1981"	"Female"	"Area and Ethnic Studies"	2
"1982"	"Female"	"Area and Ethnic Studies"	3
"1983"	"Female"	"Area and Ethnic Studies"	2
"1984"	"Female"	"Area and Ethnic Studies"	0
"1985"	"Female"	"Area and Ethnic Studies"	2
"1986"	"Female"	"Area and Ethnic Studies"	2
"1987"	"Female"	"Area and Ethnic Studies"	0
"1988"	"Female"	"Area and Ethnic Studies"	4
"1989"	"Female"	"Area and Ethnic Studies"	0
"1990"	"Female"	"Area and Ethnic Studies"	4
"1991"	"Female"	"Area and Ethnic Studies"	2
"1992"	"Female"	"Area and Ethnic Studies"	4
"1993"	"Female"	"Area and Ethnic Studies"	5
"1994"	"Female"	"Area and Ethnic Studies"	6
"1995"	"Female"	"Area and Ethnic Studies"	4
"1996"	"Female"	"Area and Ethnic Studies"	2
"1997"	"Female"	"Area and Ethnic Studies"	1
"1998"	"Female"	"Area and Ethnic Studies"	0
"1999"	"Female"	"Area and Ethnic Studies"	0
"2000"	"Female"	"Area and Ethnic Studies"	6
"2001"	"Female"	"Area and Ethnic Studies"	3
"2002"	"Female"	"Area and Ethnic Studies"	1
"2003"	"Female"	"Area and Ethnic Studies"	1
"2004"	"Female"	"Area and Ethnic Studies"	2
"2005"	"Female"	"Area and Ethnic Studies"	2
"2006"	"Female"	"Area and Ethnic Studies"	3
"2007"	"Female"	"Area and Ethnic Studies"	1
"2008"	"Female"	"Area and Ethnic Studies"	1
"2009"	"Female"	"Area and Ethnic Studies"	2
"2010"	"Female"	"Area and Ethnic Studies"	1
"2011"	"Female"	"Area and Ethnic Studies"	0
"1966"	"Male"	"Area and Ethnic Studies"	0
"1967"	"Male"	"Area and Ethnic Studies"	0
"1968"	"Male"	"Area and Ethnic Studies"	0
"1969"	"Male"	"Area and Ethnic Studies"	0
"1970"	"Male"	"Area and Ethnic Studies"	0
"1971"	"Male"	"Area and Ethnic Studies"	0
"1972"	"Male"	"Area and Ethnic Studies"	0
"1973"	"Male"	"Area and Ethnic Studies"	0
"1974"	"Male"	"Area and Ethnic Studies"	0
"1975"	"Male"	"Area and Ethnic Studies"	0
"1976"	"Male"	"Area and Ethnic Studies"	3
"1977"	"Male"	"Area and Ethnic Studies"	4
"1978"	"Male"	"Area and Ethnic Studies"	2
"1979"	"Male"	"Area and Ethnic Studies"	3
"1980"	"Male"	"Area and Ethnic Studies"	3
"1981"	"Male"	"Area and Ethnic Studies"	2
"1982"	"Male"	"Area and Ethnic Studies"	1
"1983"	"Male"	"Area and Ethnic Studies"	1
"1984"	"Male"	"Area and Ethnic Studies"	0
"1985"	"Male"	"Area and Ethnic Studies"	1
"1986"	"Male"	"Area and Ethnic Studies"	2
"1987"	"Male"	"Area and Ethnic Studies"	0
"1988"	"Male"	"Area and Ethnic Studies"	2
"1989"	"Male"	"Area and Ethnic Studies"	1
"1990"	"Male"	"Area and Ethnic Studies"	5
"1991"	"Male"	"Area and Ethnic Studies"	2
"1992"	"Male"	"Area and Ethnic Studies"	5
"1993"	"Male"	"Area and Ethnic Studies"	7
"1994"	"Male"	"Area and Ethnic Studies"	5
"1995"	"Male"	"Area and Ethnic Studies"	4
"1996"	"Male"	"Area and Ethnic Studies"	1
"1997"	"Male"	"Area and Ethnic Studies"	4
"1998"	"Male"	"Area and Ethnic Studies"	3
"1999"	"Male"	"Area and Ethnic Studies"	4
"2000"	"Male"	"Area and Ethnic Studies"	1
"2001"	"Male"	"Area and Ethnic Studies"	1
"2002"	"Male"	"Area and Ethnic Studies"	2
"2003"	"Male"	"Area and Ethnic Studies"	0
"2004"	"Male"	"Area and Ethnic Studies"	0
"2005"	"Male"	"Area and Ethnic Studies"	2
"2006"	"Male"	"Area and Ethnic Studies"	0
"2007"	"Male"	"Area and Ethnic Studies"	0
"2008"	"Male"	"Area and Ethnic Studies"	2
"2009"	"Male"	"Area and Ethnic Studies"	3
"2010"	"Male"	"Area and Ethnic Studies"	2
"2011"	"Male"	"Area and Ethnic Studies"	0
"1966"	"Female"	"Art/Architecture"	0
"1967"	"Female"	"Art/Architecture"	0
"1968"	"Female"	"Art/Architecture"	0
"1969"	"Female"	"Art/Architecture"	0
"1970"	"Female"	"Art/Architecture"	0
"1971"	"Female"	"Art/Architecture"	0
"1972"	"Female"	"Art/Architecture"	0
"1973"	"Female"	"Art/Architecture"	0
"1974"	"Female"	"Art/Architecture"	0
"1975"	"Female"	"Art/Architecture"	0
"1976"	"Female"	"Art/Architecture"	31
"1977"	"Female"	"Art/Architecture"	26
"1978"	"Female"	"Art/Architecture"	34
"1979"	"Female"	"Art/Architecture"	26
"1980"	"Female"	"Art/Architecture"	22
"1981"	"Female"	"Art/Architecture"	54
"1982"	"Female"	"Art/Architecture"	19
"1983"	"Female"	"Art/Architecture"	42
"1984"	"Female"	"Art/Architecture"	26
"1985"	"Female"	"Art/Architecture"	25
"1986"	"Female"	"Art/Architecture"	18
"1987"	"Female"	"Art/Architecture"	22
"1988"	"Female"	"Art/Architecture"	14
"1989"	"Female"	"Art/Architecture"	26
"1990"	"Female"	"Art/Architecture"	20
"1991"	"Female"	"Art/Architecture"	29
"1992"	"Female"	"Art/Architecture"	23
"1993"	"Female"	"Art/Architecture"	31
"1994"	"Female"	"Art/Architecture"	21
"1995"	"Female"	"Art/Architecture"	12
"1996"	"Female"	"Art/Architecture"	15
"1997"	"Female"	"Art/Architecture"	20
"1998"	"Female"	"Art/Architecture"	14
"1999"	"Female"	"Art/Architecture"	20
"2000"	"Female"	"Art/Architecture"	21
"2001"	"Female"	"Art/Architecture"	21
"2002"	"Female"	"Art/Architecture"	25
"2003"	"Female"	"Art/Architecture"	15
"2004"	"Female"	"Art/Architecture"	55
"2005"	"Female"	"Art/Architecture"	36
"2006"	"Female"	"Art/Architecture"	37
"2007"	"Female"	"Art/Architecture"	32
"2008"	"Female"	"Art/Architecture"	33
"2009"	"Female"	"Art/Architecture"	30
"2010"	"Female"	"Art/Architecture"	35
"2011"	"Female"	"Art/Architecture"	24
"1966"	"Male"	"Art/Architecture"	0
"1967"	"Male"	"Art/Architecture"	0
"1968"	"Male"	"Art/Architecture"	0
"1969"	"Male"	"Art/Architecture"	0
"1970"	"Male"	"Art/Architecture"	0
"1971"	"Male"	"Art/Architecture"	0
"1972"	"Male"	"Art/Architecture"	0
"1973"	"Male"	"Art/Architecture"	0
"1974"	"Male"	"Art/Architecture"	0
"1975"	"Male"	"Art/Architecture"	0
"1976"	"Male"	"Art/Architecture"	28
"1977"	"Male"	"Art/Architecture"	23
"1978"	"Male"	"Art/Architecture"	14
"1979"	"Male"	"Art/Architecture"	23
"1980"	"Male"	"Art/Architecture"	23
"1981"	"Male"	"Art/Architecture"	51
"1982"	"Male"	"Art/Architecture"	23
"1983"	"Male"	"Art/Architecture"	22
"1984"	"Male"	"Art/Architecture"	10
"1985"	"Male"	"Art/Architecture"	15
"1986"	"Male"	"Art/Architecture"	16
"1987"	"Male"	"Art/Architecture"	16
"1988"	"Male"	"Art/Architecture"	15
"1989"	"Male"	"Art/Architecture"	13
"1990"	"Male"	"Art/Architecture"	20
"1991"	"Male"	"Art/Architecture"	25
"1992"	"Male"	"Art/Architecture"	48
"1993"	"Male"	"Art/Architecture"	50
"1994"	"Male"	"Art/Architecture"	28
"1995"	"Male"	"Art/Architecture"	45
"1996"	"Male"	"Art/Architecture"	31
"1997"	"Male"	"Art/Architecture"	39
"1998"	"Male"	"Art/Architecture"	28
"1999"	"Male"	"Art/Architecture"	18
"2000"	"Male"	"Art/Architecture"	16
"2001"	"Male"	"Art/Architecture"	46
"2002"	"Male"	"Art/Architecture"	28
"2003"	"Male"	"Art/Architecture"	46
"2004"	"Male"	"Art/Architecture"	45
"2005"	"Male"	"Art/Architecture"	64
"2006"	"Male"	"Art/Architecture"	53
"2007"	"Male"	"Art/Architecture"	53
"2008"	"Male"	"Art/Architecture"	65
"2009"	"Male"	"Art/Architecture"	51
"2010"	"Male"	"Art/Architecture"	53
"2011"	"Male"	"Art/Architecture"	39
"1966"	"Female"	"Business"	0
"1967"	"Female"	"Business"	4
"1968"	"Female"	"Business"	1
"1969"	"Female"	"Business"	1
"1970"	"Female"	"Business"	1
"1971"	"Female"	"Business"	4
"1972"	"Female"	"Business"	2
"1973"	"Female"	"Business"	5
"1974"	"Female"	"Business"	12
"1975"	"Female"	"Business"	18
"1976"	"Female"	"Business"	33
"1977"	"Female"	"Business"	28
"1978"	"Female"	"Business"	59
"1979"	"Female"	"Business"	87
"1980"	"Female"	"Business"	80
"1981"	"Female"	"Business"	101
"1982"	"Female"	"Business"	124
"1983"	"Female"	"Business"	180
"1984"	"Female"	"Business"	195
"1985"	"Female"	"Business"	179
"1986"	"Female"	"Business"	221
"1987"	"Female"	"Business"	223
"1988"	"Female"	"Business"	211
"1989"	"Female"	"Business"	188
"1990"	"Female"	"Business"	171
"1991"	"Female"	"Business"	202
"1992"	"Female"	"Business"	166
"1993"	"Female"	"Business"	186
"1994"	"Female"	"Business"	145
"1995"	"Female"	"Business"	84
"1996"	"Female"	"Business"	75
"1997"	"Female"	"Business"	72
"1998"	"Female"	"Business"	81
"1999"	"Female"	"Business"	96
"2000"	"Female"	"Business"	96
"2001"	"Female"	"Business"	118
"2002"	"Female"	"Business"	107
"2003"	"Female"	"Business"	121
"2004"	"Female"	"Business"	125
"2005"	"Female"	"Business"	138
"2006"	"Female"	"Business"	99
"2007"	"Female"	"Business"	132
"2008"	"Female"	"Business"	121
"2009"	"Female"	"Business"	92
"2010"	"Female"	"Business"	114
"2011"	"Female"	"Business"	135
"1966"	"Male"	"Business"	37
"1967"	"Male"	"Business"	34
"1968"	"Male"	"Business"	65
"1969"	"Male"	"Business"	84
"1970"	"Male"	"Business"	101
"1971"	"Male"	"Business"	131
"1972"	"Male"	"Business"	146
"1973"	"Male"	"Business"	192
"1974"	"Male"	"Business"	198
"1975"	"Male"	"Business"	284
"1976"	"Male"	"Business"	183
"1977"	"Male"	"Business"	224
"1978"	"Male"	"Business"	258
"1979"	"Male"	"Business"	226
"1980"	"Male"	"Business"	243
"1981"	"Male"	"Business"	238
"1982"	"Male"	"Business"	236
"1983"	"Male"	"Business"	225
"1984"	"Male"	"Business"	281
"1985"	"Male"	"Business"	234
"1986"	"Male"	"Business"	248
"1987"	"Male"	"Business"	263
"1988"	"Male"	"Business"	248
"1989"	"Male"	"Business"	224
"1990"	"Male"	"Business"	242
"1991"	"Male"	"Business"	225
"1992"	"Male"	"Business"	277
"1993"	"Male"	"Business"	229
"1994"	"Male"	"Business"	205
"1995"	"Male"	"Business"	179
"1996"	"Male"	"Business"	146
"1997"	"Male"	"Business"	130
"1998"	"Male"	"Business"	112
"1999"	"Male"	"Business"	125
"2000"	"Male"	"Business"	129
"2001"	"Male"	"Business"	126
"2002"	"Male"	"Business"	140
"2003"	"Male"	"Business"	168
"2004"	"Male"	"Business"	148
"2005"	"Male"	"Business"	173
"2006"	"Male"	"Business"	134
"2007"	"Male"	"Business"	193
"2008"	"Male"	"Business"	158
"2009"	"Male"	"Business"	170
"2010"	"Male"	"Business"	175
"2011"	"Male"	"Business"	216
"1966"	"Female"	"Computer Science"	0
"1967"	"Female"	"Computer Science"	0
"1968"	"Female"	"Computer Science"	0
"1969"	"Female"	"Computer Science"	0
"1970"	"Female"	"Computer Science"	0
"1971"	"Female"	"Computer Science"	0
"1972"	"Female"	"Computer Science"	0
"1973"	"Female"	"Computer Science"	0
"1974"	"Female"	"Computer Science"	0
"1975"	"Female"	"Computer Science"	0
"1976"	"Female"	"Computer Science"	0
"1977"	"Female"	"Computer Science"	0
"1978"	"Female"	"Computer Science"	0
"1979"	"Female"	"Computer Science"	1
"1980"	"Female"	"Computer Science"	4
"1981"	"Female"	"Computer Science"	4
"1982"	"Female"	"Computer Science"	3
"1983"	"Female"	"Computer Science"	9
"1984"	"Female"	"Computer Science"	31
"1985"	"Female"	"Computer Science"	28
"1986"	"Female"	"Computer Science"	37
"1987"	"Female"	"Computer Science"	30
"1988"	"Female"	"Computer Science"	23
"1989"	"Female"	"Computer Science"	12
"1990"	"Female"	"Computer Science"	23
