"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	5
"1967"	"Female"	"Agriculture"	5
"1969"	"Female"	"Agriculture"	6
"1970"	"Female"	"Agriculture"	14
"1971"	"Female"	"Agriculture"	16
"1972"	"Female"	"Agriculture"	17
"1973"	"Female"	"Agriculture"	20
"1974"	"Female"	"Agriculture"	35
"1975"	"Female"	"Agriculture"	87
"1976"	"Female"	"Agriculture"	93
"1977"	"Female"	"Agriculture"	124
"1978"	"Female"	"Agriculture"	161
"1979"	"Female"	"Agriculture"	129
"1980"	"Female"	"Agriculture"	133
"1981"	"Female"	"Agriculture"	140
"1982"	"Female"	"Agriculture"	107
"1983"	"Female"	"Agriculture"	92
"1984"	"Female"	"Agriculture"	78
"1985"	"Female"	"Agriculture"	75
"1986"	"Female"	"Agriculture"	63
"1987"	"Female"	"Agriculture"	60
"1988"	"Female"	"Agriculture"	47
"1989"	"Female"	"Agriculture"	38
"1990"	"Female"	"Agriculture"	50
"1991"	"Female"	"Agriculture"	63
"1992"	"Female"	"Agriculture"	63
"1993"	"Female"	"Agriculture"	76
"1994"	"Female"	"Agriculture"	127
"1995"	"Female"	"Agriculture"	121
"1996"	"Female"	"Agriculture"	127
"1997"	"Female"	"Agriculture"	137
"1998"	"Female"	"Agriculture"	124
"1999"	"Female"	"Agriculture"	121
"2000"	"Female"	"Agriculture"	127
"2001"	"Female"	"Agriculture"	103
"2002"	"Female"	"Agriculture"	125
"2003"	"Female"	"Agriculture"	132
"2004"	"Female"	"Agriculture"	115
"2005"	"Female"	"Agriculture"	109
"2006"	"Female"	"Agriculture"	110
"2007"	"Female"	"Agriculture"	98
"2008"	"Female"	"Agriculture"	95
"2009"	"Female"	"Agriculture"	82
"2010"	"Female"	"Agriculture"	110
"2011"	"Female"	"Agriculture"	103
"1966"	"Male"	"Agriculture"	54
"1967"	"Male"	"Agriculture"	54
"1969"	"Male"	"Agriculture"	96
"1970"	"Male"	"Agriculture"	97
"1971"	"Male"	"Agriculture"	90
"1972"	"Male"	"Agriculture"	88
"1973"	"Male"	"Agriculture"	103
"1974"	"Male"	"Agriculture"	154
"1975"	"Male"	"Agriculture"	188
"1976"	"Male"	"Agriculture"	256
"1977"	"Male"	"Agriculture"	231
"1978"	"Male"	"Agriculture"	231
"1979"	"Male"	"Agriculture"	242
