"year"	"gender"	"field"	"count"
1966	"Female"	"Art/Architecture"	13
1967	"Female"	"Art/Architecture"	16
1968	"Female"	"Art/Architecture"	20
1969	"Female"	"Art/Architecture"	24
1970	"Female"	"Art/Architecture"	35
1971	"Female"	"Art/Architecture"	39
1972	"Female"	"Art/Architecture"	49
1973	"Female"	"Art/Architecture"	42
1974	"Female"	"Art/Architecture"	39
1975	"Female"	"Art/Architecture"	39
1976	"Female"	"Art/Architecture"	50
1977	"Female"	"Art/Architecture"	63
1978	"Female"	"Art/Architecture"	51
1979	"Female"	"Art/Architecture"	56
1980	"Female"	"Art/Architecture"	56
1981	"Female"	"Art/Architecture"	71
1982	"Female"	"Art/Architecture"	68
1983	"Female"	"Art/Architecture"	65
1984	"Female"	"Art/Architecture"	65
1985	"Female"	"Art/Architecture"	84
1986	"Female"	"Art/Architecture"	63
1987	"Female"	"Art/Architecture"	61
1988	"Female"	"Art/Architecture"	62
1989	"Female"	"Art/Architecture"	57
1990	"Female"	"Art/Architecture"	58
1991	"Female"	"Art/Architecture"	59
1992	"Female"	"Art/Architecture"	59
1993	"Female"	"Art/Architecture"	71
1994	"Female"	"Art/Architecture"	38
1995	"Female"	"Art/Architecture"	38
1996	"Female"	"Art/Architecture"	38
1997	"Female"	"Art/Architecture"	59
1998	"Female"	"Art/Architecture"	58
1999	"Female"	"Art/Architecture"	48
2000	"Female"	"Art/Architecture"	65
2001	"Female"	"Art/Architecture"	52
2002	"Female"	"Art/Architecture"	60
2003	"Female"	"Art/Architecture"	85
2004	"Female"	"Art/Architecture"	70
2005	"Female"	"Art/Architecture"	71
2006	"Female"	"Art/Architecture"	70
2007	"Female"	"Art/Architecture"	85
2008	"Female"	"Art/Architecture"	52
2009	"Female"	"Art/Architecture"	56
2010	"Female"	"Art/Architecture"	70
2011	"Female"	"Art/Architecture"	54
1966	"Male"	"Art/Architecture"	9
1967	"Male"	"Art/Architecture"	13
1968	"Male"	"Art/Architecture"	12
1969	"Male"	"Art/Architecture"	32
