"year"	"gender"	"field"	"count"
"1970"	"Female"	"Agriculture"	4
"1971"	"Female"	"Agriculture"	4
"1972"	"Female"	"Agriculture"	14
"1973"	"Female"	"Agriculture"	32
"1974"	"Female"	"Agriculture"	50
"1975"	"Female"	"Agriculture"	65
"1976"	"Female"	"Agriculture"	56
"1977"	"Female"	"Agriculture"	60
"1978"	"Female"	"Agriculture"	69
"1979"	"Female"	"Agriculture"	67
"1980"	"Female"	"Agriculture"	60
"1981"	"Female"	"Agriculture"	55
"1982"	"Female"	"Agriculture"	46
"1983"	"Female"	"Agriculture"	44
"1984"	"Female"	"Agriculture"	21
"1985"	"Female"	"Agriculture"	21
"1986"	"Female"	"Agriculture"	13
"1987"	"Female"	"Agriculture"	22
"1988"	"Female"	"Agriculture"	8
"1989"	"Female"	"Agriculture"	18
"1990"	"Female"	"Agriculture"	17
"1991"	"Female"	"Agriculture"	21
"1992"	"Female"	"Agriculture"	31
"1993"	"Female"	"Agriculture"	42
"1994"	"Female"	"Agriculture"	62
"1995"	"Female"	"Agriculture"	42
"1996"	"Female"	"Agriculture"	52
"1997"	"Female"	"Agriculture"	38
"1998"	"Female"	"Agriculture"	56
"1999"	"Female"	"Agriculture"	71
"2000"	"Female"	"Agriculture"	72
"2001"	"Female"	"Agriculture"	56
"2002"	"Female"	"Agriculture"	44
"2003"	"Female"	"Agriculture"	41
"2004"	"Female"	"Agriculture"	49
"2005"	"Female"	"Agriculture"	42
"2006"	"Female"	"Agriculture"	40
"2007"	"Female"	"Agriculture"	44
"2008"	"Female"	"Agriculture"	56
"2009"	"Female"	"Agriculture"	33
"2010"	"Female"	"Agriculture"	62
"2011"	"Female"	"Agriculture"	67
"1970"	"Male"	"Agriculture"	45
"1971"	"Male"	"Agriculture"	48
"1972"	"Male"	"Agriculture"	74
"1973"	"Male"	"Agriculture"	96
"1974"	"Male"	"Agriculture"	129
"1975"	"Male"	"Agriculture"	119
"1976"	"Male"	"Agriculture"	101
"1977"	"Male"	"Agriculture"	99
"1978"	"Male"	"Agriculture"	109
"1979"	"Male"	"Agriculture"	86
"1980"	"Male"	"Agriculture"	81
"1981"	"Male"	"Agriculture"	77
"1982"	"Male"	"Agriculture"	59
"1983"	"Male"	"Agriculture"	48
"1984"	"Male"	"Agriculture"	41
"1985"	"Male"	"Agriculture"	37
"1986"	"Male"	"Agriculture"	35
"1987"	"Male"	"Agriculture"	17
"1988"	"Male"	"Agriculture"	14
"1989"	"Male"	"Agriculture"	12
"1990"	"Male"	"Agriculture"	16
"1991"	"Male"	"Agriculture"	28
"1992"	"Male"	"Agriculture"	33
"1993"	"Male"	"Agriculture"	40
"1994"	"Male"	"Agriculture"	41
"1995"	"Male"	"Agriculture"	30
"1996"	"Male"	"Agriculture"	35
"1997"	"Male"	"Agriculture"	47
"1998"	"Male"	"Agriculture"	37
"1999"	"Male"	"Agriculture"	42
"2000"	"Male"	"Agriculture"	35
"2001"	"Male"	"Agriculture"	37
"2002"	"Male"	"Agriculture"	29
"2003"	"Male"	"Agriculture"	30
"2004"	"Male"	"Agriculture"	27
"2005"	"Male"	"Agriculture"	25
"2006"	"Male"	"Agriculture"	19
"2007"	"Male"	"Agriculture"	20
"2008"	"Male"	"Agriculture"	13
"2009"	"Male"	"Agriculture"	27
"2010"	"Male"	"Agriculture"	20
"2011"	"Male"	"Agriculture"	37
"1970"	"Female"	"Anthropology"	31
"1971"	"Female"	"Anthropology"	39
"1972"	"Female"	"Anthropology"	44
"1973"	"Female"	"Anthropology"	45
"1974"	"Female"	"Anthropology"	60
"1975"	"Female"	"Anthropology"	35
"1976"	"Female"	"Anthropology"	47
"1977"	"Female"	"Anthropology"	41
"1978"	"Female"	"Anthropology"	31
"1979"	"Female"	"Anthropology"	41
"1980"	"Female"	"Anthropology"	25
"1981"	"Female"	"Anthropology"	40
"1982"	"Female"	"Anthropology"	31
"1983"	"Female"	"Anthropology"	30
"1984"	"Female"	"Anthropology"	29
"1985"	"Female"	"Anthropology"	14
"1986"	"Female"	"Anthropology"	12
"1987"	"Female"	"Anthropology"	32
"1988"	"Female"	"Anthropology"	28
"1989"	"Female"	"Anthropology"	32
"1990"	"Female"	"Anthropology"	36
"1991"	"Female"	"Anthropology"	48
"1992"	"Female"	"Anthropology"	23
"1993"	"Female"	"Anthropology"	40
"1994"	"Female"	"Anthropology"	33
"1995"	"Female"	"Anthropology"	49
"1996"	"Female"	"Anthropology"	42
"1997"	"Female"	"Anthropology"	41
"1998"	"Female"	"Anthropology"	37
"1999"	"Female"	"Anthropology"	60
"2000"	"Female"	"Anthropology"	49
"2001"	"Female"	"Anthropology"	42
"2002"	"Female"	"Anthropology"	43
"2003"	"Female"	"Anthropology"	39
"2004"	"Female"	"Anthropology"	44
"2005"	"Female"	"Anthropology"	38
"2006"	"Female"	"Anthropology"	43
"2007"	"Female"	"Anthropology"	46
"2008"	"Female"	"Anthropology"	59
"2009"	"Female"	"Anthropology"	64
"2010"	"Female"	"Anthropology"	63
"2011"	"Female"	"Anthropology"	85
"1970"	"Male"	"Anthropology"	21
"1971"	"Male"	"Anthropology"	29
"1972"	"Male"	"Anthropology"	29
"1973"	"Male"	"Anthropology"	26
"1974"	"Male"	"Anthropology"	29
"1975"	"Male"	"Anthropology"	22
"1976"	"Male"	"Anthropology"	27
"1977"	"Male"	"Anthropology"	11
"1978"	"Male"	"Anthropology"	9
"1979"	"Male"	"Anthropology"	14
"1980"	"Male"	"Anthropology"	11
"1981"	"Male"	"Anthropology"	10
"1982"	"Male"	"Anthropology"	19
"1983"	"Male"	"Anthropology"	14
"1984"	"Male"	"Anthropology"	8
"1985"	"Male"	"Anthropology"	5
"1986"	"Male"	"Anthropology"	14
"1987"	"Male"	"Anthropology"	12
"1988"	"Male"	"Anthropology"	16
"1989"	"Male"	"Anthropology"	18
"1990"	"Male"	"Anthropology"	19
"1991"	"Male"	"Anthropology"	20
"1992"	"Male"	"Anthropology"	16
"1993"	"Male"	"Anthropology"	17
"1994"	"Male"	"Anthropology"	18
"1995"	"Male"	"Anthropology"	15
"1996"	"Male"	"Anthropology"	15
"1997"	"Male"	"Anthropology"	24
"1998"	"Male"	"Anthropology"	12
"1999"	"Male"	"Anthropology"	17
"2000"	"Male"	"Anthropology"	15
"2001"	"Male"	"Anthropology"	15
"2002"	"Male"	"Anthropology"	21
"2003"	"Male"	"Anthropology"	16
"2004"	"Male"	"Anthropology"	8
"2005"	"Male"	"Anthropology"	13
"2006"	"Male"	"Anthropology"	19
"2007"	"Male"	"Anthropology"	20
"2008"	"Male"	"Anthropology"	24
"2009"	"Male"	"Anthropology"	19
"2010"	"Male"	"Anthropology"	25
"2011"	"Male"	"Anthropology"	37
"1970"	"Female"	"Area and Ethnic Studies"	35
"1971"	"Female"	"Area and Ethnic Studies"	38
"1972"	"Female"	"Area and Ethnic Studies"	31
"1973"	"Female"	"Area and Ethnic Studies"	20
"1974"	"Female"	"Area and Ethnic Studies"	15
"1975"	"Female"	"Area and Ethnic Studies"	15
"1976"	"Female"	"Area and Ethnic Studies"	25
"1977"	"Female"	"Area and Ethnic Studies"	17
"1978"	"Female"	"Area and Ethnic Studies"	16
"1979"	"Female"	"Area and Ethnic Studies"	22
"1980"	"Female"	"Area and Ethnic Studies"	18
"1981"	"Female"	"Area and Ethnic Studies"	24
"1982"	"Female"	"Area and Ethnic Studies"	19
"1983"	"Female"	"Area and Ethnic Studies"	14
"1984"	"Female"	"Area and Ethnic Studies"	23
"1985"	"Female"	"Area and Ethnic Studies"	32
"1986"	"Female"	"Area and Ethnic Studies"	27
"1987"	"Female"	"Area and Ethnic Studies"	44
"1988"	"Female"	"Area and Ethnic Studies"	33
"1989"	"Female"	"Area and Ethnic Studies"	20
"1990"	"Female"	"Area and Ethnic Studies"	46
"1991"	"Female"	"Area and Ethnic Studies"	40
"1992"	"Female"	"Area and Ethnic Studies"	40
"1993"	"Female"	"Area and Ethnic Studies"	50
"1994"	"Female"	"Area and Ethnic Studies"	42
"1995"	"Female"	"Area and Ethnic Studies"	38
"1996"	"Female"	"Area and Ethnic Studies"	39
"1997"	"Female"	"Area and Ethnic Studies"	38
"1998"	"Female"	"Area and Ethnic Studies"	31
"1999"	"Female"	"Area and Ethnic Studies"	48
"2000"	"Female"	"Area and Ethnic Studies"	47
"2001"	"Female"	"Area and Ethnic Studies"	44
"2002"	"Female"	"Area and Ethnic Studies"	30
"2003"	"Female"	"Area and Ethnic Studies"	34
"2004"	"Female"	"Area and Ethnic Studies"	29
"2005"	"Female"	"Area and Ethnic Studies"	61
"2006"	"Female"	"Area and Ethnic Studies"	52
"2007"	"Female"	"Area and Ethnic Studies"	57
"2008"	"Female"	"Area and Ethnic Studies"	63
"2009"	"Female"	"Area and Ethnic Studies"	55
"2010"	"Female"	"Area and Ethnic Studies"	65
"2011"	"Female"	"Area and Ethnic Studies"	40
"1970"	"Male"	"Area and Ethnic Studies"	12
"1971"	"Male"	"Area and Ethnic Studies"	19
"1972"	"Male"	"Area and Ethnic Studies"	16
"1973"	"Male"	"Area and Ethnic Studies"	11
"1974"	"Male"	"Area and Ethnic Studies"	14
"1975"	"Male"	"Area and Ethnic Studies"	8
"1976"	"Male"	"Area and Ethnic Studies"	7
"1977"	"Male"	"Area and Ethnic Studies"	9
"1978"	"Male"	"Area and Ethnic Studies"	16
"1979"	"Male"	"Area and Ethnic Studies"	16
"1980"	"Male"	"Area and Ethnic Studies"	16
"1981"	"Male"	"Area and Ethnic Studies"	19
"1982"	"Male"	"Area and Ethnic Studies"	12
"1983"	"Male"	"Area and Ethnic Studies"	20
"1984"	"Male"	"Area and Ethnic Studies"	19
"1985"	"Male"	"Area and Ethnic Studies"	17
"1986"	"Male"	"Area and Ethnic Studies"	31
"1987"	"Male"	"Area and Ethnic Studies"	13
"1988"	"Male"	"Area and Ethnic Studies"	22
"1989"	"Male"	"Area and Ethnic Studies"	24
"1990"	"Male"	"Area and Ethnic Studies"	29
"1991"	"Male"	"Area and Ethnic Studies"	38
"1992"	"Male"	"Area and Ethnic Studies"	34
"1993"	"Male"	"Area and Ethnic Studies"	23
"1994"	"Male"	"Area and Ethnic Studies"	29
"1995"	"Male"	"Area and Ethnic Studies"	24
"1996"	"Male"	"Area and Ethnic Studies"	24
"1997"	"Male"	"Area and Ethnic Studies"	25
"1998"	"Male"	"Area and Ethnic Studies"	18
"1999"	"Male"	"Area and Ethnic Studies"	20
"2000"	"Male"	"Area and Ethnic Studies"	18
"2001"	"Male"	"Area and Ethnic Studies"	22
"2002"	"Male"	"Area and Ethnic Studies"	21
"2003"	"Male"	"Area and Ethnic Studies"	11
"2004"	"Male"	"Area and Ethnic Studies"	17
"2005"	"Male"	"Area and Ethnic Studies"	16
"2006"	"Male"	"Area and Ethnic Studies"	31
"2007"	"Male"	"Area and Ethnic Studies"	28
"2008"	"Male"	"Area and Ethnic Studies"	33
"2009"	"Male"	"Area and Ethnic Studies"	34
"2010"	"Male"	"Area and Ethnic Studies"	39
"2011"	"Male"	"Area and Ethnic Studies"	29
"1970"	"Female"	"Art/Architecture"	215
"1971"	"Female"	"Art/Architecture"	131
"1972"	"Female"	"Art/Architecture"	143
"1973"	"Female"	"Art/Architecture"	190
"1974"	"Female"	"Art/Architecture"	170
"1975"	"Female"	"Art/Architecture"	180
"1976"	"Female"	"Art/Architecture"	169
"1977"	"Female"	"Art/Architecture"	178
"1978"	"Female"	"Art/Architecture"	185
"1979"	"Female"	"Art/Architecture"	175
"1980"	"Female"	"Art/Architecture"	193
"1981"	"Female"	"Art/Architecture"	192
"1982"	"Female"	"Art/Architecture"	203
"1983"	"Female"	"Art/Architecture"	209
"1984"	"Female"	"Art/Architecture"	227
"1985"	"Female"	"Art/Architecture"	195
"1986"	"Female"	"Art/Architecture"	194
"1987"	"Female"	"Art/Architecture"	202
"1988"	"Female"	"Art/Architecture"	214
"1989"	"Female"	"Art/Architecture"	236
"1990"	"Female"	"Art/Architecture"	241
"1991"	"Female"	"Art/Architecture"	222
"1992"	"Female"	"Art/Architecture"	242
"1993"	"Female"	"Art/Architecture"	226
"1994"	"Female"	"Art/Architecture"	196
"1995"	"Female"	"Art/Architecture"	185
"1996"	"Female"	"Art/Architecture"	226
"1997"	"Female"	"Art/Architecture"	192
"1998"	"Female"	"Art/Architecture"	224
"1999"	"Female"	"Art/Architecture"	217
"2000"	"Female"	"Art/Architecture"	246
"2001"	"Female"	"Art/Architecture"	226
"2002"	"Female"	"Art/Architecture"	245
"2003"	"Female"	"Art/Architecture"	276
"2004"	"Female"	"Art/Architecture"	283
"2005"	"Female"	"Art/Architecture"	241
"2006"	"Female"	"Art/Architecture"	239
"2007"	"Female"	"Art/Architecture"	256
"2008"	"Female"	"Art/Architecture"	270
"2009"	"Female"	"Art/Architecture"	258
"2010"	"Female"	"Art/Architecture"	291
"2011"	"Female"	"Art/Architecture"	264
"1970"	"Male"	"Art/Architecture"	145
"1971"	"Male"	"Art/Architecture"	168
"1972"	"Male"	"Art/Architecture"	184
"1973"	"Male"	"Art/Architecture"	162
"1974"	"Male"	"Art/Architecture"	168
"1975"	"Male"	"Art/Architecture"	159
"1976"	"Male"	"Art/Architecture"	151
"1977"	"Male"	"Art/Architecture"	159
"1978"	"Male"	"Art/Architecture"	166
"1979"	"Male"	"Art/Architecture"	176
"1980"	"Male"	"Art/Architecture"	148
"1981"	"Male"	"Art/Architecture"	168
"1982"	"Male"	"Art/Architecture"	174
"1983"	"Male"	"Art/Architecture"	154
"1984"	"Male"	"Art/Architecture"	168
"1985"	"Male"	"Art/Architecture"	155
"1986"	"Male"	"Art/Architecture"	151
"1987"	"Male"	"Art/Architecture"	138
"1988"	"Male"	"Art/Architecture"	160
"1989"	"Male"	"Art/Architecture"	160
"1990"	"Male"	"Art/Architecture"	163
"1991"	"Male"	"Art/Architecture"	153
"1992"	"Male"	"Art/Architecture"	185
"1993"	"Male"	"Art/Architecture"	152
"1994"	"Male"	"Art/Architecture"	164
"1995"	"Male"	"Art/Architecture"	166
"1996"	"Male"	"Art/Architecture"	167
"1997"	"Male"	"Art/Architecture"	173
"1998"	"Male"	"Art/Architecture"	183
"1999"	"Male"	"Art/Architecture"	196
"2000"	"Male"	"Art/Architecture"	211
"2001"	"Male"	"Art/Architecture"	194
"2002"	"Male"	"Art/Architecture"	203
"2003"	"Male"	"Art/Architecture"	188
"2004"	"Male"	"Art/Architecture"	187
"2005"	"Male"	"Art/Architecture"	185
"2006"	"Male"	"Art/Architecture"	199
"2007"	"Male"	"Art/Architecture"	220
"2008"	"Male"	"Art/Architecture"	193
"2009"	"Male"	"Art/Architecture"	214
"2010"	"Male"	"Art/Architecture"	232
"2011"	"Male"	"Art/Architecture"	216
"1970"	"Female"	"Business"	16
"1971"	"Female"	"Business"	24
"1972"	"Female"	"Business"	16
"1973"	"Female"	"Business"	17
"1974"	"Female"	"Business"	29
"1975"	"Female"	"Business"	75
"1976"	"Female"	"Business"	68
"1977"	"Female"	"Business"	56
"1978"	"Female"	"Business"	83
"1979"	"Female"	"Business"	74
"1980"	"Female"	"Business"	111
"1981"	"Female"	"Business"	135
"1982"	"Female"	"Business"	137
"1983"	"Female"	"Business"	138
"1984"	"Female"	"Business"	133
"1985"	"Female"	"Business"	131
"1986"	"Female"	"Business"	135
"1987"	"Female"	"Business"	129
