"year"	"gender"	"field"	"count"
1967	"Female"	"Agriculture"	2
1968	"Female"	"Agriculture"	4
1969	"Female"	"Agriculture"	13
1970	"Female"	"Agriculture"	24
1971	"Female"	"Agriculture"	3
1972	"Female"	"Agriculture"	15
1973	"Female"	"Agriculture"	11
1974	"Female"	"Agriculture"	20
1975	"Female"	"Agriculture"	29
1976	"Female"	"Agriculture"	32
1977	"Female"	"Agriculture"	75
1978	"Female"	"Agriculture"	56
1979	"Female"	"Agriculture"	65
1980	"Female"	"Agriculture"	94
1981	"Female"	"Agriculture"	79
1982	"Female"	"Agriculture"	65
1983	"Female"	"Agriculture"	83
1984	"Female"	"Agriculture"	72
1985	"Female"	"Agriculture"	62
1986	"Female"	"Agriculture"	62
1987	"Female"	"Agriculture"	52
1988	"Female"	"Agriculture"	43
1989	"Female"	"Agriculture"	32
1990	"Female"	"Agriculture"	37
1991	"Female"	"Agriculture"	37
1992	"Female"	"Agriculture"	46
1993	"Female"	"Agriculture"	63
1994	"Female"	"Agriculture"	68
1995	"Female"	"Agriculture"	83
1996	"Female"	"Agriculture"	92
1997	"Female"	"Agriculture"	80
1998	"Female"	"Agriculture"	88
1999	"Female"	"Agriculture"	103
2000	"Female"	"Agriculture"	85
2001	"Female"	"Agriculture"	84
2002	"Female"	"Agriculture"	92
2003	"Female"	"Agriculture"	91
2004	"Female"	"Agriculture"	87
2005	"Female"	"Agriculture"	108
2006	"Female"	"Agriculture"	109
2007	"Female"	"Agriculture"	94
2008	"Female"	"Agriculture"	107
2009	"Female"	"Agriculture"	132
2010	"Female"	"Agriculture"	161
2011	"Female"	"Agriculture"	175
1967	"Male"	"Agriculture"	151
1968	"Male"	"Agriculture"	151
1969	"Male"	"Agriculture"	222
1970	"Male"	"Agriculture"	213
1971	"Male"	"Agriculture"	193
1972	"Male"	"Agriculture"	234
1973	"Male"	"Agriculture"	271
1974	"Male"	"Agriculture"	222
1975	"Male"	"Agriculture"	185
1976	"Male"	"Agriculture"	261
1977	"Male"	"Agriculture"	254
1978	"Male"	"Agriculture"	241
1979	"Male"	"Agriculture"	225
1980	"Male"	"Agriculture"	182
1981	"Male"	"Agriculture"	173
1982	"Male"	"Agriculture"	159
1983	"Male"	"Agriculture"	140
1984	"Male"	"Agriculture"	139
1985	"Male"	"Agriculture"	145
1986	"Male"	"Agriculture"	113
1987	"Male"	"Agriculture"	96
1988	"Male"	"Agriculture"	84
1989	"Male"	"Agriculture"	62
1990	"Male"	"Agriculture"	72
1991	"Male"	"Agriculture"	69
1992	"Male"	"Agriculture"	73
1993	"Male"	"Agriculture"	85
1994	"Male"	"Agriculture"	85
1995	"Male"	"Agriculture"	131
1996	"Male"	"Agriculture"	139
1997	"Male"	"Agriculture"	98
1998	"Male"	"Agriculture"	95
1999	"Male"	"Agriculture"	95
2000	"Male"	"Agriculture"	71
2001	"Male"	"Agriculture"	68
2002	"Male"	"Agriculture"	81
2003	"Male"	"Agriculture"	82
2004	"Male"	"Agriculture"	91
2005	"Male"	"Agriculture"	87
2006	"Male"	"Agriculture"	80
2007	"Male"	"Agriculture"	105
2008	"Male"	"Agriculture"	109
2009	"Male"	"Agriculture"	116
2010	"Male"	"Agriculture"	113
2011	"Male"	"Agriculture"	105
1967	"Female"	"Anthropology"	11
1968	"Female"	"Anthropology"	21
1969	"Female"	"Anthropology"	23
1970	"Female"	"Anthropology"	38
1971	"Female"	"Anthropology"	36
1972	"Female"	"Anthropology"	32
1973	"Female"	"Anthropology"	35
1974	"Female"	"Anthropology"	37
1975	"Female"	"Anthropology"	45
1976	"Female"	"Anthropology"	29
1977	"Female"	"Anthropology"	35
1978	"Female"	"Anthropology"	27
1979	"Female"	"Anthropology"	24
1980	"Female"	"Anthropology"	22
1981	"Female"	"Anthropology"	11
1982	"Female"	"Anthropology"	26
1983	"Female"	"Anthropology"	19
1984	"Female"	"Anthropology"	19
1985	"Female"	"Anthropology"	9
1986	"Female"	"Anthropology"	14
1987	"Female"	"Anthropology"	14
1988	"Female"	"Anthropology"	13
1989	"Female"	"Anthropology"	8
1990	"Female"	"Anthropology"	17
1991	"Female"	"Anthropology"	27
1992	"Female"	"Anthropology"	31
1993	"Female"	"Anthropology"	26
1994	"Female"	"Anthropology"	36
1995	"Female"	"Anthropology"	43
1996	"Female"	"Anthropology"	29
1997	"Female"	"Anthropology"	44
1998	"Female"	"Anthropology"	25
1999	"Female"	"Anthropology"	42
2000	"Female"	"Anthropology"	28
2001	"Female"	"Anthropology"	24
2002	"Female"	"Anthropology"	31
