"year"	"gender"	"field"	"count"
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	2
1969	"Female"	"Agriculture"	3
1970	"Female"	"Agriculture"	4
1971	"Female"	"Agriculture"	2
1972	"Female"	"Agriculture"	5
1973	"Female"	"Agriculture"	3
1974	"Female"	"Agriculture"	11
1975	"Female"	"Agriculture"	10
1976	"Female"	"Agriculture"	15
1977	"Female"	"Agriculture"	13
1978	"Female"	"Agriculture"	22
1979	"Female"	"Agriculture"	29
1980	"Female"	"Agriculture"	35
1981	"Female"	"Agriculture"	52
1982	"Female"	"Agriculture"	49
1983	"Female"	"Agriculture"	55
1984	"Female"	"Agriculture"	26
1985	"Female"	"Agriculture"	37
1986	"Female"	"Agriculture"	41
1987	"Female"	"Agriculture"	33
1988	"Female"	"Agriculture"	23
1989	"Female"	"Agriculture"	27
1990	"Female"	"Agriculture"	29
1991	"Female"	"Agriculture"	22
1992	"Female"	"Agriculture"	25
1993	"Female"	"Agriculture"	39
1994	"Female"	"Agriculture"	43
1995	"Female"	"Agriculture"	29
1996	"Female"	"Agriculture"	47
1997	"Female"	"Agriculture"	66
1998	"Female"	"Agriculture"	60
1999	"Female"	"Agriculture"	52
2000	"Female"	"Agriculture"	73
2001	"Female"	"Agriculture"	64
2002	"Female"	"Agriculture"	47
2003	"Female"	"Agriculture"	64
2004	"Female"	"Agriculture"	49
2005	"Female"	"Agriculture"	64
2006	"Female"	"Agriculture"	64
2007	"Female"	"Agriculture"	74
2008	"Female"	"Agriculture"	69
2009	"Female"	"Agriculture"	63
2010	"Female"	"Agriculture"	86
2011	"Female"	"Agriculture"	97
1967	"Male"	"Agriculture"	97
1968	"Male"	"Agriculture"	103
1969	"Male"	"Agriculture"	136
1970	"Male"	"Agriculture"	168
1971	"Male"	"Agriculture"	187
1972	"Male"	"Agriculture"	201
1973	"Male"	"Agriculture"	180
1974	"Male"	"Agriculture"	195
1975	"Male"	"Agriculture"	188
1976	"Male"	"Agriculture"	173
1977	"Male"	"Agriculture"	174
1978	"Male"	"Agriculture"	184
1979	"Male"	"Agriculture"	155
1980	"Male"	"Agriculture"	200
1981	"Male"	"Agriculture"	157
1982	"Male"	"Agriculture"	165
1983	"Male"	"Agriculture"	166
1984	"Male"	"Agriculture"	123
1985	"Male"	"Agriculture"	120
1986	"Male"	"Agriculture"	103
1987	"Male"	"Agriculture"	97
1988	"Male"	"Agriculture"	97
1989	"Male"	"Agriculture"	67
1990	"Male"	"Agriculture"	68
1991	"Male"	"Agriculture"	64
1992	"Male"	"Agriculture"	73
1993	"Male"	"Agriculture"	85
1994	"Male"	"Agriculture"	101
1995	"Male"	"Agriculture"	82
1996	"Male"	"Agriculture"	115
1997	"Male"	"Agriculture"	138
1998	"Male"	"Agriculture"	126
1999	"Male"	"Agriculture"	103
2000	"Male"	"Agriculture"	112
2001	"Male"	"Agriculture"	91
2002	"Male"	"Agriculture"	95
2003	"Male"	"Agriculture"	117
2004	"Male"	"Agriculture"	109
2005	"Male"	"Agriculture"	104
2006	"Male"	"Agriculture"	87
2007	"Male"	"Agriculture"	106
2008	"Male"	"Agriculture"	93
2009	"Male"	"Agriculture"	119
2010	"Male"	"Agriculture"	109
2011	"Male"	"Agriculture"	130
1967	"Female"	"Anthropology"	4
1968	"Female"	"Anthropology"	2
1969	"Female"	"Anthropology"	4
1970	"Female"	"Anthropology"	4
1971	"Female"	"Anthropology"	7
1972	"Female"	"Anthropology"	6
1973	"Female"	"Anthropology"	11
1974	"Female"	"Anthropology"	5
1975	"Female"	"Anthropology"	9
1976	"Female"	"Anthropology"	9
1977	"Female"	"Anthropology"	6
1978	"Female"	"Anthropology"	10
1979	"Female"	"Anthropology"	8
1980	"Female"	"Anthropology"	4
1981	"Female"	"Anthropology"	6
1982	"Female"	"Anthropology"	10
1983	"Female"	"Anthropology"	1
1984	"Female"	"Anthropology"	5
1985	"Female"	"Anthropology"	4
1986	"Female"	"Anthropology"	5
1987	"Female"	"Anthropology"	3
1988	"Female"	"Anthropology"	6
1989	"Female"	"Anthropology"	5
1990	"Female"	"Anthropology"	8
1991	"Female"	"Anthropology"	3
1992	"Female"	"Anthropology"	10
1993	"Female"	"Anthropology"	11
1994	"Female"	"Anthropology"	12
1995	"Female"	"Anthropology"	9
1996	"Female"	"Anthropology"	11
1997	"Female"	"Anthropology"	6
1998	"Female"	"Anthropology"	17
1999	"Female"	"Anthropology"	16
2000	"Female"	"Anthropology"	17
2001	"Female"	"Anthropology"	11
2002	"Female"	"Anthropology"	10
2003	"Female"	"Anthropology"	13
2004	"Female"	"Anthropology"	5
2005	"Female"	"Anthropology"	15
2006	"Female"	"Anthropology"	15
