"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	0
"1967"	"Female"	"Agriculture"	0
"1968"	"Female"	"Agriculture"	0
"1969"	"Female"	"Agriculture"	0
"1970"	"Female"	"Agriculture"	0
"1971"	"Female"	"Agriculture"	0
"1972"	"Female"	"Agriculture"	0
"1973"	"Female"	"Agriculture"	0
"1974"	"Female"	"Agriculture"	1
"1975"	"Female"	"Agriculture"	0
"1976"	"Female"	"Agriculture"	0
"1977"	"Female"	"Agriculture"	0
"1978"	"Female"	"Agriculture"	0
"1979"	"Female"	"Agriculture"	0
"1980"	"Female"	"Agriculture"	0
"1981"	"Female"	"Agriculture"	0
"1982"	"Female"	"Agriculture"	0
"1983"	"Female"	"Agriculture"	0
"1984"	"Female"	"Agriculture"	0
"1985"	"Female"	"Agriculture"	0
"1986"	"Female"	"Agriculture"	0
"1987"	"Female"	"Agriculture"	0
"1988"	"Female"	"Agriculture"	0
"1989"	"Female"	"Agriculture"	0
"1990"	"Female"	"Agriculture"	0
"1991"	"Female"	"Agriculture"	0
"1992"	"Female"	"Agriculture"	0
"1993"	"Female"	"Agriculture"	0
"1994"	"Female"	"Agriculture"	0
"1995"	"Female"	"Agriculture"	0
"1996"	"Female"	"Agriculture"	0
"1997"	"Female"	"Agriculture"	0
"1998"	"Female"	"Agriculture"	0
"1999"	"Female"	"Agriculture"	0
"2000"	"Female"	"Agriculture"	0
"2001"	"Female"	"Agriculture"	0
"2002"	"Female"	"Agriculture"	0
"2003"	"Female"	"Agriculture"	6
"2004"	"Female"	"Agriculture"	10
"2005"	"Female"	"Agriculture"	9
"2006"	"Female"	"Agriculture"	7
"2007"	"Female"	"Agriculture"	7
"2008"	"Female"	"Agriculture"	5
"2009"	"Female"	"Agriculture"	5
"2010"	"Female"	"Agriculture"	9
"2011"	"Female"	"Agriculture"	8
"1966"	"Male"	"Agriculture"	0
"1967"	"Male"	"Agriculture"	0
"1968"	"Male"	"Agriculture"	0
"1969"	"Male"	"Agriculture"	0
"1970"	"Male"	"Agriculture"	0
"1971"	"Male"	"Agriculture"	0
"1972"	"Male"	"Agriculture"	0
"1973"	"Male"	"Agriculture"	0
"1974"	"Male"	"Agriculture"	0
"1975"	"Male"	"Agriculture"	6
"1976"	"Male"	"Agriculture"	0
"1977"	"Male"	"Agriculture"	0
"1978"	"Male"	"Agriculture"	0
"1979"	"Male"	"Agriculture"	0
"1980"	"Male"	"Agriculture"	0
"1981"	"Male"	"Agriculture"	0
"1982"	"Male"	"Agriculture"	0
"1983"	"Male"	"Agriculture"	0
"1984"	"Male"	"Agriculture"	0
"1985"	"Male"	"Agriculture"	0
"1986"	"Male"	"Agriculture"	0
"1987"	"Male"	"Agriculture"	0
"1988"	"Male"	"Agriculture"	0
"1989"	"Male"	"Agriculture"	0
"1990"	"Male"	"Agriculture"	0
"1991"	"Male"	"Agriculture"	0
"1992"	"Male"	"Agriculture"	0
"1993"	"Male"	"Agriculture"	0
"1994"	"Male"	"Agriculture"	0
"1995"	"Male"	"Agriculture"	0
"1996"	"Male"	"Agriculture"	0
"1997"	"Male"	"Agriculture"	0
"1998"	"Male"	"Agriculture"	0
"1999"	"Male"	"Agriculture"	0
"2000"	"Male"	"Agriculture"	0
"2001"	"Male"	"Agriculture"	0
"2002"	"Male"	"Agriculture"	0
"2003"	"Male"	"Agriculture"	7
"2004"	"Male"	"Agriculture"	8
"2005"	"Male"	"Agriculture"	5
"2006"	"Male"	"Agriculture"	11
"2007"	"Male"	"Agriculture"	6
"2008"	"Male"	"Agriculture"	3
"2009"	"Male"	"Agriculture"	4
"2010"	"Male"	"Agriculture"	3
"2011"	"Male"	"Agriculture"	6
"1966"	"Female"	"Anthropology"	7
"1967"	"Female"	"Anthropology"	14
"1968"	"Female"	"Anthropology"	18
"1969"	"Female"	"Anthropology"	14
"1970"	"Female"	"Anthropology"	19
"1971"	"Female"	"Anthropology"	13
"1972"	"Female"	"Anthropology"	23
"1973"	"Female"	"Anthropology"	25
"1974"	"Female"	"Anthropology"	36
"1975"	"Female"	"Anthropology"	28
"1976"	"Female"	"Anthropology"	19
"1977"	"Female"	"Anthropology"	36
"1978"	"Female"	"Anthropology"	27
"1979"	"Female"	"Anthropology"	24
"1980"	"Female"	"Anthropology"	20
"1981"	"Female"	"Anthropology"	21
"1982"	"Female"	"Anthropology"	29
"1983"	"Female"	"Anthropology"	19
