"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	2
"1967"	"Female"	"Agriculture"	2
"1968"	"Female"	"Agriculture"	1
"1969"	"Female"	"Agriculture"	6
"1970"	"Female"	"Agriculture"	8
"1971"	"Female"	"Agriculture"	6
"1972"	"Female"	"Agriculture"	3
"1973"	"Female"	"Agriculture"	19
"1974"	"Female"	"Agriculture"	28
"1975"	"Female"	"Agriculture"	23
"1976"	"Female"	"Agriculture"	40
"1977"	"Female"	"Agriculture"	63
"1978"	"Female"	"Agriculture"	81
"1979"	"Female"	"Agriculture"	79
"1980"	"Female"	"Agriculture"	70
"1981"	"Female"	"Agriculture"	76
"1982"	"Female"	"Agriculture"	60
"1983"	"Female"	"Agriculture"	42
"1984"	"Female"	"Agriculture"	46
"1985"	"Female"	"Agriculture"	42
"1986"	"Female"	"Agriculture"	28
"1987"	"Female"	"Agriculture"	35
"1988"	"Female"	"Agriculture"	22
"1989"	"Female"	"Agriculture"	26
"1990"	"Female"	"Agriculture"	26
"1991"	"Female"	"Agriculture"	39
"1992"	"Female"	"Agriculture"	49
"1993"	"Female"	"Agriculture"	71
"1994"	"Female"	"Agriculture"	58
"1995"	"Female"	"Agriculture"	67
"1996"	"Female"	"Agriculture"	73
"1997"	"Female"	"Agriculture"	36
"1998"	"Female"	"Agriculture"	66
"1999"	"Female"	"Agriculture"	47
"2000"	"Female"	"Agriculture"	57
"2001"	"Female"	"Agriculture"	47
"2002"	"Female"	"Agriculture"	39
"2003"	"Female"	"Agriculture"	45
"2004"	"Female"	"Agriculture"	39
"2005"	"Female"	"Agriculture"	45
"2006"	"Female"	"Agriculture"	66
"2007"	"Female"	"Agriculture"	48
"2008"	"Female"	"Agriculture"	58
"2009"	"Female"	"Agriculture"	45
"2010"	"Female"	"Agriculture"	70
"2011"	"Female"	"Agriculture"	65
"1966"	"Male"	"Agriculture"	17
"1967"	"Male"	"Agriculture"	11
"1968"	"Male"	"Agriculture"	19
"1969"	"Male"	"Agriculture"	55
"1970"	"Male"	"Agriculture"	52
"1971"	"Male"	"Agriculture"	52
"1972"	"Male"	"Agriculture"	19
"1973"	"Male"	"Agriculture"	76
"1974"	"Male"	"Agriculture"	89
"1975"	"Male"	"Agriculture"	125
"1976"	"Male"	"Agriculture"	122
"1977"	"Male"	"Agriculture"	146
"1978"	"Male"	"Agriculture"	142
"1979"	"Male"	"Agriculture"	131
"1980"	"Male"	"Agriculture"	116
"1981"	"Male"	"Agriculture"	103
"1982"	"Male"	"Agriculture"	84
"1983"	"Male"	"Agriculture"	67
"1984"	"Male"	"Agriculture"	58
"1985"	"Male"	"Agriculture"	35
"1986"	"Male"	"Agriculture"	49
"1987"	"Male"	"Agriculture"	43
"1988"	"Male"	"Agriculture"	50
"1989"	"Male"	"Agriculture"	50
"1990"	"Male"	"Agriculture"	26
"1991"	"Male"	"Agriculture"	41
"1992"	"Male"	"Agriculture"	76
"1993"	"Male"	"Agriculture"	86
"1994"	"Male"	"Agriculture"	90
"1995"	"Male"	"Agriculture"	97
"1996"	"Male"	"Agriculture"	68
"1997"	"Male"	"Agriculture"	74
"1998"	"Male"	"Agriculture"	71
"1999"	"Male"	"Agriculture"	42
"2000"	"Male"	"Agriculture"	42
"2001"	"Male"	"Agriculture"	23
"2002"	"Male"	"Agriculture"	35
"2003"	"Male"	"Agriculture"	25
"2004"	"Male"	"Agriculture"	31
"2005"	"Male"	"Agriculture"	28
"2006"	"Male"	"Agriculture"	38
"2007"	"Male"	"Agriculture"	30
"2008"	"Male"	"Agriculture"	25
"2009"	"Male"	"Agriculture"	43
"2010"	"Male"	"Agriculture"	42
"2011"	"Male"	"Agriculture"	41
"1966"	"Female"	"Anthropology"	0
"1967"	"Female"	"Anthropology"	0
"1968"	"Female"	"Anthropology"	0
"1969"	"Female"	"Anthropology"	0
"1970"	"Female"	"Anthropology"	0
"1971"	"Female"	"Anthropology"	0
"1972"	"Female"	"Anthropology"	0
"1973"	"Female"	"Anthropology"	0
"1974"	"Female"	"Anthropology"	11
"1975"	"Female"	"Anthropology"	4
