"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	8
1967	"Female"	"Anthropology"	15
1968	"Female"	"Anthropology"	18
1969	"Female"	"Anthropology"	16
1970	"Female"	"Anthropology"	25
1971	"Female"	"Anthropology"	37
1972	"Female"	"Anthropology"	33
1973	"Female"	"Anthropology"	58
1974	"Female"	"Anthropology"	58
1975	"Female"	"Anthropology"	73
1976	"Female"	"Anthropology"	60
1977	"Female"	"Anthropology"	53
1978	"Female"	"Anthropology"	52
1979	"Female"	"Anthropology"	31
1980	"Female"	"Anthropology"	22
1981	"Female"	"Anthropology"	34
1982	"Female"	"Anthropology"	30
1983	"Female"	"Anthropology"	24
1984	"Female"	"Anthropology"	15
1985	"Female"	"Anthropology"	22
1986	"Female"	"Anthropology"	18
1987	"Female"	"Anthropology"	14
1988	"Female"	"Anthropology"	17
1989	"Female"	"Anthropology"	21
1990	"Female"	"Anthropology"	20
1991	"Female"	"Anthropology"	34
1992	"Female"	"Anthropology"	38
1993	"Female"	"Anthropology"	43
1994	"Female"	"Anthropology"	41
1995	"Female"	"Anthropology"	57
1996	"Female"	"Anthropology"	52
1997	"Female"	"Anthropology"	54
1998	"Female"	"Anthropology"	59
1999	"Female"	"Anthropology"	66
2000	"Female"	"Anthropology"	81
2001	"Female"	"Anthropology"	84
2002	"Female"	"Anthropology"	67
2003	"Female"	"Anthropology"	75
2004	"Female"	"Anthropology"	76
2005	"Female"	"Anthropology"	61
2006	"Female"	"Anthropology"	60
2007	"Female"	"Anthropology"	53
2008	"Female"	"Anthropology"	67
2009	"Female"	"Anthropology"	71
2010	"Female"	"Anthropology"	63
2011	"Female"	"Anthropology"	75
1966	"Male"	"Anthropology"	8
1967	"Male"	"Anthropology"	14
1968	"Male"	"Anthropology"	15
1969	"Male"	"Anthropology"	20
1970	"Male"	"Anthropology"	22
1971	"Male"	"Anthropology"	31
1972	"Male"	"Anthropology"	47
1973	"Male"	"Anthropology"	48
1974	"Male"	"Anthropology"	49
1975	"Male"	"Anthropology"	42
1976	"Male"	"Anthropology"	41
1977	"Male"	"Anthropology"	39
1978	"Male"	"Anthropology"	29
1979	"Male"	"Anthropology"	29
1980	"Male"	"Anthropology"	18
1981	"Male"	"Anthropology"	15
1982	"Male"	"Anthropology"	14
1983	"Male"	"Anthropology"	14
1984	"Male"	"Anthropology"	15
1985	"Male"	"Anthropology"	11
1986	"Male"	"Anthropology"	13
1987	"Male"	"Anthropology"	11
1988	"Male"	"Anthropology"	11
1989	"Male"	"Anthropology"	12
1990	"Male"	"Anthropology"	22
1991	"Male"	"Anthropology"	25
1992	"Male"	"Anthropology"	19
1993	"Male"	"Anthropology"	25
1994	"Male"	"Anthropology"	27
1995	"Male"	"Anthropology"	23
1996	"Male"	"Anthropology"	32
1997	"Male"	"Anthropology"	44
1998	"Male"	"Anthropology"	34
1999	"Male"	"Anthropology"	43
2000	"Male"	"Anthropology"	36
2001	"Male"	"Anthropology"	29
2002	"Male"	"Anthropology"	29
2003	"Male"	"Anthropology"	38
2004	"Male"	"Anthropology"	39
2005	"Male"	"Anthropology"	29
2006	"Male"	"Anthropology"	30
2007	"Male"	"Anthropology"	27
2008	"Male"	"Anthropology"	26
2009	"Male"	"Anthropology"	32
2010	"Male"	"Anthropology"	27
2011	"Male"	"Anthropology"	28
1966	"Female"	"Area and Ethnic Studies"	2
1967	"Female"	"Area and Ethnic Studies"	18
1968	"Female"	"Area and Ethnic Studies"	8
1969	"Female"	"Area and Ethnic Studies"	24
1970	"Female"	"Area and Ethnic Studies"	16
1971	"Female"	"Area and Ethnic Studies"	33
1972	"Female"	"Area and Ethnic Studies"	23
1973	"Female"	"Area and Ethnic Studies"	24
1974	"Female"	"Area and Ethnic Studies"	24
1975	"Female"	"Area and Ethnic Studies"	40
1976	"Female"	"Area and Ethnic Studies"	37
1977	"Female"	"Area and Ethnic Studies"	27
1978	"Female"	"Area and Ethnic Studies"	24
1979	"Female"	"Area and Ethnic Studies"	31
1980	"Female"	"Area and Ethnic Studies"	28
1981	"Female"	"Area and Ethnic Studies"	15
1982	"Female"	"Area and Ethnic Studies"	25
1983	"Female"	"Area and Ethnic Studies"	26
1984	"Female"	"Area and Ethnic Studies"	27
1985	"Female"	"Area and Ethnic Studies"	19
1986	"Female"	"Area and Ethnic Studies"	14
1987	"Female"	"Area and Ethnic Studies"	29
1988	"Female"	"Area and Ethnic Studies"	20
1989	"Female"	"Area and Ethnic Studies"	28
1990	"Female"	"Area and Ethnic Studies"	39
1991	"Female"	"Area and Ethnic Studies"	28
1992	"Female"	"Area and Ethnic Studies"	45
1993	"Female"	"Area and Ethnic Studies"	39
1994	"Female"	"Area and Ethnic Studies"	52
1995	"Female"	"Area and Ethnic Studies"	37
1996	"Female"	"Area and Ethnic Studies"	56
1997	"Female"	"Area and Ethnic Studies"	44
1998	"Female"	"Area and Ethnic Studies"	56
1999	"Female"	"Area and Ethnic Studies"	56
2000	"Female"	"Area and Ethnic Studies"	43
2001	"Female"	"Area and Ethnic Studies"	53
2002	"Female"	"Area and Ethnic Studies"	57
2003	"Female"	"Area and Ethnic Studies"	51
2004	"Female"	"Area and Ethnic Studies"	73
2005	"Female"	"Area and Ethnic Studies"	64
2006	"Female"	"Area and Ethnic Studies"	87
2007	"Female"	"Area and Ethnic Studies"	80
2008	"Female"	"Area and Ethnic Studies"	73
2009	"Female"	"Area and Ethnic Studies"	82
2010	"Female"	"Area and Ethnic Studies"	76
2011	"Female"	"Area and Ethnic Studies"	71
1966	"Male"	"Area and Ethnic Studies"	3
1967	"Male"	"Area and Ethnic Studies"	20
1968	"Male"	"Area and Ethnic Studies"	15
1969	"Male"	"Area and Ethnic Studies"	22
1970	"Male"	"Area and Ethnic Studies"	27
