"year"	"gender"	"field"	"count"
1976	"Female"	"Anthropology"	0
1977	"Female"	"Anthropology"	2
1978	"Female"	"Anthropology"	6
1979	"Female"	"Anthropology"	1
1980	"Female"	"Anthropology"	2
1981	"Female"	"Anthropology"	4
1982	"Female"	"Anthropology"	6
1983	"Female"	"Anthropology"	6
1984	"Female"	"Anthropology"	4
1985	"Female"	"Anthropology"	4
1986	"Female"	"Anthropology"	3
1987	"Female"	"Anthropology"	4
1988	"Female"	"Anthropology"	4
1989	"Female"	"Anthropology"	4
1990	"Female"	"Anthropology"	0
1991	"Female"	"Anthropology"	0
1992	"Female"	"Anthropology"	0
1993	"Female"	"Anthropology"	0
1994	"Female"	"Anthropology"	0
1995	"Female"	"Anthropology"	0
1996	"Female"	"Anthropology"	0
1997	"Female"	"Anthropology"	0
1998	"Female"	"Anthropology"	0
1999	"Female"	"Anthropology"	0
2000	"Female"	"Anthropology"	0
2001	"Female"	"Anthropology"	0
2002	"Female"	"Anthropology"	0
2003	"Female"	"Anthropology"	0
2004	"Female"	"Anthropology"	0
2005	"Female"	"Anthropology"	0
2006	"Female"	"Anthropology"	0
2007	"Female"	"Anthropology"	0
2008	"Female"	"Anthropology"	0
2009	"Female"	"Anthropology"	0
2010	"Female"	"Anthropology"	0
2011	"Female"	"Anthropology"	0
1976	"Male"	"Anthropology"	1
1977	"Male"	"Anthropology"	1
1978	"Male"	"Anthropology"	2
1979	"Male"	"Anthropology"	5
1980	"Male"	"Anthropology"	2
1981	"Male"	"Anthropology"	1
1982	"Male"	"Anthropology"	0
1983	"Male"	"Anthropology"	3
1984	"Male"	"Anthropology"	2
1985	"Male"	"Anthropology"	4
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	0
1988	"Male"	"Anthropology"	3
1989	"Male"	"Anthropology"	0
1990	"Male"	"Anthropology"	0
1991	"Male"	"Anthropology"	0
1992	"Male"	"Anthropology"	0
1993	"Male"	"Anthropology"	1
1994	"Male"	"Anthropology"	0
1995	"Male"	"Anthropology"	0
1996	"Male"	"Anthropology"	0
1997	"Male"	"Anthropology"	0
1998	"Male"	"Anthropology"	0
1999	"Male"	"Anthropology"	0
2000	"Male"	"Anthropology"	0
2001	"Male"	"Anthropology"	0
2002	"Male"	"Anthropology"	0
2003	"Male"	"Anthropology"	0
2004	"Male"	"Anthropology"	0
2005	"Male"	"Anthropology"	0
2006	"Male"	"Anthropology"	0
2007	"Male"	"Anthropology"	0
2008	"Male"	"Anthropology"	0
2009	"Male"	"Anthropology"	0
2010	"Male"	"Anthropology"	0
2011	"Male"	"Anthropology"	0
1976	"Female"	"Area and Ethnic Studies"	0
1977	"Female"	"Area and Ethnic Studies"	0
1978	"Female"	"Area and Ethnic Studies"	0
1979	"Female"	"Area and Ethnic Studies"	0
1980	"Female"	"Area and Ethnic Studies"	2
1981	"Female"	"Area and Ethnic Studies"	1
1982	"Female"	"Area and Ethnic Studies"	2
1983	"Female"	"Area and Ethnic Studies"	4
1984	"Female"	"Area and Ethnic Studies"	2
1985	"Female"	"Area and Ethnic Studies"	5
1986	"Female"	"Area and Ethnic Studies"	5
1987	"Female"	"Area and Ethnic Studies"	3
1988	"Female"	"Area and Ethnic Studies"	2
1989	"Female"	"Area and Ethnic Studies"	3
1990	"Female"	"Area and Ethnic Studies"	9
1991	"Female"	"Area and Ethnic Studies"	0
1992	"Female"	"Area and Ethnic Studies"	3
1993	"Female"	"Area and Ethnic Studies"	4
1994	"Female"	"Area and Ethnic Studies"	4
1995	"Female"	"Area and Ethnic Studies"	7
1996	"Female"	"Area and Ethnic Studies"	5
1997	"Female"	"Area and Ethnic Studies"	1
1998	"Female"	"Area and Ethnic Studies"	5
1999	"Female"	"Area and Ethnic Studies"	2
2000	"Female"	"Area and Ethnic Studies"	3
2001	"Female"	"Area and Ethnic Studies"	3
2002	"Female"	"Area and Ethnic Studies"	2
2003	"Female"	"Area and Ethnic Studies"	0
2004	"Female"	"Area and Ethnic Studies"	3
2005	"Female"	"Area and Ethnic Studies"	7
2006	"Female"	"Area and Ethnic Studies"	4
2007	"Female"	"Area and Ethnic Studies"	5
2008	"Female"	"Area and Ethnic Studies"	6
2009	"Female"	"Area and Ethnic Studies"	2
2010	"Female"	"Area and Ethnic Studies"	3
2011	"Female"	"Area and Ethnic Studies"	6
1976	"Male"	"Area and Ethnic Studies"	0
1977	"Male"	"Area and Ethnic Studies"	0
1978	"Male"	"Area and Ethnic Studies"	0
1979	"Male"	"Area and Ethnic Studies"	0
1980	"Male"	"Area and Ethnic Studies"	1
1981	"Male"	"Area and Ethnic Studies"	3
1982	"Male"	"Area and Ethnic Studies"	2
1983	"Male"	"Area and Ethnic Studies"	2
1984	"Male"	"Area and Ethnic Studies"	2
1985	"Male"	"Area and Ethnic Studies"	2
1986	"Male"	"Area and Ethnic Studies"	4
1987	"Male"	"Area and Ethnic Studies"	4
1988	"Male"	"Area and Ethnic Studies"	2
1989	"Male"	"Area and Ethnic Studies"	4
1990	"Male"	"Area and Ethnic Studies"	8
1991	"Male"	"Area and Ethnic Studies"	0
1992	"Male"	"Area and Ethnic Studies"	3
1993	"Male"	"Area and Ethnic Studies"	6
1994	"Male"	"Area and Ethnic Studies"	6
1995	"Male"	"Area and Ethnic Studies"	2
1996	"Male"	"Area and Ethnic Studies"	3
1997	"Male"	"Area and Ethnic Studies"	1
1998	"Male"	"Area and Ethnic Studies"	2
1999	"Male"	"Area and Ethnic Studies"	5
2000	"Male"	"Area and Ethnic Studies"	1
2001	"Male"	"Area and Ethnic Studies"	0
2002	"Male"	"Area and Ethnic Studies"	2
2003	"Male"	"Area and Ethnic Studies"	1
2004	"Male"	"Area and Ethnic Studies"	3
2005	"Male"	"Area and Ethnic Studies"	2
2006	"Male"	"Area and Ethnic Studies"	0
2007	"Male"	"Area and Ethnic Studies"	1
2008	"Male"	"Area and Ethnic Studies"	2
2009	"Male"	"Area and Ethnic Studies"	2
2010	"Male"	"Area and Ethnic Studies"	2
2011	"Male"	"Area and Ethnic Studies"	3
1976	"Female"	"Art/Architecture"	0
1977	"Female"	"Art/Architecture"	14
1978	"Female"	"Art/Architecture"	31
1979	"Female"	"Art/Architecture"	33
1980	"Female"	"Art/Architecture"	27
1981	"Female"	"Art/Architecture"	27
1982	"Female"	"Art/Architecture"	30
1983	"Female"	"Art/Architecture"	30
1984	"Female"	"Art/Architecture"	29
1985	"Female"	"Art/Architecture"	38
1986	"Female"	"Art/Architecture"	29
1987	"Female"	"Art/Architecture"	21
1988	"Female"	"Art/Architecture"	14
1989	"Female"	"Art/Architecture"	21
1990	"Female"	"Art/Architecture"	7
1991	"Female"	"Art/Architecture"	0
1992	"Female"	"Art/Architecture"	11
1993	"Female"	"Art/Architecture"	15
1994	"Female"	"Art/Architecture"	12
1995	"Female"	"Art/Architecture"	11
1996	"Female"	"Art/Architecture"	2
1997	"Female"	"Art/Architecture"	6
1998	"Female"	"Art/Architecture"	10
1999	"Female"	"Art/Architecture"	10
2000	"Female"	"Art/Architecture"	17
2001	"Female"	"Art/Architecture"	14
2002	"Female"	"Art/Architecture"	15
