"year"	"gender"	"field"	"count"
"1966"	"Female"	"Agriculture"	0
"1967"	"Female"	"Agriculture"	2
"1968"	"Female"	"Agriculture"	1
"1969"	"Female"	"Agriculture"	2
"1970"	"Female"	"Agriculture"	2
"1971"	"Female"	"Agriculture"	2
"1972"	"Female"	"Agriculture"	4
"1973"	"Female"	"Agriculture"	13
"1974"	"Female"	"Agriculture"	16
"1975"	"Female"	"Agriculture"	14
"1976"	"Female"	"Agriculture"	27
"1977"	"Female"	"Agriculture"	40
"1978"	"Female"	"Agriculture"	35
"1979"	"Female"	"Agriculture"	42
"1980"	"Female"	"Agriculture"	34
"1981"	"Female"	"Agriculture"	52
"1982"	"Female"	"Agriculture"	40
"1983"	"Female"	"Agriculture"	52
"1984"	"Female"	"Agriculture"	33
"1985"	"Female"	"Agriculture"	21
"1986"	"Female"	"Agriculture"	21
"1987"	"Female"	"Agriculture"	15
"1988"	"Female"	"Agriculture"	13
"1989"	"Female"	"Agriculture"	12
"1990"	"Female"	"Agriculture"	9
"1991"	"Female"	"Agriculture"	12
"1992"	"Female"	"Agriculture"	5
"1993"	"Female"	"Agriculture"	13
"1994"	"Female"	"Agriculture"	22
"1995"	"Female"	"Agriculture"	21
"1996"	"Female"	"Agriculture"	37
"1997"	"Female"	"Agriculture"	43
"1998"	"Female"	"Agriculture"	43
"1999"	"Female"	"Agriculture"	46
"2000"	"Female"	"Agriculture"	36
"2001"	"Female"	"Agriculture"	43
"2002"	"Female"	"Agriculture"	54
"2003"	"Female"	"Agriculture"	69
"2004"	"Female"	"Agriculture"	96
"2005"	"Female"	"Agriculture"	82
"2006"	"Female"	"Agriculture"	77
"2007"	"Female"	"Agriculture"	73
"2008"	"Female"	"Agriculture"	50
"2009"	"Female"	"Agriculture"	77
"2010"	"Female"	"Agriculture"	104
"2011"	"Female"	"Agriculture"	100
"1966"	"Male"	"Agriculture"	49
"1967"	"Male"	"Agriculture"	47
"1968"	"Male"	"Agriculture"	52
"1969"	"Male"	"Agriculture"	49
"1970"	"Male"	"Agriculture"	63
"1971"	"Male"	"Agriculture"	56
"1972"	"Male"	"Agriculture"	103
"1973"	"Male"	"Agriculture"	117
"1974"	"Male"	"Agriculture"	148
"1975"	"Male"	"Agriculture"	156
"1976"	"Male"	"Agriculture"	152
"1977"	"Male"	"Agriculture"	172
"1978"	"Male"	"Agriculture"	148
"1979"	"Male"	"Agriculture"	133
"1980"	"Male"	"Agriculture"	119
"1981"	"Male"	"Agriculture"	106
"1982"	"Male"	"Agriculture"	109
"1983"	"Male"	"Agriculture"	109
"1984"	"Male"	"Agriculture"	66
"1985"	"Male"	"Agriculture"	56
"1986"	"Male"	"Agriculture"	52
"1987"	"Male"	"Agriculture"	33
"1988"	"Male"	"Agriculture"	37
"1989"	"Male"	"Agriculture"	36
"1990"	"Male"	"Agriculture"	27
"1991"	"Male"	"Agriculture"	27
"1992"	"Male"	"Agriculture"	23
"1993"	"Male"	"Agriculture"	21
"1994"	"Male"	"Agriculture"	29
"1995"	"Male"	"Agriculture"	35
"1996"	"Male"	"Agriculture"	54
"1997"	"Male"	"Agriculture"	68
"1998"	"Male"	"Agriculture"	71
"1999"	"Male"	"Agriculture"	48
"2000"	"Male"	"Agriculture"	60
"2001"	"Male"	"Agriculture"	54
"2002"	"Male"	"Agriculture"	57
"2003"	"Male"	"Agriculture"	58
"2004"	"Male"	"Agriculture"	70
"2005"	"Male"	"Agriculture"	79
"2006"	"Male"	"Agriculture"	65
"2007"	"Male"	"Agriculture"	67
"2008"	"Male"	"Agriculture"	57
"2009"	"Male"	"Agriculture"	66
"2010"	"Male"	"Agriculture"	67
"2011"	"Male"	"Agriculture"	71
"1966"	"Female"	"Anthropology"	19
"1967"	"Female"	"Anthropology"	31
"1968"	"Female"	"Anthropology"	22
"1969"	"Female"	"Anthropology"	35
"1970"	"Female"	"Anthropology"	47
"1971"	"Female"	"Anthropology"	63
"1972"	"Female"	"Anthropology"	69
"1973"	"Female"	"Anthropology"	47
"1974"	"Female"	"Anthropology"	57
"1975"	"Female"	"Anthropology"	44
"1976"	"Female"	"Anthropology"	66
"1977"	"Female"	"Anthropology"	60
"1978"	"Female"	"Anthropology"	34
"1979"	"Female"	"Anthropology"	43
"1980"	"Female"	"Anthropology"	44
"1981"	"Female"	"Anthropology"	23
"1982"	"Female"	"Anthropology"	41
"1983"	"Female"	"Anthropology"	33
"1984"	"Female"	"Anthropology"	37
"1985"	"Female"	"Anthropology"	30
"1986"	"Female"	"Anthropology"	37
"1987"	"Female"	"Anthropology"	35
"1988"	"Female"	"Anthropology"	43
"1989"	"Female"	"Anthropology"	56
"1990"	"Female"	"Anthropology"	39
"1991"	"Female"	"Anthropology"	51
"1992"	"Female"	"Anthropology"	59
"1993"	"Female"	"Anthropology"	62
"1994"	"Female"	"Anthropology"	74
"1995"	"Female"	"Anthropology"	96
"1996"	"Female"	"Anthropology"	73
"1997"	"Female"	"Anthropology"	87
"1998"	"Female"	"Anthropology"	90
"1999"	"Female"	"Anthropology"	87
"2000"	"Female"	"Anthropology"	75
"2001"	"Female"	"Anthropology"	82
"2002"	"Female"	"Anthropology"	85
"2003"	"Female"	"Anthropology"	87
"2004"	"Female"	"Anthropology"	83
"2005"	"Female"	"Anthropology"	85
"2006"	"Female"	"Anthropology"	95
"2007"	"Female"	"Anthropology"	82
"2008"	"Female"	"Anthropology"	82
"2009"	"Female"	"Anthropology"	66
"2010"	"Female"	"Anthropology"	107
"2011"	"Female"	"Anthropology"	139
"1966"	"Male"	"Anthropology"	13
"1967"	"Male"	"Anthropology"	12
"1968"	"Male"	"Anthropology"	12
"1969"	"Male"	"Anthropology"	26
"1970"	"Male"	"Anthropology"	30
"1971"	"Male"	"Anthropology"	39
"1972"	"Male"	"Anthropology"	33
"1973"	"Male"	"Anthropology"	35
"1974"	"Male"	"Anthropology"	44
"1975"	"Male"	"Anthropology"	57
"1976"	"Male"	"Anthropology"	31
"1977"	"Male"	"Anthropology"	24
"1978"	"Male"	"Anthropology"	20
"1979"	"Male"	"Anthropology"	23
"1980"	"Male"	"Anthropology"	12
"1981"	"Male"	"Anthropology"	17
"1982"	"Male"	"Anthropology"	16
"1983"	"Male"	"Anthropology"	10
"1984"	"Male"	"Anthropology"	11
"1985"	"Male"	"Anthropology"	13
"1986"	"Male"	"Anthropology"	14
"1987"	"Male"	"Anthropology"	15
"1988"	"Male"	"Anthropology"	21
"1989"	"Male"	"Anthropology"	17
"1990"	"Male"	"Anthropology"	15
"1991"	"Male"	"Anthropology"	25
"1992"	"Male"	"Anthropology"	22
"1993"	"Male"	"Anthropology"	28
"1994"	"Male"	"Anthropology"	26
"1995"	"Male"	"Anthropology"	31
"1996"	"Male"	"Anthropology"	38
"1997"	"Male"	"Anthropology"	28
"1998"	"Male"	"Anthropology"	29
"1999"	"Male"	"Anthropology"	45
"2000"	"Male"	"Anthropology"	37
"2001"	"Male"	"Anthropology"	27
"2002"	"Male"	"Anthropology"	36
"2003"	"Male"	"Anthropology"	29
"2004"	"Male"	"Anthropology"	39
"2005"	"Male"	"Anthropology"	34
"2006"	"Male"	"Anthropology"	26
"2007"	"Male"	"Anthropology"	27
"2008"	"Male"	"Anthropology"	42
"2009"	"Male"	"Anthropology"	32
"2010"	"Male"	"Anthropology"	36
"2011"	"Male"	"Anthropology"	47
"1966"	"Female"	"Area and Ethnic Studies"	7
"1967"	"Female"	"Area and Ethnic Studies"	5
"1968"	"Female"	"Area and Ethnic Studies"	14
"1969"	"Female"	"Area and Ethnic Studies"	20
"1970"	"Female"	"Area and Ethnic Studies"	17
"1971"	"Female"	"Area and Ethnic Studies"	6
"1972"	"Female"	"Area and Ethnic Studies"	20
"1973"	"Female"	"Area and Ethnic Studies"	25
"1974"	"Female"	"Area and Ethnic Studies"	25
"1975"	"Female"	"Area and Ethnic Studies"	14
"1976"	"Female"	"Area and Ethnic Studies"	13
"1977"	"Female"	"Area and Ethnic Studies"	16
"1978"	"Female"	"Area and Ethnic Studies"	18
"1979"	"Female"	"Area and Ethnic Studies"	15
"1980"	"Female"	"Area and Ethnic Studies"	11
"1981"	"Female"	"Area and Ethnic Studies"	17
"1982"	"Female"	"Area and Ethnic Studies"	36
"1983"	"Female"	"Area and Ethnic Studies"	52
"1984"	"Female"	"Area and Ethnic Studies"	60
"1985"	"Female"	"Area and Ethnic Studies"	55
"1986"	"Female"	"Area and Ethnic Studies"	82
"1987"	"Female"	"Area and Ethnic Studies"	76
"1988"	"Female"	"Area and Ethnic Studies"	72
"1989"	"Female"	"Area and Ethnic Studies"	82
"1990"	"Female"	"Area and Ethnic Studies"	88
