"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	1
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	1
1969	"Female"	"Agriculture"	3
1970	"Female"	"Agriculture"	7
1971	"Female"	"Agriculture"	3
1972	"Female"	"Agriculture"	11
1973	"Female"	"Agriculture"	9
1974	"Female"	"Agriculture"	27
1975	"Female"	"Agriculture"	27
1976	"Female"	"Agriculture"	58
1977	"Female"	"Agriculture"	47
1978	"Female"	"Agriculture"	72
1979	"Female"	"Agriculture"	69
1980	"Female"	"Agriculture"	75
1981	"Female"	"Agriculture"	67
1982	"Female"	"Agriculture"	69
1983	"Female"	"Agriculture"	76
1984	"Female"	"Agriculture"	80
1985	"Female"	"Agriculture"	85
1986	"Female"	"Agriculture"	62
1987	"Female"	"Agriculture"	58
1988	"Female"	"Agriculture"	72
1989	"Female"	"Agriculture"	58
1990	"Female"	"Agriculture"	58
1991	"Female"	"Agriculture"	31
1992	"Female"	"Agriculture"	42
1993	"Female"	"Agriculture"	54
1994	"Female"	"Agriculture"	82
1995	"Female"	"Agriculture"	74
1996	"Female"	"Agriculture"	89
1997	"Female"	"Agriculture"	100
1998	"Female"	"Agriculture"	113
1999	"Female"	"Agriculture"	122
2000	"Female"	"Agriculture"	116
2001	"Female"	"Agriculture"	115
2002	"Female"	"Agriculture"	112
2003	"Female"	"Agriculture"	96
2004	"Female"	"Agriculture"	77
2005	"Female"	"Agriculture"	97
2006	"Female"	"Agriculture"	92
2007	"Female"	"Agriculture"	76
2008	"Female"	"Agriculture"	89
2009	"Female"	"Agriculture"	91
2010	"Female"	"Agriculture"	91
2011	"Female"	"Agriculture"	100
1966	"Male"	"Agriculture"	62
1967	"Male"	"Agriculture"	66
1968	"Male"	"Agriculture"	86
1969	"Male"	"Agriculture"	75
1970	"Male"	"Agriculture"	85
1971	"Male"	"Agriculture"	99
1972	"Male"	"Agriculture"	83
1973	"Male"	"Agriculture"	97
1974	"Male"	"Agriculture"	96
1975	"Male"	"Agriculture"	123
1976	"Male"	"Agriculture"	144
1977	"Male"	"Agriculture"	170
1978	"Male"	"Agriculture"	182
1979	"Male"	"Agriculture"	157
1980	"Male"	"Agriculture"	153
1981	"Male"	"Agriculture"	143
1982	"Male"	"Agriculture"	152
1983	"Male"	"Agriculture"	121
1984	"Male"	"Agriculture"	133
1985	"Male"	"Agriculture"	107
1986	"Male"	"Agriculture"	105
1987	"Male"	"Agriculture"	96
1988	"Male"	"Agriculture"	84
1989	"Male"	"Agriculture"	96
1990	"Male"	"Agriculture"	96
1991	"Male"	"Agriculture"	66
1992	"Male"	"Agriculture"	63
1993	"Male"	"Agriculture"	75
1994	"Male"	"Agriculture"	78
1995	"Male"	"Agriculture"	83
1996	"Male"	"Agriculture"	92
1997	"Male"	"Agriculture"	89
1998	"Male"	"Agriculture"	107
1999	"Male"	"Agriculture"	89
2000	"Male"	"Agriculture"	92
2001	"Male"	"Agriculture"	95
2002	"Male"	"Agriculture"	71
2003	"Male"	"Agriculture"	56
2004	"Male"	"Agriculture"	51
2005	"Male"	"Agriculture"	68
2006	"Male"	"Agriculture"	74
2007	"Male"	"Agriculture"	69
2008	"Male"	"Agriculture"	71
2009	"Male"	"Agriculture"	58
2010	"Male"	"Agriculture"	58
2011	"Male"	"Agriculture"	73
1966	"Female"	"Anthropology"	15
1967	"Female"	"Anthropology"	13
1968	"Female"	"Anthropology"	21
1969	"Female"	"Anthropology"	41
1970	"Female"	"Anthropology"	39
1971	"Female"	"Anthropology"	39
1972	"Female"	"Anthropology"	49
1973	"Female"	"Anthropology"	41
1974	"Female"	"Anthropology"	39
1975	"Female"	"Anthropology"	28
1976	"Female"	"Anthropology"	35
1977	"Female"	"Anthropology"	36
1978	"Female"	"Anthropology"	35
1979	"Female"	"Anthropology"	20
1980	"Female"	"Anthropology"	18
1981	"Female"	"Anthropology"	10
1982	"Female"	"Anthropology"	21
1983	"Female"	"Anthropology"	19
1984	"Female"	"Anthropology"	14
1985	"Female"	"Anthropology"	12
1986	"Female"	"Anthropology"	12
1987	"Female"	"Anthropology"	21
1988	"Female"	"Anthropology"	24
1989	"Female"	"Anthropology"	21
1990	"Female"	"Anthropology"	21
1991	"Female"	"Anthropology"	27
1992	"Female"	"Anthropology"	33
1993	"Female"	"Anthropology"	27
1994	"Female"	"Anthropology"	25
1995	"Female"	"Anthropology"	21
1996	"Female"	"Anthropology"	34
1997	"Female"	"Anthropology"	42
1998	"Female"	"Anthropology"	39
1999	"Female"	"Anthropology"	33
2000	"Female"	"Anthropology"	34
2001	"Female"	"Anthropology"	38
2002	"Female"	"Anthropology"	42
2003	"Female"	"Anthropology"	38
2004	"Female"	"Anthropology"	39
2005	"Female"	"Anthropology"	43
2006	"Female"	"Anthropology"	35
2007	"Female"	"Anthropology"	24
2008	"Female"	"Anthropology"	34
2009	"Female"	"Anthropology"	32
2010	"Female"	"Anthropology"	47
2011	"Female"	"Anthropology"	44
1966	"Male"	"Anthropology"	8
1967	"Male"	"Anthropology"	15
1968	"Male"	"Anthropology"	11
1969	"Male"	"Anthropology"	15
1970	"Male"	"Anthropology"	15
1971	"Male"	"Anthropology"	27
1972	"Male"	"Anthropology"	25
1973	"Male"	"Anthropology"	23
1974	"Male"	"Anthropology"	23
1975	"Male"	"Anthropology"	17
1976	"Male"	"Anthropology"	24
1977	"Male"	"Anthropology"	17
1978	"Male"	"Anthropology"	14
1979	"Male"	"Anthropology"	12
1980	"Male"	"Anthropology"	10
1981	"Male"	"Anthropology"	11
1982	"Male"	"Anthropology"	5
1983	"Male"	"Anthropology"	6
1984	"Male"	"Anthropology"	13
1985	"Male"	"Anthropology"	10
1986	"Male"	"Anthropology"	14
1987	"Male"	"Anthropology"	9
1988	"Male"	"Anthropology"	10
1989	"Male"	"Anthropology"	9
1990	"Male"	"Anthropology"	9
1991	"Male"	"Anthropology"	21
1992	"Male"	"Anthropology"	19
1993	"Male"	"Anthropology"	22
1994	"Male"	"Anthropology"	8
1995	"Male"	"Anthropology"	9
1996	"Male"	"Anthropology"	11
1997	"Male"	"Anthropology"	9
1998	"Male"	"Anthropology"	21
1999	"Male"	"Anthropology"	16
2000	"Male"	"Anthropology"	12
2001	"Male"	"Anthropology"	19
2002	"Male"	"Anthropology"	24
2003	"Male"	"Anthropology"	21
2004	"Male"	"Anthropology"	19
2005	"Male"	"Anthropology"	14
2006	"Male"	"Anthropology"	17
2007	"Male"	"Anthropology"	22
2008	"Male"	"Anthropology"	17
2009	"Male"	"Anthropology"	18
2010	"Male"	"Anthropology"	14
2011	"Male"	"Anthropology"	22
1966	"Female"	"Area and Ethnic Studies"	24
1967	"Female"	"Area and Ethnic Studies"	31
1968	"Female"	"Area and Ethnic Studies"	28
1969	"Female"	"Area and Ethnic Studies"	36
1970	"Female"	"Area and Ethnic Studies"	36
1971	"Female"	"Area and Ethnic Studies"	24
1972	"Female"	"Area and Ethnic Studies"	21
1973	"Female"	"Area and Ethnic Studies"	24
1974	"Female"	"Area and Ethnic Studies"	16
1975	"Female"	"Area and Ethnic Studies"	20
1976	"Female"	"Area and Ethnic Studies"	27
1977	"Female"	"Area and Ethnic Studies"	30
1978	"Female"	"Area and Ethnic Studies"	10
1979	"Female"	"Area and Ethnic Studies"	16
1980	"Female"	"Area and Ethnic Studies"	16
1981	"Female"	"Area and Ethnic Studies"	19
1982	"Female"	"Area and Ethnic Studies"	10
1983	"Female"	"Area and Ethnic Studies"	14
1984	"Female"	"Area and Ethnic Studies"	20
1985	"Female"	"Area and Ethnic Studies"	17
1986	"Female"	"Area and Ethnic Studies"	18
1987	"Female"	"Area and Ethnic Studies"	29
1988	"Female"	"Area and Ethnic Studies"	29
1989	"Female"	"Area and Ethnic Studies"	29
1990	"Female"	"Area and Ethnic Studies"	29
1991	"Female"	"Area and Ethnic Studies"	37
1992	"Female"	"Area and Ethnic Studies"	39
1993	"Female"	"Area and Ethnic Studies"	39
1994	"Female"	"Area and Ethnic Studies"	37
1995	"Female"	"Area and Ethnic Studies"	24
1996	"Female"	"Area and Ethnic Studies"	34
1997	"Female"	"Area and Ethnic Studies"	21
1998	"Female"	"Area and Ethnic Studies"	21
1999	"Female"	"Area and Ethnic Studies"	25
2000	"Female"	"Area and Ethnic Studies"	21
2001	"Female"	"Area and Ethnic Studies"	32
2002	"Female"	"Area and Ethnic Studies"	22
2003	"Female"	"Area and Ethnic Studies"	26
2004	"Female"	"Area and Ethnic Studies"	28
2005	"Female"	"Area and Ethnic Studies"	25
2006	"Female"	"Area and Ethnic Studies"	36
2007	"Female"	"Area and Ethnic Studies"	46
2008	"Female"	"Area and Ethnic Studies"	43
2009	"Female"	"Area and Ethnic Studies"	45
2010	"Female"	"Area and Ethnic Studies"	40
2011	"Female"	"Area and Ethnic Studies"	40
1966	"Male"	"Area and Ethnic Studies"	25
1967	"Male"	"Area and Ethnic Studies"	14
1968	"Male"	"Area and Ethnic Studies"	36
1969	"Male"	"Area and Ethnic Studies"	30
1970	"Male"	"Area and Ethnic Studies"	27
1971	"Male"	"Area and Ethnic Studies"	17
1972	"Male"	"Area and Ethnic Studies"	15
1973	"Male"	"Area and Ethnic Studies"	12
1974	"Male"	"Area and Ethnic Studies"	15
1975	"Male"	"Area and Ethnic Studies"	10
1976	"Male"	"Area and Ethnic Studies"	24
1977	"Male"	"Area and Ethnic Studies"	17
1978	"Male"	"Area and Ethnic Studies"	15
1979	"Male"	"Area and Ethnic Studies"	19
1980	"Male"	"Area and Ethnic Studies"	9
1981	"Male"	"Area and Ethnic Studies"	17
1982	"Male"	"Area and Ethnic Studies"	9
1983	"Male"	"Area and Ethnic Studies"	12
1984	"Male"	"Area and Ethnic Studies"	11
1985	"Male"	"Area and Ethnic Studies"	14
