"year"	"gender"	"field"	"count"
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	1
1971	"Female"	"Anthropology"	2
1972	"Female"	"Anthropology"	4
1973	"Female"	"Anthropology"	3
1974	"Female"	"Anthropology"	2
1975	"Female"	"Anthropology"	3
1976	"Female"	"Anthropology"	4
1977	"Female"	"Anthropology"	1
1978	"Female"	"Anthropology"	2
1979	"Female"	"Anthropology"	1
1980	"Female"	"Anthropology"	0
1981	"Female"	"Anthropology"	4
1982	"Female"	"Anthropology"	1
1983	"Female"	"Anthropology"	1
1984	"Female"	"Anthropology"	3
1985	"Female"	"Anthropology"	4
1986	"Female"	"Anthropology"	3
1987	"Female"	"Anthropology"	3
1988	"Female"	"Anthropology"	10
1989	"Female"	"Anthropology"	11
1990	"Female"	"Anthropology"	9
1991	"Female"	"Anthropology"	16
1992	"Female"	"Anthropology"	12
1993	"Female"	"Anthropology"	15
1994	"Female"	"Anthropology"	16
1995	"Female"	"Anthropology"	7
1996	"Female"	"Anthropology"	13
1997	"Female"	"Anthropology"	13
1998	"Female"	"Anthropology"	21
1999	"Female"	"Anthropology"	28
2000	"Female"	"Anthropology"	19
2001	"Female"	"Anthropology"	17
2002	"Female"	"Anthropology"	16
2003	"Female"	"Anthropology"	15
2004	"Female"	"Anthropology"	18
2005	"Female"	"Anthropology"	16
2006	"Female"	"Anthropology"	13
2007	"Female"	"Anthropology"	19
2008	"Female"	"Anthropology"	23
2009	"Female"	"Anthropology"	17
2010	"Female"	"Anthropology"	8
2011	"Female"	"Anthropology"	14
1966	"Male"	"Anthropology"	0
1967	"Male"	"Anthropology"	0
1968	"Male"	"Anthropology"	0
1969	"Male"	"Anthropology"	0
1970	"Male"	"Anthropology"	2
1971	"Male"	"Anthropology"	2
1972	"Male"	"Anthropology"	6
1973	"Male"	"Anthropology"	3
1974	"Male"	"Anthropology"	1
1975	"Male"	"Anthropology"	4
1976	"Male"	"Anthropology"	2
1977	"Male"	"Anthropology"	0
1978	"Male"	"Anthropology"	1
1979	"Male"	"Anthropology"	3
1980	"Male"	"Anthropology"	0
1981	"Male"	"Anthropology"	3
1982	"Male"	"Anthropology"	2
1983	"Male"	"Anthropology"	1
1984	"Male"	"Anthropology"	0
1985	"Male"	"Anthropology"	1
1986	"Male"	"Anthropology"	3
1987	"Male"	"Anthropology"	2
1988	"Male"	"Anthropology"	12
1989	"Male"	"Anthropology"	10
1990	"Male"	"Anthropology"	9
1991	"Male"	"Anthropology"	6
1992	"Male"	"Anthropology"	14
1993	"Male"	"Anthropology"	16
1994	"Male"	"Anthropology"	12
1995	"Male"	"Anthropology"	10
1996	"Male"	"Anthropology"	9
1997	"Male"	"Anthropology"	21
1998	"Male"	"Anthropology"	16
1999	"Male"	"Anthropology"	12
2000	"Male"	"Anthropology"	10
2001	"Male"	"Anthropology"	7
2002	"Male"	"Anthropology"	5
2003	"Male"	"Anthropology"	5
2004	"Male"	"Anthropology"	12
2005	"Male"	"Anthropology"	7
2006	"Male"	"Anthropology"	6
