"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Ball State University"	1786	6512
"1966"	"Gender"	"University of Rhode Island"	0	6512
"1966"	"Female"	"University of Maine"	0	6512
"1966"	"Male"	"University of Michigan at Ann Arbor"	0	6512
"1966"	"Female"	"George Mason University"	0	6512
"1966"	"Male"	"Northeastern University"	0	6512
"1966"	"Gender"	"Ball State University"	0	6512
"1966"	"Male"	"University of Rhode Island"	0	6512
"1966"	"Female"	"Northeastern University"	0	6512
"1966"	"Male"	"University of California-Berkeley"	0	6512
"1966"	"Gender"	"University of Michigan at Ann Arbor"	0	6512
"1966"	"Female"	"University of California-Berkeley"	1312	6512
"1966"	"Male"	"Ball State University"	0	6512
"1966"	"Male"	"University of Maine"	0	6512
"1966"	"Gender"	"Northeastern University"	0	6512
"1966"	"Female"	"University of Michigan at Ann Arbor"	0	6512
"1966"	"Male"	"George Mason University"	0	6512
"1966"	"Gender"	"University of California-Berkeley"	0	6512
"1966"	"Gender"	"George Mason University"	0	6512
"1966"	"Female"	"University of Rhode Island"	3414	6512
"1966"	"Gender"	"University of Maine"	0	6512
"1967"	"Male"	"George Mason University"	0	9877
"1967"	"Female"	"University of Michigan at Ann Arbor"	0	9877
"1967"	"Gender"	"Northeastern University"	0	9877
"1967"	"Gender"	"Ball State University"	0	9877
"1967"	"Gender"	"University of Michigan at Ann Arbor"	0	9877
"1967"	"Male"	"Ball State University"	0	9877
"1967"	"Female"	"Ball State University"	1786	9877
"1967"	"Gender"	"George Mason University"	0	9877
"1967"	"Gender"	"University of Rhode Island"	0	9877
"1967"	"Female"	"University of Maine"	2053	9877
"1967"	"Female"	"George Mason University"	0	9877
"1967"	"Male"	"University of Maine"	0	9877
"1967"	"Male"	"Northeastern University"	0	9877
"1967"	"Female"	"University of Rhode Island"	3414	9877
"1967"	"Female"	"Northeastern University"	0	9877
"1967"	"Gender"	"University of California-Berkeley"	0	9877
"1967"	"Male"	"University of California-Berkeley"	1312	9877
"1967"	"Male"	"University of Rhode Island"	0	9877
"1967"	"Female"	"University of California-Berkeley"	1312	9877
"1967"	"Male"	"University of Michigan at Ann Arbor"	0	9877
"1967"	"Gender"	"University of Maine"	0	9877
"1968"	"Male"	"Ball State University"	0	4726
"1968"	"Gender"	"Ball State University"	0	4726
"1968"	"Male"	"Northeastern University"	0	4726
"1968"	"Male"	"George Mason University"	0	4726
"1968"	"Gender"	"Northeastern University"	0	4726
"1968"	"Gender"	"George Mason University"	0	4726
"1968"	"Female"	"University of Michigan at Ann Arbor"	0	4726
"1968"	"Female"	"Ball State University"	0	4726
"1968"	"Gender"	"University of California-Berkeley"	0	4726
"1968"	"Male"	"University of Maine"	0	4726
"1968"	"Female"	"University of Rhode Island"	3414	4726
"1968"	"Female"	"University of California-Berkeley"	1312	4726
"1968"	"Gender"	"University of Maine"	0	4726
"1968"	"Male"	"University of Michigan at Ann Arbor"	0	4726
"1968"	"Male"	"University of California-Berkeley"	0	4726
"1968"	"Female"	"University of Maine"	0	4726
"1968"	"Female"	"George Mason University"	0	4726
"1968"	"Male"	"University of Rhode Island"	0	4726
"1968"	"Gender"	"University of Michigan at Ann Arbor"	0	4726
"1968"	"Female"	"Northeastern University"	0	4726
"1968"	"Gender"	"University of Rhode Island"	0	4726
"1969"	"Male"	"University of Maine"	0	6512
"1969"	"Gender"	"Ball State University"	0	6512
"1969"	"Gender"	"University of California-Berkeley"	0	6512
"1969"	"Gender"	"George Mason University"	0	6512
"1969"	"Gender"	"Northeastern University"	0	6512
"1969"	"Female"	"Ball State University"	1786	6512
"1969"	"Male"	"University of Michigan at Ann Arbor"	0	6512
"1969"	"Male"	"Ball State University"	0	6512
"1969"	"Female"	"University of California-Berkeley"	1312	6512
"1969"	"Female"	"George Mason University"	0	6512
"1969"	"Gender"	"University of Maine"	0	6512
"1969"	"Male"	"Northeastern University"	0	6512
"1969"	"Male"	"George Mason University"	0	6512
"1969"	"Female"	"Northeastern University"	0	6512
"1969"	"Gender"	"University of Rhode Island"	0	6512
"1969"	"Male"	"University of California-Berkeley"	0	6512
"1969"	"Female"	"University of Rhode Island"	3414	6512
"1969"	"Gender"	"University of Michigan at Ann Arbor"	0	6512
"1969"	"Male"	"University of Rhode Island"	0	6512
"1969"	"Female"	"University of Maine"	0	6512
"1969"	"Female"	"University of Michigan at Ann Arbor"	0	6512
"1970"	"Female"	"Ball State University"	1786	8565
"1970"	"Gender"	"Northeastern University"	0	8565
"1970"	"Female"	"University of California-Berkeley"	1312	8565
"1970"	"Male"	"Ball State University"	0	8565
"1970"	"Gender"	"University of California-Berkeley"	0	8565
"1970"	"Female"	"University of Maine"	2053	8565
"1970"	"Female"	"George Mason University"	0	8565
"1970"	"Gender"	"University of Maine"	0	8565
"1970"	"Male"	"University of California-Berkeley"	0	8565
"1970"	"Gender"	"Ball State University"	0	8565
"1970"	"Gender"	"University of Michigan at Ann Arbor"	0	8565
"1970"	"Male"	"George Mason University"	0	8565
"1970"	"Male"	"University of Maine"	0	8565
"1970"	"Gender"	"George Mason University"	0	8565
"1970"	"Gender"	"University of Rhode Island"	0	8565
"1970"	"Female"	"Northeastern University"	0	8565
"1970"	"Male"	"University of Michigan at Ann Arbor"	0	8565
"1970"	"Male"	"Northeastern University"	0	8565
"1970"	"Female"	"University of Michigan at Ann Arbor"	0	8565
"1970"	"Male"	"University of Rhode Island"	0	8565
"1970"	"Female"	"University of Rhode Island"	3414	8565
"1971"	"Gender"	"University of Michigan at Ann Arbor"	0	9452
"1971"	"Gender"	"University of Maine"	0	9452
"1971"	"Female"	"University of Rhode Island"	3414	9452
"1971"	"Male"	"University of California-Berkeley"	0	9452
"1971"	"Female"	"Ball State University"	1786	9452
"1971"	"Male"	"University of Maine"	0	9452
"1971"	"Female"	"University of California-Berkeley"	0	9452
"1971"	"Gender"	"University of Rhode Island"	0	9452
"1971"	"Male"	"Northeastern University"	2199	9452
"1971"	"Male"	"University of Michigan at Ann Arbor"	0	9452
"1971"	"Female"	"University of Maine"	2053	9452
"1971"	"Female"	"University of Michigan at Ann Arbor"	0	9452
"1971"	"Male"	"Ball State University"	0	9452
"1971"	"Male"	"University of Rhode Island"	0	9452
"1971"	"Gender"	"Ball State University"	0	9452
"1971"	"Female"	"Northeastern University"	0	9452
"1971"	"Male"	"George Mason University"	0	9452
"1971"	"Female"	"George Mason University"	0	9452
"1971"	"Gender"	"George Mason University"	0	9452
"1971"	"Gender"	"Northeastern University"	0	9452
