"year"	"gender"	"field"	"count"
1966	"Female"	"Agriculture"	0
1967	"Female"	"Agriculture"	0
1968	"Female"	"Agriculture"	0
1969	"Female"	"Agriculture"	0
1970	"Female"	"Agriculture"	0
1971	"Female"	"Agriculture"	0
1972	"Female"	"Agriculture"	0
1973	"Female"	"Agriculture"	0
1974	"Female"	"Agriculture"	0
1975	"Female"	"Agriculture"	0
1976	"Female"	"Agriculture"	0
1977	"Female"	"Agriculture"	0
1978	"Female"	"Agriculture"	0
1979	"Female"	"Agriculture"	0
1980	"Female"	"Agriculture"	0
1981	"Female"	"Agriculture"	0
1982	"Female"	"Agriculture"	0
1983	"Female"	"Agriculture"	0
1984	"Female"	"Agriculture"	0
1985	"Female"	"Agriculture"	0
1986	"Female"	"Agriculture"	0
1987	"Female"	"Agriculture"	0
1988	"Female"	"Agriculture"	0
1989	"Female"	"Agriculture"	0
1990	"Female"	"Agriculture"	0
1991	"Female"	"Agriculture"	0
1992	"Female"	"Agriculture"	0
1993	"Female"	"Agriculture"	0
1994	"Female"	"Agriculture"	0
1995	"Female"	"Agriculture"	0
1996	"Female"	"Agriculture"	5
1997	"Female"	"Agriculture"	0
1998	"Female"	"Agriculture"	3
1999	"Female"	"Agriculture"	1
2000	"Female"	"Agriculture"	3
2001	"Female"	"Agriculture"	5
2002	"Female"	"Agriculture"	2
2003	"Female"	"Agriculture"	8
2004	"Female"	"Agriculture"	9
2005	"Female"	"Agriculture"	8
2006	"Female"	"Agriculture"	8
2007	"Female"	"Agriculture"	5
2008	"Female"	"Agriculture"	7
2009	"Female"	"Agriculture"	12
2010	"Female"	"Agriculture"	11
2011	"Female"	"Agriculture"	13
1966	"Male"	"Agriculture"	0
1967	"Male"	"Agriculture"	0
1968	"Male"	"Agriculture"	0
1969	"Male"	"Agriculture"	0
1970	"Male"	"Agriculture"	0
1971	"Male"	"Agriculture"	0
1972	"Male"	"Agriculture"	0
1973	"Male"	"Agriculture"	0
1974	"Male"	"Agriculture"	0
1975	"Male"	"Agriculture"	0
1976	"Male"	"Agriculture"	0
1977	"Male"	"Agriculture"	0
1978	"Male"	"Agriculture"	0
1979	"Male"	"Agriculture"	0
1980	"Male"	"Agriculture"	0
1981	"Male"	"Agriculture"	0
1982	"Male"	"Agriculture"	0
1983	"Male"	"Agriculture"	0
1984	"Male"	"Agriculture"	0
1985	"Male"	"Agriculture"	0
1986	"Male"	"Agriculture"	0
1987	"Male"	"Agriculture"	0
1988	"Male"	"Agriculture"	0
1989	"Male"	"Agriculture"	0
1990	"Male"	"Agriculture"	0
1991	"Male"	"Agriculture"	0
1992	"Male"	"Agriculture"	0
1993	"Male"	"Agriculture"	0
1994	"Male"	"Agriculture"	0
1995	"Male"	"Agriculture"	0
1996	"Male"	"Agriculture"	0
1997	"Male"	"Agriculture"	0
1998	"Male"	"Agriculture"	0
1999	"Male"	"Agriculture"	0
2000	"Male"	"Agriculture"	0
2001	"Male"	"Agriculture"	0
2002	"Male"	"Agriculture"	0
2003	"Male"	"Agriculture"	0
2004	"Male"	"Agriculture"	0
2005	"Male"	"Agriculture"	0
2006	"Male"	"Agriculture"	0
2007	"Male"	"Agriculture"	0
2008	"Male"	"Agriculture"	0
2009	"Male"	"Agriculture"	0
2010	"Male"	"Agriculture"	0
2011	"Male"	"Agriculture"	0
1966	"Female"	"Anthropology"	0
1967	"Female"	"Anthropology"	0
1968	"Female"	"Anthropology"	0
1969	"Female"	"Anthropology"	0
1970	"Female"	"Anthropology"	0
1971	"Female"	"Anthropology"	2
1972	"Female"	"Anthropology"	2
1973	"Female"	"Anthropology"	1
1974	"Female"	"Anthropology"	8
1975	"Female"	"Anthropology"	3
1976	"Female"	"Anthropology"	3
1977	"Female"	"Anthropology"	4
1978	"Female"	"Anthropology"	6
1979	"Female"	"Anthropology"	11
1980	"Female"	"Anthropology"	7
1981	"Female"	"Anthropology"	12
1982	"Female"	"Anthropology"	4
1983	"Female"	"Anthropology"	8
1984	"Female"	"Anthropology"	5
1985	"Female"	"Anthropology"	4
1986	"Female"	"Anthropology"	5
1987	"Female"	"Anthropology"	2
1988	"Female"	"Anthropology"	10
1989	"Female"	"Anthropology"	7
1990	"Female"	"Anthropology"	4
1991	"Female"	"Anthropology"	8
1992	"Female"	"Anthropology"	5
1993	"Female"	"Anthropology"	6
1994	"Female"	"Anthropology"	10
1995	"Female"	"Anthropology"	9
1996	"Female"	"Anthropology"	8
