"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"Agriculture"	131	524008
"1966"	"Male"	"Life Sciences"	22852	524008
"1966"	"Female"	"Foreign Languages"	10925	524008
"1966"	"Female"	"Social Service Professions"	1188	524008
"1966"	"Female"	"Business"	5507	524008
"1966"	"Male"	"Political Science and Public Administration"	13113	524008
"1966"	"Male"	"Agriculture"	6196	524008
"1966"	"Female"	"Math"	6689	524008
"1966"	"Female"	"Education"	89759	524008
"1966"	"Male"	"Social Service Professions"	476	524008
"1966"	"Male"	"Business"	59757	524008
"1966"	"Female"	"Psychology"	6928	524008
"1966"	"Female"	"History"	9941	524008
"1966"	"Male"	"Math"	13401	524008
"1966"	"Male"	"Education"	30292	524008
"1966"	"Female"	"Sociology"	9064	524008
"1966"	"Female"	"Other/Unknown"	1299	524008
"1966"	"Male"	"Anthropology"	690	524008
"1966"	"Male"	"History"	18829	524008
"1966"	"Female"	"Social Sciences, Other"	6717	524008
"1966"	"Female"	"Religion"	38	524008
"1966"	"Male"	"Communication and Librarianship"	1954	524008
"1966"	"Male"	"Other/Unknown"	2326	524008
"1966"	"Female"	"Area and Ethnic Studies"	593	524008
"1966"	"Female"	"Vocational Studies and Home Economics"	5579	524008
"1966"	"Male"	"Engineering"	38035	524008
"1966"	"Male"	"Religion"	440	524008
"1966"	"Female"	"Computer Science"	13	524008
"1966"	"Female"	"Physical Sciences"	3744	524008
"1966"	"Male"	"Humanities, Other"	5097	524008
"1966"	"Male"	"Vocational Studies and Home Economics"	145	524008
"1966"	"Female"	"English and Literature"	25919	524008
"1966"	"Male"	"Art/Architecture"	10284	524008
"1966"	"Male"	"Physical Sciences"	20808	524008
"1966"	"Female"	"Art/Architecture"	10846	524008
"1966"	"Female"	"Life Sciences"	18998	524008
"1966"	"Male"	"Economics"	11130	524008
"1966"	"Male"	"Social Sciences, Other"	10583	524008
"1966"	"Female"	"Economics"	1144	524008
"1966"	"Female"	"Political Science and Public Administration"	3729	524008
"1966"	"Male"	"Foreign Languages"	4481	524008
"1966"	"Male"	"Psychology"	10038	524008
"1966"	"Female"	"Communication and Librarianship"	1792	524008
"1966"	"Female"	"Anthropology"	813	524008
"1966"	"Male"	"Sociology"	6139	524008
"1966"	"Female"	"Engineering"	460	524008
"1966"	"Male"	"Area and Ethnic Studies"	649	524008
"1966"	"Female"	"Humanities, Other"	1155	524008
"1966"	"Male"	"Computer Science"	76	524008
"1966"	"Male"	"English and Literature"	13246	524008
"1967"	"Male"	"Life Sciences"	24584	562369
"1967"	"Male"	"Political Science and Public Administration"	15063	562369
"1967"	"Female"	"Agriculture"	158	562369
"1967"	"Male"	"Social Service Professions"	419	562369
"1967"	"Female"	"Business"	6074	562369
"1967"	"Male"	"Math"	13998	562369
"1967"	"Male"	"Education"	31262	562369
"1967"	"Female"	"Education"	91124	562369
"1967"	"Male"	"Anthropology"	854	562369
"1967"	"Female"	"English and Literature"	27831	562369
"1967"	"Male"	"History"	20729	562369
"1967"	"Female"	"History"	11064	562369
"1967"	"Male"	"Communication and Librarianship"	2197	562369
"1967"	"Male"	"Foreign Languages"	4783	562369
"1967"	"Female"	"Life Sciences"	20160	562369
"1967"	"Female"	"Humanities, Other"	1268	562369
"1967"	"Male"	"Engineering"	38732	562369
"1967"	"Female"	"Anthropology"	971	562369
"1967"	"Female"	"Computer Science"	24	562369
"1967"	"Female"	"Foreign Languages"	12110	562369
"1967"	"Male"	"Humanities, Other"	5407	562369
"1967"	"Female"	"Communication and Librarianship"	2023	562369
"1967"	"Male"	"Economics"	12491	562369
"1967"	"Male"	"Agriculture"	6855	562369
"1967"	"Male"	"Computer Science"	198	562369
"1967"	"Female"	"Art/Architecture"	12686	562369
"1967"	"Female"	"Religion"	35	562369
"1967"	"Male"	"Business"	65444	562369
"1967"	"Male"	"English and Literature"	14602	562369
"1967"	"Female"	"Economics"	1338	562369
"1967"	"Female"	"Vocational Studies and Home Economics"	6166	562369
"1967"	"Male"	"Art/Architecture"	11671	562369
"1967"	"Male"	"Religion"	326	562369
"1967"	"Female"	"Sociology"	10588	562369
"1967"	"Male"	"Area and Ethnic Studies"	691	562369
"1967"	"Female"	"Other/Unknown"	1201	562369
"1967"	"Male"	"Vocational Studies and Home Economics"	169	562369
"1967"	"Female"	"Area and Ethnic Studies"	663	562369
"1967"	"Female"	"Math"	7310	562369
"1967"	"Male"	"Physical Sciences"	21365	562369
"1967"	"Male"	"Sociology"	7163	562369
"1967"	"Female"	"Political Science and Public Administration"	4269	562369
"1967"	"Female"	"Psychology"	7778	562369
"1967"	"Male"	"Social Sciences, Other"	10995	562369
"1967"	"Female"	"Physical Sciences"	3983	562369
"1967"	"Female"	"Social Service Professions"	1462	562369
"1967"	"Male"	"Psychology"	11657	562369
"1967"	"Female"	"Engineering"	535	562369
"1967"	"Female"	"Social Sciences, Other"	7312	562369
"1967"	"Male"	"Other/Unknown"	2581	562369
"1968"	"Male"	"Political Science and Public Administration"	17466	636863
"1968"	"Male"	"Life Sciences"	26979	636863
"1968"	"Female"	"History"	12495	636863
"1968"	"Female"	"Education"	103678	636863
"1968"	"Male"	"History"	22921	636863
"1968"	"Male"	"Humanities, Other"	5572	636863
"1968"	"Male"	"Communication and Librarianship"	2667	636863
"1968"	"Female"	"Vocational Studies and Home Economics"	7222	636863
"1968"	"Male"	"Social Service Professions"	580	636863
"1968"	"Female"	"Computer Science"	55	636863
"1968"	"Male"	"Engineering"	40623	636863
"1968"	"Male"	"Anthropology"	999	636863
"1968"	"Female"	"Agriculture"	249	636863
"1968"	"Female"	"English and Literature"	32391	636863
"1968"	"Female"	"Foreign Languages"	14123	636863
"1968"	"Female"	"Art/Architecture"	15278	636863
"1968"	"Female"	"Religion"	81	636863
"1968"	"Female"	"Life Sciences"	22355	636863
"1968"	"Female"	"Area and Ethnic Studies"	792	636863
"1968"	"Female"	"Economics"	1638	636863
"1968"	"Male"	"Social Sciences, Other"	12261	636863
"1968"	"Male"	"Math"	14839	636863
"1968"	"Male"	"Art/Architecture"	13335	636863
"1968"	"Male"	"Education"	33735	636863
"1968"	"Male"	"Area and Ethnic Studies"	948	636863
"1968"	"Female"	"Business"	7337	636863
"1968"	"Male"	"Economics"	14569	636863
"1968"	"Male"	"Vocational Studies and Home Economics"	198	636863
"1968"	"Male"	"Agriculture"	7182	636863
"1968"	"Male"	"Physical Sciences"	22617	636863
"1968"	"Male"	"Foreign Languages"	5273	636863
"1968"	"Male"	"Psychology"	13791	636863
"1968"	"Male"	"Business"	75064	636863
"1968"	"Female"	"Psychology"	10130	636863
"1968"	"Female"	"Anthropology"	1262	636863
"1968"	"Male"	"Sociology"	8577	636863
"1968"	"Male"	"Religion"	386	636863
"1968"	"Female"	"Sociology"	13485	636863
"1968"	"Female"	"Other/Unknown"	1288	636863
"1968"	"Female"	"Physical Sciences"	4440	636863
"1968"	"Female"	"Social Service Professions"	1938	636863
"1968"	"Male"	"Other/Unknown"	3025	636863
"1968"	"Female"	"Math"	8786	636863
"1968"	"Male"	"Computer Science"	404	636863
"1968"	"Female"	"Communication and Librarianship"	2510	636863
"1968"	"Female"	"Political Science and Public Administration"	4864	636863
"1968"	"Female"	"Humanities, Other"	1546	636863
"1968"	"Male"	"English and Literature"	15736	636863
"1968"	"Female"	"Engineering"	639	636863
"1968"	"Female"	"Social Sciences, Other"	8534	636863
"1969"	"Male"	"Life Sciences"	30012	734003
"1969"	"Female"	"Life Sciences"	25232	734003
"1969"	"Female"	"Education"	117161	734003
"1969"	"Male"	"History"	26592	734003
"1969"	"Female"	"English and Literature"	36822	734003
"1969"	"Female"	"History"	14487	734003
"1969"	"Male"	"Engineering"	45547	734003
"1969"	"Female"	"Business"	8732	734003
"1969"	"Female"	"Art/Architecture"	18840	734003
"1969"	"Female"	"Humanities, Other"	1769	734003
"1969"	"Male"	"English and Literature"	17543	734003
"1969"	"Male"	"Physical Sciences"	25048	734003
"1969"	"Female"	"Agriculture"	365	734003
"1969"	"Female"	"Political Science and Public Administration"	5413	734003
"1969"	"Male"	"Art/Architecture"	16277	734003
"1969"	"Female"	"Economics"	1814	734003
"1969"	"Female"	"Other/Unknown"	1884	734003
"1969"	"Male"	"Economics"	16095	734003
"1969"	"Male"	"Political Science and Public Administration"	20369	734003
"1969"	"Male"	"Humanities, Other"	6211	734003
"1969"	"Female"	"Math"	10227	734003
"1969"	"Male"	"Foreign Languages"	5840	734003
"1969"	"Male"	"Social Service Professions"	662	734003
"1969"	"Male"	"Business"	87960	734003
"1969"	"Female"	"Psychology"	12700	734003
"1969"	"Female"	"Anthropology"	1721	734003
"1969"	"Male"	"Math"	17103	734003
"1969"	"Male"	"Education"	37510	734003
"1969"	"Female"	"Foreign Languages"	15953	734003
"1969"	"Female"	"Communication and Librarianship"	3130	734003
"1969"	"Male"	"Psychology"	16758	734003
"1969"	"Male"	"Anthropology"	1269	734003
"1969"	"Male"	"Computer Science"	812	734003
"1969"	"Female"	"Engineering"	771	734003
"1969"	"Female"	"Religion"	98	734003
"1969"	"Male"	"Communication and Librarianship"	3067	734003
"1969"	"Male"	"Other/Unknown"	3102	734003
"1969"	"Female"	"Area and Ethnic Studies"	956	734003
"1969"	"Female"	"Vocational Studies and Home Economics"	8846	734003
"1969"	"Male"	"Area and Ethnic Studies"	1005	734003
"1969"	"Male"	"Religion"	521	734003
"1969"	"Female"	"Computer Science"	121	734003
"1969"	"Female"	"Physical Sciences"	4759	734003
"1969"	"Male"	"Social Sciences, Other"	14464	734003
"1969"	"Male"	"Vocational Studies and Home Economics"	229	734003
"1969"	"Male"	"Agriculture"	8527	734003
"1969"	"Female"	"Social Sciences, Other"	10398	734003
"1969"	"Female"	"Sociology"	16213	734003
"1969"	"Male"	"Sociology"	10342	734003
"1969"	"Female"	"Social Service Professions"	2726	734003
"1970"	"Male"	"Physical Sciences"	25227	798070
"1970"	"Female"	"Vocational Studies and Home Economics"	10015	798070
