"year"	"field"	"gender"	"count"	"total"
"1948"	"???? Es"	"Female"	18	272144
"1948"	"???? Es"	"Male"	5	272144
"1948"	"???? Therapy"	"Female"	0	272144
"1948"	"???? Therapy"	"Male"	107	272144
"1948"	"Agriculture"	"Female"	199	272144
"1948"	"Agriculture"	"Male"	6644	272144
"1948"	"Anthropology"	"Female"	89	272144
"1948"	"Anthropology"	"Male"	79	272144
"1948"	"Area and Ethnic Studies"	"Female"	0	272144
"1948"	"Area and Ethnic Studies"	"Male"	0	272144
"1948"	"Area Studies"	"Female"	0	272144
"1948"	"Area Studies"	"Male"	0	272144
"1948"	"Art, General"	"Female"	2689	272144
"1948"	"Art, General"	"Male"	967	272144
"1948"	"Art/Architecture"	"Female"	131	272144
"1948"	"Art/Architecture"	"Male"	943	272144
"1948"	"Arts"	"Female"	0	272144
"1948"	"Arts"	"Male"	0	272144
"1948"	"Arts and Music"	"Female"	5180	272144
"1948"	"Arts and Music"	"Male"	2592	272144
"1948"	"Business"	"Female"	6111	272144
"1948"	"Business"	"Male"	32260	272144
"1948"	"Communication and Librarianship"	"Female"	0	272144
"1948"	"Communication and Librarianship"	"Male"	0	272144
"1948"	"Communication and Library Science"	"Female"	2528	272144
"1948"	"Communication and Library Science"	"Male"	2433	272144
"1948"	"Computer Science"	"Female"	0	272144
"1948"	"Computer Science"	"Male"	0	272144
"1948"	"Economics"	"Female"	1318	272144
"1948"	"Economics"	"Male"	7684	272144
"1948"	"Education"	"Female"	24323	272144
"1948"	"Education"	"Male"	14557	272144
"1948"	"Engineering"	"Female"	384	272144
"1948"	"Engineering"	"Male"	62145	272144
"1948"	"English and Literature"	"Female"	8222	272144
"1948"	"English and Literature"	"Male"	4392	272144
"1948"	"Foreign Language and Literature, Other"	"Female"	0	272144
"1948"	"Foreign Language and Literature, Other"	"Male"	0	272144
"1948"	"Foreign Languages"	"Female"	5844	272144
"1948"	"Foreign Languages"	"Male"	1936	272144
"1948"	"Health Professions"	"Female"	0	272144
"1948"	"Health Professions"	"Male"	0	272144
"1948"	"History"	"Female"	3576	272144
"1948"	"History"	"Male"	5669	272144
"1948"	"Humanities, Other"	"Female"	203	272144
"1948"	"Humanities, Other"	"Male"	295	272144
"1948"	"Latin, Classical Greek"	"Female"	203	272144
"1948"	"Latin, Classical Greek"	"Male"	295	272144
"1948"	"Life Sciences"	"Female"	623	272144
"1948"	"Life Sciences"	"Male"	659	272144
"1948"	"Math"	"Female"	0	272144
"1948"	"Math"	"Male"	0	272144
"1948"	"Mathematics"	"Female"	1647	272144
"1948"	"Mathematics"	"Male"	2619	272144
"1948"	"Medicine"	"Female"	5040	272144
"1948"	"Medicine"	"Male"	11346	272144
"1948"	"Other/Unknown"	"Female"	6299	272144
"1948"	"Other/Unknown"	"Male"	21894	272144
"1948"	"Philosophy"	"Female"	658	272144
"1948"	"Philosophy"	"Male"	2794	272144
"1948"	"Physical Sciences"	"Female"	8336	272144
"1948"	"Physical Sciences"	"Male"	14435	272144
"1948"	"Political Science and Public Administration"	"Female"	1147	272144
"1948"	"Political Science and Public Administration"	"Male"	3727	272144
"1948"	"Psychology"	"Female"	3594	272144
"1948"	"Psychology"	"Male"	2808	272144
"1948"	"Religion"	"Female"	0	272144
"1948"	"Religion"	"Male"	0	272144
"1948"	"Sciences, General Program"	"Female"	240	272144
"1948"	"Sciences, General Program"	"Male"	1273	272144
"1948"	"Sciences, Other"	"Female"	0	272144
"1948"	"Sciences, Other"	"Male"	0	272144
"1948"	"Social Sciences"	"Female"	0	272144
"1948"	"Social Sciences"	"Male"	0	272144
"1948"	"Social Sciences, Other"	"Female"	1182	272144
"1948"	"Social Sciences, Other"	"Male"	1647	272144
"1948"	"Social Service Professions"	"Female"	957	272144
"1948"	"Social Service Professions"	"Male"	276	272144
"1948"	"Sociology"	"Female"	4484	272144
"1948"	"Sociology"	"Male"	1787	272144
"1948"	"Vocational Studies and Home Economics"	"Female"	7275	272144
"1948"	"Vocational Studies and Home Economics"	"Male"	1501	272144
"1948"	"Zoology, General"	"Female"	807	272144
"1948"	"Zoology, General"	"Male"	1499	272144
"1949"	"???? Es"	"Female"	0	366634
"1949"	"???? Es"	"Male"	0	366634
"1949"	"???? Therapy"	"Female"	0	366634
"1949"	"???? Therapy"	"Male"	0	366634
"1949"	"Agriculture"	"Female"	165	366634
"1949"	"Agriculture"	"Male"	10141	366634
"1949"	"Anthropology"	"Female"	138	366634
"1949"	"Anthropology"	"Male"	161	366634
"1949"	"Area and Ethnic Studies"	"Female"	0	366634
"1949"	"Area and Ethnic Studies"	"Male"	0	366634
"1949"	"Area Studies"	"Female"	0	366634
"1949"	"Area Studies"	"Male"	0	366634
"1949"	"Art, General"	"Female"	2674	366634
"1949"	"Art, General"	"Male"	1594	366634
"1949"	"Art/Architecture"	"Female"	122	366634
"1949"	"Art/Architecture"	"Male"	1506	366634
"1949"	"Arts"	"Female"	0	366634
"1949"	"Arts"	"Male"	0	366634
"1949"	"Arts and Music"	"Female"	5488	366634
"1949"	"Arts and Music"	"Male"	4250	366634
"1949"	"Business"	"Female"	6392	366634
"1949"	"Business"	"Male"	55232	366634
"1949"	"Communication and Librarianship"	"Female"	0	366634
"1949"	"Communication and Librarianship"	"Male"	0	366634
"1949"	"Communication and Library Science"	"Female"	2103	366634
"1949"	"Communication and Library Science"	"Male"	3472	366634
"1949"	"Computer Science"	"Female"	0	366634
"1949"	"Computer Science"	"Male"	0	366634
"1949"	"Economics"	"Female"	1158	366634
"1949"	"Economics"	"Male"	10378	366634
"1949"	"Education"	"Female"	27639	366634
"1949"	"Education"	"Male"	20173	366634
"1949"	"Engineering"	"Female"	317	366634
"1949"	"Engineering"	"Male"	87248	366634
"1949"	"English and Literature"	"Female"	8720	366634
"1949"	"English and Literature"	"Male"	6206	366634
"1949"	"Foreign Language and Literature, Other"	"Female"	0	366634
"1949"	"Foreign Language and Literature, Other"	"Male"	0	366634
"1949"	"Foreign Languages"	"Female"	5786	366634
"1949"	"Foreign Languages"	"Male"	2990	366634
"1949"	"Health Professions"	"Female"	0	366634
"1949"	"Health Professions"	"Male"	0	366634
"1949"	"History"	"Female"	3259	366634
"1949"	"History"	"Male"	7232	366634
"1949"	"Humanities, Other"	"Female"	150	366634
"1949"	"Humanities, Other"	"Male"	367	366634
"1949"	"Latin, Classical Greek"	"Female"	150	366634
"1949"	"Latin, Classical Greek"	"Male"	367	366634
"1949"	"Life Sciences"	"Female"	1258	366634
"1949"	"Life Sciences"	"Male"	3041	366634
"1949"	"Math"	"Female"	0	366634
"1949"	"Math"	"Male"	0	366634
"1949"	"Mathematics"	"Female"	1527	366634
"1949"	"Mathematics"	"Male"	3513	366634
"1949"	"Medicine"	"Female"	5088	366634
"1949"	"Medicine"	"Male"	13126	366634
"1949"	"Other/Unknown"	"Female"	7557	366634
"1949"	"Other/Unknown"	"Male"	28227	366634
"1949"	"Philosophy"	"Female"	674	366634
"1949"	"Philosophy"	"Male"	3618	366634
"1949"	"Physical Sciences"	"Female"	4260	366634
"1949"	"Physical Sciences"	"Male"	17846	366634
"1949"	"Political Science and Public Administration"	"Female"	1137	366634
"1949"	"Political Science and Public Administration"	"Male"	4979	366634
"1949"	"Psychology"	"Female"	3614	366634
"1949"	"Psychology"	"Male"	4591	366634
"1949"	"Religion"	"Female"	226	366634
"1949"	"Religion"	"Male"	2845	366634
"1949"	"Sciences, General Program"	"Female"	800	366634
"1949"	"Sciences, General Program"	"Male"	5173	366634
"1949"	"Sciences, Other"	"Female"	362	366634
"1949"	"Sciences, Other"	"Male"	1433	366634
"1949"	"Social Sciences"	"Female"	0	366634
"1949"	"Social Sciences"	"Male"	0	366634
"1949"	"Social Sciences, Other"	"Female"	2122	366634
"1949"	"Social Sciences, Other"	"Male"	4062	366634
"1949"	"Social Service Professions"	"Female"	772	366634
"1949"	"Social Service Professions"	"Male"	245	366634
"1949"	"Sociology"	"Female"	4143	366634
"1949"	"Sociology"	"Male"	2563	366634
"1949"	"Vocational Studies and Home Economics"	"Female"	7741	366634
"1949"	"Vocational Studies and Home Economics"	"Male"	2557	366634
"1949"	"Zoology, General"	"Female"	586	366634
"1949"	"Zoology, General"	"Male"	2249	366634
"1950"	"???? Es"	"Female"	0	433734
"1950"	"???? Es"	"Male"	0	433734
"1950"	"???? Therapy"	"Female"	0	433734
"1950"	"???? Therapy"	"Male"	0	433734
"1950"	"Agriculture"	"Female"	162	433734
"1950"	"Agriculture"	"Male"	14837	433734
"1950"	"Anthropology"	"Female"	138	433734
"1950"	"Anthropology"	"Male"	186	433734
"1950"	"Area and Ethnic Studies"	"Female"	0	433734
"1950"	"Area and Ethnic Studies"	"Male"	0	433734
"1950"	"Area Studies"	"Female"	0	433734
"1950"	"Area Studies"	"Male"	0	433734
"1950"	"Art, General"	"Female"	3117	433734
"1950"	"Art, General"	"Male"	2590	433734
"1950"	"Art/Architecture"	"Female"	122	433734
"1950"	"Art/Architecture"	"Male"	2441	433734
"1950"	"Arts"	"Female"	0	433734
"1950"	"Arts"	"Male"	0	433734
"1950"	"Arts and Music"	"Female"	5813	433734
"1950"	"Arts and Music"	"Male"	6390	433734
"1950"	"Business"	"Female"	6226	433734
"1950"	"Business"	"Male"	65911	433734
"1950"	"Communication and Librarianship"	"Female"	0	433734
"1950"	"Communication and Librarianship"	"Male"	0	433734
"1950"	"Communication and Library Science"	"Female"	1991	433734
"1950"	"Communication and Library Science"	"Male"	4003	433734
"1950"	"Computer Science"	"Female"	0	433734
"1950"	"Computer Science"	"Male"	0	433734
"1950"	"Economics"	"Female"	1102	433734
"1950"	"Economics"	"Male"	13471	433734
"1950"	"Education"	"Female"	31145	433734
"1950"	"Education"	"Male"	29632	433734
"1950"	"Engineering"	"Female"	357	433734
"1950"	"Engineering"	"Male"	104611	433734
"1950"	"English and Literature"	"Female"	9023	433734
"1950"	"English and Literature"	"Male"	8223	433734
"1950"	"Foreign Language and Literature, Other"	"Female"	0	433734
"1950"	"Foreign Language and Literature, Other"	"Male"	0	433734
"1950"	"Foreign Languages"	"Female"	5625	433734
"1950"	"Foreign Languages"	"Male"	3661	433734
"1950"	"Health Professions"	"Female"	0	433734
"1950"	"Health Professions"	"Male"	0	433734
"1950"	"History"	"Female"	3325	433734
"1950"	"History"	"Male"	10242	433734
"1950"	"Humanities, Other"	"Female"	197	433734
"1950"	"Humanities, Other"	"Male"	474	433734
"1950"	"Latin, Classical Greek"	"Female"	197	433734
"1950"	"Latin, Classical Greek"	"Male"	474	433734
"1950"	"Life Sciences"	"Female"	1169	433734
"1950"	"Life Sciences"	"Male"	3721	433734
"1950"	"Math"	"Female"	0	433734
"1950"	"Math"	"Male"	0	433734
"1950"	"Mathematics"	"Female"	1446	433734
"1950"	"Mathematics"	"Male"	4946	433734
"1950"	"Medicine"	"Female"	4691	433734
"1950"	"Medicine"	"Male"	16524	433734
"1950"	"Other/Unknown"	"Female"	4912	433734
"1950"	"Other/Unknown"	"Male"	26289	433734
"1950"	"Philosophy"	"Female"	772	433734
"1950"	"Philosophy"	"Male"	4898	433734
"1950"	"Physical Sciences"	"Female"	4037	433734
"1950"	"Physical Sciences"	"Male"	23640	433734
"1950"	"Political Science and Public Administration"	"Female"	1001	433734
"1950"	"Political Science and Public Administration"	"Male"	5618	433734
"1950"	"Psychology"	"Female"	3524	433734
"1950"	"Psychology"	"Male"	6058	433734
"1950"	"Religion"	"Female"	211	433734
"1950"	"Religion"	"Male"	3010	433734
"1950"	"Sciences, General Program"	"Female"	1076	433734
"1950"	"Sciences, General Program"	"Male"	5604	433734
"1950"	"Sciences, Other"	"Female"	318	433734
"1950"	"Sciences, Other"	"Male"	1465	433734
"1950"	"Social Sciences"	"Female"	0	433734
"1950"	"Social Sciences"	"Male"	0	433734
"1950"	"Social Sciences, Other"	"Female"	2463	433734
"1950"	"Social Sciences, Other"	"Male"	6747	433734
"1950"	"Social Service Professions"	"Female"	830	433734
"1950"	"Social Service Professions"	"Male"	439	433734
"1950"	"Sociology"	"Female"	4039	433734
"1950"	"Sociology"	"Male"	3848	433734
"1950"	"Vocational Studies and Home Economics"	"Female"	7970	433734
"1950"	"Vocational Studies and Home Economics"	"Male"	4042	433734
"1950"	"Zoology, General"	"Female"	562	433734
"1950"	"Zoology, General"	"Male"	2727	433734
"1951"	"???? Es"	"Female"	0	384352
"1951"	"???? Es"	"Male"	0	384352
"1951"	"???? Therapy"	"Female"	0	384352
"1951"	"???? Therapy"	"Male"	0	384352
"1951"	"Agriculture"	"Female"	145	384352
"1951"	"Agriculture"	"Male"	12020	384352
